부가급여→장애수당	부가급여/NNG+→/SW+장애수당/NNG
자기결정권	자기결정/NNG+권/XSN
및	및/MAG
선택권을	선택권/NNG+을/JKO
보장하도록	보장하/VV+도록/EC
‘장애인	‘/SN+장애인/NNG
중심	중심/NNG
전달체계’	전달체계/NNG+’/SN
개편,	개편/NNG+,/SP
지역사회	지역사회/NNG
밀착형	밀착/NNG+형/XSN
민간	민간/NNG
전달체계	전달체계/NNG
구축,	구축/NNG+,/SP
장애인정책조정위원회	장애인정책조정위원회/NNG
상설화를	상설/NNG+화/XSN+를/JKO
해야	하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
내다봤다	내다보/VV+았/EP+다/EF

노인장기요양보험	노인장기요양보험/NNG
장애인활동지원	장애인활동지원/NNG
선택권	선택권/NNG
부여장애인활동지원제도	부여장애인활동지원제도/NNG
개선을	개선/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
서비스	서비스/NNG
대상을	대상/NNG+을/JKO
확대하고	확대하/VV+고/EC
서비스	서비스/NNG
제공	제공/NNG
상한선을	상한선/NNG+을/JKO
폐지해야	폐지하/VV+여야/EC
된다는	되/VV+ㄴ다는/ETM
방향을	방향/NNG+을/JKO
내세웠다	내세우/VV+었/EP+다/EC

더불어	더불/VV+어/EC
65세	65/SN+세/NNB
이상의	이상/NNG+의/JKG
장애인의	장애인/NNG+의/JKG
경우	경우/NNG
노인장기요양보험과	노인장기요양보험/NNG+과/JC
장애인활동지원	장애인활동지원/NNG
중	중/NNB
선택	선택/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘장애인활동지원에	‘/SN+장애인활동지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SN
제5조를	제/XPN+5/SN+조/NNB+를/JKO
개정해야	개정하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
제시했다	제시하/VV+였/EP+다/EC

인권위는	인권위/NNG+는/JX
장애인	장애인/NNG
접근권	접근권/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
정보접근권,	정보접근권/NNG+,/SP
시설접근권이	시설접근/NNG+권/XSN+이/JKS
확보되어야	확보되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
전제했다	전제하/VV+였/EP+다/EC

정보접근권을	정보접근권/NNG+을/JKO
위해	위하/VV+여/EC
출판물	출판물/NNG
접근권	접근권/NNG
보장의	보장/NNG+의/JKG
내용으로	내용/NNG+으로/JKB
저작권법을	저작권법/NNG+을/JKO
개정	개정/NNG
추진하고,	추진하/VV+고/EC+,/SP
수화언어의	수화언어/NNG+의/JKG
법적지위	법적지위/NNG
향상해야	향상하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
전했다	전하/VV+었/EP+다/EC

1차적으로	1/SN+차/NNB+적/XSN+으로/JKB
수화언어를	수화언어/NNG+를/JKO
사용하는	사용하/VV+는/ETM
방송	방송/NNG
서비스의	서비스/NNG+의/JKG
확대	확대/NNG
및	및/MAG
수화사용자의	수화사용자/NNG+의/JKG
증대를	증대/NNG+를/JKO
도모해야	도모하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
것	것/NNB

시설접근권	시설접근/NNG+권/XSN
보장을	보장/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
‘장애인·노인·임산부등의편의증진보장에관한법률(이하	‘/SL+장애인/NNG+·/SP+노인/NNG+·/SP+임산부등의편의증진보장에관한법률/NNG+(/SS+이하/NNG
편의증진법)’과	편의증진법/NNG+)/SS+’/SL+과/JC
‘건축법’의	‘/SN+건축법/NNG+’/SL+의/JKG
연계를	연계/NNG+를/JKO
강화해야	강화하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
내용도	내용/NNG+도/JX
담겨있다	담기/VV+어/EC+있/VX+다/EF

‘편의시설	‘/SN+편의시설/NNG
설치	설치/NNG
계획서’	계획서/NNG+’/SN
작성	작성/NNG
시	시/NNG
‘편의시설	‘편의시설/NNG
상세표준도’를	상세표준도’/NNG+를/JKO
참조하도록	참조하/VV+도록/EC
‘건축법	‘/SN+건축법/NNG
시행령	시행령/NNG
및	및/MAG
시행규칙’에	시행규칙/NNG+’/SL+에/JKB
명문화	명문화/NNG
해야되기	하/VV+여야되기/ETN
때문이다	때문/NNB+이/VCP+다/EC

이날	이날/NNG
법무법인	법무법인/NNG
태평양	태평양/NNP
조원희	조원희/NNP
변호사는	변호사/NNG+는/JX
장애인정보	장애인정/NNG+보/XSN
접근권	접근권/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
시청각장애인의	시청각장애인/NNG+의/JKG
정보접근권	정보접근권/NNG
보장을	보장/NNG+을/JKO
위해서	위하/VV+여서/EC
장애인차별금지법	장애인차별금지법/NNG
제21조에	제/XPN+21/SN+조/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
재검토가	재검토/NNG+가/JKS
필요하다고	필요하/VA+다고/EC
조언했다	조언하/VV+였/EP+다/EF

방송통신위원회	방송통신위원회/NNG
고시에서	고시/NNG+에서/JKB
장애인	장애인/NNG
시청	시청/NNG
편의	편/NNB+의/JKG
서비스의	서비스/NNG+의/JKG
범위를	범위/NNG+를/JKO
확대해	확대하/VV+여/EC
적용해야	적용하/VV+여야/EC
하며,	하/VX+며/EC+,/SP
통신	통신/NNG
방식의	방식/NNG+의/JKG
다양화를	다양화/NNG+를/JKO
고려해	고려하/VV+여/EC
중계서비스의	중계서비스/NNG+의/JKG
주체를	주체/NNG+를/JKO
확대해야	확대하/VV+여야/EC
된다는	되/VV+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

장애인연금	장애인연금/NNG
부가급여,	부가급여/NNG+,/SP
장애수당으로	장애수당/NNG+으로/JKB
전환■적절한	전환/NNG+■/SW+적절하/VA+ㄴ/ETM
삶의	삶/NNG+의/JKG
향유를	향유/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기본권	기본권/NNG
보장=인권위는	보장/NNG+=/SW+인권위/NNG+는/JX
헌법에	헌법/NNG+에/JKB
보장된	보장되/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
기본권이	기본권/NNG+이/JKS
실질적으로	실질적/NNG+으로/JKB
구현될	구현되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
적절한	적절하/VA+ㄴ/ETM
생활수준의	생활수준/NNG+의/JKG
보장,	보장/NNG+,/SP
일	일/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회	기회/NNG
및	및/MAG
권리	권리/NNG
보장,	보장/NNG+,/SP
장애인	장애인/NNG
주거지원	주거지원/NNG
제도	제도/NNG
강화,	강화/NNG+,/SP
차별	차별/NNG
없이	없이/MAG
건강을	건강/NNG+을/JKO
향유할	향유하/VV+ㄹ/ETM
권리	권리/NNG
보장	보장/NNG
등	등/NNB
총	총/MM
7가지	7/SN+가지/NNB
추진목표를	추진목표/NNG+를/JKO
제안했다	제안하/VV+였/EP+다/EC

먼저	먼저/MAG
장애인의	장애인/NNG+의/JKG
생활수준	생활수준/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
장애인연금	장애인연금/NNG
급여액	급여액/NNG
현실화,	현실화/NNG+,/SP
장애인연금	장애인연금/NNG
급여	급여/NNG
대상을	대상/NNG+을/JKO
확대해야	확대하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
제시했다	제시하/VV+였/EP+다/EC

여기서	여기/NP+서/JKB
주목되는	주목되/VV+는/ETM
점은	점/NNG+은/JX
경증장애인에게	경증장애인/NNG+에게/JKB
지급되는	지급되/VV+는/ETM
장애인복지법	장애인복지법/NNG
상의	상/XSN+의/JKG
‘장애수당’과	‘/SL+장애수당’/NNG+과/JC
중증장애인에게	중증장애인/NNG+에게/JKB
지급되는	지급되/VV+는/ETM
장애인연금법	장애인연금법/NNG
상	상/NNG
부가급여는	부가급여/NNG+는/JX
모든	모든/MM
장애인에게	장애인/NNG+에게/JKB
지급되도록	지급되/VV+도록/EC
장애인연금	장애인연금/NNG
급여	급여/NNG
대상을	대상/NNG+을/JKO
확대해야	확대하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

이를	이/NP+를/JKO
위해	위하/VV+여/EC
인권위는	인권위/NNG+는/JX
장애인연금법	장애인연금법/NNG
상	상/NNG
부가급여액을	부가급여액/NNG+을/JKO
삭제하고,	삭제하/VV+고/EC+,/SP
장애인복지법에	장애인복지법/NNG+에/JKB
모든	모든/MM
장애인에게	장애인/NNG+에게/JKB
지급하는	지급하/VV+는/ETM
장애수당으로	장애수당/NNG+으로/JKB
법률을	법률/NNG+을/JKO
개정할	개정하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다	주문하/VV+였/EP+다/EF

중증장애인	중증장애인/NNG
최저임금	최저임금/NNG
보장,	보장/NNG+,/SP
보조금고용제	보조금고용/NNG+제/XSN
도입으로현재	도입/NNG+으로/JKB+현재/MAG
중증장애인의	중증장애인/NNG+의/JKG
근로자성이	근로자성/NNG+이/JKS
인정되지	인정되/VV+지/EC
않아	않/VX+아/EC
최저임금제	최저임금제/NNG
적용에서	적용/NNG+에서/JKB
제외	제외/NNG
받는	받/VV+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
인권위는	인권위/NNG+는/JX
계획안에	계획안/NNG+에/JKB
장애인이	장애인/NNG+이/JKS
일	일/VV
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회와	기회/NNG+와/JC
권리를	권리/NNG+를/JKO
보장	보장/NNG
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
노동에서의	노동/NNG+에서/JKB+의/JKG
권리	권리/NNG
제고,	제고/NNG+,/SP
지원고용	지원고용/NNG
확대	확대/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
장애인의	장애인/NNG+의/JKG
근로	근로/NNG
기회를	기회/NNG+를/JKO
확대하는	확대하/VV+는/ETM
내용을	내용/NNG+을/JKO
담았다	담/VV+았/EP+다/EC

또한	또한/MAG
중증장애인의	중증장애인/NNG+의/JKG
최저임금을	최저임금/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
보조금	보조금/NNG
고용	고용/NNG
제도의	제도/NNG+의/JKG
도입이	도입/NNG+이/JKS
필요하며,	필요하/VA+며/EC+,/SP
직업재활과	직업재활/NNG+과/JC
고용으로	고용/NNG+으로/JKB
분절화된	분절화되/VV+ㄴ/ETM
관리체계의	관리체계/NNG+의/JKG
연동성을	연동성/NNG+을/JKO
확보해	확보하/VV+여/EC
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
고용지원	고용지원/NNG
시스템을	시스템/NNG+을/JKO
갖춰야	갖추/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
내다	내/VV+어다/EC
봤다	보/VV+았/EP+다/EF

이를	이/NP+를/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
고용	고용/NNG
시	시/NNG
일반	일반/NNG
사업체의	사업체/NNG+의/JKG
고용주나	고용주/NNG+나/JC
직업재활시설	직업재활시설/NNG
등의	등/NNB+의/JKG
시설주는	시설주/NNG+는/JX
장앤인의	장앤인/NNG+의/JKG
근로자성을	근로자성/NNG+을/JKO
인정한	인정하/VV+ㄴ/ETM
뒤	뒤/NNG
장애인근로자에게	장애인근로자/NNG+에게/JKB
근로기준법	근로기준법/NNG+,/SP
상의	상의/NNG
근로3권,	근로/NNG+3/SN+권/NNB+,/SP
유급휴가	유급휴가/NNG
등을	등/NNB+을/JKO
모두	모두/MAG
보장해줘야	보장하/VV+여/EC+주/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
제안했다	제안하/VV+였/EP+다/EC

‘장애인복지법’	‘/SL+장애인복지법’/NNG
등의	등/NNB+의/JKG
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
입법	입법/NNG
조치들과	조치/NNG+들/XSN+과/JC
고용주	고용주/NNG
및	및/MAG
시설주,	시설주/NNG+,/SP
장애인	장애인/NNG
근로자에	근로자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교육을	교육/NNG+을/JKO
시행해야	시행하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
내용도	내용/NNG+도/JX
담겼다	담기/VV+었/EP+다/EF

특히	특히/MAG
인권위는	인권위/NNG+는/JX
‘최저임금법’의	‘/SN+최저임금법/NNG+’/SL+의/JKG
‘정신장애나	‘/SL+정신장애/NNG+나/JC
신체장애로	신체장애/NNG+로/JKB
근로능력이	근로능력/NNG+이/JKS
현저히	현저히/MAG
낮은	낮/VA+은/ETM
자’	자’/NNG
의	의/NNG
규정을	규정/NNG+을/JKO
삭제하고	삭제하/VV+고/EC
장애인	장애인/NNG
근로자의	근로자/NNG+의/JKG
최저임금	최저임금/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
근거를	근거/NNG+를/JKO
마련해야	마련하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
봤다	보/VV+았/EP+다/EF

또한	또한/MAG
다른	다르/VA+ㄴ/ETM
OECD	OECD/SL
국가들처럼	국가/NNG+들/XSN+처럼/JKB
정부가	정부/NNG+가/JKS
중증장애인	중증장애인/NNG
근로자의	근로자/NNG+의/JKG
임금을	임금/NNG+을/JKO
보조하는	보조하/VV+는/ETM
보조금	보조금/NNG
고용	고용/NNG
도입을	도입/NNG+을/JKO
통해	통하/VV+여/EC
장애인에게	장애인/NNG+에게/JKB
최저임금	최저임금/NNG
이상의	이상/NNG+의/JKG
임금을	임금/NNG+을/JKO
보장해줘야	보장하/VV+여/EC+주/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
제안했다	제안하/VV+였/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
계획에	계획/NNG+에/JKB
대해	대하/VV+여/EC
한국장애인고용공단	한국/NNP+장애인고용공단/NNG
직업영역개발팀	직업영역개발팀/NNG
남용현	남용현/NNP
팀장은	팀장/NNG+은/JX
최저임금	최저임금/NNG
적용제외	적용제외/NNG
규정	규정/NNG
개정에는	개정/NNG+에/JKB+는/JX
동의하면서도	동의하/VV+면서/EC+도/JX
최저임금	최저임금/NNG
적용제외제도의	적용제외제도/NNG+의/JKG
폐지는	폐지/NNG+는/JX
근로능력이	근로능력/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
중증장애인의	중증장애인/NNG+의/JKG
취업기회를	취업기회/NNG+를/JKO
축소시킬	축소/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
우려를	우려/NNG+를/JKO
표했다	표하/VV+였/EP+다/EC

이는	이/NP+는/JX
중증장애인의	중증장애인/NNG+의/JKG
낮은	낮/VA+은/ETM
생산성,	생산성/NNG+,/SP
복합적	복합적/NNG
업무수행의	업무수행/NNG+의/JKG
어려움	어려움/NNG
등으로	등/NNB+으로/JKB
사업주가	사업주/NNG+가/JKS
장애인	장애인/NNG
고용을	고용/NNG+을/JKO
기피하고	기피하/VV+고/EC
있는	있/VX+는/ETM
현실에서	현실/NNG+에서/JKB
최저임금	최저임금/NNG
적용제외제도의	적용제외제도/NNG+의/JKG
폐지는	폐지/NNG+는/JX
사업주의	사업주/NNG+의/JKG
장애인고용	장애인고/NNG+용/XSN
기피로	기피/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적인	지적/NNG+이/VCP+ㄴ/ETM
것	것/NNB

남	남/NNP
팀장은	팀장/NNG+은/JX
“최저임금	“/SL+최저임금/NNG
적용제외	적용제외/NNG
인가	인가/NNG
제도를	제도/NNG+를/JKO
폐지하되,	폐지하/VV+되/EC+,/SP
일정기간	일정기간/NNG
동안	동안/NNG
장애인	장애인/NNG
보호작업장	보호작업장/NNG
등에	등/NNB+에/JKB
대해서는	대하/VV+여서/EC+는/JX
최저임금	최저임금/NNG
감액적용제도를	감액적용제도/NNG+를/JKO
도입·운영해야	도입/NNG+·/SP+운영하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

농어촌	농어촌/NNG
장애인주택개조사업,	장애인주택개조사업/NNG+,/SP
대상	대상/NNG
풀어	풀/VV+어/EC
전국으로	전국/NNG+으로/JKB
확대특히	확대특히/MAG
'장애인·고령자	'/SS+장애인/NNG+·/SP+고령자/NNG
등	등/NNB
주거약자	주/MM+거약자/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률(이하	법률/NNG+(/SS+이하/NNG
주거약자지원법)'이	주거약자지원법/NNG+)'/SS+이/JKS
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
제정됐으나,	제정되/VV+었/EP+으나/EC+,/SP
현재	현재/MAG
시행되고	시행되/VV+고/EC
있는	있/VX+는/ETM
주거지원	주거지원/NNG
수준을	수준/NNG+을/JKO
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있어	있/VX+어/EC
주거약자지원법	주거약자지원법/NNG
개정이나	개정/NNG+이나/JC
또	또/MAG
다른	다른/MM
'장애인주거지원법'	'/SS+장애인주거지원법/NNG+'/SS
제정을	제정/NNG+을/JKO
해야	하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
목소리도	목소리/NNG+도/JX
나오고	나오/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
인권위는	인권위/NNG+는/JX
장애인	장애인/NNG
주거	주거/NNG
지원을	지원/NNG+을/JKO
강화하기	강화하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
계획으로	계획/NNG+으로/JKB
주거약자지원법의	주거약자지원법/NNG+의/JKG
실질화	실/XPN+질화/NNG
중증장애인	중증장애인/NNG
전세주택	전세주택/NNG
제공	제공/NNG
사업	사업/NNG
전국	전국/NNG
확대	확대/NNG
주택구입	주택구입/NNG
및	및/MAG
전월세	전월세/NNG
보증금	보증금/NNG
지원	지원/NNG
확대	확대/NNG
주거환경	주거환경/NNG
개선	개선/NNG
지원	지원/NNG
확대의	확대/NNG+의/JKG
제도	제도/NNG
개선을	개선/NNG+을/JKO
손	손/NNG
꼽았다	꼽/VV+았/EP+다/EF

세부적으로	세부적/NNG+으로/JKB
살펴보면	살펴보/VV+면/EC
인권위는	인권위/NNG+는/JX
주거약자지원법의	주거약자지원법/NNG+의/JKG
실질화를	실질/NNG+화/XSN+를/JKO
위해서	위하/VV+여서/EC
장애인의	장애인/NNG+의/JKG
특성을	특성/NNG+을/JKO
감안한	감안하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
