명심원·예원	명심원/NNG+·/SP+예원/NNG
노동력을	노동력/NNG+을/JKO
착취하고	착취하/VV+고/EC
장애인을	장애인/NNG+을/JKO
돌봐야할	돌보/VV+아야/EC+하/VX+ㄹ/ETM
생활교사들을	생활교사/NNG+들/XSN+을/JKO
동원해	동원하/VV+여/EC
개인	개인/NNG
포도밭을	포도밭/NNG+을/JKO
강제경작	강제경작/NNG
시킨	시키/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+여/EC
인천시의	인천시/NNP+의/JKG
행정조치	행정조치/NNG
만으로	만/NNB+으로/JKB
충분하다고	충분하/VA+다고/EC
판단,	판단/NNG+,/SP
각하	각하/NNG
결정을	결정/NNG+을/JKO
내린바	내리/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

하지만	하지만/MAJ
명심원은	명심원/NNG+은/JX
인권위의	인권위/NNG+의/JKG
각하	각하/NNG
결정	결정/NNG
이후인	이후/NNG+이/VCP+ㄴ/ETM
2010년부터	2010/SN+년/NNB+부터/JX
최근까지	최근/NNG+까지/JX
생활인에	생활인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인권유린이	인권유린이/NNG
지속적으로	지속적/NNG+으로/JKB
고발돼	고발되/VV+어/EC
최근까지	최근/NNG+까지/JX
인권위로부터	인권위/NNG+로부터/JKB
직권조사를	직권조사/NNG+를/JKO
받았다	받/VV+았/EP+다/EC

또한	또한/MAG
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
인권위	인권위/NNG
조사결과	조사결과/NNG
계양구	계양구/NNP
예원에서는	예원/NNG+에서/JKB+는/JX
종사자가	종사자/NNG+가/JKS
생활인을	생활인/NNG+을/JKO
폭행하고	폭행하/VV+고/EC
성희롱한	성희롱하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
드러나면서	드러나/VV+면서/EC
계양구로부터	계양구/NNP+로부터/JKB
종사자가	종사자/NNG+가/JKS
고발당하고	고발/NNG+당하/XSV+고/EC
시설장이	시설장/NNG+이/JKS
해임됐다	해임되/VV+었/EP+다/EF

하지만	하지만/MAJ
6월	6/SN+월/NNB
이후	이후/NNG
예원	예원/NNG
내에서	내/NNB+에서/JKB
인권침해	인권침해/NNG
소지가	소지/NNG+가/JKS
발견돼	발견되/VV+어/EC
인권위가	인권위/NNG+가/JKS
한	한/MM
차례	차례/NNG
직권조사에	직권조사/NNG+에/JKB
나선바	나서/VV+ㄴ/ETM+바/MAG
있다	있/VA+다/EF

이외에도	이외/NNG+에/JKB+도/JX
인천장차연이	인천장차연/NNP+이/JKS
인권위	인권위/NNG
조사결과	조사결과/NNG
발표를	발표/NNG+를/JKO
촉구하는	촉구하/VV+는/ETM
까닭은	까닭/NNG+은/JX
인천시가	인천시/NNP+가/JKS
최근	최근/NNG
이들	이/NP+들/XSN
시설에	시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추가적인	추가적/NNG+이/VCP+ㄴ/ETM
행정조치(시설	행정조치/NNG+(/SS+시설/NNG
폐쇄	폐쇄/NNG
등)를	등/NNB+)/SS+를/JKO
인권위	인권위/NNG
조사결과에	조사결과/NNG+에/JKB
따라	따르/VV+아/EC
검토	검토/NNG
하겠다는	하/VV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
나타냈기	나타내/VV+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

인천장차연은	인천장차연/NNP+은/JX
지난	지나/VV+ㄴ/ETM
7월부터	7/SN+월/NNB+부터/JX
8월까지	8/SN+월/NNB+까지/JX
23일간	23/SN+일/NNB+간/XSN
인천시청	인천/NNP+시청/NNG
앞에서	앞/NNG+에서/JKB
노숙농성을	노숙농성/NNG+을/JKO
진행하고	진행하/VV+고/EC
인권지킴이단	인권지킴이/NNG+단/XSN
상시	상시/NNG
운영	운영/NNG
공익이사	공익이사/NNG
파견	파견/NNG
원스크라이크	원스크라이크/NNP
아웃제	아웃제/NNG
도입	도입/NNG
인권침해	인권침해/NNG
신고센터	신고센터/NNG
24시간	24/SN+시간/NNB
운영	운영/NNG
인권실태조사	인권실태조사/NNG
연2회	연/NNG+2/SN+회/NNB
정례화	정례/NNG+화/XSN
탈시설,	탈시설/NNG+,/SP
자립생활	자립생활/NNG
계획과	계획/NNG+과/JC
예산수립	예산수립/NNG
등을	등/NNB+을/JKO
인천시에	인천시/NNP+에/JKB
제안했다	제안하/VV+였/EP+다/EC

이에	이/NP+에/JKB
인천시는	인천시/NNP+는/JX
명심원·예원에	명심원/NNG+·/SP+예원/NNG+에/JKB
공익이사를	공익이사/NNG+를/JKO
2명씩	2/SN+명/NNB+씩/XSN
파견하고	파견하/VV+고/EC
운영위원회를	운영위원회/NNG+를/JKO
외부인사	외부인사/NNG
중심으로	중심/NNG+으로/JKB
개편하겠다고	개편하/VV+겠/EP+다고/EC
약속하고	약속하/VV+고/EC
인권위	인권위/NNG
직권조사	직권조사/NNG
결과에	결과/NNG+에/JKB
근거해	근거하/VV+여/EC
이들	이/NP+들/XSN
시설에	시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
행정조치를	행정조치/NNG+를/JKO
취하겠다는	취하/VV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
피력한바	피력하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

강	강/NNP
위원장은	위원장/NNG+은/JX
“관리	“/SL+관리/NNG
감독의	감독/NNG+의/JKG
책임이	책임/NNG+이/JKS
있는	있/VA+는/ETM
인천시가	인천시/NNP+가/JKS
직접적인	직접적/NNG+이/VCP+ㄴ/ETM
처벌이나	처벌/NNG+이나/JC
행정조치에	행정조치/NNG+에/JKB
난색을	난색/NNG+을/JKO
표하다	표하/VV+다/EC
인권위	인권위/NNG
조사	조사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
시설	시설/NNG
폐쇄	폐쇄/NNG
등	등/NNB
수위를	수위/NNG+를/JKO
결정하겠다는	결정하/VV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다”며	밝허/VV+였/EP+다/EC+”/VV+며/EC
“이	“/SL+이/JKS
때문에	때문/NNB+에/JKB
더욱	더욱/MAG
인권위의	인권위/NNG+의/JKG
조사결과에	조사결과/NNG+에/JKB
촉각을	촉각/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC
