美	美/SL
부모는	부모/NNG+는/JX
장애	장애/NNG
차별을	차별/NNG+을/JKO
이유로	이유/NNG+로/JKB
즉각	즉각/MAG
단체를	단체/NNG+를/JKO
고소했다	고소하/VV+였/EP+다/EC

“메간은	“/SL+메간/NNG+은/JX
가슴이	가슴/NNG+이/JKS
찢어지는	찢어지/VV+는/ETM
아픔을	아픔/NNG+을/JKO
겪고	겪/VV+고/EC
있습니다	있/VX+습니다/EF

우리	우리/NP
가족	가족/NNG
모두가	모두/NNG+가/JKS
이	이/MM
단체	단체/NNG
출신입니다	출신/NNG+이/VCP+ㅂ니다/EC

우리	우리/NP
모간만	모간/NNG+만/JX
제외	제외/NNG
되었다는	되/VV+었/EP+다는/ETM
것이	것/NNB+이/JKS
가슴아픕니다	가슴/VV+아/EC+픕니/VX+다/EC

”메간의	”/SL+메간/NNG+의/JKG
엄마	엄마/NNG
에디는	에디/NNP+는/JX
걸	것/NNB+ㄹ/JKO
스카우트의	스카우트/NNG+의/JKG
이해할	이해하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
예산	예산/NNG
삭감으로	삭감/NNG+으로/JKB
인해	인하/VV+여/EC
겪게된	겪게되/VV+ㄴ/ETM
딸만의	딸/NNG+만/JX+의/JKG
아픔을	아픔/NNG+을/JKO
그냥	그냥/MAG
넘어가지	넘어가/VV+지/EC
않았다	않/VX+았/EP+다/EF

엄연한	엄연하/VA+ㄴ/ETM
장애법	장애법/NNG
위반이라며	위반/NNG+이/VCP+라며/EC
국가	국가/NNG
청각장애	청각장애/NNG
협회와	협회/NNG+와/JC
장애	장애/NNG
기구	기구/NNG
단체의	단체/NNG+의/JKG
협조를	협조/NNG+를/JKO
받아	받/VV+아/EC
강력하게	강력하/VA+게/EC
투쟁하고	투쟁하/VV+고/EC
있다	있/VX+다/EC

이름을	이름/NNG+을/JKO
밝히지	밝히/VV+지/EC
않은	않/VX+은/ETM
지역	지역/NNG
대변인은	대변인/NNG+은/JX
‘단체는	‘/SN+단체/NNG+는/JX
장애	장애/NNG
비장애를	비장애/NNG+를/JKO
막론하고	막론하/VV+고/EC
오랬동안	오랬동안/NNG
모든	모든/MM
여학생들이	여학생/NNG+들/XSN+이/JKS
참여해	참여하/VV+여/EC
왔다’	오/VX+았/EP+다’/EC
며	며/EC
단체의	단체/NNG+의/JKG
처사를	처사/NNG+를/JKO
비난했다	비난하/VV+였/EP+다/EF

한편	한편/MAG
메간의	메간/NNG+의/JKG
부모는	부모/NNG+는/JX
장애	장애/NNG
아동들을	아동/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
강력한	강력하/VA+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
규정이	규정/NNG+이/JKS
필요하다며	필요하/VA+다며/EC
딸이	딸/NNG+이/JKS
상처를	상처/NNG+를/JKO
입은	입/VV+은/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
배상을	배상/NNG+을/JKO
청구하고	청구하/VV+고/EC
있다	있/VX+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
