말뿐인	말/NNG+뿐/JX+이/VCP+ㄴ/ETM
횡단보도에는	횡단보도/NNG+에/JKB+는/JX
지주가	지주/NNG+가/JKS
4개	4/SN+개/NNB
있고,	있/VA+고/EC+,/SP
음향신호기는	음향신호기/NNG+는/JX
한	한/MM
지주에	지주/NNG+에/JKB
2개씩	2/SN+개/NNB+씩/XSN
설치됐다	설치되/VV+었/EP+다/EF

리모컨을	리모컨/NNG+을/JKO
누르면	누르/VV+면/EC
왼쪽(남성	왼쪽/NNG+(/SS+남성/NNG
목소리),	목소리/NNG+)/SS+,/SP
오른쪽(여성	오른쪽/NNG+(/SS+여성/NNG
목소리)	목소리/NNG+)/SS
음향신호가	음향신호/NNG+가/JKS
동시에	동시/NNG+에/JKB
울려	울리/VV+어/EC
시각장애인이	시각장애인/NNG+이/JKS
혼동할	혼동하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
비장애인에게는	비장애인/NNG+에게/JKB+는/JX
소음공해가	소음공해/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
음향신호기	음향신호기/NNG
버튼이	버튼/NNG+이/JKS
2개여서	2/SN+개/NNB+이/VCP+어서/EC
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
자신이	자신/NNG+이/JKS
가고자	가/VV+고자/EC
하는	하/VX+는/ETM
방향의	방향/NNG+의/JKG
버튼을	버튼/NNG+을/JKO
찾기	찾/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
현실이다	현실/NNG+이/VCP+다/EC

을지로입구역	을지로입구역/NNP
사거리	사거리/NNG
횡단보도의	횡단보도/NNG+의/JKG
음향신호기도	음향신호기/NNG+도/JX
광화문사거리	광화문/NNP+사거리/NNG
횡단보도에	횡단보도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
음향신호기와	음향신호기/NNG+와/JKB
마찬가지	마찬가지/NNG
상황이다	상황/NNG+이/VCP+다/EC

특히	특히/MAG
4번	4/SN+번/NNB
출입구	출입구/NNG
방향	방향/NNG
교통섬의	교통섬/NNG+의/JKG
지주에는	지주/NNG+에/JKB+는/JX
버튼	버튼/NNG
앞에	앞/NNG+에/JKB
쓰레기통이	쓰레기통/NNG+이/JKS
있어	있/VA+어/EC
시각장애인이	시각장애인/NNG+이/JKS
부딪칠	부딪치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
점검	점검/NNG
결과는	결과/NNG+는/JX
서울시가	서울시/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
논의	논의/NNG
과정에서	과정/NNG+에서/JKB
한	한/MM
지주에	지주/NNB+에/JKB
2대가	2/SN+대/NNB+가/JKS
설치된	설치되/VV+ㄴ/ETM
음향신호기	음향신호기/NNG
개선	개선/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
특성검사를	특성검사/NNG+를/JKO
실시하겠다고	실시하/VV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
것이	것/NNB+이/JKS
지켜지지	지키/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
의미한다	의미하/VV+ㄴ다/EF

한편	한편/MAG
충정로	충정로/NNP
동아일보사	동아일보사/NNP
앞	앞/NNG
횡단보도에는	횡단보도/NNG+에/JKB+는/JX
한	한/MM
지주에	지주/NNB+에/JKB
1대의	1/SN+대/NNB+의/JKG
음향신호기가	음향신호기/NNG+가/JKS
설치됐지만,	설치되/VV+었/EP+지만/EC+,/SP
아직	아직/MAG
도로교통공단의	도로교통공단/NNG+의/JKG
‘기능검사	‘/SL+기능검사/NNG
및	및/MAG
특성검사’가	특성검사/NNG+’/SL+가/JKS
이뤄지지	이루어지/VV+지/EC
않아	않/VX+아/EC
작동이	작동/NNG+이/JKS
안됐다	안되/VA+었/EP+다/EC

빨리	빨리/MAG
검사가	검사/NNG+가/JKS
이뤄져	이루어지/VV+어/EC
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
횡단보도를	횡단보도/NNG+를/JKO
안전하게	안전하/VA+게/EC
보행할	보행하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
환경이	환경/NNG+이/JKS
조성될	조성되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이는데,	보이/VV+는데/EC+,/SP
서울시	서울시/NNP
관계자와	관계자/NNG+와/JC
도로교통공단	도로교통공단/NNG
관계자의	관계자/NNG+의/JKG
말이	말/NNG+이/JKS
정	정/NNP
반대다	반대/NNG+이/VCP+다/EF

서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
“기능검사를	“/SL+기능검사/NNG+를/JKO
신청했다”고	신청하/VV+였/EP+다/EC+”/VV+고/EC
밝혔고,	밝히/VV+었/EP+고/EC+,/SP
도로교통공단	도로교통공단/NNG
관계자는	관계자/NNG+는/JX
사실	사실/MAG
확인을	확인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전화통화에서	전화통화/NNG+에서/JKB
“그런	“/SN+그럽/VA+ㄴ/ETM
일이	일/NNG+이/JKS
없다”고	없/VA+다”고/EC
말했다	말하/VV+였/EP+다/EC

충정로	충정로/NNP
횡단보도에	횡단보도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
음향신호기	음향신호기/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
광화문사거리	광화문/NNP+사거리/NNG
교보문구	교보문구/NNP
앞	앞/NNG
횡단보도에는	횡단보도/NNG+에/JKB+는/JX
한	한/MM
지주에	지주/NNB+에/JKB
음향신호기가	음향신호기/NNG+가/JKS
2대	2/SN+대/NNB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
광화문사거리	광화문/NNP+사거리/NNG
교보문고	교보문고/NNP
앞	앞/NNG
횡단보도	횡단보도/NNG

한	한/MM
지주에	지주/NNG+에/JKB
음향신호기가	음향신호기/NNG+가/JKS
2대	2/SN+대/NNG
설치됨에	설치되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
버튼도	버튼/NNG+도/JX
2개다	2/SN+개/NNB+다/EF

점자블록도	점자블록/NNG+도/JX
없어	없/VA+어/EC
버튼	버튼/NNG
찾기도	찾/VV+기/ETN+도/JX
힘들다	힘들/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
을지로입구역	을지로입구역/NNP
사거리	사거리/NNG
횡단보도에는	횡단보도/NNG+에/JKB+는/JX
한	한/MM
지주에	지주/NNB+에/JKB
음향신호기가	음향신호기/NNG+가/JKS
2대	2/SN+대/NNB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
을지로입구역	을지로입구역/NNP
사거리	사거리/NNG

4번	4/SN+번/NNB
출입구	출입구/NNG
방향	방향/NNG
횡단보도	횡단보도/NNG
교통섬의	교통섬/NNG+의/JKG
지주에는	지주/NNG+에/JKB+는/JX
버튼	버튼/NNG
앞에	앞/NNG+에/JKB
쓰레기통이	쓰레기통/NNG+이/JKS
있어	있/VA+어/EC
시각장애인이	시각장애인/NNG+이/JKS
부딪칠	부딪치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

물론	물론/MAG
한	한/MM
지주에	지주/NNB+에/JKB
음향신호기가	음향신호기/NNG+가/JKS
2대	2/SN+대/NNG
설치됐다	설치되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
