'프랑스	'/SS+프랑스/NNP
차별금지위원회(HADLE)와	차별금지위원회/NNG+(/SS+HADLE/SL+)/SS+와/JC
프랑스	프랑스/NNP
옴브즈맨,	옴브즈맨/NNG+,/SP
그리고	그리고/MAJ
아동권리보호기구(Defender	아동권리보호기구/NNG+(/SS+Defender/SL
of	of/SL
the	the/SL
Child)와	Child/SL+)/SS+와/JC
안전윤리위원회(Commission	안전윤리위원회/NNG+(/SS+Commission/SL
of	of/SL
the	the/SL
Ethics	Ethics/SL
in	in/SL
the	the/SL
Security	Security/SL
Services),	Services/SL+)/SS+,/SP
이렇게	이렇/VA+게/EC
네	네/MM
개의	개/NNB+의/JKG
기구가	기구/NNG+가/JKS
합쳐져서	합치/VV+어/EC+지/VX+어서/EC
포괄적인	포괄적/NNG+이/VCP+ㄴ/ETM
독립적	독립적/NNG
프랑스	프랑스/NNP
인권보호기구가	인권보호기구/NNG+가/JKS
관련	관련/NNG
법	법/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
탄생하게	탄생하/VV+게/EC
됐다	되/VV+었/EP+다/EC

이광원:	이광원/NNP+:/SP
이	이/MM
기구의	기구/NNG+의/JKG
역할은	역할/NNG+은/JX
무엇인가?네펠리	무엇/NP+이/VCP+ㄴ가/EF+?/SF+네펠리/NNP
:	:/SP
이	이/MM
프랑스	프랑스/NNP
인권보호기구는	인권보호기구/NNG+는/JX
그간	그간/NNG
각	각/MM
기관이	기관/NNG+이/JKS
독립적으로	독립적/NNG+으로/JKB
맡아	맡/VV+아/EC
온	오/VX+ㄴ/ETM
시민	시민/NNG
기본권	기본권/NNG
관련	관련/NNG
민원처리를	민원처리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공공	공공/NNG
및	및/MAG
민간	민간/NNG
조직의	조직/NNG+의/JKG
감사,	감사/NNG+,/SP
일반	일반/NNG
권고	권고/NNG
및	및/MAG
개정	개정/NNG
권고,	권/VV+고/EC+,/SP
사법판단에	사법판단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견	의견/NNG
제출	제출/NNG
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
여러	여러/MM
업무를	업무/NNG+를/JKO
통합	통합/NNG
수행한다	수행하/VV+ㄴ다/EC

또한	또한/MAG
유엔장애인권리협약의	유엔/NNP+장애인권리협약/NNG+의/JKG
모니터링과	모니터링/NNG+과/JC
장애인	장애인/NNG
인식개선	인식개선/NNG
등을	등/NNB+을/JKO
책임진다	책임지/VV+ㄴ다/EF

이	이/MM
기구는	기구/NNG+는/JX
국가의	국가/NNG+의/JKG
사법기능이	사법기능/NNG+이/JKS
국제기준에	국제기준/NNG+에/JKB
부합되는지를	부합되/VV+는지/EC+를/JKO
분석하고,	분석하/VV+고/EC+,/SP
필요에	필요/NNG+에/JKB
따라	따르/VV+아/EC
정부에	정부/NNG+에/JKB
권고안을	권고안/NNG+을/JKO
내는	내/VV+는/ETM
국가인권위원회(필자	국가인권위원회/NNG+(/SS+필자/NNP
주	주/NNG
:	:/SP
프랑스의	프랑스/NNP+의/JKG
국가인권위원회는	국가인권위원회/NNG+는/JX
약	약/MM
60명	60/SN+명/NNB
정도	정도/NNG
규모의	규모/NNG+의/JKG
조직이라고	조직/NNG+이/VCP+라고/EC
함)와는	하/VV+ㅁ/ETN+)/SS+와/JKB+는/JX
달리,	달리/MAG+,/SP
권리와	권리/NNG+와/JC
관련된	관련되/VV+ㄴ/ETM
시민들의	시민/NNG+들/XSN+의/JKG
청원을	청원/NNG+을/JKO
다룬다	다루/VV+ㄴ다/EC

아동,	아동/NNG+,/SP
차별,	차별/NNG+,/SP
안전,	안전/NNG+,/SP
시민참여의	시민참여/NNG+의/JKG
4개의	4/SN+개/NNB+의/JKG
위원회를	위원회/NNG+를/JKO
두고,	두/VV+고/EC+,/SP
250여명의	250/SN+여/XSN+명/NNB+의/JKG
정규직원과	정규직원/NNG+과/JC
450여명의	450/SN+여/XSN+명/NNB+의/JKG
지역	지역/NNG
대표단이	대표단/NNG+이/JKS
활동하는	활동하/VV+는/ETM
방대한	방대하/VA+ㄴ/ETM
조직으로,	조직/NNG+으로/JKB+,/SP
사법부에	사법부/NNG+에/JKB
제출된	제출되/VV+ㄴ/ETM
의견의	의견/NNG+의/JKG
80%	80/SN+%/SW
가량이	가량/XSN+이/JKS
채택될	채택되/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
영향력이	영향력/NNG+이/JKS
있으며,	있/VA+으며/EC+,/SP
연간	연간/NNG
4만개의	4/SN+만/NR+개/NNB+의/JKG
민원을	민원/NNG+을/JKO
다루는	다루/VV+는/ETM
기구다	기구/NNG+이/VCP+다/EF

기구의	기구/NNG+의/JKG
의장은	의장/NNG+은/JX
대통령의	대통령/NNG+의/JKG
추천을	추천/NNG+을/JKO
받아	받/VV+아/EC
의회가	의회/NNG+가/JKS
임명하며,	임명하/VV+며/EC+,/SP
재정지원도	재정지원/NNG+도/JX
행정부가	행정부/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
의회의	의회/NNG+의/JKG
의결을	의결/NNG+을/JKO
통해	통하/VV+여/EC
결정되는	결정되/VV+는/ETM
기구로,	기구/NNG+로/JKB+,/SP
기구의	기구/NNG+의/JKG
독립성	독립성/NNG
등은	등/NNB+은/JX
파리원칙에	파리원칙/NNG+에/JKB
준하여	준하/VV+여/EC
운영되고	운영되/VV+고/EC
있다	있/VX+다/EC

시민사회의	시민사회/NNG+의/JKG
참여는	참여/NNG+는/JX
보건,	보건/NNG+,/SP
여성,	여성/NNG+,/SP
장애,	장애/NNG+,/SP
동성애	동성애/NNG
등,	등/NNB+,/SP
각	각/MM
부문의	부문/NNG+의/JKG
자문위원회	자문위원회/NNG
방식으로	방식/NNG+으로/JKB
이루어지고	이루어지/VV+고/EC
있다	있/VX+다/EC

이광원	이광원/NNP
:	:/SP
네펠리씨의	네펠리/NNP+씨/NNB+의/JKG
역할은	역할/NNG+은/JX
무엇인가?네펠리	무엇/NP+이/VCP+ㄴ가/EF+?/SF+네펠리/NNP
:	:/SP
유럽	유럽/NNP
및	및/MAG
국제	국제/NNG
사회의	사회/NNG+의/JKG
이슈를	이슈/NNG+를/JKO
다루는	다루/VV+는/ETM
다양한	다양하/VA+ㄴ/ETM
국제네트워크의	국제네트워크/NNG+의/JKG
회원,	회원/NNG+,/SP
혹은	혹은/MAG
이사회	이사회/NNG
멤버로	멤버/NNG+로/JKB
활동하면서,	활동하/VV+면서/EC+,/SP
프랑스	프랑스/NNP
인권보호기구의	인권보호기구/NNG+의/JKG
자문역을	자문역/NNG+을/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC

이광원	이광원/NNP
:	:/SP
이번	이번/NNG
제8차	제/XPN+8/SN+차/NNB
세션의	세션/NNG+의/JKG
참가	참가/NNG
목적은	목적/NNG+은/JX
무엇인가?	무엇/NP+이/VCP+ㄴ가/EF+?/SF
네펠리	네펠리/NNP
:	:/SP
유엔장애인권리협약은	유엔/NNP+장애인권리협약/NNG+은/JX
우리	우리/NP
기구의	기구/NNG+의/JKG
중요한	중요하/VA+ㄴ/ETM
관심	관심/NNG
분야	분야/NNG
중	중/NNB
하나이기	하나/NNG+이/VCP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
금번	금번/NNG
회의에	회의/NNG+에/JKB
참여하게	참여하/VV+게/EC
됐다	되/VV+었/EP+다/EC

또한,	또한/MAG+,/SP
내일(21일)	내일/NNG+(/SS+21/SN+일/NNB+)/SS
점심시간에는	점심시간/NNG+에/JKB+는/JX
프랑스	프랑스/NNP
국가인권위원회(French	국가인권위원회/NNG+(/SS+French/SL
National	National/SL
Consultative	Consultative/SL
Commission	Commission/SL
on	on/SL
Human	Human/SL
Rights)와	Rights/SL+)/SS+와/JKB
함께	함께/MAG
하는	하/VV+는/ETM
사이드	사이드/NNG
이벤트를	이벤트/NNG+를/JKO
준비하여	준비하/VV+여/EC
최근	최근/NNG
출범한	출범하/VV+ㄴ/ETM
우리	우리/NP
기구(프랑스	기구/NNG+(/SS+프랑스/NNP
인권보호기구)를	인권보호기구/NNG+)/SS+를/JKO
알리고,	알리/VV+고/EC+,/SP
여러	여러/MM
다른	다른/MM
단체들과	단체/NNG+들/XSN+과/JKB
교류하면서	교류하/VV+면서/EC
장애인	장애인/NNG
문제와	문제/NNG+와/JC
유엔장애인권리협약,	유엔/NNP+장애인권리협약/NNG+,/SP
그리고	그리고/MAJ
협약의	협약/NNG+의/JKG
이행	이행/NNG
모니터링에	모니터링/NNG+에/JKB
대해	대하/VV+여/EC
올바른	올바르/VA+ㄴ/ETM
이해를	이해/NNG+를/JKO
갖는	갖/VV+는/ETM
기회로	기회/NNG+로/JKB
삼을	삼/VV+을/ETM
것이다	것/NNB+이/VCP+다/EC

이광원	이광원/NNP
:	:/SP
인터뷰를	인터뷰/NNG+를/JKO
위해	위하/VV+여/EC
귀한	귀하/VA+ㄴ/ETM
시간	시간/NNG
내	내/VV
주셔서	주/VV+시/EP+어서/EC
감사하다	감사하/VV+다/EC

이번	이번/NNG
세션에서	세션/NNG+에서/JKB
목적했던	목적하/VV+였/EP+던/ETM
바를	바/NNB+를/JKO
모두	모두/MAG
잘	잘/MAG
이루시길	이루시/VV+기/ETN+ㄹ/JKO
기원하겠다	기원하/VV+겠/EP+다/EC

네펠리	네펠리/NNP
:	:/SP
우리	우리/NP
기구에	기구/NNG+에/JKB
대해	대하/VV+여/EC
관심	관심/NNG
가져	가지/VV+어/EC
주셔서	주/VX+시/EP+어서/EC
감사하다	감사하/VV+다/EC

우리나라는	우리나라/NNG+는/JX
현재	현재/MAG
파리원칙에	파리원칙/NNG+에/JKB
따라	따르/VV+아/EC
설립된	설립되/VV+ㄴ/ETM
독립기구는	독립기구/NNG+는/JX
국가인권위원회가	국가인권위원회/NNG+가/JKS
유일하다	유일하/VA+다/EC

스페인의	스페인/NNP+의/JKG
경우는	경우/NNG+는/JX
유엔장애인권리협약	유엔/NNP+장애인권리협약/NNG
제33조에	제/XPN+33/SN+조/NNB+에/JKB
따른	따르/VV+ㄴ/ETM
협약	협약/NNG
이행	이행/NNG
모니터링을,	모니터링/NNG+을/JKO+,/SP
파리원칙에	파리원칙/NNG+에/JKB
따라	따르/VV+아/EC
설립된	설립되/VV+ㄴ/ETM
기구인	기구/NNG+이/VCP+ㄴ/ETM
장애인	장애인/NNG
당사자	당사자/NNG
단체의	단체/NNG+의/JKG
연합체가	연합체/NNG+가/JKS
맡고	맡/VV+고/EC
있다	있/VX+다/EC

우리나라는	우리나라/NNG+는/JX
현재	현재/MAG
유엔장애인권리협약	유엔/NNP+장애인권리협약/NNG
제33조에	제/XPN+33/SN+조/NNB+에/JKB
따른	따르/VV+ㄴ/ETM
협약	협약/NNG
이행	이행/NNG
모니터링을,	모니터링/NNG+을/JKO+,/SP
공식적으로	공식적/NNG+으로/JKB
국가인권위원회가	국가인권위원회/NNG+가/JKS
맡고	맡/VV+고/EC
있으며	있/VX+으며/EC
장애인	장애인/NNG
당사자	당사자/NNG
단체들의	단체/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
청취하는	청취하/VV+는/ETM
정도에	정도/NNG+에/JKB
그치고	그치/VV+고/EC
있어서,	있/VX+어서/EC+,/SP
충분치	충분하/VA+지/EC
못하다는	못하/VX+다는/ETM
비판이	비판/NNG+이/JKS
많은	많/VA+은/ETM
상태다	상태/NNG+이/VCP+다/EC

그래서	그래서/MAJ
스페인의	스페인/NNP+의/JKG
협약	협약/NNG
모니터링	모니터링/NNG
모델은,	모델/NNG+은/JX+,/SP
장애인	장애인/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
필자로서	필자/NNG+로서/JKB
매우	매우/MAG
부러운	부럽/VA+ㄴ/ETM
모델이라고	모델/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있겠다	있/VA+겠/EP+다/EC

그런데	그런데/MAJ
프랑스의	프랑스/NNP+의/JKG
경우는,	경우/NNG+는/JX+,/SP
국가인권위원회와	국가인권위원회/NNG+와/JC
별도로	별도/NNG+로/JKB
작년에	작년/NNG+에/JKB
새롭게	새롭/VA+게/EC
파리원칙에	파리원칙/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
기구를	기구/NNG+를/JKO
설립했고,	설립하/VV+였/EP+고/EC+,/SP
거기서	거기/NP+서/JKB
유엔장애인권리협약의	유엔/NNP+장애인권리협약/NNG+의/JKG
모니터링을	모니터링/NNG+을/JKO
담당하고	담당하/VV+고/EC
있다는	있/VX+다는/ETM
새롭고도	새롭/VA+고도/EC
흥미로운	흥미롭/VA+ㄴ/ETM
사실을	사실/NNG+을/JKO
이번	이번/NNG
유엔장애인권리위원회의	유엔/NNP+장애인권리위원회/NNG+의/JKG
심의	심의/NNG
참가를	참가/NNG+를/JKO
통해	통하/VV+여/EC
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있어서,	있/VA+어서/EC+,/SP
매우	매우/MAG
뜻	뜻/NNG
깊은	깊/VA+은/ETM
시간이	시간/NNG+이/JKC
되었다	되/VV+었/EP+다/EC

설명을	설명/NNG+을/JKO
들으니,	듣/VV+으니/EC+,/SP
우리나라의	우리나라/NNG+의/JKG
국민권익위원회의	국민권익위원회/NNG+의/JKG
성격과도	성격/NNG+과/JKB+도/JX
많이	많이/MAG
닮아	닮/VV+아/EC
있다는	있/VX+다는/ETM
느낌이	느낌/NNG+이/JKS
들어서	들어서/VV+어/EC
약간	약간/MAG
우려되는	우려되/VV+는/ETM
부분도	부분/NNG+도/JX
있는	있/VA+는/ETM
것	것/NNB
같지만,	같/VA+지만/EC+,/SP
협약의	협약/NNG+의/JKG
충실한	충실하/VA+ㄴ/ETM
모니터링을	모니터링/NNG+을/JKO
통해서	통하/VV+여서/EC
프랑스	프랑스/NNP
장애인들의	장애인/NNG+들/XSN+의/JKG
인권	인권/NNG
향상에	향상/NNG+에/JKB
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
해줬으면	하/VV+여/EC+주/VX+었/EP+으면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
바람을	바람/NNG+을/JKO
가져보면서	가져보/VV+면서/EC
인터뷰를	인터뷰/NNG+를/JKO
마쳤다	마치/VV+었/EP+다/EF

한편	한편/MAG
이번	이번/NNG
인터뷰에는	인터뷰/NNG+에/JKB+는/JX
한국	한국/NNP
참관단의	참관단/NNG+의/JKG
일원인	일원/NNG+이/VCP+ㄴ/ETM
정봉근(통역),	정봉근/NNP+(/SS+통역/NNG+)/SS+,/SP
윤재영(기록),	윤재영/NNP+(/SS+기록/NNG+)/SS+,/SP
이석구(촬영),	이석구/NNP+(/SS+촬영/NNG+)/SS+,/SP
김재호(섭외)씨가	김재호/NNP+(/SS+섭외/NNG+)/SS+씨/NNB+가/JKS
도움을	도움/NNG+을/JKO
줬다	주/VV+었/EP+다/EC

■필자주:이번	■/SW+필자주/NNG+:/SP+이번/NNG
세션에	세션/NNG+에/JKB
참가한	참가하/VV+ㄴ/ETM
장애인	장애인/NNG
인관	인관/NNG
관련	관련/NNG
국제	국제/NNG
NGO들로는,	NGO/SL+들/XSN+로/JKB+는/JX+,/SP
국제장애인연맹(IDA	국제장애인연맹/NNG+(/SS+IDA/SL
;	;/SP
International	International/SL
Disability	Disability/SL
Alliance)과	Alliance/SL+)/SS+과/JC
국제장애인평의회(DCI	국제장애인평의회/NNG+(/SS+DCI/SL
;	;/SP
Disability	Disability/SL
Council	Council/SL
International)	International/SL+)/SS
등이	등/NNB+이/JKS
있었다	있/VA+었/EP+다/EF

국제장애인연맹(IDA)은	국제장애인연맹/NNG+(/SS+IDA/SL+)/SS+은/JX
유엔장애인권리협약과	유엔/NNP+장애인권리협약/NNG+과/JKB
관련하여	관련하/VV+여/EC
가장	가장/MAG
많은	많/VA+은/ETM
기여를	기여/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
세계적	세계적/NNG
장애인	장애인/NNG
NGO의	NGO/SL+의/JKG
네트워크로,	네트워크/NNG+로/JKB+,/SP
1999년에	1999/SN+년/NNB+에/JKB
설립되었으며,	설립되/VV+었/EP+으며/EC+,/SP
2007년부터	2007/SN+년/NNB+부터/JX
지역	지역/NNG
장애인	장애인/NNG
단체(DPOs)가	단체/NNG+(/SS+DPOs/SL+)/SS+가/JKC
되어	되/VV+어/EC
활동하고	활동하/VV+고/EC
있다	있/VX+다/EC

유엔	유엔/NNP
내에서	내/NNB+에서/JKB
전세계	전/MM+세계/NNG
장애인의	장애인/NNG+의/JKG
권리를	권리/NNG+를/JKO
대변하고,	대변하/VV+고/EC+,/SP
협약이	협약/NNG+이/JKS
효과적으로	효과적/NNG+으로/JKB
준수되도록	준수되/VV+도록/EC
하는	하/VX+는/ETM
것이,	것/NNB+이/JKS+,/SP
이	이/MM
국제장애인연맹(IDA)의	국제장애인연맹/NNG+(/SS+IDA/SL+)/SS+의/JKG
주요	주요/NNG
목적이다	목적/NNG+이/VCP+다/EC

이번	이번/NNG
회의에서	회의/NNG+에서/JKB
국제장애인연맹(IDA)의	국제장애인연맹/NNG+(/SS+IDA/SL+)/SS+의/JKG
신임	신임/NNG
회장인	회장/NNG+이/VCP+ㄴ/ETM
그리스	그리스/NNP
출신의	출신/NNG+의/JKG
시각장애인	시각장애인/NNG
당사자,	당사자/NNG+,/SP
야니스	야니스/NNG
바다카스타니스(Yannis	바다카스타니스/NNG+(/SS+Yannis/SL
Vardakastanis)	Vardakastanis/SL+)/SS
회장과	회장/NNG+과/JKB
만나서,	만나/VV+아서/EC+,/SP
간단한	간단하/VA+ㄴ/ETM
인사를	인사/NNG+를/JKO
나누고	나누/VV+고/EC
기념사진	기념사진/NNG
촬영을	촬영/NNG+을/JKO
할	하/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
있었으며,	있/VA+었/EP+으며/EC+,/SP
실무자로부터	실무자/NNG+로부터/JKB
인터뷰에	인터뷰/NNG+에/JKB
응해주겠다는	응하/VV+여/EC+주/VX+겠/EP+다는/ETM
약속을	약속/NNG+을/JKO
받아내는데	받/VV+아/EC+내/VX+는/ETM+데/NNB
성공했으나,	성공하/VV+였/EP+으나/EC+,/SP
서로	서로/MAG
시간이	시간/NNG+이/JKS
맞지	맞/VV+지/EC
않아	않/VX+아/EC
실제	실제/NNG
인터뷰로	인터뷰/NNG+로/JKB
이어지지는	이어지/VV+지/EC+는/JX
못했다	못하/VX+였/EP+다/EF

또한,	또한/MAG+,/SP
새롭게	새롭/VA+게/EC
설립된	설립되/VV+ㄴ/ETM
다른	다른/MM
국제	국제/NNG
NGO	NGO/SL
조직인	조직/NNG+이/VCP+ㄴ/ETM
국제장애인평의회(DCI	국제장애인평의회/NNG+(/SS+DCI/SL
;	;/SP
Disability	Disability/SL
Council	Council/SL
International)의	International/SL+)/SS+의/JKG
상임이사로	상임이사/NNG+로/JKB
제직	제직/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
안나	안나/NNP
라코스카씨를	라코스카/NNP+씨/NNB+를/JKO
만났고,	만나/VV+았/EP+고/EC+,/SP
실제	실제/NNG
인터뷰까지도	인터뷰/NNG+까지도/JX
마쳤지만,	마치/VV+었/EP+지만/EC+,/SP
나중에	나중/NNG+에/JKB
기사화되는	기사화되/VV+는/ETM
걸	것/NNB+ㄹ/JKO
원치	원하/VV+지/EC
않는다는	않/VX+는다는/ETM
뜻을	뜻/NNG+을/JKO
전해왔기	전하/VV+여/EC+오/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
기사를	기사/NNG+를/JKO
쓸	쓰/VV+ㄹ/ETM
수는	수/NNB+는/JX
없게	없/VA+게/EC
되어	되/VV+어/EC
많은	많/VA+은/ETM
아쉬움이	아쉬움/NNG+이/JKS
남았다	남/VV+았/EP+다/EC

네펠리	네펠리/NNP
고문과	고문/NNG+과/JC
김형식	김형식/NNP
유엔장애인권리위원과의	유엔/NNP+장애인권리위원/NNG+과/JKB+의/JKG
기념사진	기념사진/NNG
촬영	촬영/NNG
장면	장면/NNG

ⓒ이광원	ⓒ/SL+이광/NNG+원/XSN
한국	한국/NNP
참관단과	참관단/NNG+과/JKB
국제장애인연맹(IDA,	국제장애인연맹/NNG+(/SS+IDA/SL+,/SP
검은색	검은색/NNG
안경	안경/NNG
착용)	착용/NNG+)/SS
회장의	회장/NNG+의/JKG
기념	기념/NNG
촬영	촬영/NNG
모습	모습/NNG

ⓒ이광원	ⓒ/SL+이광/NNP+원/XSN
