양양군,	양양군/NNP+,/SP
하는	하/VV+는/ETM
시설로	시설/NNG+로/JKB
보기	보/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
이용객을	이용객/NNG+을/JKO
장애인과	장애인/NNG+과/JC
그	그/MM
가족으로	가족/NNG+으로/JKB
한정했다고	한정하/VV+였/EP+다고/EC
해	하/VV+여/EC
숙박시설이	숙박시설/NNG+이/JKS
아니라고	아니/VCN+라고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
판단에서다	판단/NNG+에서다/JKB

양양군청	양양군청/NNP
한	한/MM
관계자는	관계자/NNG+는/JX
“고심	“/SN+고심/NNG
끝에	끝/NNG+에/JKB
법리적	법리적/NNG
판단을	판단/NNG+을/JKO
받아	받/VV+아/EC
보기	보/VX+기/ETN
위해	위하/VV+여/EC
대법원	대법원/NNG
상고를	상고/NNG+를/JKO
결정하게	결정하/VV+게/EC
됐다”고	되/VV+었/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
서울시는	서울시/NNP+는/JX
‘시간	‘/SN+시간/NNB
끌기’라며	끌/VV+기/ETN+’/SP+이/VCP+라며/EC
양양군을	양양군/NNP+을/JKO
비난했다	비난하/VV+였/EP+다/EF

서울시	서울시/NNP
장애인복지정책과	장애인복지정책/NNG+과/JC
황인식	황인식/NNP
과장은	과장/NNG+은/JX
“1·2심에서	“1/SN+·/SP+2/SN+심/NNG+에서/JKB
승소했기	승소하/VV+였/EP+기/ETN
때문에	때문/NNB+에/JKB
대법원	대법원/NNG
판결은	판결/NNG+은/JX
볼	보/VV+ㄹ/ETM
것도	것/NNB+도/JX
없다”며	없다”/VV+며/EC
“양양군	“/SL+양양군/NNP
내부에서도	내부/NNG+에서/JKB+도/JX
3심에서	3/SN+심/NNG+에서/JKB
이길	이기/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
생각지	생각하/VV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
주장했다	주장하/VV+였/EP+다/EC

이어	이어/MAG
황	황/NNP
과장은	과장/NNG+은/JX
“양양군이	“/SL+양양군/NNP+이/JKS
3심까지	3/SN+심/NNG+까지/JX
가는	가/VV+는/ETM
것은	것/NNB+은/JX
시간을	시간/NNG+을/JKO
끌어	끌/VV+어/EC
국고를	국고/NNG+를/JKO
반납시키려는	반납/NNG+시키/XSV+려는/ETM
것으로	것/NNB+으로/JKB
건립하조대	건립하/VV+조대/EC
희망들	희망/NNG+들/XSN
건립에	건립/NNG+에/JKB
차질을	차질/NNG+을/JKO
주기	주/VV+기/ETN
위한	위하/VV+ㄴ/ETM
행동”아라고	행동”아/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

하조대	하조대/NNP
희망들’	희망/NNG+들/XSN+’/JKV
건립	건립/NNG
사업비는	사업비/NNG+는/JX
총	총/MM
44억원으로	44/SN+억/NR+원/NNB+으로/JKB
이중	이/MM+중/NNB
국고	국고/NNG
예산은	예산/NNG+은/JX
22억이다	22/SN+억/NR+이/VCP+다/EC

국고예산	국고예산/NNG
22억원은	22/SN+억/NR+원/NNB+은/JX
2013년	2013/SN+년/NNB
2월	2/SN+월/NNB
안에	안/NNG+에/JKB
집행해야	집행하/VV+여야/EC
한다	하/VX+ㄴ다/EF
