조기개통	조기개통/NNG
않았다	않/VX+았/EP+다/EF

전철사이와의	전철사이/NNG+와/JKB+의/JKG
간격도	간격/NNG+도/JX
넓어	넓/VA+어/EC
전동휠체어와	전동휠체어/NNG+와/JC
전동스쿠터의	전동스쿠터/NNG+의/JKG
앞바퀴가	앞바퀴/NNG+가/JKS
빠질	빠지/VV+ㄹ/ETM
위험도	위험/NNG+도/JX
있다	있/VA+다/EF

점검	점검/NNG
당시	당시/NNG
전기공사	전기공사/NNG
중이어서	중/NNB+이/VCP+어서/EC
엘리베이터가	엘리베이터/NNG+가/JKS
작동되지	작동되/VV+지/EC
않는	않/VX+는/ETM
상태로	상태/NNG+로/JKB
전철을	전철/NNG+을/JKO
이용하는	이용하/VV+는/ETM
휠체어장애인	휠체어장애인/NNG
등의	등/NNB+의/JKG
불편을	불편/NNG+을/JKO
초래했다	초래하/VV+였/EP+다/EC

더욱이	더욱이/MAG
엘리베이터	엘리베이터/NNG
버튼	버튼/NNG
앞바닥에는	앞바닥/NNG+에/JKB+는/JX
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이	점자블록이/MAG
미설치됐다	미설치되/VV+었/EP+다/EF

승강장	승강장/NNG
엘리베이터	엘리베이터/NNG
앞에	앞/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
음성유도기도	음성유도기/NNP+도/JX
전기공사	전기공사/NNG
관계로	관계/NNG+로/JKB
미	미/NNP
작동	작동/NNG
상태였다	상태/NNG+이/VCP+었/EP+다/EF

승차권	승차권/NNG
발매기	발매기/NNG
앞	앞/NNG
점자블록은	점자/VV+블록/EC+은/JX
양호하게	양호하/VA+게/EC
설치됐다	설치되/VV+었/EP+다/EF

남녀장애인화장실은	남녀장애인화장실/NNG+은/JX
남녀비장애인화장실	남녀비장애인화장실/NNG
입구에	입구/NNG+에/JKB
각각	각각/MAG
설치됐다	설치되/VV+었/EP+다/EF

먼저	먼저/MAG
비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
미설치됐고,	미설치되/VV+었/EP+고/EC+,/SP
입구	입구/NNG
앞바닥에는	앞바닥/NNG+에/JKB+는/JX
점자블록이	점자블록이/MAG
무분별하게	무분별하/VA+게/EC
많이	많이/MAG
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
이동	이동/NNG
불편을	불편/NNG+을/JKO
초래하고	초래하/VV+고/EC
있었다	있/VX+었/EP+다/EF

점자블록은	점자블록/NNG+은/JX
남녀비장애인화장실	남녀비장애인화장실/NNG
입구	입구/NNG
벽면	벽면/NNG
점자표지판	점자표지판/NNG
아래	아래/NNG
바닥에	바닥/NNG+에/JKB
설치하면	설치하/VV+면/EC
된다	되/VV+ㄴ다/EF

장애인화장실의	장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인도	중증장애인/NNG+도/JX
사용하기	사용하/VV+기/ETN
편한	편하/VA+ㄴ/ETM
터치식자동문이다	터치식자동문/NNG+이/VCP+다/EC

그렇지만	그렇지만/MAJ
방문했을	방문하/VV+였/EP+을/ETM
때	때/NNG
남자장애인화장실의	남자장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
버튼이	버튼/NNG+이/JKS
없는	없/VA+는/ETM
상태로,	상태/NNG+로/JKB+,/SP
강제로	강제/NNG+로/JKB
문을	문/NNG+을/JKO
열고	열/VV+고/EC
들어가야	들어가/VV+아야/EC
하는	하/VX+는/ETM
상황이었다	상황/NNG+이/VCP+었/EP+다/EC

내부를	내부/NNG+를/JKO
살펴보면	살펴보/VV+면/EC
세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
공간을	공간/NNG+을/JKO
넓게	넓/VA+게/EC
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상하	상하/NNG
가동식이	가동/NNG+식/XSN+이/JKS
아니라	아니/VCN+라/EC
고정식이며,	고정식/NNG+이/VCP+며/EC+,/SP
아직	아직/MAG
세면대에	세면대/NNG+에/JKB
거울이	거울/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

자동	자동/NNG
물	물/NNG
내림	내리/VV+ㅁ/ETN
장치와	장치/NNG+와/JC
센서는	센서/NNG+는/JX
양호하게	양호하/VA+게/EC
설치된	설치되/VV+ㄴ/ETM
반면	반면/NNG
등받이는	등받이/NNG+는/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
비상호출버튼은	비/XPN+상호출버튼/NNG+은/JX
사용하기	사용하/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
위치해	위치하/VV+여/EC
있었다	있/VX+었/EP+다/EC

이와	이/NP+와/JKB
관련	관련/NNG
별내역	별/MM+내역/NNG
건축현장	건축현장/NNG
관계자는	관계자/NNG+는/JX
“불편한	“/SN+불편하/VA+ㄴ/ETM
점	점/NNG
깊이	깊이/MAG
인식	인식/NNG
한다”면서	하/VV+ㄴ다”면서/EC
“장애인들이	“/SN+장애인/NNG+들/XSN+이/JKS
역사를	역사/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
때	때/NNG
불편함이	불편하/VA+ㅁ/ETN+이/JKS
없도록	없/VA+도록/EC
개선하도록	개선하/VV+도록/EC
하겠다”고	하/VX+겠/EP+다”고/EC
말했다	말하/VV+였/EP+다/EC

경춘선	경춘선/NNP
별내역	별내역/NNG
전경	전경/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
별내역	별/MM+내역/NNG
화장실	화장실/NNG
입구에	입구/NNG+에/JKB
점자블록이	점자블록이/MAG
무분별하게	무분별하/VA+게/EC
설치됐다	설치되/VV+었/EP+다/EF

벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
내부에는	내부/NNG+에/JKB+는/JX
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이가	등받이/NNG+가/JKS
없고,	없/VA+고/EC+,/SP
비상호출번튼이	비/XPN+상호출번튼/NNG+이/JKS
손이	손/NNG+이/JKS
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
곳에	곳/NNG+에/JKB
위치해	위치하/VV+여/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
공간을	공간/NNG+을/JKO
넓게	넓/VA+게/EC
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상하	상하/NNG
가동식이	가동/NNG+식/XSN+이/JKS
아니라	아니/VCN+라/EC
고정식이며,	고정식/NNG+이/VCP+며/EC+,/SP
세면대	세면대/NNG
거울도	거울/NNG+도/JX
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SN+박종태/NNP
1층	1/SN+층/NNG
춘천방향	춘천/NNP+방향/NNG
승강장으로	승강장/NNG+으로/JKB
올라가는	올라가/VV+는/ETM
맞이방	맞이방/NNG
엘리베이터는	엘리베이터/NNG+는/JX
전기	전기/NNG
공사	공사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
관계로	관계/NNG+로/JKB
운행되고	운행되/VV+고/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
승강장	승강장/NNG
엘리베이터	엘리베이터/NNG
바닥에는	바닥/NNG+에/JKB+는/JX
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이	점자블록이/MAG
미설치됐다	미설치되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
승강장과	승강장/NNG+과/JC
전철	전철/NNG
사이의	사이/NNG+의/JKG
간격이	간격/NNG+이/JKS
넓어	넓/VA+어/EC
전동휠체어와	전동휠체어/NNG+와/JC
전동스쿠터의	전동스쿠터/NNG+의/JKG
앞바퀴가	앞바퀴/NNG+가/JKS
빠질	빠지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다	있/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
