시각장애인	시각장애인/NNG
볼라드는	볼라들/VV+는/ETM
보행자의	보행자/NNG+의/JKG
안전하고	안전하/VA+고/EC
편리한	편리하/VA+ㄴ/ETM
통행을	통행/NNG+을/JKO
방해하지	방해하/VV+지/EC
않는	않/VX+는/ETM
범위	범위/NNG
내에서	내/NNB+에서/JKB
설치해야	설치하/VV+여야/EC
한다	하/VX+ㄴ다/EF

설치	설치/NNG
시에는	시/NNB+에/JKB+는/JX
보행자의	보행자/NNG+의/JKG
안전을	안전/NNG+을/JKO
고려해	고려하/VV+여/EC
높이	높이/NNG
80∼100㎝	80/SN+∼/SO+100/SN+㎝/SW
내외,	내외/NNG+,/SP
지름은	지름/NNG+은/JX
10∼20㎝	10/SN+∼/SO+20/SN+㎝/SW
내외,	내외/NNG+,/SP
간격1	간격/NNG+1/SN

5m	5/SN+m/SL
내외로	내외/NNG+로/JKB
하고	하/VV+고/EC
재질도	재질/NNG+도/JX
보행자	보행자/NNG
충격을	충격/NNG+을/JKO
흡수할	흡수하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
재료를	재료/NNG+를/JKO
사용해야	사용하/VV+여야/EC
한다	하/VX+ㄴ다/EF

시각장애인을	시각장애인/NNG+을/JKO
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
점자블록	점자블록/MAG
설치도	설치/NNG+도/JX
문제다	문제/NNG+이/VCP+다/EF

인도의	인도/NNP+의/JKG
점자블록은	점자블록/NNG+은/JX
가로수와	가로수/NNG+와/JC
가깝게	가깝/VA+게/EC
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
시각장애인이	시각장애인/NNG+이/JKS
이동하다	이동하/VV+다/EC
부딪칠	부딪치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

특히	특히/MAG
용두골재	용두골재/NNP
앞	앞/NNG
삼거리	삼거리/NNG
횡단보도	횡단보도/NNG
중	중/NNB
한곳에는	한/MM+곳/NNG+에/JKB+는/JX
신호등	신호등/NNG
지주,	지주/NNG+,/SP
이정표	이정표/NNG
기둥이	기둥/NNG+이/JKS
점자블록	점자블록/MAG
안에	안/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
시각장애인이	시각장애인/NNG+이/JKS
부딪치는	부딪치/VV+는/ETM
등	등/NNB
안전사고가	안전사고/NNG+가/JKS
우려됐다	우려되/VV+었/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
문제에	문제/NNG+에/JKB
대해	대하/VV+여/EC
한국시각장애인연합회	한국/NNP+시각장애인연합/NNG+회/XSN
남양주지회는	남양/NNP+주지회/NNG+는/JX
공사가	공사/NNG+가/JKS
완료된	완료되/VV+ㄴ/ETM
뒤	뒤/NNG
남양주시에	남양주시/NNP+에/JKB
민원을	민원/NNG+을/JKO
제기,	제기/NNG+,/SP
시정을	시정/NNG+을/JKO
요구한	요구하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

남양주시	남양주시/NNP
담당자는	담당자/NNG+는/JX
“충격	“/SN+충격/NNG
완화	완화/NNG
등	등/NNB
법규에서	법규/NNG+에서/JKB
정한	정하/VV+ㄴ/ETM
규격에	규격/NNG+에/JKB
맞는	맞/VV+는/ETM
제품의	제품/NNG+의/JKG
볼라드로	볼라드/NNG+로/JKB
교체할	교체하/VV+ㄹ/ETM
것”이라면서	것/NNB+”/SL+이/VCP+라면서/EC
“점자블록	“/SL+점자/VV+블록/EC
설치와	설치/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
문제도	문제/NNG+도/JX
확인해	확인하/VV+여/EC
조치를	조치/NNG+를/JKO
취하겠다”고	취하/VV+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

용두골재	용두골재/NNP
앞	앞/NNG
삼거리	삼거리/NNG
횡단보도	횡단보도/NNG
중	중/NNB
한곳에는	한/MM+곳/NNG+에/JKB+는/JX
신호등	신호등/NNG
지주,	지주/NNG+,/SP
이정표	이정표/NNG
기둥이	기둥/NNG+이/JKS
점자블록	점자블록/MAG
안에	안/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
시각장애인이	시각장애인/NNG+이/JKS
부딪치는	부딪치/VV+는/ETM
등	등/NNB
안전사고가	안전사고/NNG+가/JKS
우려됐다	우려되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
횡단보도가	횡단보도/NNG+가/JKS
있는	있/VA+는/ETM
인도에	인도/NNP+에/JKB
규격	규격/NNG
외	외/NNB
제품인	제품/NNG+이/VCP+ㄴ/ETM
볼라드가	볼라드/NNG+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
퇴계원사거리	퇴계원사거리/NNG
부근	부근/NNG
인도에	인도/NNP+에/JKB
점자블록이	점자블록이/MAG
가로수에	가로수/NNG+에/JKB
가까이	가까이/MAG
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
시각장애인이	시각장애인/NNG+이/JKS
부디칠	부디치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다	있/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
