안양시·만안경찰서,	안양시/NNP+·/SP+만안경찰서/NNG+,/SP
설치돼	설치되/VV+어/EC
있다”며	있/VX+다/EF+”/SN+며/EC
“교통심의위원회를	“/SL+교통심의위원회/NNG+를/JKO
열어	열/VV+어/EC
육교	육교/NNG
철거	철거/NNG
결정을	결정/NNG+을/JKO
심도	심도/NNG
있게	있/VA+게/EC
논의할	논의하/VV+ㄹ/ETM
계획에	계획/NNG+에/JKB
있다”고	있/VA+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
안양시	안양시/NNP
일부	일부/NNG
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
“타	“/SN+타/NNB
지자체는	지자체/NNG+는/JX
교통약자	교통약자/NNG
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
육교를	육교/NNG+를/JKO
철거하고	철거하/VV+고/EC
횡단보도	횡단보도/NNG
설치를	설치/NNG+를/JKO
추진하고	추진하/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
안양시의	안양시/NNP+의/JKG
철거계획에	철거계획/NNG+에/JKB
찬성했다	찬성하/VV+였/EP+다/EF

이어	이어/MAG
“만안경찰서는	“/SN+만/NR+안/NNB+경찰서/NNG+는/JX
교통약자	교통약자/NNG
불편을	불편/NNG+을/JKO
외면하고	외면하/VV+고/EC
거꾸로	거꾸로/MAG
가는	가/VV+는/ETM
행정을	행정/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“횡단보도	“/SN+횡단보/NNG+도/JX
설치	설치/NNG
후	후/NNG
가드레일	가드레일/NNG
설치	설치/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
교통사고를	교통사고/NNG+를/JKO
막을수	막/VV+을/ETM+수/NNB
있는	있/VA+는/ETM
방법을	방법/NNG+을/JKO
강구하면	강구하/VV+면/EC
충분	충분/NNG
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
