장애여성	장애여성/NNG
개봉한	개봉하/VV+ㄴ/ETM
문제작	문제작/NNG
‘섹스	‘섹스/NNG
볼란티어’로	볼란티어/NNG+’/SL+로/JKB
알려진	알려지/VV+ㄴ/ETM
‘섹스자원봉사’	‘/SL+섹스자원봉/NNG+사/XSN+’/SN

스스로	스스로/MAG
성욕을	성욕/NNG+을/JKO
해결할	해결하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
일부	일부/NNG
중증장애인에게	중증장애인/NNG+에게/JKB
성욕해소를	성욕해소/NNP+를/JKO
무료로	무료/NNG+로/JKB
지원해	지원하/VV+여/EC
준다는,	주/VX+ㄴ다는/ETM+,/SP
지극히	지극히/MAG
마이너적인	마이너/NNG+적/XSN+이/VCP+ㄴ/ETM
단어임에도	단어임/NNG+에/JKB+도/JX
2005년	2005/SN+년/NNB
키워드	키워드/NNG
6위,	6/SN+위/NNB+,/SP
영화가	영화/NNG+가/JKS
개봉되던	개봉되/VV+던/ETM
2010년	2010/SN+년/NNB
10위권	10/SN+위/NNB+권/XSN
내를	내/NNB+를/JKO
차지한	차지하/VV+ㄴ/ETM
만큼	만큼/NNB
논란은	논란/NNG+은/JX
뜨거웠다	뜨겁/VA+었/EP+다/EC

'섹스자원봉사'란	'/SS+섹스자원봉사/NNG+'/SS+이/VCP+란/ETM
말은	말/NNG+은/JX
2005년	2005/SN+년/NNB
일본의	일본/NNP+의/JKG
가와이	가와이/NNP
가오이가	가오이/NNG+가/JKS
쓴	쓰/VV+ㄴ/ETM
'섹스	'/SS+섹스/NNG
자원봉사'라는	자원봉사/NNG+'/SS+이/VCP+라는/ETM
책이	책/NNG+이/JKS
번역	번역/NNG
소개되면서	소개되/VV+면서/EC
처음	처음/NNG
언급된	언급되/VV+ㄴ/ETM
단어다	단어/NNG+이/VCP+다/EF

이후	이후/NNG
'섹스	'/SS+섹스/NNG
자원봉사자'란	자원봉사자/NNG+'/SS+이/VCP+란/ETM
말은	말/NNG+은/JX
‘섹스	‘/SL+섹스/NNG
도우미’,	도우미/NNG+’/SL+,/SP
‘성	‘/SL+성/XSN
도우미’	도우미/NNG+’/SL
란	란/NNG
단어로	단어/NNG+로/JKB
쓰여지고	쓰열/VV+지/VX+고/EC
있다	있/VX+다/EC

파격적인	파격적/NNG+이/VCP+ㄴ/ETM
소재로	소재/NNG+로/JKB
영화가	영화/NNG+가/JKS
개봉되자,	개봉되/VV+자/EC+,/SP
동요된건	동요되/VA+ㄴ건/EC
장애인	장애인/NNG
뿐만이	뿐/NNB+만/JX+이/JKC
아니었다	아니/VCN+었/EP+다/EF

인터넷으로	인터넷/NNG+으로/JKB
무료개봉한	무료/NNG+개봉하/VV+ㄴ/ETM
지	지/NNB
4주	4/SN+주/NNB
만에	만/NNB+에/JKB
42만명이	42/SN+만/NR+명/NNB+이/JKS
관람했을	관람하/VV+였/EP+을/ETM
정도로	정도/NNG+로/JKB
일반	일반/NNG
대중들의	대중/NNG+들/XSN+의/JKG
반응도	반응/NNG+도/JX
뜨거웠다	뜨겁/VA+었/EP+다/EC

지난해	지난해/NNG
아이폰	아이폰/NNG
어플리케이션을	어플리케이션/NNG+을/JKO
공개한지	공개하/VV+ㄴ/ETM+지/NNB
3일	3/SN+일/NNB
만에	만/NNB+에/JKB
서버	서버/NNG
폭주로	폭주/NNG+로/JKB
서비스를	서비스/NNG+를/JKO
일시	일시/NNG
중단하기도	중단하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

‘성	‘/SN+성/NNG
도우미’란	도우미/NNG+’/SN+란/JX
다소	다소/MAG
파격적인	파격적/NNG+이/VCP+ㄴ/ETM
소재	소재/NNG

여론은	여론/NNG+은/JX
‘장애인	‘/SL+장애인/NNG
성문제의	성문제/NNG+의/JKG
대안이냐,	대안/NNG+이/VCP+냐/EC+,/SP
아니냐’,	아니/VCN+냐/EC+’/SL+,/SP
‘성매매가	‘/SL+성매매/NNG+가/JKS
맞다,	맞/VV+다/EC+,/SP
아니다’라는	아니/VCN+다/EC+’/SL+라는/ETM
뜨거웠지만,	뜨겁/VA+었/EP+지만/EC+,/SP
장애인들이	장애인/NNG+들/XSN+이/JKS
영화를	영화/NNG+를/JKO
통해	통하/VV+여/EC
외치고	외치/VV+고/EC
싶던	싶/VX+던/ETM
숨겨진	숨기/VV+어/EC+지/VX+ㄴ/ETM
1cm는	1/SN+cm/SL+는/JX
따로	따로/MAG
있었다	있/VA+었/EP+다/EF

“장애인도,	“/SL+장애인/NNG+도/JX+,/SP
‘성적욕구’	‘/SL+성적욕구/NNG+’/SL
가지고	가지/VV+고/EC
있다!!”하지만	있/VX+다/EF+!!/SF+”/SL+하/VV+지만/EC
장애인의	장애인/NNG+의/JKG
성을	성/NNG+을/JKO
바라보는	바라보/VV+는/ETM
대중의	대중/NNG+의/JKG
의식은	의식/NNG+은/JX
군사독재시절을	군사독재시절/NNG+을/JKO
보는	보/VV+는/ETM
듯	듯/NNB
하다	하/VV+다/EC

먹고	먹/VV+고/EC
자는	자/VV+는/ETM
것과	것/NNB+과/JKB
같이	같이/MAG
섹스도	섹스/NNG+도/JX
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
욕구임에도,	욕구/NNG+이/VCP+ㅁ에도/EC+,/SP
장애인의	장애인/NNG+의/JKG
경우	경우/NNG
세상에	세상/NNG+에/JKB
끄집어내서는	끄집어내/VV+어서/EC+는/JX
안	안/MAG
되는	되/VV+는/ETM
남사스러운(?)	남사스럽/VA+ㄴ/ETM+(/SS+?/SF+)/SS
문제로	문제/NNG+로/JKB
이차적인	이차적/NNG+이/VCP+ㄴ/ETM
문제로	문제/NNG+로/JKB
치부되고	치부되/VV+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
사실이다	사실/NNG+이/VCP+다/EC

심지어	심지어/MAG
남성도	남성/NNG+도/JX
여성도	여성/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
무성적인	무성적/NNG+이/VCP+ㄴ/ETM
존재로	존재/NNG+로/JKB
여겨지며,	여기/VV+어/EC+지/VX+며/EC+,/SP
현실	현실/NNG
속	속/NNG
자연스레	자연스레/MAG
장애인들의	장애인/NNG+들/XSN+의/JKG
성적	성적/NNG
권리는	권리/NNG+는/JX
사회의	사회/NNG+의/JKG
무관심과	무관심/NNG+과/JC
편견에	편견/NNG+에/JKB
가리워진	가리워지/VV+ㄴ/ETM
채	채/NNB
성폭행의	성폭행/NNG+의/JKG
대상이나	대상/NNG+이나/JC
노리개	노리개/NNG
감으로	감/NNG+으로/JKB
행해지기도	행하/VV+여/EC+지/VX+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

‘장애인	‘/SL+장애인/NNG
여중생	여중생/NNG
성폭행’,	성폭행/NNG+’/SL+,/SP
‘아버지가	‘/SN+아버지/NNG+가/JKS
장애인	장애인/NNG
딸에게	딸/NNG+에게/JKB
짐승	짐승/NNG
짓’…外	짓’/NNG+…/SE+外/SL
올해	올해/NNG
에이블뉴스	에이블뉴스/NNP
기사	기사/NNG
제목으로만	제목/NNG+으로/JKB+만/JX
‘성폭행’을	‘/SL+성폭행/NNG+’/SL+을/JKO
검색해봐도,	검색하/VV+여/EC+보/VX+아도/EC+,/SP
60개가	60/SN+개/NNB+가/JKS
훌쩍	훌쩍/MAG
넘을	넘/VV+을/ETM
정도다	정돌/VV+다/EF

“친구들은	“/SL+친구/NNG+들/XSN+은/JX
이성을	이성/NNG+을/JKO
만나고	만나/VV+고/EC
결혼을	결혼/NNG+을/JKO
한다고	하/VV+ㄴ다고/EC
하는데	하/VV+는데/EC
저에게는	저/NP+에게/JKB+는/JX
그저	그저/MAG
부러울	부럽/VA+ㄹ/ETM
뿐입니다	뿐/NNB+이/VCP+ㅂ니다/EF

저도	저/NP+도/JX
이성을	이성/NNG+을/JKO
사귀고	사귀/VV+고/EC
싶고	싶/VX+고/EC
사랑도	사랑/NNG+도/JX
하고	하/VV+고/EC
싶고	싶/VX+고/EC
섹스도	섹스/NNG+도/JX
즐기고	즐기/VV+고/EC
싶은데	싶/VX+은데/EC

”(지체장애인	”/SL+(/SS+지체장애/NNG+이/VCP+ㄴ/ETM
A씨)장애인도	A/SL+씨/NNB+)/SS+장애인/NNG+도/JX
똑같이	똑같이/MAG
사랑을	사랑/NNG+을/JKO
하고	하/VV+고/EC
싶고,	싶/VX+고/EC+,/SP
성적욕구도	성적욕구/NNG+도/JX
가지고	가지/VV+고/EC
있다	있/VX+다/EC

이런	이런/MM
가운데	가운데/NNG
어둠속에	어둠속/NNG+에/JKB
숨겨진	숨기/VV+어/EC+지/VX+ㄴ/ETM
자신의	자신/NNG+의/JKG
욕구를	욕구/NNG+를/JKO
드러내기	드러내/VV+기/ETN
위한	위하/VV+ㄴ/ETM
한	한/MM
중증장애인의	중증장애인/NNG+의/JKG
시도도	시도/NNG+도/JX
있었다	있/VA+었/EP+다/EF

2004년	2004/SN+년/NNB
에이블뉴스	에이블뉴스/NNP
박지주	박지주/NNP
칼럼니스트로부터	칼럼니스트/NNG+로부터/JKB
첫	첫/MM
공개되며	공개/NNG+되/XSV+며/EC
그해	그해/NNG
키워드	키워드/NNG
10위권	10/SN+위/NNB+권/XSN
순위를	순위/NNG+를/JKO
장식한	장식하/VV+ㄴ/ETM
중증장애인	중증장애인/NNG
故	故/SL
이선희씨의	이선희/NNP+씨/NNB+의/JKG
누드사진이	누드사진/NNG+이/JKS
그	그/MM
것이다	것/NNB+이/VCP+다/EC

현실의	현실/NNG+의/JKG
벽에	벽/NNG+에/JKB
용기	용기/NNG
낸	내/VV+ㄴ/ETM
중증장애여성무성(無性)으로	중증장애여성무성/NNG+(/SS+無性/SL+)/SS+으로/JKB
투영당하는	투영/NNG+당하/XSV+는/ETM
성적	성적/NNG
소외감을	소외감/NNG+을/JKO
느끼는	느끼/VV+는/ETM
현실의	현실/NNG+의/JKG
벽을	벽/NNG+을/JKO
벗어던지듯,	벗어던지/VV+듯/EC+,/SP
중증여성장애인인	중증여성장애인/NNG+이/VCP+ㄴ/ETM
선희씨는	선희/NNP+씨/NNB+는/JX
용감하게	용감하/VA+게/EC
알몸으로	알몸/NNG+으로/JKB
카메라	카메라/NNG
앞에	앞/NNG+에/JKB
섰다	서/VV+었/EP+다/EC

누드라는	누드/NNG+이/VCP+라는/ETM
자극적	자극적/NNG
소재에,	소재/NNG+에/JKB+,/SP
휠체어를	휠체어/NNG+를/JKO
사용하는	사용하/VV+는/ETM
중증장애인이	중증장애인/NNG+이/JKS
촬영했다는	촬영하/VV+였/EP+다는/ETM
의외성이	의외/NNG+성/XSN+이/JKS
대중의	대중/NNG+의/JKG
호기심을	호기심/NNG+을/JKO
증폭시켰지만,	증폭/NNG+시키/XSV+었/EP+지만/EC+,/SP
일각에서는	일각/NNG+에서/JKB+는/JX
‘상업적	‘/SL+상업적/NNG
목적이냐’라는	목적/NNG+이/VCP+냐/EC+’/SL+이/VCP+라는/ETM
비난의	비난/NNG+의/JKG
목소리도	목소리/NNG+도/JX
적지	적/VA+지/EC
않았다	않/VX+았/EP+다/EF

그런	그런/MM
격양된	격양되/VV+ㄴ/ETM
여론속에서도	여론속/NNG+에서/JKB+도/JX
상당수는	상당수/NNG+는/JX
장애인	장애인/NNG
누드	누드/NNG
사진을	사진/NNG+을/JKO
보면서	보/VV+면서/EC
장애인도	장애인/NNG+도/JX
성욕을	성욕/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
한	한/MM
인간이라는	인간/NNG+이/VCP+라는/ETM
원초적인	원초적/NNG+이/VCP+ㄴ/ETM
사실을	사실/NNG+을/JKO
새삼스럽게	새삼스럽/VA+게/EC
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
화두였다	화두/NNG+이/VCP+었/EP+다/EF

장애인푸른아우성	장애인푸른아우성/NNP
조윤숙	조윤숙/NNP
대표는	대표/NNG+는/JX
"누드사진이	"/SS+누들/VA+사진/NNG+이/JKS
성적인	성적/NNG+이/VCP+ㄴ/ETM
욕구와	욕구/NNG+와/JC
연결고리가	연결고리/NNG+가/JKS
미비했던	미비하/VA+였/EP+던/ETM
것	것/NNB
같다	같/VA+다/EC

단순히	단순히/MAG
개인차원에서	개인차원/NNG+에서/JKB
드러내는	드러내/VV+는/ETM
정도였지,	정도/NNG+이/VCP+었/EP+지/EC+,/SP
장애인	장애인/NNG
전체의	전체/NNG+의/JKG
성적욕구를	성적욕구/NNG+를/JKO
대변하는	대변하/VV+는/ETM
아이콘이	아이콘/NNG+이/JKC
되지	되/VV+지/EC
못한게	못하/VX+ㄴ게/EC
아쉬웠다"면서도	아쉽/VA+었/EP+다/EF+"/SS+면서/EC+도/JX
"상당한	"/SS+상당하/VA+ㄴ/ETM
용기를	용기/NNG+를/JKO
내서	내/VV+어서/EC
누드사진을	누드사진/NNG+을/JKO
통해	통하/VV+여/EC
자신의	자신/NNG+의/JKG
욕구를	욕구/NNG+를/JKO
드러내고자	드러내/VV+고자/EC
했던	하/VX+였/EP+던/ETM
것	것/NNB
자체는	자체/NNG+는/JX
높이	높이/MAG
평가할	평가하/VV+ㄹ/ETM
만하다	만하/VX+다/EC

사회에	사회/NNG+에/JKB
장애인	장애인/NNG
누드라는	누드/NP+이/VCP+라는/ETM
화두를	화두/NNG+를/JKO
던졌다는	던지/VV+었/EP+다는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
한	한/MM
획을	획/NNG+을/JKO
그은	긋/VV+ㄴ/ETM
것은	것/NNB+은/JX
분명하다"고	분명하/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
조	조/NNP
대표는	대표/NNG+는/JX
"어려서부터	"/SS+어리/VA+어서/EC+부터/JX
장애인을	장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
상담과	상담/NNG+과/JC
교육은	교육/NNG+은/JX
국가가	국가/NNG+가/JKS
해줘야	하/VV+여/EC+주/VX+어야/EC
할	하/VX+ㄹ/ETM
공적	공적/NNG
부분이고,	부분/NNG+이/VCP+고/EC+,/SP
성인이	성인/NNG+이/JKC
되서는	되/VV+서/EC+는/JX
개인적으로	개인적/NNG+으로/JKB
만들어가야	만들/VV+어/EC+가/VX+아야/EC
할	하/VX+ㄹ/ETM
부분이	부분/NNG+이/JKS
따로	따로/MAG
있다	있/VA+다/EC

한때	한때/NNG
가십거리에	가십/NNG+거리/NNB+에/JKB
지나지	지나/VV+지/EC
않더라도	않/VX+더라도/EC
자신의	자신/NNG+의/JKG
권리와	권리/NNG+와/JC
정체성을	정체성/NNG+을/JKO
세상에	세상/NNG+에/JKB
드러낼	드러내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
용기가	용기/NNG+가/JKS
필요하다"며	필요하/VA+다/EF+"/SS+며/EC
"감수성을	"/SS+감수성/NNG+을/JKO
드러낼	드러내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
운동,	운동/NNG+,/SP
꾸준한	꾸준하/VA+ㄴ/ETM
스터디와	스터디/NNG+와/JC
교육을	교육/NNG+을/JKO
통해	통하/VV+여/EC
'장애인도	'/SS+장애인/NNG+도/JX
성적욕구를	성적욕구/NNG+를/JKO
가지고	가지/VV+고/EC
있구나'라는	있/VX+구나/EF+'/SS+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
세상에	세상/NNG+에/JKB
알려야	알리/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

“장애여성	“/SN+장애여성/NNG
이전에	이전/NNG+에/JKB
성적욕망을	성적욕망/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
여자”라는	여자”/NNG+이/VCP+라는/ETM
그녀의	그녀/NP+의/JKG
작은	작/VA+은/ETM
외침과	외침/NNG+과/JC
성	성/NNG
봉사를	봉사/NNG+를/JKO
통해서라도	통하/VV+여서/EC+라도/JX
해결하고	해결하/VV+고/EC
싶은	싶/VX+은/ETM
그들의	그/NP+들/XSN+의/JKG
성적	성적/NNG
욕구	욕구/NNG

언제든	언제/NP+든/JX
또	또/MAG
'性'을	'/SS+性/SL+'/SS+을/JKO
들고	들/VV+고/EC
나타날	나타나/VV+ㄹ/ETM
제2의,제3의	제/XPN+2/SN+의/JKG+,/SP+제/XPN+3/SN+의/JKG
이선희를	이선희/NNP+를/JKO
우리는	우리/NP+는/JX
기다린다	기다리/VV+ㄴ다/EF

이들이	이/NP+들/XSN+이/JKS
던지는	던지/VV+는/ETM
‘은밀한’	‘/SL+은밀하/VA+ㄴ/ETM+’/SL
메시지를	메시지/NNG+를/JKO
즐겁게	즐겁/VA+게/EC
받아들일	받아들이/VV+ㄹ/ETM
대중의	대중/NNG+의/JKG
인식	인식/NNG
또한	또한/MAG
기다리고	기다리/VV+고/EC
있다	있/VX+다/EC
