美	美/SL
엄청난	엄청나/VA+ㄴ/ETM
벌금을	벌금/NNG+을/JKO
물게	물/VV+게/EC
되는	되/VV+는/ETM
데	데/NNB
주유소	주유소/NNG
같은	같/VA+은/ETM
경우에는	경우/NNG+에/JKB+는/JX
거의	거의/MAG
대부분의	대부분/NNG+의/JKG
업소가	업소/NNG+가/JKS
새로운	새롭/VA+ㄴ/ETM
장애	장애/NNG
주유소	주유소/NNG
법을	법/NNG+을/JKO
어기고	어기/VV+고/EC
있는	있/VX+는/ETM
실정이어서	실정/NNG+이/VCP+어서/EC
대량	대량/NNG
고소가	고소/NNG+가/JKS
이어질	이어지/VV+ㄹ/ETM
요소를	요소/NNG+를/JKO
가지고	가지/VV+고/EC
있다	있/VX+다/EC

방송에서도	방송/NNG+에서/JKB+도/JX
공공연히	공공연히/MAG
말하고	말하/VV+고/EC
있다	있/VX+다/EC

앞으로	앞/NNG+으로/JKB
시정하지	시정하/VV+지/EC
않으면	않/VX+으면/EC
대량	대량/NNG
고소	고소/NNG
사태가	사태/NNG+가/JKS
일어날	일어나/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC

한편	한편/MAG
시설이	시설/NNG+이/JKS
제대로	제대로/MAG
갖추어져	갖추/VV+어/EC+지/VX+어/EC
있지	있/VX+지/EC
않으면	않/VX+으면/EC
직원이	직원/NNG+이/JKS
반드시	반드시/MAG
두명	두/MM+명/NNB
이상	이상/NNG
지키고	지키/VV+고/EC
있다가	있/VX+다가/EC
장애인이	장애인/NNG+이/JKS
올	오/VV+ㄹ/ETM
경우	경우/NNG
한	한/MM
사람은	사람/NNG+은/JX
나가서	나가/VV+아서/EC
대신	대신/NNG
주유를	주유/NNG+를/JKO
하게하고	하/VV+게/EC+하/VX+고/EC
있다	있/VX+다/EC

그러나	그러나/MAJ
미국	미국/NNP
처럼	처럼/JKB
인건비가	인건비/NNG+가/JKS
비싼	비싸/VA+ㄴ/ETM
나라에서	나라/NNG+에서/JKB
한명의	한/MM+명/NNB+의/JKG
직원을	직원/NNG+을/JKO
더	더/MAG
쓰는	쓰/VV+는/ETM
것은	것/NNB+은/JX
장기적으로	장기적/NNG+으로/JKB
생각하면	생각하/VV+면/EC
차라리	차라리/MAG
시설	시설/NNG
보수하는	보수하/VV+는/ETM
것보다	것/NNB+보다/JKB
더	더/MAG
힘들어	힘들/VA+어/EC
업주들이	업주/NNG+들/XSN+이/JKS
어려움을	어려움/NNG+을/JKO
호소했다	호소하/VV+었/EP+다/EC

그러나	그러나/MAJ
법을	법/NNG+을/JKO
지켜나가려는	지키/VV+어/EC+나가/VX+려는/ETM
정부의	정부/NNG+의/JKG
의지가	의지/NNG+가/JKS
굳고	굳/VA+고/EC
장애인들도	장애인/NNG+들/XSN+도/JX
더	더/MAG
이상	이상/NNG
주유	주유/NNG
문제로	문제/NNG+로/JKB
불이익을	불이익/NNG+을/JKO
받아서는	받/VV+아서/EC+는/JX
안된다고	안되/VV+ㄴ다고/EC
목소리를	목소리/NNG+를/JKO
높이고	높이/VV+고/EC
있다	있/VX+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
