불황에	불황/NNG+에/JKB
모금액(현금+현물)만	모금액/NNG+(/SS+현금/NNG++/SW+현물/NNG+)/SS+만/JX
보더라도	보/VV+더라도/EC
올해는	올해/NNG+는/JX
3억	3/SN+억/NR
7천만	7/SN+천만/NR
원으로	원/NNB+으로/JKB
지난해(7억	지난해/NNG+(/SS+7/SN+억/NR
8천만	8/SN+천만/NR
원)의	원/NNB+)/SS+의/JKG
절반에도	절반/NNG+에/JKB+도/JX
못	못/MAG
미쳤다	미치/VV+었/EP+다/EC

경남지역	경남/NNP+지역/NNG
아동복지시설	아동복지시설/NNG
등을	등/NNB+을/JKO
후원하는	후원하/VV+는/ETM
생명나눔재단도	생명나눔재단/NNG+도/JX
올해	올해/NNG
10월	10/SN+월/NNB
말까지	말/NNB+까지/JX
들어온	들어오/VV+ㄴ/ETM
후원금은	후원금/NNG+은/JX
2억	2/SN+억/NR
1천만	1/SN+천만/NR
원에	원/NNB+에/JKB
그쳐	그치/VV+어/EC
지난해(3억	지난해/NNG+(/SS+3/SN+억/NR
5천만	5/SN+천만/NR
원)만큼	원/NNB+)/SS+만큼/JX
후원금을	후원금/NNG+을/JKO
모을	모으/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
장담하기	장담하/VV+기/ETN
어렵다	어렵/VA+다/EC

재단의	재단/NNG+의/JKG
정기	정기/NNG
회원으로	회원/NNG+으로/JKB
등록했다가	등록하/VV+였/EP+다가/EC
탈퇴하는	탈퇴하/VV+는/ETM
사람들	사람/NNG+들/XSN
대부분은	대부분/NNG+은/JX
'형편이	'/SS+형편/NNG+이/JKS
어렵다'는	어렵/VA+다/EF+'/SS+는/JX
이유를	이유/NNG+를/JKO
든	들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

이와	이/NP+와/JKB
더불어	더불/VV+어/EC
개인	개인/NNG
또는	또는/MAG
기업이	기업/NNG+이/JKS
일선	일선/NNG
복지시설에	복지시설/NNG+에/JKB
직접	직접/MAG
내는	내/VV+는/ETM
후원금도	후원금/NNG+도/JX
줄어	줄/VV+어/EC
곳곳에서	곳곳/NNG+에서/JKB
어려움을	어려움/NNG+을/JKO
호소하고	호소하/VV+고/EC
있다	있/VX+다/EC

창원시의	창원시/NNP+의/JKG
A	A/SL
아동복지시설은	아동복지시설/NNG+은/JX
후원금	후원금/NNG
감소로	감소/NNG+로/JKB
운영에	운영/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다고	있/VX+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

만	만/MM
0세에서	0/SN+세/NNB+에서/JKB
18세까지	18/SN+세/NNB+까지/JX
50여	50/SN+여/XSN
명을	명/NNB+을/JKO
돌보는	돌보/VV+는/ETM
이	이/MM
시설은	시설/NNG+은/JX
매달	매달/MAG
창원시에서	창원시/NNP+에서/JKB
지원받는	지원/NNG+받/VV+는/ETM
돈으로는	돈/NNG+으로/JKB+는/JX
매끼	매끼/NNG
식사	식사/NNG
등	등/NNB
기본	기본/NNG
혜택만	혜택/NNG+만/JX
줄	주/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
형편이어서	형편/NNG+이/VCP+어서/EC
개인이나	개인/NNG+이나/JC
기업의	기업/NNG+의/JKG
후원으로	후원/NNG+으로/JKB
난방비	난방/NNG+비/XSN
등	등/NNB
부족한	부족하/VA+ㄴ/ETM
부분을	부분/NNG+을/JKO
충당해왔다	충당하/VV+여/EC+오/VX+았/EP+다/EF

그러나	그러나/MAJ
최근	최근/NNG
불황으로	불황/NNG+으로/JKB
개인과	개인/NNG+과/JC
기업의	기업/NNG+의/JKG
후원금은	후원금/NNG+은/JX
물론이고	물론/MAG+이/VCP+고/EC
과자,	과자/NNG+,/SP
과일	과일/NNG
등	등/NNB
물품	물품/NNG
후원도	후원/NNG+도/JX
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
줄었다	줄/VV+었/EP+다/EC

교사	교사/NNG
윤모(30·여)씨는	윤/NNP+모/NP+(/SS+30/SN+·/SP+여/NNG+)/SS+씨/NNB+는/JX
14일	14/SN+일/NNB
"한창	"/SS+한창/MAG
자라나는	자라나/VV+는/ETM
아이들에게	아이/NNG+들/XSN+에게/JKB
간식	간식/NNG
제공이	제공/NNG+이/JKS
중요한데	중요하/VA+ㄴ데/EC
이마저도	이/NP+마저도/JX
쉽지	쉽/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
어려움을	어려움/NNG+을/JKO
토로했다	토로하/VV+였/EP+다/EF

다른	다른/MM
시설도	시설/NNG+도/JX
사정은	사정/NNG+은/JX
비슷하다	비슷하/VA+다/EC

창원시내	창원/NNP+시내/NNG
저소득층	저소득층/NNG
등	등/NNB
650여	650/SN+여/XSN
명에게	명/NNB+에게/JKB
생필품을	생필품/NNG+을/JKO
싼	싸/VV+ㄴ/ETM
가격에	가격/NNG+에/JKB
파는	팔/VV+는/ETM
사회복지시설	사회복지시설/NNG
'창원시	'/SS+창원시/NNP
희망푸드마켓'에도	희망푸드마켓/NNG+'/SS+에/JKB+도/JX
후원이	후원/NNG+이/JKS
부쩍	부쩍/MAG
줄었다	줄/VV+었/EP+다/EC

푸드마켓	푸드마켓/NNG
설립	설립/NNG
초기인	초기/NNG+이/VCP+ㄴ/ETM
2010년에는	2010/SN+년/NNB+에/JKB+는/JX
6천여만	6/SN+천/NR+여/XSN+만/NR
원의	원/NNB+의/JKG
후원금이	후원금/NNG+이/JKS
들어왔으나	들어오/VV+았/EP+으나/EC
현재는	현재/NNG+는/JX
당시의	당시/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
2	2/SN
정도로	정도/NNG+로/JKB
줄었다	줄/VV+었/EP+다/EC

개인과	개인/NNG+과/JC
기업의	기업/NNG+의/JKG
후원물품까지	후원물품/NNG+까지/JX
많이	많이/MAG
감소한	감소하/VV+ㄴ/ETM
상태라	상태/NNG+이/VCP+라/EC
수혜자들에게	수혜자/NNG+들/XSN+에게/JKB
돌아갈	돌아가/VV+ㄹ/ETM
물품	물품/NNG
구비가	구비/NNG+가/JKS
쉽지	쉽/VA+지/EC
않다	않/VX+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
라면과	라면/NNG+과/JC
휴지	휴지/NNG
등	등/NNB
'인기	'/SS+인기/NNG
상품'은	상품/NNG+'/SS+은/JX
원활한	원활하/VA+ㄴ/ETM
공급이	공급/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
형편이다	형편/NNG+이/VCP+다/EC

창원시내의	창원/NNP+시내/NNG+의/JKG
한	한/MM
장애인복지시설에서는	장애인복지시설/NNG+에서/JKB+는/JX
정기	정기/NNG
후원을	후원/NNG+을/JKO
중단하는	중단하/VV+는/ETM
사람이	사람/NNG+이/JKS
갈수록	갈수록/MAG
늘고	늘/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
달에만	달/NNG+에/JKB+만/JX
벌써	벌써/MAG
4명이	4/SN+명/NNB+이/JKS
후원을	후원/NNG+을/JKO
끊었다	끊/VV+었/EP+다/EF

이	이/MM
복지관은	복지/NNG+관/XSN+은/JX
매년	매년/MAG
겨울철에	겨울철/NNG+에/JKB
일정액을	일정액/NNG+을/JKO
모금,	모금/NNG+,/SP
이웃의	이웃/NNG+의/JKG
재가	재/NNG+가/JKS
장애인을	장애인/NNG+을/JKO
도와줬는데	도와주/VV+었/EP+는데/EC
올해는	올해/NNG+는/JX
모금	모금/NNG
진행	진행/NNG
상황이	상황/NNG+이/JKS
예년같지	예년같/VA+지/EC
않다고	않/VX+다고/EC
전했다	전하/VV+었/EP+다/EC

경남사회복지공동모금회	경남/NNP+사회복지공동모금/NNG+회/XSN
측은	측/NNB+은/JX
모금전문기관	모금전문기관/NNG
등의	등/NNB+의/JKG
후원금도	후원금/NNG+도/JX
줄어드는	줄어들/VV+는/ETM
상황에서	상황/NNG+에서/JKB
일선	일선/NNG
복지시설이	복지시설/NNG+이/JKS
체감하는	체감하/VV+는/ETM
어려움은	어려움/NNG+은/JX
더	더/MAG
클	크/VA+ㄹ/ETM
것이라며	것/NNB+이/VCP+라며/EC
어려울	어렵/VA+ㄹ/ETM
때일수록	때/NNG+이/VCP+ㄹ수록/EC
조금이라도	조금/NNG+이라도/JX
함께	함께/MAG
나누려는	나누/VV+려는/ETM
노력이	노력/NNG+이/JKS
필요하다고	필요하/VA+다고/EC
당부했다	당부하/VV+였/EP+다/EC

ksk@yna	ksk/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
