朴·文·安	朴/SL+·/SP+文/SN+·/SP+安/SN
것이	것/NNB+이/JKS
없다”고	없/VA+다”고/EC
응원했다	응원하/VV+였/EP+다/EF

한편,	한편/NNG+,/SP
수화공대위는	수화공대위/NNP+는/JX
수화언어	수화언어/NNG
및	및/MAG
농문화	농문화/NNG
지원법률	지원법률/NNG
제정,	제정/NNG+,/SP
일반	일반/NNG
교과과정에	교과과정/NNG+에/JKB
수화를	수화/NNG+를/JKO
제2외국어로	제/XPN+2/SN+외국어/NNG+로/JKB
채택,	채택/NNG+,/SP
농교육의	농교육/NNG+의/JKG
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
개정	개정/NNG
정책	정책/NNG
마련	마련/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
요구서를	요구서/NNG+를/JKO
후보	후보/NNG
캠프에	캠프/NNG+에/JKB
전달한	전달하/VV+ㄴ/ETM
상태며,	상태/NNG+이/VCP+며/EC+,/SP
공약으로	공약/NNG+으로/JKB
수용될	수용되/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
1인시위를	1/SN+인시위/NNG+를/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이날	이날/NNG
1인시위를	1/SN+인시위/NNG+를/JKO
시작하는	시작하/VV+는/ETM
장애인정보문화누리	장애인정보문화누리/NNG
함효숙	함효숙/NNP
팀장,	팀장/NNG+,/SP
김세식	김세식/NNP
이사,	이사/NNG+,/SP
안세준	안세준/NNP
고문	고문/NNG

문재인	문재인/NNP
후보	후보/NNG
시민캠프	시민캠프/NNG
김효진	김효진/NNP
공동대표	공동대표/NNG
모습	모습/NNG
