재정위기	재정위기/NNG
않을	않/VX+을/ETM
것이다	것/NNB+이/VCP+다/EC

장애	장애/NNG
가족의	가족/NNG+의/JKG
반발이	반발/NNG+이/JKS
만만치	만만하/VA+지/EC
않다	않/VX+다/EC

클레버의	클레버/NNP+의/JKG
가족은	가족/NNG+은/JX
부당한	부당하/VA+ㄴ/ETM
처사라며	처사/NNG+이/VCP+라며/EC
주민들로	주민/NNG+들/XSN+로/JKB
부터	붓/VV+터/EC
사인을	사인/NNG+을/JKO
받기	받/VV+기/ETN
시작했고	시작하/VV+였/EP+고/EC
발달	발달/NNG
장애인	장애인/NNG
주에리나	주에리나/NNP
험바이는	험바이/NNG+는/JX
어머니의	어머니/NNG+의/JKG
도움으로	도움/NNG+으로/JKB
밖으로	밖/NNG+으로/JKB
나와	나오/VV+아/EC
'시장님,	'/SS+시장/NNG+님/XSN+,/SP
당신께	당신/NP+께/JKB
달려	달리/VV+어/EC
있습니다	있/VX+습니다/EF

도와	돕/VV+아/EC
주십시오'	주/VX+십시오/EF+'/SS
라는	이/VCP+라는/ETM
글이	글/NNG+이/JKS
쓰여있는	씌/VV+어/EC+있/VX+는/ETM
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
