정보화누리,	정보화누리/NNG+,/SP
우려스러운	우려스럽/VA+ㄴ/ETM
점은	점/NNG+은/JX
장애인차별금지법이	장애인차별금지법/NNG+이/JKS
있지만	있/VA+지만/EC
공공기관	공공기관/NNG
이외의	이외/NNG+의/JKG
저작물에	저작물/NNG+에/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
접근이	접근/NNG+이/JKS
쉽지	쉽/VA+지/EC
않다는	않/VX+다는/ETM
것	것/NNB

장애인정보문화누리는	장애인정보문화누리/NNG+는/JX
“현행	“/SL+현행/NNG
저작권법	저작권법/NNG
제33조인에는	제/XPN+33/SN+조/NNB+인/NNG+에/JKB+는/JX
저작물에	저작물/NNG+에/JKB
시각장애인이	시각장애인/NNG+이/JKS
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

시각장애인이	시각장애인/NNG+이/JKS
저작물에	저작물/NNG+에/JKB
접근을	접근/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
저작물을	저작물/NNG+을/JKO
점자,	점자/NNG+,/SP
음성변환,	음성변환/NNG+,/SP
디지털	디지털/NNG
음성정보	음성정보/NNG
기록방식,	기록방식/NNG+,/SP
시각장애만을	시각장애/NNG+만/JX+을/JKO
위한	위하/VV+ㄴ/ETM
기록방식	기록방식/NNG
등으로	등/NNB+으로/JKB
변형을	변형/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“하지만	“하/VA+지만/EC
저작물의	저작물/NNG+의/JKG
사용은	사용/NNG+은/JX
시각장애인에	시각장애인/NNG+에/JKB
한정되어	한정되/VV+어/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“	“/SL
접근을	접근/NNG+을/JKO
위해	위하/VV+여/EC
저작물을	저작물/NNG+을/JKO
변형할	변형하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있는	있/VA+는/ETM
청각이나	청각/NNG+이나/JC
지적,	지적/NNG+,/SP
발달장애인	발달장애인/NNG
등은	등/NNB+은/JX
저작물에	저작물/NNG+에/JKB
접근하고	접근하/VV+고/EC
싶어도	싶/VX+어도/EC
저작권자의	저작권자/NNG+의/JKG
허락이	허락/NNG+이/JKS
없으면	없/VA+으면/EC
불가능”이라며	불가능”/NNG+이/VCP+라며/EC
“김윤덕	“/SL+김윤덕/NNP
의원이	의원/NNG+이/JKS
발의한	발의하/VV+ㄴ/ETM
저작권법	저작권법/NNG
개정안을	개정안/NNG+을/JKO
환영하며,	환영하/VV+며/EC+,/SP
이	이/MM
기회를	기회/NNG+를/JKO
계기로	계기/NNG+로/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
공공저작물만이	공공저작물/NNG+만/JX+이/JKC
아니라	아니/VCN+라/EC
일반	일반/NNG
저작물도	저작물/NNG+도/JX
자유롭게	자유롭/VA+게/EC
접근	접근/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
국회는	국회/NNG+는/JX
저작권법을	저작권법/NNG+을/JKO
손질하는	손질하/VV+는/ETM
등	등/NNB
관심과	관심/NNG+과/JC
노력을	노력/NNG+을/JKO
보여주길	보이/VV+어/EC+주/VX+기/ETN+ㄹ/JKO
촉구한다”고	촉구하/VV+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC
