"지적장애인	"/SS+지적장애인/NNG
선원인권유린범죄	선원인권유린범죄/NNG
현황	현황/NNG
ⓒ조현룡	ⓒ/SN+조현룡/NNP
의원실	의원/NNG+실/XSN
더욱이	더욱이/MAG
‘무허가	‘/SL+무허/NNG+가/JKS
불법직업소,	불법직업소/NNG+,/SP
유흥주점-선주’등이	유흥주점/NNG+-/SO+선주/NNG+’/SN+등/NNB+이/JKS
결탁해	결탁하/VV+여/EC
술을	술/NNG+을/JKO
먹이고	먹이/VV+고/EC
성매매를	성매매/NNG+를/JKO
알선해	알선하/VV+여/EC
빚을	빚/NNG+을/JKO
지게	지/VV+게/EC
한	하/VX+ㄴ/EF
뒤	뒤/NNG
선주에	선주/NNG+에/JKB
팔아넘기는	팔아넘기/VV+는/ETM
등	등/NNB
수법이	수법/NNG+이/JKS
악랄해	악랄하/VA+여/EC
지고	지/VX+고/EC
있다	있/VX+다/EC

이들의	이/NP+들/XSN+의/JKG
주	주/MM
타킷	타킷/NNG
중에는	중/NNB+에/JKB+는/JX
지적장애인들도	지적장애인/NNG+들/XSN+도/JX
있어서	있/VA+어서/EC
문제가	문제/NNG+가/JKS
심각하다	심각하/VA+다/EC

지적장애인대상으로	지적장애인대상/NNG+으로/JKB
하는	하/VV+는/ETM
성매매나	성매매/NNG+나/JC
금품갈취,	금품갈취/NNG+,/SP
감금의	감금/NNG+의/JKG
범죄가	범죄/NNG+가/JKS
4건	4/SN+건/NNB
발생한	발생하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타난	나타나/VV+ㄴ/ETM
것	것/NNB

더욱이	더욱이/MAG
중요한	중요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
총	총/MM
사건의	사건/NNG+의/JKG
55	55/SN

7%가	7/SN+%/SW+가/JKS
불구속	불구속/NNG
처리인	처리/NNG+이/VCP+ㄴ/ETM
단순폭행	단순폭행/NNG
건이라해	건이라하/VV+여/EC
해경의	해경/NNG+의/JKG
강력한	강력하/VA+ㄴ/ETM
처벌이	처벌/NNG+이/JKS
더	더/MAG
필요한	필요하/VA+ㄴ/ETM
상황	상황/NNG

조	조/NNP
의원은	의원/NNG+은/JX
“도가니법으로	“/SL+도가니법/NNG+으로/JKB
인해	인하/VV+여/EC
지적장애인에	지적장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성관련	성관련/NNP
사건에	사건/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
지위를	지위/NNG+를/JKO
막론하고	막론하/VV+고/EC
엄중히	엄중히/MAG
처벌되고	처벌되/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
인권	인권/NNG
관련	관련/NNG
범죄의	범죄/NNG+의/JKG
경우도	경우/NNG+도/JX
엄중히	엄중히/MAG
처벌	처벌/NNG
되고	되/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“해양경찰청은	“/SN+해양경찰청/NNG+은/JX
선원인권유린범죄에	선원인권유린범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강력한	강력하/VA+ㄴ/ETM
처벌을	처벌/NNG+을/JKO
해야	하/VV+여야/EC
할	하/VX+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
범죄의	범죄/NNG+의/JKG
장소가	장소/NNG+가/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
무허가불법직업소개소	무/XPN+허가불법직업소개소/NNG
및	및/MAG
낙도양식장이나	낙도양식장/NNG+이나/JC
선박에	선박/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
단속을	단속/NNG+을/JKO
해야	하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
