“수화언어	“/SL+수화언어/NNG
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
바탕을	바탕/NNG+을/JKO
닦아	닦/VV+아/EC
주길	주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EC+”/VV+고/EC
목소리	목소리/NNG
높였다	높/VA+었/EP+다/EF

기자회견	기자회견/NNG
이후	이후/NNG
이들은	이/NP+들/XSN+은/JX
새누리당	새누리당/NNP
민원국	민원국/NNG
관계자,	관계자/NNG+,/SP
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보	후보/NNG
민주캠프	민주캠프/NNP
민원국	민원국/NNG
관계자에게	관계자/NNG+에게/JKB
각각	각각/MAG
제안서를	제안/NNG+서/XSN+를/JKO
전달했다	전달하/VV+였/EP+다/EC

특히	특히/MAG
문재인	문재/NNG+이/VCP+ㄴ/ETM
후보	후보/NNG
측과는	측/NNB+과/JKB+는/JX
오는	오/VV+는/ETM
19일	19/SN+일/NNB
정책비서관	정책비서관/NNG
등	등/NNB
관계자들과의	관계자/NNG+들/XSN+과/JKB+의/JKG
면담을	면담/NNG+을/JKO
확정했다	확정하/VV+였/EP+다/EC

수화언어권공대위는	수화언어권공대위/NNG+는/JX
앞으로	앞/NNG+으로/JKB
대선	대선/NNG
출마를	출마/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
후보들의	후보/NNG+들/XSN+의/JKG
캠프를	캠프/NNG+를/JKO
찾아	찾/VV+아/EC
제안서를	제안/NNG+서/XSN+를/JKO
전달하고,	전달하/VV+고/EC+,/SP
공약화를	공약/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
면담을	면담/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

앞서	앞서/MAG
수화언어권공대위는	수화언어권공대위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
안철수	안철수/NNP
후보	후보/NNG
캠프에	캠프/NNG+에/JKB
방문해	방문하/VV+여/EC
제안서를	제안/NNG+서/XSN+를/JKO
전달	전달/NNG
한	한/MM
바	바/NNB
있다	있/VA+다/EF

문재인	문재인/NNP
후보	후보/NNG
시민	시민/NNG
캠프	캠프/NNG
앞에서	앞/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
기자회견	기자회견/NNG
모습	모습/NNG

기자회견에	기자회견/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
여성	여성/NNG
청각장애인이	청각장애인/NNG+이/JKC
'농아인의	'/SS+농아인/NNP+의/JKG
언어선택권을	언어선택권/NNG+을/JKO
보장하라'는	보장하/VV+라/EF+'/SS+는/JX
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC
