경기안산항공전,	경기안산항공전/NNG+,/SP
수도	수/NNB+도/JX
없었다	없/VA+었/EP+다/EF

장애인주차장	장애인주차장/NNG
입구와	입구/NNG+와/JC
내부	내부/NNG
일부도	일부/NNG+도/JX
자갈길로	자갈길/NNG+로/JKB
돼	되/VV+어/EC
있어	있/VX+어/EC
주차부터가	주차/NNG+부터/JX+가/JKS
불편했다	불편하/VA+었/EP+다/EC

반면	반면/NNG
비장애인주차장은	비장애인주차장/NNG+은/JX
잔디가	잔디/NNG+가/JKS
깔린	깔리/VV+ㄴ/ETM
자갈길로	자갈길/NNG+로/JKB
대조적인	대조적/NNG+이/VCP+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였다	보이/VV+었/EP+다/EF

행사장	행사장/NNG
입구	입구/NNG
인도에는	인도/NNG+에/JKB+는/JX
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

반면	반면/NNG
낮은	낮/VA+은/ETM
볼라드가	볼라드/NNG+가/JKS
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
시각장애인의	시각장애인/NNG+의/JKG
이동을	이동/NNG+을/JKO
저해했다	저해하/VV+였/EP+다/EC

이외	이외/NNG
인도에는	인도/NNG+에/JKB+는/JX
항공전	항공전/NNG
행사간판이	행사간판/NNG+이/JKS
넘어가지	넘어가/VV+지/EC
않도록	않/VX+도록/EC
연결된	연결되/VV+ㄴ/ETM
줄이	줄/NNB+이/JKS
점자블록을	점자/VV+블록/EC+을/JKO
침범하면서	침범하/VV+면서/EC
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
줄에	줄/NNG+에/JKB
걸려	걸리/VV+어/EC
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

안산장애인자립생활센터	안산장애인자립생활센터/NNG
한	한/MM
관계자는	관계자/NNG+는/JX
“장애인화장실	“/SN+장애인화장실/NNG
및	및/MAG
장애인주차장이	장애인주차장/NNG+이/JKS
자갈길로	자갈길/NNG+로/JKB
돼	되/VV+어/EC
있어	있/VX+어/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
이용하기	이용하/VV+기/ETN
불편하다”고	불편하/VA+다/EC+”/SN+고/JKQ
토로했다	토로하/VV+였/EP+다/EF

특히	특히/MAG
관계자는	관계자/NNG+는/JX
“장애인화장실이	“/SN+장애인화장실/NNG+이/JKS
남녀공용으로	남녀공용/NNG+으로/JKB
설치된	설치되/VV+ㄴ/ETM
것은	것/NNB+은/JX
장애인	장애인/NNG
차별”이라며	차별”/NNG+이/VCP+라며/EC
강한	강하/VA+ㄴ/ETM
불만을	불만/NNG+을/JKO
나타냈다	나타내/VV+었/EP+다/EF

안산시장애인자립생활센터는	안산시장애인자립생활센터/NNG+는/JX
항공전이	항공전/NNG+이/JKS
열리기	열리/VV+기/ETN
몇	몇/MM
달	달/NNB
전부터	전/NNG+부터/JX
장애인화장실	장애인화장/NNG+실/XSN
내	내/NNB
세면대	세면대/NNG
설치	설치/NNG
등	등/NNB
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
편의를	편의/NNG+를/JKO
갖춰줄	갖추/VV+어/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
안산시청에	안산/NNP+시청/NNG+에/JKB
꾸준히	꾸준히/MAG
요구해왔다	요구하/VV+여/EC+오/VX+았/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
안산시청	안산/NNP+시청/NNG
담당자는	담당자/NNG+는/JX
“경기도관광공사	“/SL+경기도관광공사/NNG
행사	행사/NNG
사무국에	사무국/NNG+에/JKB
장애인화장실	장애인화장실/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
전달했지만	전달하/VV+였/EP+지만/EC
소용이	소용/NNG+이/JKS
없었다”고	없/VA+었/EP+다”고/EC
해명했다	해명하/VV+였/EP+다/EC

경기안산항공전	경기안산항공전/NNG
행사장	행사장/NNG
정문	정문/NNG
입구	입구/NNG
옆에	옆/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
남여공용	남여/NNP+공용/NNG
장애인이동화장실	장애인이동화장/NNG+실/XSN
모습	모습/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
출입문은	출입문/NNG+은/JX
미닫이문으로	미닫이문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
손이불편한	손이불편하/VA+ㄴ/ETM
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
스스로	스스로/MAG
열수가	열수/NNG+가/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
내부는	내부/NNG+는/JX
공통으로	공통/NNG+으로/JKB
좁고	좁/VA+고/EC
용변기가	용변/NNG+기/XSN+가/JKS
소아용처럼	소아용/NNG+처럼/JKB
낮아	낮/VA+아/EC
휠체어장애인이	휠체어장애인/NNG+이/JKS
앉을	앉/VV+을/ETM
수가	수/NNB+가/JKS
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실내	장애인화장/NNG+실/XSN+내/NNB
마련된	마련되/VV+ㄴ/ETM
세면대는	세면대/NNG+는/JX
물조차	물/NNG+조차/JX
나오지	나오/VV+지/EC
않았다	않/VX+았/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
항공전	항공전/NNG
정문	정문/NNG
입구와	입구/NNG+와/JC
주변이	주변/NNG+이/JKS
자갈길로	자갈길/NNG+로/JKB
돼	되/VV+어/EC
있어	있/VX+어/EC
수동·전동휠체어,	수동/NNG+·/SP+전동휠체어/NNG+,/SP
스쿠터를	스쿠터/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
불편을	불편/NNG+을/JKO
초래하고	초래하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인주차장	장애인주차장/NNG
입구	입구/NNG
역시	역시/MAG
자갈길로	자갈길/NNG+로/JKB
수동휠체어어의	수동휠체어어/NNG+의/JKG
통행이	통행/NNG+이/JKS
불가하고	불가하/VA+고/EC
전동휠체어	전동휠체어/NNG
및	및/MAG
스쿠터가	스쿠터/NNG+가/JKS
다니기	다니/VV+기/ETN
불편했다	불편하/VA+었/EP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
비장애인주차장은	비장애인주차장/NNG+은/JX
장애인주차장과는	장애인주차장/NNG+과/JKB+는/JX
달리	달리/MAG
잔디	잔디/NNG
및	및/MAG
흙길로	흙길/NNG+로/JKB
돼있었다	되/VV+어/EC+있/VX+었/EP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNG
인도에	인도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
항공전	항공전/NNG
행사간판에	행사간판/NNG+에/JKB
넘어가지	넘어가/VV+지/EC
않도록	않/VX+도록/EC
연결된	연결되/VV+ㄴ/ETM
줄이	줄/NNB+이/JKS
점자블록을	점자/VV+블록/EC+을/JKO
침범하면서	침범하/VV+면서/EC
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
줄에	줄/NNG+에/JKB
걸려	걸리/VV+어/EC
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
