박근혜,	박근혜/NNP+,/SP
자립생활을	자립생활/NNG+을/JKO
가로막는	가로막/VV+는/ETM
구시대적	구시대적/NNG
복지구조를	복지구조/NNG+를/JKO
근본적으로	근본적/NNG+으로/JKB
바꾸고,	바꾸/VV+고/EC+,/SP
인권과	인권/NNG+과/JC
자립에	자립/NNG+에/JKB
기초한	기초하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
복지패러다임으로	복지패러다임/NNG+으로/JKB
전환하는	전환하/VV+는/ETM
시대적	시대적/NNG
과제”라고	과제”/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

또한	또한/MAG
“18대	“/SL+18/SN+대/NNG
대선에	대선/NNG+에/JKB
출마하는	출마하/VV+는/ETM
모든	모든/MM
후보들에게	후보/NNG+들/XSN+에게/JKB
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지에	폐지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공식적을	공식적/NNG+을/JKO
입장	입장/NNG
발표를	발표/NNG+를/JKO
요청했지만	요청하/VV+였/EP+지만/EC
박	박/NNP
후보는	후보/NNG+는/JX
‘시간이	‘/SN+시간/NNG+이/JKS
없다’는	없/VA+다/EF+’/SL+는/JX
이유로	이유/NNG+로/JKB
면담이	면담/NNG+이/JKS
불가하다고	불가하/VA+다고/EC
말했다”면서	말하/VV+였/EP+다/EC+”/VV+면서/EC
“장애인과	“/SL+장애인/NNG+과/JC
빈곤층의	빈곤/NNG+층/XSN+의/JKG
생존권적	생존권/NNG+적/XSN
문제를	문제/NNG+를/JKO
‘시간	‘/SN+시간/NNB
없다’로	없/VA+다/EC+’/SL+로/JKB
외면한다면	외면하/VV+ㄴ다면/EC
‘내	‘/SN+내/NNB
꿈이	꿈/NNG+이/JKS
이루어지는	이루어지/VV+는/ETM
나라,	나라/NNG+,/SP
국민행복캠프’라는	국민행복캠프/NNG+’/XSN+이/VCP+라는/ETM
간판은	간판/NNG+은/JX
사회적	사회적/NNG
약자를	약자/NNG+를/JKO
외면한	외면하/VV+ㄴ/ETM
특권층의	특권층/NNG+의/JKG
국민행복이	국민행복/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

한편	한편/MAG
공동행동은	공동행동/NNG+은/JX
공식적으로	공식적/NNG+으로/JKB
18대	18/SN+대/NNB
대선	대선/NNG
출마를	출마/NNG+를/JKO
선언	선언/NNG
한	한/MM
문재인·박근혜·안철수	문재인/NNG+·/SP+박근혜/NNP+·/SP+안철수/NNP
후보를	후보/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지에	폐지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
듣기	듣/VV+기/ETN
위한	위하/VV+ㄴ/ETM
움직임을	움직임/NNG+을/JKO
예고했다	예고하/VV+였/EP+다/EC

공동행동	공동행동/NNG
관계자는	관계자/NNG+는/JX
“문재인	“/SL+문재/NNG+이/VCP+ㄴ/ETM
후보의	후보/NNG+의/JKG
경우	경우/NNG
민주통합당	민주통합당/NNP
경선	경선/NNG
때부터	때/NNG+부터/JX
계속	계속/MAG
요청했지만	요청하/VV+였/EP+지만/EC
아직	아직/MAG
응답을	응답/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있으며,	있/VX+으며/EC+,/SP
안철수	안철수/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
계획은	계획/NNG+은/JX
(어제	(/SS+어제/MAG
출마를	출마/NNG+를/JKO
선언했기	선언하/VV+였/EP+기/ETN
때문에)	때문/NNB+에/JKB+)/SS
잡고	잡/VV+고/EC
있지	있/VX+지/EC
않았다”면서도	않/VX+았/EP+다”면서/EC+도/JX
“앞으로	“/SL+앞/NNG+으로/JKB
세	세/MM
후보를	후보/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지에	폐지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
듣기	듣/VV+기/ETN
위해	위하/VV+여/EC
진행해	진행하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

20일	20/SN+일/NNB
열린	열리/VV+ㄴ/ETM
기자회견에	기자회견/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
한	한/MM
여성장애인이	여성장애인/NNG+이/JKS
발언자의	발언/NNG+자/XSN+의/JKG
말을	말/NNG+을/JKO
유심히	유심히/MAG
듣고	듣/VV+고/EC
있다	있/VX+다/EC

이날	이날/NNG
기자회견장에는	기자회견장/NNG+에/JKB+는/JX
전동휠체어를	전동휠체어/NNG+를/JKO
타고	타/VV+고/EC
있는	있/VX+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
많이	많이/MAG
참석했다	참석하/VV+였/EP+다/EC

기자회견에	기자회견/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
발언자들의	발언/NNG+자들/XSN+의/JKG
말을	말/NNG+을/JKO
주의깊게	주의/NNG+깊/VA+게/EC
듣고	듣/VV+고/EC
있다	있/VX+다/EC

기자회견	기자회견/NNG
참가자들이	참가자/NNG+들/XSN+이/JKS
부양의무제	부양의무제/NNG
폐지	폐지/NNG
없이는	없이/MAG+는/JX
국민의	국민/NNG+의/JKG
행복은	행복/NNG+은/JX
없다는	없/VA+다는/ETM
목소리를	목소리/NNG+를/JKO
내고	내/VV+고/EC
있다	있/VX+다/EC

기자회견	기자회견/NNG
이후	이후/NNG
한국장애인야학협의회	한국장애인야학협의회/NNP
박명애	박명애/NNP
대표와	대표/NNG+와/JC
장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동	공동행동/NNG
이형숙	이형숙/NNP
집행위원장이	집행위원장/NNG+이/JKS
새누리당	새누리당/NNP
민원국	민원국/NNG
관계자에게	관계자/NNG+에게/JKB
면담요청서를	면담요청서/NNG+를/JKO
전달하러	전달하/VV+러/EC
가고	가/VX+고/EC
있다	있/VX+다/EC
