장애인이라고	장애인/NNG+이/VCP+라고/EC
피워	피우/VV+어/EC
탑승을	탑승/NNG+을/JKO
거부했다고	거부하/VV+였/EP+다고/EC
하나	하나/NR
누군가에	누구/NP+이/VCP+ㄴ가/EC+에/JKB
의해	의하/VV+여/EC
촬영된	촬영되/VV+ㄴ/ETM
비디오는	비디오/NNG+는/JX
항공사측의	항공사/NNG+측/NNB+의/JKG
주장과는	주장/NNG+과/JKB+는/JX
전혀	전혀/MAG
다르다'며	다르/VA+다/EF+'/SS+며/EC
앵커와	앵커/NNG+와/JC
리포터는	리포터/NNG+는/JX
흥분을	흥분/NNG+을/JKO
감추지	감추/VV+지/EC
못했다	못하/VX+였/EP+다/EC

실제로	실제로/MAG
유튜브를	유튜브/NNP+를/JKO
통해서	통하/VV+여서/EC
드러난	드러나/VV+ㄴ/ETM
베드는	베드/NNP+는/JX
공항	공항/NNG
벤치에	벤치/NNG+에/JKB
얌전히	얌전히/MAG
앉아서	앉/VV+아서/EC
모자를	모자/NNG+를/JKO
가지고	가지/VV+고/EC
평화롭게	평화롭/VA+게/EC
놀고	놀/VV+고/EC
있는	있/VX+는/ETM
모습이었다	모습/NNG+이/VCP+었/EP+다/EF

수없이	수없이/MAG
비행기를	비행기/NNG+를/JKO
타고	타/VV+고/EC
다녔지만	다니/VV+었/EP+지만/EC
이런	이런/MM
경우는	경우/NNG+는/JX
처음	처음/NNG
당한다며	당하/VV+ㄴ다며/EC
고소를	고소/NNG+를/JKO
해서	하/VV+여서/EC
이런	이런/MM
몰지각한	몰지각하/VA+ㄴ/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
교훈을	교훈/NNG+을/JKO
줘야	주/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

본	본/MM
기사에	기사/NNG+에/JKB
흥분한	흥분하/VV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
댓글이	댓글/NNG+이/JKS
줄을	줄/NNG+을/JKO
잇고	잇/VV+고/EC
있다	있/VX+다/EC

한	한/MM
네티즌은	네티즌/NNG+은/JX
분노를	분노/NNG+를/JKO
주체하지	주체하/VV+지/EC
못하겠다며	못하/VX+겠/EP+다며/EC
평생	평생/NNG
아메리칸	아메리칸/NNG
에어라인을	에어라인/NNG+을/JKO
타지	타/VV+지/EC
않을	않/VX+을/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
댓글을	댓글/NNG+을/JKO
달기도	달/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

아메리칸	아메리칸/NNG
에어라인의	에어라인/NNG+의/JKG
발표문(출처:	발표문/NNG+(/SS+출처/NNG+:/SP
팩스	팩스/NNG
뉴스	뉴스/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ샘/SN
*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
