“故박지우양	“故/SL+박지우양/NNG
대신	대신/NNG
돌보는,	돌보/VV+는/ETM+,/SP
더	더/MAG
이상	이상/NNG
자식을	자식/NNG+을/JKO
먼저	먼저/MAG
보내는	보내/VV+는/ETM
부모들이	부모/NNG+들/XSN+이/JKS
없도록,	없/VA+도록/EC+,/SP
세상을	세상/NNG+을/JKO
바꿔나가겠다”고	바꾸/VV+어/EC+나가/VX+겠/EP+다”고/EC
박	박/NNP
양에게	양/NNB+에게/JKB
다짐했다	다짐하/VV+었/EP+다/EC

장애인자립생활센터협의회	장애인자립생활센터협의회/NNG
이원교	이원교/NNP
회장은	회장/NNG+은/JX
“시간이	“/SN+시간/NNG+이/JKS
지나면	지나/VV+면/EC
박	박/NNP
양의	양/NNB+의/JKG
죽음이	죽음/NNG+이/JKS
잊혀질까	잊히/VV+어/EC+지/VX+ㄹ까/EC
무섭다	무섭/VA+다/EC

우리가	우리/NP+가/JKS
왜	왜/MAG
과열차게	과열/NNG+차/VV+게/EC
투쟁하지	투쟁하/VV+지/EC
못	못/MAG
했나	하/VV+였/EP+나/EC
하는	하/VV+는/ETM
후회도	후회/NNG+도/JX
든다	들/VV+ㄴ다/EF

슬픔은	슬픔/NNG+은/JX
잊혀져야	잊히/VV+어/EC+지/VX+어야/EC
한다	하/VX+ㄴ다/EF

그러나	그러나/MAJ
박양의	박/NNP+양/NNB+의/JKG
죽음이	죽음/NNG+이/JKS
잊혀져서는	잊히/VV+어/EC+지/VX+어서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
것“이라고	것/NNB+“/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“아들의	“/SN+아들/NNG+의/JKG
활동보조를	활동보조/NNG+를/JKO
위해	위하/VV+여/EC
동주민센터에	동주민센터/NNG+에/JKB
신청하러	신청하/VV+러/EC
갔으나	가/VV+았/EP+으나/EC
동사무소측은	동사무소/NNG+측/NNB+은/JX
오히려	오히려/MAG
등급이	등급/NNG+이/JKS
하양	하양/NNG
돼	되/VV+어/EC
기존에	기존/NNG+에/JKB
받던	받/VV+던/ETM
서비스도	서비스/NNG+도/JX
받지	받/VV+지/EC
못할	못하/VX+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다고	있/VA+다고/EC
했다”며	하/VV+였/EP+다/EC+”/VV+며/EC
“이	“/SL+이/JKS
때문에	때문/NNB+에/JKB
누나가	누나가/VV+아/EC
동생을	동생/NNG+을/JKO
돌보다	돌/NNG+보다/JKB
죽어야만	죽/VV+어야/EC+만/JX
했다”고	하/VX+였/EP+다/EC+”/VV+고/EC
개탄했다	개탄하/VV+였/EP+다/EC

전국장애애인부모연대	전/MM+국장애애인부모연대/NNG
윤종술	윤종술/NNP
대표는	대표/NNG+는/JX
“박	“/SN+박/NNB
양의	양/NNG+의/JKG
죽음은	죽음/NNG+은/JX
단순한	단순하/VA+ㄴ/ETM
화재사고가	화재사고/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
장애아동을	장애아동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지역사회	지역사회/NNG
돌봄지원	돌봄지원/NNG
체계가	체계/NNG+가/JKS
부족했기	부족하/VA+었/EP+기/ETN
때문에	때문/NNB+에/JKB
발생한	발생하/VV+ㄴ/ETM
인재”라고	인재”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

윤	윤/NNP
대표는	대표/NNG+는/JX
“비장애아동	“/SN+비장애아동/NNP
돌봄은	돌봄/NNG+은/JX
약	약/MM
5만명에	5/SN+만/NR+명/NNB+에/JKB
한	한/MM
달	달/NNB
120시간이	120/SN+시간/NNB+이/JKS
지원되는데	지원/NNG+되/XSV+는/ETM+데/NNB
반해,	반하/VV+여/EC+,/SP
장애아동은	장애아동/NNG+은/JX
전체	전체/NNG
9만여중	9/SN+만/NR+여/XSN+중/NNB
단	단/XSN
2,500명(가정)에만	2,500/SN+명/NNB+(/SS+가정/NNG+)/SS+에/JKB+만/JX
27시간이	27/SN+시간/NNB+이/JKS
지원되고	지원/NNG+되/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
6세	6/SN+세/NNB
이하	이하/NNG
장애아동에는	장애아동/NNG+에/JKB+는/JX
활동보조	활동보조/NNG
서비스도	서비스/NNG+도/JX
지원되지	지원/NNG+되/XSV+지/EC
않는다”고	않/VX+는다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

파주시의	파주시/NNP+의/JKG
경우	경우/NNG
10가정도	10/SN+가정/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
극소수의	극소수/NNG+의/JKG
장애아가정에	장애아가정/NNG+에/JKB
대해서만	대하/VV+여서/EC+만/JX
지원이	지원/NNG+이/JKS
이뤄지고	이루어지/VV+고/EC
있었으며,	있/VX+었/EP+으며/EC+,/SP
박	박/NNP
양의	양/NNB+의/JKG
가족	가족/NNG
역시	역시/MAG
이	이/MM
양육서비스를	양육서비스/NNG+를/JKO
신청했지만	신청하/VV+였/EP+지만/EC
서비스	서비스/NNG
대기	대기/NNG
중에	중/NNB+에/JKB
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

한편	한편/MAG
이들은	이/NP+들/XSN+은/JX
장례식	장례식/NNG
후	후/NNG
장애아동	장애아동/NNG
돌봄과	돌봄/NNG+과/JC
활동지원	활동지원/NNG
확대를	확대/NNG+를/JKO
촉구하는	촉구하/VV+는/ETM
요구서를	요구서/NNG+를/JKO
복지부에	복지부/NNG+에/JKB
전달하고,	전달하/VV+고/EC+,/SP
이어	이어/MAG
광화문	광화문/NNP
노숙농성장에서	노숙농성/NNP+장/XSN+에서/JKB
고	고/MM
김주영씨와	김주영/NNP+씨/NNB+와/JC
고	고/NNP
박지우양의	박지우양/NNP+의/JKG
추모식을	추모식/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

전국장애인부모연대	전/MM+국장애인부모연대/NNG
윤종술	윤종술/NNP
대표는	대표/NNG+는/JX
故박지우양	故/SL+박지우양/NNG
장례식에서	장례식/NNG+에서/JKB
장애아동돌봄	장애아동돌봄/NNG
대상은	대상/NNG+은/JX
전체	전체/NNG
9만명	9/SN+만/NR+명/NNB
중	중/NNB
2,500명에	2,500/SN+명/NNB+에/JKB
불과하며,	불과하/VA+며/EC+,/SP
서비스	서비스/NNG
시간	시간/NNG
역시	역시/MAG
한달에	한/MM+달/NNB+에/JKB
27시간이	27/SN+시간/NNB+이/JKS
고작이라고	고작/MAG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

故박지우양의	故/SL+박지우양/NNG+의/JKG
장례식에	장례식/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
한	한/MM
장애인이	장애인/NNG+이/JKS
어린	어리/VA+ㄴ/ETM
박지우양의	박지우양/NNP+의/JKG
죽음에	죽음/NNG+에/JKB
눈시울을	눈시울/NNG+을/JKO
붉히고	붉히/VV+고/EC
있다	있/VX+다/EC

9일	9/SN+일/NNB
오전	오전/NNG
보건복지부	보건복지부/NNG
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
故박지우양의	故/SL+박지우양/NNG+의/JKG
장례식	장례식/NNG
모습	모습/NNG
