정부세종청사,	정부세종청사/NNG+,/SP
횡단보도에	횡단보도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
볼라드는	볼라들/VV+는/ETM
30cm	30/SN+cm/SL
높이에	높이/NNG+에/JKB
딱딱한	딱딱하/VA+ㄴ/ETM
화강암	화강암/NNG
재질로	재질/NNG+로/JKB
설치돼	설치되/VV+어/EC
개선이	개선/NNG+이/JKS
필요했다	필요하/VA+었/EP+다/EC

이는	이/NP+는/JX
볼라드	볼라드/NNG
높이가	높이/NNG+가/JKS
낮아	낮/VA+아/EC
시각장애인이	시각장애인/NNG+이/JKS
걸려	걸리/VV+어/EC
넘어질	넘어지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
부딪쳤을	부딪치/VV+었/EP+을/ETM
때	때/NNG
충격을	충격/NNG+을/JKO
완화시켜	완화/NNG+시키/XSV+어/EC
주지	주/VX+지/EC
못해	못하/VX+여/EC
정강이	정강이/NNG
등에	등/NNB+에/JKB
크게	크/VA+게/EC
상처를	상처/NNG+를/JKO
입을	입/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

교통약자의	교통약자/NNG+의/JKG
이동편의증진법	이동편의증진법/NNG
시행규칙에	시행규칙/NNG+에/JKB
따르면	따르/VV+면/EC
자동차	자동차/NNG
진입	진입/NNG
억제용인	억제/NNG+용/XSN+이/VCP+ㄴ/ETM
볼라드는	볼라드/NNG+는/JX
보행자의	보행자/NNG+의/JKG
안전하고	안전하/VA+고/EC
편리한	편리하/VA+ㄴ/ETM
통행을	통행/NNG+을/JKO
방해하지	방해하/VV+지/EC
않는	않/VX+는/ETM
범위	범위/NNG
내에서	내/NNB+에서/JKB
설치해야	설치하/VV+여야/EC
한다	하/VX+ㄴ다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
볼라드	볼라드/NNP
설치	설치/NNG
시에는	시/NNB+에/JKB+는/JX
보행자의	보행자/NNG+의/JKG
안전을	안전/NNG+을/JKO
고려해	고려하/VV+여/EC
높이	높이/NNG
80∼100㎝	80/SN+∼/SO+100/SN+㎝/SW
내외,	내외/NNG+,/SP
지름	지름/NNG
10∼20㎝	10/SN+∼/SO+20/SN+㎝/SW
내외,	내외/NNG+,/SP
간격	간격/NNG
1	1/SN

5m	5/SN+m/SL
내외로	내외/NNG+로/JKB
하고	하/VV+고/EC
재질도	재질/NNG+도/JX
충격을	충격/NNG+을/JKO
흡수할	흡수하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
재료를	재료/NNG+를/JKO
사용해야	사용하/VV+여야/EC
한다	하/VX+ㄴ다/EF

6개	6/SN+개/NNB
부처와	부처/NNG+와/JC
종합안내실	종합안내실/NNG
출입구	출입구/NNG
옆에	옆/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
점자안내판은	점자안내판/NNG+은/JX
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
읽기	읽/VV+기/ETN
불편한	불편하/VA+ㄴ/ETM
부식형으로	부식형/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EC

점자를	점자/NNG+를/JKO
읽지	읽/VV+지/EC
못하는	못하/VX+는/ETM
시각장애인들	시각장애인/NNG+들/XSN
위해	위하/VV+여/EC
음성으로	음성/NNG+으로/JKB
안내를	안내/NNG+를/JKO
들을	듣/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
음성유도	음성유/NNP+도/JX
장치	장치/NNG
및	및/MAG
직원	직원/NNG
호출버튼도	호출버튼/NNG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

바닥에는	바닥/NNG+에/JKB+는/JX
점자블록도	점자블록/MAG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

세종종합청사	세종종합청사/NNP
종합안내실	종합안내실/NNG
앞	앞/NNG
출입구	출입구/NNG
옆에	옆/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
촉지도식	촉지도식/NNG
안내판은	안내판/NNG+은/JX
이미	이미/MAG
떨어져	떨어지/VV+어/EC
나가	나가/VV+아/EC
흉물스런	흉물스럽/VA+ㄴ/ETM
모습이었다	모습/NNG+이/VCP+었/EP+다/EF

이외	이외/NNG
6개	6/SN+개/NNB
부처와	부처/NNG+와/JC
종합안내실의	종합안내실/NNG+의/JKG
모든	모든/MM
출입문은	출입문/NNG+은/JX
회전문과	회전문/NNG+과/JC
여닫이문으로	여닫이문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
휠체어장애인들의	휠체어장애인/NNG+들/XSN+의/JKG
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

6개	6/SN+개/NNB
부처	부처/NNG
각	각/MM
계단의	계단/NNG+의/JKG
손잡이에는	손잡이/NNG+에/JKB+는/JX
각	각/MM
층을	층/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
계단	계단/NNG
바닥에는	바닥/NNG+에/JKB+는/JX
점자블록이	점자블록/NNG+이/JKS
없어	없/VA+어/EC
시각장애인이	시각장애인/NNG+이/JKS
계단을	계단/NNG+을/JKO
이용하다	이용하/VV+다/EC
자칫	자칫/MAG
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
높았다	높/VA+았/EP+다/EC

장애인전용화장실은	장애인전용화장실/NNG+은/JX
6개	6/SN+개/NNB
부처	부처/NNG
및	및/MAG
종합안내실	종합안내실/NNG
1층의	1/SN+층/NNG+의/JKG
비장애인화장실	비장애인화장실/NNG
입구에만	입구/NNG+에/JKB+만/JX
터치식자동문으로	터치식자동문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

그러나	그러나/MAJ
공통으로	공통/NNG+으로/JKB
남녀	남녀/NNG
장애인전용화장실	장애인전용화장실/NNG
버튼	버튼/NNG
앞에	앞/NNG+에/JKB
불필요한	불필요하/VA+ㄴ/ETM
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

보통	보통/MAG
시각장애인은	시각장애인/NNG+은/JX
비장애인화장실을	비장애인화장실/NNG+을/JKO
이용한다	이용하/VV+ㄴ다/EC

종합안내실	종합안내실/NNG
1층의	1/SN+층/NNG+의/JKG
비장애인화장실	비장애인화장실/NNG
통로는	통로/NNG+는/JX
좁고	좁/VA+고/EC
점자블록도	점자블록/MAG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

비장애인화장실	비장애인화장실/NNG
방향의	방향/NNG+의/JKG
유리벽에는	유리벽/NNG+에/JKB+는/JX
유리가	유리/NNG+가/JKS
튀어나오도록	튀어나오/VV+도록/EC
디자인돼	디자인/NNG+되/XSV+어/EC
시각장애인들의	시각장애인/NNG+들/XSN+의/JKG
보행에	보행/NNG+에/JKB
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

나머지	나머지/NNG
6개	6/SN+개/NNB
부처	부처/NNG
각층(2층~7층)에는	각층/NNG+(/SS+2/SN+층/NNG+~/SO+7/SN+층/NNG+)/SS+에/JKB+는/JX
비장애인화장실	비장애인화장실/NNG
내에	내/NNB+에/JKB
장애인화장실이	장애인화장실/NNG+이/JKS
1곳씩	1/SN+곳/NNG+씩/XSN
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

하지만	하지만/MAJ
비장애인화장실	비장애인화장실/NNG
출입문은	출입문/NNG+은/JX
여닫이로	여닫이/NNG+로/JKB
내부에	내부/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
장애인화장실	장애인화장실/NNG
출입문은	출입문/NNG+은/JX
접이식으로	접이식/NNG+으로/JKB
설치돼	설치되/VV+어/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
휠체어장애인은	휠체어장애인/NNG+은/JX
사용하기	사용하/VV+기/ETN
어려웠다	어렵/VA+었/EP+다/EC

또한	또한/MAG
장애인화장실	장애인화장/NNG+실/XSN
내	내/NNB
용변기에는	용변/NNG+기/XSN+에/JKB+는/JX
등받이가	등받이/NNG+가/JKS
없었다	없/VA+었/EP+다/EF

휴지걸이는	휴지걸이/NNG+는/JX
용변기	용변/NNG+기/XSN
바로	바로/MAG
옆이	옆/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
중증장애인의	중증장애인/NNG+의/JKG
손이	손/NNG+이/JKS
닿지	닿/VV+지/EC
않을	않/VX+을/ETM
거리에	거리/NNB+에/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

비상호출벨은	비상호출벨/NNG+은/JX
근접	근접/NNG
거리에	거리/NNG+에/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

세면대는	세면대/NNG+는/JX
손잡이가	손잡이/NNG+가/JKS
없어	없/VA+어/EC
중증장애인	중증장애인/NNG
및	및/MAG
목발	목발/NNG
짚은	짚/VV+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
사용하기에는	사용하/VV+기/ETN+에/JKB+는/JX
다소	다소/MAG
어려움이	어려움/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

다리	다리/NNG
힘이	힘/NNG+이/JKS
부족한	부족하/VA+ㄴ/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
손잡이가	손잡이/NNG+가/JKS
없으면	없/VA+으면/EC
자칫	자칫/MAG
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
4층의	4/SN+층/NNG+의/JKG
공정거래위원회	공정거래위원회/NNG
비장애인화장실에	비장애인화장실/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
세면대는	세면대/NNG+는/JX
아래	아래/NNG
공간이	공간/NNG+이/JKS
막혀있어	막히/VV+어/EC+있/VX+어/EC
휠체어장애인들은	휠체어장애인/NNG+들/XSN+은/JX
근본적으로	근본적/NNG+으로/JKB
사용할	사용하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없었다	없/VA+었/EP+다/EF

더욱	더욱/MAG
심각한	심각하/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
공통으로	공통/NNG+으로/JKB
비장애인화장실	비장애인화장실/NNG
출입통로가	출입통로/NNG+가/JKS
좁아	좁/VA+아/EC
전동휠체어	전동휠체어/NNG
사용	사용/NNG
장애인은	장애인/NNG+은/JX
출입이	출입/NNG+이/JKS
불가능했다	불가능하/VA+였/EP+다/EC

확인결과	확인결과/NNG
겨우	겨우/MAG
수동휠체어만이	수동휠체어/NNG+만/JX+이/JKS
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

청사에서	청사/NNG+에서/JKB
근무하는	근무하/VV+는/ETM
한	한/MM
휠체어장애인	휠체어장애인/NNG
공무원에	공무원/NNG+에/JKB
비장애인화장실	비장애인화장실/NNG
내	내/NNB
장애인화장실	장애인화장실/NNG
이용	이용/NNG
편의를	편의/NNG+를/JKO
문의하자	문의하/VV+자/EC
“수동휠체어를	“/SL+수동휠체어/NNG+를/JKO
이용해야	이용하/VV+여야/EC
겨우	겨우/MAG
출입이	출입/NNG+이/JKS
가능하다”고	가능하/VA+다/EC+”/SN+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“비장애인화장실	“/SN+비장애인화장/NNG+실/XSN
안에	안/NNG+에/JKB
장애인화장실을	장애인화장실/NNG+을/JKO
설치해	설치하/VV+여/EC
휠체어장애인	휠체어장애/NNG+이/VCP+ㄴ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
비장애인들도	비장애인/NNG+들/XSN+도/JX
공간의	공간/NNG+의/JKG
불편을	불편/NNG+을/JKO
느끼고	느끼/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이외	이외/NNG
각	각/MM
부처	부처/NNG
남자장애인화장실	남자장애인화장실/NNG
소변기에도	소변기/NNG+에/JKB+도/JX
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
하체에	하체/NNG+에/JKB
힘이	힘/NNG+이/JKS
없는	없/VA+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
이용하기	이용하/VV+기/ETN
어려웠다	어렵/VA+었/EP+다/EC

국무총리실	국무총리/NNG+실/XSN
1층의	1/SN+층/NNG+의/JKG
남녀	남녀/NNG
장애인전용화장실은	장애인전용화장실/NNG+은/JX
내부에	내부/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
고정으로	고정/NNG+으로/JKB
돼	되/VV+어/EC
있고,	있/VX+고/EC+,/SP
앞으로	앞/NNG+으로/JKB
튀어나오면서	튀어나오/VV+면서/EC
공간이	공간/NNG+이/JKS
좁아져	좁아지/VV+어/EC
휠체어장애인의	휠체어장애인/NNG+의/JKG
용변기	용변/NNG+기/XSN
접근이	접근/NNG+이/JKS
어려웠다	어렵/VA+었/EP+다/EC

비상호출벨과	비상호출벨/NNG+과/JC
휴지걸이는	휴지걸이/NNG+는/JX
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
손이	손/NNG+이/JKS
닿는	닿/VV+는/ETM
곳에	곳/NNG+에/JKB
설치돼	설치되/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
용변기	용변/NNG+기/XSN
등받이는	등받이/NNG+는/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

또한	또한/MAG
1층의	1/SN+층/NNG+의/JKG
남자	남자/NNG
비장애인화장실	비장애인화장실/NNG
소변기는	소변기/NNG+는/JX
높아	높/VA+아/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
사용하기	사용하/VV+기/ETN
불편했다	불편하/VA+었/EP+다/EC

남녀	남녀/NNG
비장애인화장실	비장애인화장실/NNG
입부	입부/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
남녀	남녀/NNG
화장실을	화장실/NNG+을/JKO
구분할	구분하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있고,	있/VX+고/EC+,/SP
바닥에는	바닥/NNG+에/JKB+는/JX
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

국무총리실을	국무총리/NNG+실/XSN+을/JKO
제외한	제외하/VV+ㄴ/ETM
5개	5/SN+개/NNB
부처	부처/NNG
및	및/MAG
종합안내실	종합안내실/NNG
1층에	1/SN+층/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
장애인전용화장실은	장애인전용화장실/NNG+은/JX
남여	남여/NNG
공통으로	공통/NNG+으로/JKB
용변기에	용변/NNG+기/XSN+에/JKB
등받이가	등받이/NNG+가/JKS
없었다	없/VA+었/EP+다/EF

휴지걸이도	휴지걸이/NNG+도/JX
손이	손/NNG+이/JKS
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
곳에	곳/NNG+에/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

다만	다만/MAG
비상호출벨은	비/XPN+상호출벨/NNG+은/JX
손이	손/NNG+이/JKS
닿는	닿/VV+는/ETM
근접	근접/NNG
거리에	거리/NNG+에/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

반면	반면/NNG
세면대는	세면대/NNG+는/JX
손잡이가	손잡이/NNG+가/JKS
없어	없/VA+어/EC
자칫	자칫/MAG
하체가	하체/NNG+가/JKS
약한	약하/VA+ㄴ/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
사용하기	사용하/VV+기/ETN
어려웠다	어렵/VA+었/EP+다/EC

남자	남자/NNG
비장애인화장실내	비장애인화장실/NNG+내/NNB
소변기는	소변기/NNG+는/JX
다소	다소/MAG
높게	높/VA+게/EC
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어장애들이	휠체어장애/NNG+들/XSN+이/JKS
이용하기에	이용하/VV+기/ETN+에/JKB
불편이	불편/NNG+이/JKS
따를	따르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐다	예상되/VV+었/EP+다/EF

기획재정부	기획재정부/NNG
공정거래위원회	공정거래위원회/NNG
4층	4/SN+층/NNG
비장애인화장실	비장애인화장실/NNG
앞	앞/NNG
입구	입구/NNG
왼쪽에는	왼쪽/NNG+에/JKB+는/JX
남여	남여/NNG
화장실을	화장실/NNG+을/JKO
구분할	구분하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

반면	반면/NNG
바닥에	바닥/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
점자블록은	점자블록/NNG+은/JX
오른쪽	오른쪽/NNG
방향에	방향/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
개선이	개선/NNG+이/JKS
필요했다	필요하/VA+었/EP+다/EC

기획재정부	기획재정부/NNG
앞	앞/NNG
장애인전용주차장도	장애인전용주차장/NNG+도/JX
개선이	개선/NNG+이/JKS
여구됐다	여구되/VV+었/EP+다/EF

장애인전용주차장은	장애인전용주차장/NNG+은/JX
주차가능	주차가능/NNG
표지를	표지/NNG+를/JKO
부착하고	부착하/VV+고/EC
장애인이	장애인/NNG+이/JKS
탑승을	탑승/NNG+을/JKO
했을	하/VV+였/EP+을/ETM
때	때/NNG
주차가	주차/NNG+가/JKS
가능하다	가능하/VA+다/EC

이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
안내	안내/NNG
표지판이	표지판/NNG+이/JKS
없는	없/VA+는/ETM
것	것/NNB

세종시정부	세종시/NNP+정부/NNG
종합청사	종합청사/NNG
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
둘러본	둘러보/VV+ㄴ/ETM
세종시	세종시/NNP
시각장애인협회장은	시각장애인협회/NNG+장/XSN+은/JX
“이곳이	“/SL+이곳/NNG+이/JKS
공공시설물	공공시설/NNG+물/XSN
세종시	세종시/NNP
청사가	청사/NNG+가/JKS
맞는지	맞/VV+는지/EC
의심스럽다”며	의심스럽/VA+다/EC+”/VX+며/EC
“한마디로	“/SL+한마디/NNG+로/JKB
장애인	장애인/NNG
편의시설이	편의시설/NNG+이/JKS
엉망”이라고	엉망”/NNG+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
세종시	세종시/NNP
청사	청사/NNG
담당자는	담당자/NNG+는/JX
한국토지주택공사(LH공사)에서	한국토지주택공사/NNP+(/SS+LH/SL+공사/NNG+)/SS+에서/JKB
공사해	공사하/VV+여/EC
자신들에게는	자신/NNG+들/XSN+에게/JKB+는/JX
책임이	책임/NNG+이/JKS
없다는	없/VA+다는/ETM
변명만	변명/NNG+만/JX
늘어놓았다	늘어놓/VV+았/EP+다/EF

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
청사	청사/NNG
근무	근무/NNG
장애인	장애인/NNG
공무원은	공무원/NNG+은/JX
“앞으로도	“/SN+앞/NNG+으로/JKB+도/JX
계속	계속/MAG
청사건물이	청사건물/NNG+이/JKS
계속	계속/MAG
건립	건립/NNG
된다”며	되/VV+ㄴ다/EC+”/VV+며/EC
“장애인화장실	“/SL+장애인화장실/NNG
등의	등/NNB+의/JKG
불편사항에	불편사항/NNG+에/JKB
대해	대하/VV+여/EC
시정해야	시정하/VV+여야/EC
할	하/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

국무총리실	국무총리/NNG+실/XSN
출입구	출입구/NNG
옆에	옆/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
시각장애인들	시각장애인/NNG+들/XSN
위한	위하/VV+ㄴ/ETM
점자안내판이	점자안내판/NNG+이/JKS
부식형으로	부식형/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EC

더욱이	더욱이/MAG
점자를	점자/NNG+를/JKO
읽지	읽/VV+지/EC
못하는	못하/VX+는/ETM
시각장애인들	시각장애인/NNG+들/XSN
위한	위하/VV+ㄴ/ETM
음성안내기도	음성안/NNG+내/VV+기/ETN+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

여기에	여기/NP+에/JKB
직원호출바튼도	직원호출바튼/NNG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
종합안내실	종합안내실/NNG
1층의	1/SN+층/NNG+의/JKG
비장애인화장실	비장애인화장실/NNG
통로는	통로/NNG+는/JX
좁고	좁/VA+고/EC
점자블록도	점자블록/MAG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

비장애인화장실	비장애인화장실/NNG
방향의	방향/NNG+의/JKG
유리벽에는	유리벽/NNG+에/JKB+는/JX
유리가	유리/NNG+가/JKS
튀어나오도록	튀어나오/VV+도록/EC
디자인돼	디자인/NNG+되/XSV+어/EC
시각장애인들의	시각장애인/NNG+들/XSN+의/JKG
보행에	보행/NNG+에/JKB
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
세종시	세종시/NNP
종합안내실	종합안내실/NNG
출입구	출입구/NNG
옆에	옆/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
부식형	부식형/NNG
점자	점자/NNG
안내판은	안내판/NNG+은/JX
벌써	벌써/MAG
떨어져	떨어지/VV+어/EC
나가	나가/VV+아/EC
흉물스럽게	흉물스럽/VA+게/EC
놓여	놓이/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SN+박종태/NNP
국무총리실	국무총리/NNG+실/XSN
1층에	1/SN+층/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
남녀	남녀/NNG
장애인전용화장실	장애인전용화장실/NNG
내부는	내부/NNG+는/JX
공통으로	공통/NNG+으로/JKB
세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
앞으로	앞/NNG+으로/JKB
튀어	튀/VV+어/EC
니와	니/NP+와/JC
공간이	공간/NNG+이/JKS
협소해져	협소하/VV+여/EC+지/VX+어/EC
전동횔체어	전동/NNG+횔/SN+체어/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
이용하기	이용하/VV+기/ETN
불편하다	불편하/VA+다/EC

또한	또한/MAG
용변기에는	용변/NNG+기/XSN+에/JKB+는/JX
등받이도	등받이/NNG+도/JX
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
세종시	세종시/NNP
공정거래위원회	공정거래위원회/NNG
1층에	1/SN+층/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
남녀	남녀/NNG
장애인전용화장실	장애인전용화장실/NNG
공통으로	공통/NNG+으로/JKB
용변기	용변/NNG+기/XSN
등받이가	등받이/NNG+가/JKS
없고	없/VA+고/EC
휴지걸이가	휴지걸이/NNG+가/JKS
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
손이	손/NNG+이/JKS
닿지	닿/VV+지/EC
않는곳에	않/VX+는/ETM+곳/NNG+에/JKB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

세면대에는	세면대/NNG+에/JKB+는/JX
손잡이가	손잡이/NNG+가/JKS
없어	없/VA+어/EC
하체에	하체/NNG+에/JKB
힘이	힘/NNG+이/JKS
없는	없/VA+는/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
자칫	자칫/MAG
넘어질	넘어지/VV+ㄹ/ETM
