나이키에	나이키/NNP+에/JKB
끝내	끝내/MAG
운동화끈	운동화끈/NNG
매는	매/VV+는/ETM
것을	것/NNB+을/JKO
허락하지	허락하/VV+지/EC
않았다	않/VX+았/EP+다/EF

그러나	그러나/MAJ
대학	대학/NNG
가기	가/VV+기/ETN
전	전/NNG
그는	그/NP+는/JX
꼭	꼭/MAG
운동화를	운동화/NNG+를/JKO
스스로	스스로/MAG
신고	신고/NNG
캠퍼스를	캠퍼스/NNG+를/JKO
활보하고	활보하/VV+고/EC
싶었다	싶/VX+었/EP+다/EF

그는	그/NP+는/JX
마침내	마침내/MAG
생각을	생각/NNG+을/JKO
바꾸기로	바꾸/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

내가	내/NP+가/JKS
고칠	고치/VV+ㄹ/ETM
게	것/NNB+이/JKC
아니라	아니/VCN+라/EC
나에게	나/NP+에게/JKB
맞는	맞/VV+는/ETM
운동화를	운동화/NNG+를/JKO
만들어	만들/VV+어/EC
낸다면	내/VX+ㄴ다면/EC

지난	지나/VV+ㄴ/ETM
8월에	8/SN+월/NNB+에/JKB
나이키	나이키/NNP
사장에게	사장/NNG+에게/JKB
보내는	보내/VV+는/ETM
장애인	장애인/NNG
운동화	운동화/NNG
제작	제작/NNG
부탁	부탁/NNG
글을	글/NNG+을/JKO
올렸다	올리/VV+었/EP+다/EC

장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
손이	손/NNG+이/JKS
부자연스러워	부자연스럽/VA+어/EC
운동화	운동화/NNG
끈을	끈/NNG+을/JKO
맬	매/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없으니	없/VA+으니/EC
끈이	끈/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MM
방법으로	방법/NNG+으로/JKB
신을	신/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
운동화를	운동화/NNG+를/JKO
만들어	만들/VV+어/EC
달라는	달/VX+라는/ETM
것이다	것/NNB+이/VCP+다/EC

그는	그/NP+는/JX
자기	자기/NP
뿐만이	뿐만/JX+이/JKC
아니라	아니/VCN+라/EC
자기와	자기/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
장애인들에게도	장애인/NNG+들/XSN+에게/JKB+도/JX
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
말을	말/NNG+을/JKO
잊지	잊/VV+지/EC
않았다	않/VX+았/EP+다/EF

그	그/MM
글은	글/NNG+은/JX
네티즌들에게	네티즌/NNG+들/XSN+에게/JKB
무섭게	무섭/VA+게/EC
번저	번저/MAG
나갔다	나가/VV+았/EP+다/EF

현재	현재/MAG
미국	미국/NNP
인터넷은	인터넷/NNG+은/JX
'나이키	'/SS+나이키/NNP
레터'	레터/NNG+'/SS
라는	이/VCP+라는/ETM
검색어만	검색어/NNG+만/JX
치면	치/VV+면/EC
관련글들이	관련글/NNG+들/XSN+이/JKS
홍수처럼	홍수/NNG+처럼/JKB
밀려	밀리/VV+어/EC
온다	오/VX+ㄴ다/EF

편지를	편지/NNG+를/JKO
보내고	보내/VV+고/EC
난	나/VX+ㄴ/ETM
후	후/NNG
나이키의	나이키/NNP+의/JKG
뇌성마비	뇌성마비/NNG
직원으로부터	직원/NNG+으로부터/JKB
곧바로	곧바로/MAG
고려한다는	고려하/VV+ㄴ다는/ETM
전화를	전화/NNG+를/JKO
받았지만	받/VV+았/EP+지만/EC
좀	좀/MAG
더	더/MAG
확실히	확실히/MAG
하려는	하/VV+려는/ETM
네티즌들의	네티즌/NNG+들/XSN+의/JKG
활동은	활동/NNG+은/JX
파도처럼	파도/NNG+처럼/JKB
밀려가고	밀려가/VV+고/EC
있다	있/VX+다/EC

나이키	나이키/NNP
사장	사장/NNG
파커로	파커로/NNP
부터는	부터/NNP+는/JX
아직	아직/MAG
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
언급은	언급/NNG+은/JX
발표되지	발표되/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
실정이다	실정/NNG+이/VCP+다/EC

제일	제일/MAG
활발한	활발하/VA+ㄴ/ETM
활동은	활동/NNG+은/JX
트위터와	트위터/NNG+와/JC
나이키로	나이키/NNP+로/JKB
엽서	엽서/NNG
보내기	보내/VV+기/ETN
운동이다	운동/NNG+이/VCP+다/EC

특히	특히/MAG
엽서	엽서/NNG
보내기가	보내/VV+기/ETN+가/JKS
활발하게	활발하/VA+게/EC
진행되고	진행되/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
인터넷	인터넷/NNG
동영상에는	동영상/NNG+에/JKB+는/JX
사장	사장/NNG
파거에게	파거/NNG+에게/JKB
보내는	보내/VV+는/ETM
황갈색	황갈색/NNG
엽서를	엽서/NNG+를/JKO
보여주며	보이/VV+어/EC+주/VX+며/EC
너도	너/NP+도/JX
나도	나/NP+도/JX
동참할	동참하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요청하고	요청하/VV+고/EC
있다	있/VX+다/EC

엽서	엽서/NNG
내용은	내용/NNG+은/JX
간단하다	간단하/VA+다/EC

'파커	'/SS+파커/NNP
사장님,	사장/NNG+님/XSN+,/SP
다음	다음/NNG
동영상을	동영상/NNG+을/JKO
보시기	보/VV+시/EP+기/ETN
바랍니다	바랍니/VV+다/EC

'	'/SS
매튜는	매튜/NNP+는/JX
말한다	말하/VV+ㄴ다/EF

'긴세월	'/SS+긴세월/NNG
기다렸는데	기다리/VV+었/EP+는데/EC
기다릴	기다리/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
내가	내/NP+가/JKS
액션을	액션/NNG+을/JKO
취해야	취하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
깨달았습니다	깨닫/VV+았/EP+습니다/EF

'그렇다	'/SS+그렇/VA+다/EC

우리는	우리/NP+는/JX
마냥	마냥/MAG
기다릴	기다리/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
나와	나오/VV+아/EC
또한	또한/MAG
나와	나/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
환경의	환경/NNG+의/JKG
어려운	어렵/VA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
문제를	문제/NNG+를/JKO
해결하기	해결하/VV+기/ETN
위해	위하/VV+여/EC
스스로	스스로/MAG
나서야	나서/VV+어야/EC
하는	하/VX+는/ETM
것이다	것/NNB+이/VCP+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
