KBS,	KBS/SL+,/SP
설명했다	설명하/VV+었/EP+다/EC

또한,	또한/MAG+,/SP
방송법	방송법/NNG
제64조	제/XPN+64/SN+조/NR
및	및/MAG
방송법	방송법/NNG
시행령	시행령/NNG
제44조의	제/XPN+44/SN+조/NNB+의/JKG
“보건복지부에	“/SN+보건복지부/NNG+에/JKB
등록된	등록되/VV+ㄴ/ETM
시·청각장애인은	시/NNG+·/SP+청각장애인/NNG+은/JX
수신료가	수신료/NNG+가/JKS
면제된다”는	면제되/VV+ㄴ다/EC+”/SL+는/JX
조항과는	조항/NNG+과/JKB+는/JX
달리,	달리/MAG+,/SP
현실에서는	현실/NNG+에서/JKB+는/JX
수신료	수신/NNG+료/XSN
면제	면제/NNG
신청을	신청/NNG+을/JKO
따로	따로/MAG
해야만	하/VV+여야/EC+만/JX
수신료	수신/NNG+료/XSN
면제를	면제/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

더	더/MAG
많은	많/VA+은/ETM
수신료	수신/NNG+료/XSN
징수를	징수/NNG+를/JKO
위해	위하/VV+여/EC
따로	따로/MAG
신청한	신청하/VV+ㄴ/ETM
시·청각장애인에게만	시/NNG+·/SP+청각장애인/NNG+에게/JKB+만/JX
수신료를	수신/NNG+료/XSN+를/JKO
면제해주고	면제하/VV+여/EC+주/VX+고/EC
있다는	있/VX+다는/ETM
비난의	비난/NNG+의/JKG
소지가	소지/NNG+가/JKS
있는	있/VA+는/ETM
결과	결과/NNG

유	유/NNP
의원은	의원/NNG+은/JX
“아무리	“/SN+아무리/NNG
수신료	수신/NNG+료/XSN
수입이	수입/NNG+이/JKS
중요하다	중요하/VA+다/EC
하지만,	하/VV+지만/EC+,/SP
방송법에	방송법/NNG+에/JKB
명시된	명시되/VV+ㄴ/ETM
수신료	수신/NNG+료/XSN
면제	면제/NNG
‘시·청각장애인’에게까지	‘/SN+시/NNG+·/SP+청각장애인/NNG+’/SL+에게/JKB+까지/JX
440억원의	440/SN+억/NR+원/NNB+의/JKG
수신료를	수신/NNG+료/XSN+를/JKO
부과한	부과하/VV+ㄴ/ETM
것은	것/NNB+은/JX
공영방송으로서	공영방송/NNG+으로서/JKB
도를	도/NNG+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“수신료	“/SL+수신료/NNG
면제를	면제/NNG+를/JKO
신청하지	신청하/VV+지/EC
못한	못하/VX+ㄴ/ETM
시·청각장애인들에게	시/NNG+·/SP+청각장애인/NNG+들/XSN+에게/JKB
부당이득을	부당이득/NNG+을/JKO
챙기기에	챙기/VV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
시·청각장애인	시/NNG+·/SP+청각장애인/NNG
통계	통계/NNG
및	및/MAG
수신료	수신/NNG+료/XSN
면제	면제/NNG
중복	중복/NNG
내역	내역/NNG
파악	파악/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
‘수신료	‘/SL+수신료/NNG
징수	징수/NNG
체계’의	체계/NNG+’/SL+의/JKG
합리적인	합리적/NNG+이/VCP+ㄴ/ETM
재편에	재편/NNG+에/JKB
더욱	더욱/MAG
힘써야	힘쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC
