학생	학생/NNG
2005년	2005/SN+년/NNB
이후	이후/NNG
강제추행으로	강제추행/NNG+으로/JKB
두	두/MM
차례	차례/NNG
실형을	실형/NNG+을/JKO
선고	선고/NNG
받아	받/VV+아/EC
복역한	복역하/VV+ㄴ/ETM
점	점/NNG
등을	등/NNB+을/JKO
참작했다”고	참작하/VV+였/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
광주인화학교	광주인화학교/NNP
성폭력대책위원회	성폭력대책위원회/NNG
한현우	한현우/NNP
활동가는	활동가/NNG+는/JX
“객관적,	“/SN+객관적/NNG+,/SP
과학적인	과학적/NNG+이/VCP+ㄴ/ETM
증언	증언/NNG
등의	등/NNB+의/JKG
증거	증거/NNG
자료를	자료/NNG+를/JKO
제출했는데도	제출하/VV+였/EP+는데/EC+도/JX
최소한	최소한/NNG
원심(12년)을	원심/NNG+(/SS+12/SN+년/NNB+)/SS+을/JKO
유지하는	유지하/VV+는/ETM
판결을	판결/NNG+을/JKO
내리지	내리/VV+지/EC
않고,	않/VX+고/EC+,/SP
감형한	감형하/VV+ㄴ/ETM
것은	것/NNB+은/JX
납득할	납득하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
판결”이라며	판결”/NNG+이/VCP+라며/EC
“욕먹지	“/SL+욕먹/VV+지/EC
않을	않/VX+을/ETM
정도의	정도/NNG+의/JKG
애매한	애매하/VA+ㄴ/ETM
판결로	판결/NNG+로/JKB
꼼수	꼼수/NNG
재판부”라고	재판부”/NNG+이/VCP+라고/EC
비판했다	비판하/VV+였/EP+다/EC

이어	이어/MAG
“향후	“/SN+향후/NNG
검찰과	검찰/NNG+과/JKB
상의해서	상의하/VV+여서/EC
항고	항고/NNG
여부를	여부/NNG+를/JKO
검토해	검토하/VV+여/EC
보고,	보/VX+고/EC+,/SP
엄벌을	엄벌/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
종합적은	종합적/NNG+은/JX
투쟁	투쟁/NNG
계획도	계획/NNG+도/JX
논의를	논의/NNG+를/JKO
통해	통하/VV+여/EC
결정할	결정하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
대책위는	대책위/NNG+는/JX
이날	이날/NNG
판결	판결/NNG
뒤	뒤/NNG
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
28일부터	28/SN+일/NNB+부터/JX
광주법원	광주법원/NNP
앞에서	앞/NNG+에서/JKB
‘김	‘/SN+김/NNP
씨에	씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
엄벌’을	엄벌’/NNG+을/JKO
촉구하며	촉구하/VV+며/EC
진행해	진행하/VV+여/EC
오던	오/VX+던/ETM
농성을	농성/NNG+을/JKO
해제했다	해제하/VV+였/EP+다/EC
