英경찰,	英/SL+경찰/NNG+,/SP
해당	해당/NNG
경찰을	경찰/NNG+을/JKO
고발할	고발하/VV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
