'시티투어버스,	'/SS+시티투어버스/NNP+,/SP
시티투어버스가	시티투어버스/NNP+가/JKS
관광을	관광/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
이용하는	이용하/VV+는/ETM
교통수단이라는	교통수단/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
감안할	감안하/VV+ㄹ/ETM
때	때/NNG
장애인도	장애인/NNG+도/JX
비장애인과	비장애인/NNG+과/JKB
동등하게	동등하/VA+게/EC
시티투어버스를	시티투어버스/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
권리가	권리/NNG+가/JKS
있다고	있/VA+다고/EC
판단했다	판단하/VV+였/EP+다/EC

인권위는	인권위/NNG+는/JX
“A광역시	“A/SL+광역시/NNG
측은	측/NNB+은/JX
수동휠체어를	수동휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
경우	경우/NNG
버스기사	버스기사/NNG
및	및/MAG
가이드가	가이드/NNG+가/JKS
탑승할	탑승하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
인적서비스를	인적서비스/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
설명했으나,	설명하/VV+였/EP+으나/EC+,/SP
다른	다른/MM
승객이	승객/NNG+이/JKS
지켜보는	지켜보/VV+는/ETM
가운데	가운데/NNG
장애인을	장애인/NNG+을/JKO
조력자가	조력자/NNG+가/JKS
등에	등/NNG+에/JKB
업고	업/VV+고/EC
탑승할	탑승하/VV+ㄹ/ETM
경우	경우/NNG
장애인이	장애인/NNG+이/JKS
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수치심과	수치심/NNG+과/JC
불편,	불편/NNG+,/SP
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
안전사고	안전사고/NNG
발생의	발생/NNG+의/JKG
문제	문제/NNG
등도	등/NNB+도/JX
고려해야	고려하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
결론	결론/NNG
내렸다	내리/VV+었/EP+다/EC

인권위는	인권위/NNG+는/JX
“저상버스가	“/SN+저상버스/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
일반버스에	일반버스/NNG+에/JKB
휠체어리프트를	휠체어리프트/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
경우	경우/NNG
통상	통상/NNG
소요	소요/NNG
비용이	비용/NNG+이/JKS
2~3천만원	2/SN+~/SO+3/SN+천만/NR+원/NNB
내외라는	내외/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
감안하면	감안하/VV+면/EC
A광역시가	A/SL+광역시/NNG+가/JKS
이를	이/NP+를/JKO
부담하는	부담하/VV+는/ETM
것이	것/NNB+이/JKS
과도하다고	과도하/VA+다고/EC
보기	보/VV+기/ETN
어렵다”면서	어렵/VA+다/EC+”/VV+면서/EC
“A광역시장에게	“A/SL+광역시/NNG+장/XSN+에게/JKB
시티투어버스에	시티투어버스/NNP+에/JKB
휠체어	휠체어/NNG
승강설비	승강설비/NNG
등	등/NNB
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
마련할	마련하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
권고했다"고	권고하/VV+였/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC
