서울지하철	서울지하철/NNP
45개	45/SN+개/NNB
역사에는	역사/NNG+에/JKB+는/JX
남녀공용장애인화장실이	남녀공용장애인화장실/NNG+이/JKS
설치됐다	설치되/VV+었/EP+다/EF

도시철도공사에서	도시철도공사/NNG+에서/JKB
운영하는	운영하/VV+는/ETM
5∼8호선은	5/SN+∼/SO+8/SN+호/NNB+선/XSN+은/JX
148개	148/SN+개/NNB
역사	역사/NNG
중	중/NNB
5호선	5/SN+호/NNB+선/XSN
청구역,	청구역/NNG+,/SP
7호선	7/SN+호/NNB+선/XSN
군자역,	군자역/NNG+,/SP
8호선	8/SN+호/NNB+선/XSN
천호역	천호역/NNP
등	등/NNB
3개	3/SN+개/NNB
역사에	역사/NNG+에/JKB
장애인화장실이	장애인화장실/NNG+이/JKS
미설치됐다	미설치되/VV+었/EP+다/EF

남녀공용장애인화장실이	남녀공용장애인화장실/NNG+이/JKS
설치된	설치되/VV+ㄴ/ETM
역사는	역사/NNG+는/JX
34곳인	34/SN+곳/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

2009년에	2009/SN+년/NNB+에/JKB
개통한	개통하/VV+ㄴ/ETM
9호선의	9/SN+호/NNB+선/XSN+의/JKG
25개	25/SN+개/NNB
역사의	역사/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
모두	모두/MAG
남녀로	남녀/NNG+로/JKB
구분된	구분되/VV+ㄴ/ETM
장애인화장실이	장애인화장실/NNG+이/JKS
설치됐다	설치되/VV+었/EP+다/EF

이는	이/NP+는/JX
2007년	2007/SN+년/NNB
‘교통약자의	‘/SN+교통약자/NNG+의/JKG
이동편의	이동편/NNG+의/JKG
증진법’	증진법/NNG+’/SN
개정에	개정/NNG+에/JKB
따라	따르/VV+아/EC
장애인화장실의	장애인화장실/NNG+의/JKG
남녀	남녀/NNG
구분	구분/NNG
설치	설치/NNG
의무화된	의무화되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
반영된	반영되/VV+ㄴ/ETM
결과로	결과/NNG+로/JKB
풀이된다	풀이되/VV+ㄴ다/EF

한편	한편/MAG
지하철	지하철/NNG
내에	내/NNB+에/JKB
장애인화장실을	장애인화장실/NNG+을/JKO
설치는	설치/VV+는/ETM
10여년전부터	10/SN+여/XSN+년/NNB+전/NNG+부터/JX
'장애인·노인·임산부	'/SS+장애인/NNG+·/SP+노인/NNG+·/SP+임산부/NNG
등의	등/NNB+의/JKG
편의증진보장에	편의증진보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률'에	법률/NNG+'/SS+에/JKB
의해	의하/VV+여/EC
시행되고	시행되/VV+고/EC
있다	있/VX+다/EC

*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
