"새누리당,	"/SS+새누리당/NNP+,/SP
아니냐는	아니/VCN+냐는/ETM
의혹의	의혹/NNG+의/JKG
눈초리도	눈초리/NNG+도/JX
더해진다	더하/VV+여/EC+지/VX+ㄴ다/EF

국회	국회/NNG
보건복지위원회는	보건복지위원회/NNG+는/JX
지난달	지난달/NNG
故	故/SL
허정석·김주영	허정석/NNP+·/SP+김주영/NNP
씨	씨/NNB
등	등/NNB
활동보조인의	활동보조인/NNG+의/JKG
부재로	부재/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
잇따른	잇따르/VV+ㄴ/ETM
참변으로	참변/NNG+으로/JKB
인해	인하/VV+여/EC
활동보조	활동보조/NNG
지원	지원/NNG
확대의	확대/NNG+의/JKG
필요성에	필요성/NNG+에/JKB
공감,	공감/NNG+,/SP
이견	이견/NNG
없이	없이/MAG
내년	내년/NNG
장애인활동지원제도	장애인활동지원제도/NNG
예산을	예산/NNG+을/JKO
정부안	정부안/NNG
3,214억원에서	3,214/SN+억/NR+원/NNB+에서/JKB
50%	50/SN+%/SW
증액된	증액되/VV+ㄴ/ETM
4,750억원으로	4,750/SN+억/NR+원/NNB+으로/JKB
확정하고	확정하/VV+고/EC
예결위로	예결위/NNG+로/JKB
올렸다	올리/VV+었/EP+다/EC

또한	또한/MAG
보건복지부는	보건복지부/NNG+는/JX
최중증	최/XPN+중증/NNG
독거장애인,	독거장애인/NNG
최중증	최/XPN+중증/NNG
장애인가구	장애인가구/NNG
및	및/MAG
취약가구	취약가구/NNG
장애인에게	장애인/NNG+에게/JKB
24시간의	24/SN+시간/NNB+의/JKG
활동보조를	활동보조/NNG+를/JKO
우선	우선/MAG
지원하는	지원하/VV+는/ETM
것으로	것/NNB+으로/JKB
하고	하/VV+고/EC
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
활동지원	활동지원/NNG
계획을	계획/NNG+을/JKO
세워	세우/VV+어/EC
국회에	국회/NNG+에/JKB
보고한다는	보고하/VV+ㄴ다는/ETM
내용을	내용/NNG+을/JKO
부대의견으로	부대의견/NNG+으로/JKB
채택했다	채택하/VV+였/EP+다/EC

이	이/MM
자리에서	자리/NNG+에서/JKB
전장연	전장연/NNP
김정하	김정하/NNP
조직국장은	조직국장/NNG+은/JX
“새누리당이	“/SN+새누리당/NNG+이/JKS
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
보장과	보장/NNG+과/JKB
관련해	관련하/VV+여/EC
장애인계와	장애인계/NNG+와/JKB
서명했지만,	서명하/VV+였/EP+지만/EC+,/SP
현재	현재/MAG
활동보조	활동보조/NNG
예산안이	예산안/NNG+이/JKS
통과되지	통과되/VV+지/EC
않고	않/VX+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“대선	“/SL+대선/NNG
끝나면	끝나/VV+면/EC
심의	심의/NNG
할	하/VV+ㄹ/ETM
거니까	것/NNB+이/VCP+니까/EC
지켜봐달라고	지켜보/VV+아/EC+달/VX+라고/EC
얘기하고	얘기하/VV+고/EC
있지만	있/VX+지만/EC
현재	현재/MAG
공약으로	공약/NNG+으로/JKB
약속한	약속하/VV+ㄴ/ETM
예산을	예산/NNG+을/JKO
반드시	반드시/MAG
통과시키겠다고	통과/NNG+시키/XSV+겠/EP+다고/EC
약속할	약속하/VV+ㄹ/ETM
수	수/NNB
있는데도	있/VA+는데/EC+도/JX
말을	말/NNG+을/JKO
돌리고,	돌리/VV+고/EC+,/SP
확답을	확답/NNG+을/JKO
하고	하/VV+고/EC
있지	있/VX+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이어	이어/MAG
“지금까지	“/SN+지금/NNG+까지/JX
복지	복지/NNG
예산	예산/NNG
증액하는	증액하/VV+는/ETM
문제에서	문제/NNG+에서/JKB
항상	항상/MAG
반대	반대/NNG
입장을	입장/NNG+을/JKO
선	서/VV+ㄴ/ETM
새누리당을	새누리당/NNG+을/JKO
더	더/MAG
이상	이상/NNG
믿을	믿/VV+을/ETM
수	수/NNB
없다”면서	없/VA+다”면서/EC
“확답이	“/SL+확답/NNG+이/JKS
중요하다”고	중요하/VA+다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

중랑장애인자립생활센터	중랑/NNP+장애인자립생활센터/NNG
양영희	양영희/NNP
소장도	소장/NNG+도/JX
“중복장애(지적,	“/SL+중복장애/NNG+(/SS+지적/NNG+,/SP
뇌성마비)가	뇌성마비/NNG+)/SS+가/JKS
있는	있/VA+는/ETM
아동의	아동/NNG+의/JKG
어머니가	어머니/NNG+가/JKS
아이의	아이/NNG+의/JKG
상태가	상태/NNG+가/JKS
점점	점점/MAG
악화되자	악화되/VV+자/EC
복지부와	복지부/NNG+와/JC
국민연금공단에	국민연금공단/NNP+에/JKB
가서	가/VV+아서/EC
시간	시간/NNG
확대를	확대/NNG+를/JKO
요구했지만	요구하/VV+였/EP+지만/EC
이미	이미/MAG
1급으로	1/SN+급/NNG+으로/JKB
최고	최고/NNG
서비스	서비스/NNG
시간을	시간/NNG+을/JKO
받기	받/VV+기/ETN
때문에	때문/NNB+에/JKB
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
말을	말/NNG+을/JKO
들었다”며	듣/VV+었/EP+다/EC+”/VV+며/EC
“이	“/SL+이/JKS
아이의	아이/NNG+의/JKG
경우	경우/NNG
100시간,	100/SN+시간/NNB+,/SP
하루에	하루/NNG+에/JKB
3시간	3/SN+시간/NNB
활동보조를	활동보조/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있는데	있/VA+는데/EC
화장실조차	화장실/NNG+조차/JX
마음대로	마음대로/MAG
가지	가/VV+지/EC
못	못/VX
한다”고	하/VX+ㄴ다”고/EC
활동보조	활동보조/NNG
서비스	서비스/NNG
시간	시간/NNG
부족의	부족/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
설명했다	설명하/VV+었/EP+다/EC

양	양/NNP
소장은	소장/NNG+은/JX
또한	또한/MAG
“중복장애인이	“/SL+중복장애인/NNG+이/JKS
하루	하루/NNG
3시간	3/SN+시간/NNB
활동보조로	활동보조/NNG+로/JKB
모든	모든/MM
생활을	생활/NNG+을/JKO
제대로	제대로/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
의구심이	의구심/NNG+이/JKS
든다	들/VV+ㄴ다/EF

(지자체	(/SS+지자체/NNG
예산으로	예산/NNG+으로/JKB
가장	가장/MAG
많이	많이/MAG
추가지원을	추가지원/NNG+을/JKO
하는)	하/VV+는/ETM+)/SS
서울시의	서울시/NNP+의/JKG
경우도	경우/NNG+도/JX
최대	최대/NNG
360시간인데,	360/SN+시간/NNB+이/VCP+ㄴ데/EC+,/SP
이것도	이것/NP+도/JX
사지마비라는	사지마비/NNG+이/VCP+라는/ETM
전제조건이	전제조건/NNG+이/JKS
있어야	있/VA+어야/EC
가능한	가능하/VA+ㄴ/ETM
일”이라면서	일”/NNG+이/VCP+라면서/EC
“사례를	“/SN+사례/NNG+를/JKO
든	들/VV+ㄴ/ETM
친구처럼	친구/NNG+처럼/JKB
지적장애가	지적장애/NNG+가/JKS
있고	있/VA+고/EC
대소변을	대소변/NNG+을/JKO
가리지	가리/VV+지/EC
못하는	못하/VX+는/ETM
어린	어리/VA+ㄴ/ETM
아동의	아동/NNG+의/JKG
경우	경우/NNG
활동보조	활동보조/NNG
서비스를	서비스/NNG+를/JKO
충분하게	충분하/VA+게/EC
받을	받/VV+을/ETM
수	수/NNB
없다”고	없/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

한편	한편/MAG
전장연은	전장연/NNP+은/JX
기자회견을	기자회견/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
내년	내년/NNG
활동지원제도	활동지원제도/NNG
예산	예산/NNG
확보,	확보/NNG+,/SP
지속적으로	지속적/NNG+으로/JKB
요구해	요구하/VV+여/EC
온	오/VX+ㄴ/ETM
부양의무제	부양의무제/NNG
폐지	폐지/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
박근혜	박근혜/NNP
후보와의	후보/NNG+와/JKB+의/JKG
면담요청서를	면담요청서/NNG+를/JKO
새누리당	새누리당/NNP
민원국	민원국/NNG
새누리당	새누리당/NNP
민원국	민원국/NNG
정익훈	정익훈/NNP
팀장에게	팀장/NNG+에게/JKB
전달했다	전달하/VV+였/EP+다/EC

은평장애인자립생활센터	은평/NNP+장애인자립생활센터/NNG
최용기	최용기/NNP
소장이	소장/NNG+이/JKS
새누리당	새누리당/NNP
민원국	민원국/NNG
정익훈	정익훈/NNP
팀장에게	팀장/NNG+에게/JKB
박근혜	박근혜/NNP
후보	후보/NNG
면담	면담/NNG
요구서를	요구서/NNG+를/JKO
전달하고	전달하/VV+고/EC
있다	있/VX+다/EC

여의도	여의도/NNP
새누리당사에서	새누리당사/NNG+에서/JKB
기자회견	기자회견/NNG
하는	하/VV+는/ETM
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
소속	소속/NNG
장애인과	장애인/NNG+과/JC
활동가들	활동가/NNG+들/XSN
