'서울시민복지기준'	'/SS+서울/NNP+시민복지기준/NNG+'/SS
최저기준에서	최저기준/NNG+에서/JKB
한	한/MM
발	발/NNG
더	더/MAG
나아가	나아가/VV+아/EC
“서울시민의	“/SL+서울/NNP+시민/NNG+의/JKG
소득이	소득/NNG+이/JKS
국제적	국제적/NNG
빈곤기준선인	빈곤기준선/NNG+이/VCP+ㄴ/ETM
서울시	서울시/NNP
전체가구	전체가구/NNG
중위소득의	중위소득/NNG+의/JKG
50%	50/SN+%/SW
수준	수준/NNG
이상”이	이상”/NNG+이/JKC
되도록	되도록/MAG
적정기준을	적정기준/NNG+을/JKO
정했다	정하/VV+였/EP+다/EF

국제적으로	국제적/NNG+으로/JKB
상대적	상대적/NNG
빈곤층으로	빈곤층/NNG+으로/JKB
분류되는	분류되/VV+는/ETM
중위소득	중위소득/NNG
50%	50/SN+%/SW
이하의	이하/NNG+의/JKG
소득을	소득/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
서울시민은	서울/NNP+시민/NNG+은/JX
약	약/MM
112만	112/SN+만/NR
명으로	명/NNB+으로/JKB
추정된다	추정되/VV+ㄴ다/EF

■노인·장애인	■/SW+노인/NNG+·/SP+장애인/NNG
지원주택	지원주택/NNG
1500호	1500/SN+호/NNB
공급=서울시민의	공급/NNG+=/SW+서울/NNP+시민/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
걱정인	걱정/NNG+이/VCP+ㄴ/ETM
‘주거	‘/SN+주거/NNG
분야’의	분야/NNG+’/SL+의/JKG
최저기준은	최저기준/NNG+은/JX
“임대료	“/SL+임대료/NNG
비중이	비중/NNG+이/JKS
소득의	소득/NNG+의/JKG
30%가	30/SN+%/SW+가/JKS
넘지	넘/VV+지/EC
않도록	않/VX+도록/EC
지원하고,	지원하/VV+고/EC+,/SP
주거	주거/NNG
공간을	공간/NNG+을/JKO
43㎡	43/SN+㎡/SW
이상	이상/NNG
확보하는	확보하/VV+는/ETM
것”으로	것/NNB+”/SL+으로/JKB
정했다	정하/VV+였/EP+다/EF

시는	시/NNG+는/JX
2020년까지	2020/SN+년/NNB+까지/JX
주택재고의	주택재고/NNG+의/JKG
10%까지	10/SN+%/SW+까지/JX
공공임대주택을	공공임대주택/NNG+을/JKO
확충	확충/NNG
주택바우처를	주택바우처/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
주거비	주/MM+거비/NNG
보조	보조/NNG
확대	확대/NNG
주택에너지효율화	주택에너지효율/NNG+화/XSN
사업을	사업/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
난방비	난방/NNG+비/XSN
부담	부담/NNG
감소	감소/NNG
등	등/NNB
다각도의	다각도/NNG+의/JKG
정책을	정책/NNG+을/JKO
통해	통하/VV+여/EC
저소득층의	저소득층/NNG+의/JKG
임대료	임대료/NNG
부담을	부담/NNG+을/JKO
줄여나갈	줄이/VV+어/EC+나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

뿐만	뿐/NNB+만/JX
아니라,	아니/VCN+라/EC+,/SP
급증하는	급증하/VV+는/ETM
노인과	노인/NNG+과/JC
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
주거와	주거/NNG+와/JC
휴먼서비스를	휴먼서비스/NNG+를/JKO
결합한	결합하/VV+ㄴ/ETM
노인?장애인	노인/NNG+?/SF+장애인/NNG
지원주택	지원주택/NNG
1500호를	1500/SN+호/NNB+를/JKO
오는	오/VV+는/ETM
2018년까지	2018/SN+년/NNB+까지/JX
공급함으로써	공급하/VV+ㅁ/ETN+으로써/JKB
시설	시설/NNG
수용	수용/NNG
위주의	위주/NNG+의/JKG
복지	복지/NNG
제공을	제공/NNG+을/JKO
지양하고,	지양하/VV+고/EC+,/SP
이들이	이/NP+들/XSN+이/JKS
지역사회에	지역사회/NNG+에/JKB
생활하면서	생활하/VV+면서/EC
복지서비스를	복지서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원할	지원하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

주거	주거/NNG
분야	분야/NNG
적정기준은	적정기준/NNG+은/JX
“임대료가	“/SL+임대료/NNG+가/JKS
소득의	소득/NNG+의/JKG
25%이하,	25/SN+%/SW+이하/NNG+,/SP
4인	4/SN+인/NNG
표준가구	표준가구/NNG
기준으로	기준/NNG+으로/JKB
주거	주거/NNG
공간	공간/NNG
54㎡	54/SN+㎡/SW
확보”로	확보”로/NNG
설정,	설정/NNG+,/SP
최저기준	최저기준/NNG
충족을	충족/NNG+을/JKO
넘어	넘/VV+어/EC
적정기준	적정기준/NNG
달성을	달성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책적인	정책적/NNG+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
아끼지	아끼/VV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
시는	시/NNG+는/JX
밝혔다	밝히/VV+었/EP+다/EC

■어린이집	■/SW+어린이집/NNG
이용자	이용자/NNG
부담액	부담액/NNG
상한선	상한선/NNG
가이드라인	가이드라인/NNG
제시=‘돌봄	제시/NNG+=/SW+‘/SN+돌봄/NNG
분야’	분야’/NNG
최저기준은	최저기준/NNG+은/JX
영유아,	영유아/NNG+,/SP
아동,	아동/NNG+,/SP
노인,	노인/NNG+,/SP
장애인	장애인/NNG
등	등/NNB
돌봄이	돌봄이/MAG
필요한	필요하/VA+ㄴ/ETM
시민들이	시민/NNG+들/XSN+이/JKS
“가구소득의	“/SL+가구소득/NNG+의/JKG
10%	10/SN+%/SW
이내의	이내/NNG+의/JKG
지출로	지출/NNG+로/JKB
돌봄서비스를	돌봄서비스/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
것”	것/NNB+”/SL

양육부담으로	양육부담/NNG+으로/JKB
아이	아이/NNG
낳기를	낳/VV+기/ETN+를/JKO
꺼리는	꺼리/VV+는/ETM
시민,	시민/NNG+,/SP
최소한의	최소한/NNG+의/JKG
요양서비스를	요양서비스/NNG+를/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
어르신,	어르신/NNG+,/SP
연극	연극/NNG
한	한/MM
편	편/NNG
맘	맘/NNG
놓고	놓/VV+고/EC
못	못/MAG
보는	보/VV+는/ETM
장애인	장애인/NNG
시민의	시민/NNG+의/JKG
돌봄	돌보/VV+ㅁ/ETN
부담을	부담/NNG+을/JKO
덜고자	덜/VV+고자/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
핵심이다	핵심/NNG+이/VCP+다/EC

이를	이/NP+를/JKO
실현하기	실현하/VV+기/ETN
위해	위하/VV+여/EC
시는	시/NNG+는/JX
국공립어린이집을	국공립어린이집/NNG+을/JKO
동별	동/NNG+별/XSN
2개소	2/SN+개소/NNB
이상	이상/NNG
배치해	배치하/VV+여/EC
2020년까지	2020/SN+년/NNB+까지/JX
전체	전체/NNG
어린이집의	어린이집/NNG+의/JKG
30%이상이	30/SN+%/SW+이상/NNG+이/JKC
되도록	되/VV+도록/EC
확충해	확충하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한,	또한/MAG+,/SP
현재	현재/MAG
어린이집	어린이집/NNG
보육료	보육/NNG+료/XSN
외에도	외/NNB+에/JKB+도/JX
기타	기타/NNG
필요경비와	필요경비/NNG+와/JC
특별활동비	특별활동비/NNG
등의	등/NNB+의/JKG
명목으로	명목/NNG+으로/JKB
학부모가	학부모/NNG+가/JKS
추가	추가/NNG
부담해야	부담하/VV+여야/EC
하는	하/VX+는/ETM
부담액	부담액/NNG
상한선을	상한선/NNG+을/JKO
자치구가	자치구/NNG+가/JKS
정하도록	정하/VV+도록/EC
하는	하/VX+는/ETM
‘어린이집	‘/SL+어린이집/NNG
이용자	이용자/NNG
부담액	부담액/NNG
상한선	상한선/NNG
가이드라인’을	가이드라인/NNG+’/SL+을/JKO
제시해	제시하/VV+여/EC
추가	추가/NNG
비용	비용/NNG
지불로	지불/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
양육	양육/NNG
부담을	부담/NNG+을/JKO
해소할	해소하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

상한선은	상한선/NNG+은/JX
보육료의	보육/NNG+료/XSN+의/JKG
50%	50/SN+%/SW
이하가	이하/NNG+가/JKC
되도록	되/VV+도록/EC
제시한다	제시하/VV+ㄴ다/EC

특히,	특히/MAG+,/SP
저소득층에게	저소득층/NNG+에게/JKB
기타	기타/NNG
필요경비의	필요경비/NNG+의/JKG
일부를	일부/NNG+를/JKO
지원하여	지원하/VV+여/EC
저소득층도	저소득층/NNG+도/JX
마음	마음/NNG
놓고	놓/VV+고/EC
아이를	아이/NNG+를/JKO
맡길	맡기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다	하/VX+ㄴ다/EF

■‘복지사각지대’	■/SW+‘/SL+복지사각지대’/NNG
노인	노인/NNG
본인부담금	본인부담금/NNG
지원=실제	지원/NNG+=/SW+실제/NNG
최저생계비	최저생계비/NNG
이하의	이하/NNG+의/JKG
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있지만	있/VX+지만/EC
국가의	국가/NNG+의/JKG
지원을	지원/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
복지사각지대에	복지사각지대/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
노인들은	노인/NNG+들/XSN+은/JX
‘장기요양보험’과	‘/SN+장기요양보험/NNG+’/SL+과/JC
‘노인돌봄종합서비스’를	‘/SL+노인돌봄종합서비스/NNG+’/SL+를/JKO
이용할	이용하/VV+ㄹ/ETM
때	때/NNG
지불해야하는	지불하/VV+여야/EC+하/VX+는/ETM
본인부담금을	본인부담금/NNG+을/JKO
내년부터	내년/NNG+부터/JX
서울시가	서울시/NNP+가/JKS
100%	100/SN+%/SW
지원한다	지원하/VV+ㄴ다/EC

‘장기요양보험’의	‘/SN+장기요양보험/NNG+’/SL+의/JKG
경우	경우/NNG
오는	오/VV+는/ETM
2013년	2013/SN+년/NNB
467명으로	467/SN+명/NNB+으로/JKB
시작해	시작하/VV+여/EC
2015년부터	2015/SN+년/NNB+부터/JX
2870명으로	2870/SN+명/NNB+으로/JKB
지원을	지원/NNG+을/JKO
확대하고,	확대하/VV+고/EC+,/SP
‘노인돌봄종합서비스’는	‘/SL+노인돌봄종합서비스/NNG+’/SL+는/JX
내년	내년/NNG
891명을	891/SN+명/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
2014년부터	2014/SN+년/NNB+부터/JX
1천명을	1/SN+천/NR+명/NNB+을/JKO
지원할	지원하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

국가의	국가/NNG+의/JKG
활동보조서비스에서	활동보조서비스/NNG+에서/JKB
탈락한	탈락하/VV+ㄴ/ETM
1급	1/SN+급/NNG
장애인과	장애인/NNG+과/JC
장애	장애/NNG
정도가	정도/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
2급	2/SN+급/NNG
장애인	장애인/NNG
등	등/NNB
틈새계층의	틈새계층/NNG+의/JKG
활동보조서비스도	활동보조서비스/NNG+도/JX
내년부터	내년/NNG+부터/JX
지원한다	지원하/VV+ㄴ다/EC

아동	아동/NNG
중증장애인	중증장애인/NNG
소득기준도	소득기준/NNG+도/JX
폐지해	폐지하/VV+여/EC
가족의	가족/NNG+의/JKG
부담을	부담/NNG+을/JKO
경감한다	경감하/VV+ㄴ다/EF

■걸어서	■/SW+걸/VV+어서/EC
보건지소	보건지소/NNG
이용	이용/NNG
가능=‘건강	가능/NNG+=/SW+‘/SN+건강/NNG
분야’	분야’/NNG
최저기준은	최저기준/NNG+은/JX
“경제적?지리적	“/SL+경제적/NNG+?/SF+지리/NNG+적/XSN
장벽	장벽/NNG
때문에	때문/NNB+에/JKB
필수적인	필수적/NNG+이/VCP+ㄴ/ETM
보건의료서비스를	보건의료서비스/NNG+를/JKO
이용하지	이용하/VV+지/EC
못하는	못하/VX+는/ETM
시민이	시민/NNG+이/JKS
없도록	없/VA+도록/EC
하는	하/VX+는/ETM
것”으로	것/NNB+”/SL+으로/JKB
정했다	정하/VV+였/EP+다/EF

최소한	최소한/NNG
필수적인	필수적/NNG+이/VCP+ㄴ/ETM
보건의료서비스는	보건의료서비스/NNG+는/JX
천만	천만/NR
시민이	시민/NNG+이/JKS
모두	모두/MAG
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
서울을	서울/NNP+을/JKO
목표로	목표/NNG+로/JKB
한다	하/VV+ㄴ다/EF

이를	이/NP+를/JKO
위해	위하/VV+여/EC
인구	인구/NNG
5만~10만	5/SN+만/NR+~/SO+10/SN+만/NR
명당	명/NNB+당/XSN
1개씩	1/SN+개/NNB+씩/XSN
보건지소를	보건지소/NNG+를/JKO
설치해	설치하/VV+여/EC
서울시민이면	서울/NNP+시민/NNG+이/VCP+면/EC
누구나	누구/NP+나/JX
걸어서	걷/VV+어서/EC
10분	10/SN+분/NNB
이내	이내/NNG
보건지소를	보건지소/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다	하/VX+ㄴ다/EF

당장	당장/NNG
내년에	내년/NNG+에/JKB
10개소가	10/SN+개소/NNB+가/JKS
추가	추가/NNG
설치된다	설치되/VV+ㄴ다/EF

또,	또/MAG+,/SP
서북권에	서북권/NNG+에/JKB
종합병원,	종합병원/NNG+,/SP
동남권에	동남/NNG+권/XSN+에/JKB
노인	노인/NNG
병원을	병원/NNG+을/JKO
설립해	설립하/VV+여/EC
공공보건의료체계를	공공보건의료체계/NNG+를/JKO
강화해	강화하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

시는	시/NNG+는/JX
가족	가족/NNG
간병이	간병/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
입원환자에	입원환자/NNG+에/JKB
간호사	간호사/NNG
중심의	중심/NNG+의/JKG
무료	무료/NNG
간병서비스를	간병서비스/NNG+를/JKO
제공하기	제공하/VV+기/ETN
위해	위하/VV+여/EC
서울의료원에	서울의료원/NNP+에/JKB
‘환자안심	‘/SN+환자안심/NNG
병원’을	병원’/NNG+을/JKO
시범운영	시범운영/NNG
할	하/VV+ㄹ/ETM
계획이며,	계획/NNG+이/VCP+며/EC+,/SP
야간이나	야간/NNG+이나/JC
휴일에도	휴일/NNG+에/JKB+도/JX
집	집/NNG
가까이에서	가까이/NNG+에서/JKB
의료서비스를	의료서비스/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
야간?휴일	야간/NNG+?/SF+휴일/NNG
진료센터를	진료센터/NNG+를/JKO
2014년까지	2014/SN+년/NNB+까지/JX
100개소	100/SN+개소/NNB
운영한다	운영하/VV+ㄴ다/EF

이외에도	이외/NNG+에/JKB+도/JX
만성질환자를	만성질환/NNG+자/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
‘시민건강포인트’	‘/SL+시민건강포인트/NNG+’/SL
도입,	도입/NNG+,/SP
‘아동	‘/SL+아동/NNG
치과주치의제도’	치과주치의제도’/NNG
등을	등/NNB+을/JKO
이용해	이용하/VV+여/EC
생애주기별로	생애주기/NNG+별/XSN+로/JKB
건강을	건강/NNG+을/JKO
관리할	관리하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
체계를	체계/NNG+를/JKO
만들어	만들/VV+어/EC
시민의	시민/NNG+의/JKG
건강수준을	건강수준/NNG+을/JKO
높여나갈	높이/VV+어/EC+나가/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

나아가	나아가/VV+아/EC
적정기준은	적정기준/NNG+은/JX
“모든	“/SL+모든/MM
시민의	시민/NNG+의/JKG
건강수준	건강수준/NNG
향상과	향상/NNG+과/JC
지역	지역/NNG
간	간/NNB
건강격차	건강격차/NNG
해소를	해소/NNG+를/JKO
동시에	동시/NNG+에/JKB
이루어나가는	이루/VV+어/EC+나가/VX+는/ETM
것”으로	것/NNB+”/SL+으로/JKB
설정했다	설정하/VV+였/EP+다/EC

■취학필수경비	■/SW+취학필수경비/NNG
단계적	단계적/NNG
무상화=‘교육	무상화/NNG+=/SW+‘/SL+교육/NNG
분야’의	분야’/NNG+의/JKG
최저기준은	최저기준/NNG+은/JX
“경제적	“/SL+경제적/NNG
부담	부담/NNG
완화를	완화/NNG+를/JKO
통해	통하/VV+여/EC
시민이	시민/NNG+이/JKS
학령기에	학령기/NNG+에/JKB
보장된	보장되/VV+ㄴ/ETM
교육적	교육적/NNG
기본권을	기본권/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
것”으로,	것/NNB+”/SL+으로/JKB+,/SP
적정기준은	적정기준/NNG+은/JX
“의무교육의	“/SL+의무교육/NNG+의/JKG
질을	질/NNG+을/JKO
높이고	높이/VV+고/EC
성인의	성인/NNG+의/JKG
평생교육	평생교육/NNG
기회를	기회/NNG+를/JKO
증진하는	증진하/VV+는/ETM
것”으로	것/NNB+”/SL+으로/JKB
정하고,	정하/VV+고/EC+,/SP
서울시	서울시/NNP
교육청과	교육청/NNG+과/JC
정부와의	정부/NNG+와/JKB+의/JKG
협력을	협력/NNG+을/JKO
통해	통하/VV+여/EC
