KDI	KDI/SL
소비자가	소비자/NNG+가/JKS
직접	직접/MAG
바우처(쿠폰)로	바우처/NNP+(/SS+쿠폰/NNG+)/SS+로/JKB
서비스를	서비스/NNG+를/JKO
구매하면	구매하/VV+면/EC
공급기관이	공급기관/NNG+이/JKS
경쟁해	경쟁하/VV+여/EC
서비스	서비스/NNG
질은	질/NNG+은/JX
한층	한층/MAG
높아질	높아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고서는	보고서/NNG+는/JX
내다봤다	내다보/VV+았/EP+다/EF

보고서는	보고서/NNG+는/JX
서비스	서비스/NNG
기준을	기준/NNG+을/JKO
마련하고	마련하/VV+고/EC
품질감독기구를	품질감독기구/NNG+를/JKO
설치하는	설치하/VV+는/ETM
방안도	방안/NNG+도/JX
제시했다	제시하/VV+였/EP+다/EC

지자체가	지자체/NNG+가/JKS
최근	최근/NNG
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
사회복지통합관리시스템	사회복지통합관리시스템/NNG
'행복e음'을	'/SS+행복/NNG+e/SL+음/NNG+'/SS+을/JKO
적극적으로	적극적/NNG+으로/JKB
활용해	활용하/VV+여/EC
복지수급자별	복지수급/NNG+자별/XSN
자격과	자격/NNG+과/JC
서비스	서비스/NNG
정보를	정보/NNG+를/JKO
비교해	비교하/VV+여/EC
부정ㆍ중복	부정/NNG+ㆍ/SP+중복/NNG
지원을	지원/NNG+을/JKO
막고,	막/VV+고/EC+,/SP
필수	필수/NNG
서비스가	서비스/NNG+가/JKS
빠지지	빠지/VV+지/EC
않도록	않/VX+도록/EC
하는	하/VX+는/ETM
방안도	방안/NNG+도/JX
대안으로	대안/NNG+으로/JKB
나왔다	나오/VV+았/EP+다/EF

clap@yna	clap/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
