활동보조인연대,	활동보조인연대/NNG+,/SP
시행을	시행/NNG+을/JKO
앞두고	앞두/VV+고/EC
열린	열리/VV+ㄴ/ETM
'장애인활동지원	'/SS+장애인활동지원/NNG
고시안	고시안/NNG
개정'을	개정/NNG+'/SS+을/JKO
위한	위하/VV+ㄴ/ETM
연대회의(활보연대	연대회의/NNG+(/SS+활보연대/NNG
포함)와	포함/NNG+)/SS+와/JC
복지부와의	복지부/NNG+와/JKB+의/JKG
면담	면담/NNG
과정에서	과정/NNG+에서/JKB
도출됐다	도출되/VV+었/EP+다/EF

당시	당시/NNG
노동법에	노동법/NNG+에/JKB
근거한	근거하/VV+ㄴ/ETM
활동보조인의	활동보조인/NNG+의/JKG
노동권	노동권/NNG
보장과	보장/NNG+과/JC
근로조건	근로조건/NNG
개선	개선/NNG
등의	등/NNB+의/JKG
요구에	요구/NNG+에/JKB
대해	대하/VV+여/EC
활보제도개선위를	활보제도개선위/NNG+를/JKO
꾸려	꾸리/VV+어/EC
해결	해결/NNG
방법을	방법/NNG+을/JKO
모색하자는	모색하/VV+자는/ETM
취지도	취지/NNG+도/JX
있었다	있/VA+었/EP+다/EF

하지만	하지만/MAJ
현재	현재/MAG
활보제도개선위는	활보제도개선위/NNG+는/JX
장애인단체와	장애인단체/NNG+와/JC
중계서비스	중계서비스/NNG
기관,	기관/NNG+,/SP
활동지원	활동지원/NNG
전문가,	전문가/NNG+,/SP
국민연금공단	국민연금공단/NNP
관계자	관계자/NNG
등	등/NNB
11명으로	11/SN+명/NNB+으로/JKB
구성돼	구성되/VV+어/EC
있다	있/VX+다/EF

활보연대는	활보연대/NNG+는/JX
올해	올해/NNG
2월	2/SN+월/NNB
활보제도개선위	활보제도개선위/NNG
구성과	구성/NNG+과/JKB
함께	함께/MAG
활동보조인의	활동보조인/NNG+의/JKG
참여를	참여/NNG+를/JKO
요구했고,	요구하/VV+였/EP+고/EC+,/SP
3월	3/SN+월/NNB
첫	첫/MM
회의가	회의/NNG+가/JKS
열리기	열리/VV+기/ETN
하루	하루/NNG
전날에도	전날/NNG+에/JKB+도/JX
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
활동보조인의	활동보조인/NNG+의/JKG
참여를	참여/NNG+를/JKO
촉구한바	촉구하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

구	구/XPN
지부장은	지부장/NNG+은/JX
“복지부는	“/SN+복지부/NNG+는/JX
중증장애인에게	중증장애인/NNG+에게/JKB
활동보조를	활동보조/NNG+를/JKO
지원하는	지원하/VV+는/ETM
주체인	주체/NNG+이/VCP+ㄴ/ETM
활동보조인에	활동보조인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심은	관심/NNG+은/JX
전혀	전혀/MAG
없다”고	없/VA+다”고/EC
토로했다	토로하/VV+였/EP+다/EF

활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
다수가	다수/NNG+가/JKS
최저임금에도	최저임금/NNG+에/JKB+도/JX
미치지	미치/VV+지/EC
못하는	못하/VX+는/ETM
75만여원을	75/SN+만/NR+여/XSN+원/NNB+을/JKO
받는	받/VV+는/ETM
수준에	수준/NNG+에/JKB
있고	있/VA+고/EC
장애인	장애인/NNG
이용자와의	이용자/NNG+와/JKB+의/JKG
마찰로	마찰/NNG+로/JKB
잦은	잦/VA+은/ETM
문제들이	문제/NNG+들/XSN+이/JKS
발생하는	발생하/VV+는/ETM
등	등/NNB
대안	대안/NNG
모색이	모색/NNG+이/JKS
필요함에도	필요하/VA+ㅁ에도/EC
수수방관	수수방관/NNG
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB

이어	이어/MAG
구	구/XPN
지부장은	지부장/NNG+은/JX
“활동보조인의	“/SN+활동보조인/NNG+의/JKG
위원회	위원회/NNG
참여는	참여/NNG+는/JX
복지부가	복지부/NNG+가/JKS
약속한	약속하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
실현하는	실현하/VV+는/ETM
의미도	의미/NNG+도/JX
있지만	있/VA+지만/EC
크게는	크/VA+게/EC+는/JX
활동지원서비스	활동지원서비스/NNG
제공	제공/NNG
현장에서	현장/NNG+에서/JKB
발생하는	발생하/VV+는/ETM
여러	여러/MM
문제를	문제/NNG+를/JKO
가장	가장/MAG
잘	잘/MAG
알고	알/VV+고/EC
있기	있/VX+기/ETN
때문”이라고	때문/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

장애인의	장애인/NNG+의/JKG
사회활동과	사회활동/NNG+과/JC
자립생활	자립생활/NNG
지원이라는	지원/NNG+이/VCP+라는/ETM
취지를	취지/NNG+를/JKO
실현하는데	실현하/VV+는/ETM+데/NNB
핵심적인	핵심적/NNG+이/VCP+ㄴ/ETM
주체가	주체/NNG+가/JKC
되는	되/VV+는/ETM
활동보조인의	활동보조인/NNG+의/JKG
의견을	의견/NNG+을/JKO
반영하는	반영하/VV+는/ETM
것은	것/NNB+은/JX
필수적이라는	필수적/NNG+이/VCP+라는/ETM
설명이다	설명/NNG+이/VCP+다/EC

특히	특히/MAG
구	구/XPN
지부장은	지부장/NNG+은/JX
“복지부는	“/SN+복지부/NNG+는/JX
자신들의	자신/NNG+들/XSN+의/JKG
입맛에	입맛/NNG+에/JKB
맞는	맞/VV+는/ETM
단체들과	단체/NNG+들/XSN+과/JC
위원회를	위원회/NNG+를/JKO
꾸리는	꾸리/VV+는/ETM
등	등/NNB
꼼수를	꼼수/NNG+를/JKO
부리고	부리/VV+고/EC
있을	있/VX+을/ETM
뿐”이라며	뿐/NNB+”/SL+이/VCP+라며/EC
“활보연대의	“/SL+활보연대/NNG+의/JKG
의견은	의견/NNG+은/JX
무시한	무시하/VV+ㄴ/ETM
채	채/NNB
탁상공론에	탁상공론/NNG+에/JKB
치우치고	치우치/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

한편	한편/MAG
이날	이날/NNG
1인	1/SN+인/NNG
시위	시위/NNG
현장을	현장/NNG+을/JKO
찾은	찾/VV+은/ETM
복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
활보제도개선위	활보제도개선위/NNG
참여는	참여/NNG+는/JX
‘효율적인	‘/SL+효율적/NNG+이/VCP+ㄴ/ETM
측면’을	측면/NNG+’/SL+을/JKO
고려하면	고려하/VV+면/EC
사실상	사실상/NNG
어렵다며	어렵/VA+다며/EC
활보연대와	활보연대/NNG+와/JC
독자적	독자적/NNG
면담을	면담/NNG+을/JKO
갖자는	갖/VV+자는/ETM
입장을	입장/NNG+을/JKO
보였다	보이/VV+었/EP+다/EF

당초	당초/NNG
10명으로	10/SN+명/NNB+으로/JKB
꾸려질	꾸리/VV+어/EC+지/VX+ㄹ/ETM
계획이었으나	계획/NNG+이/VCP+었/EP+으나/EC
한	한/MM
단체가	단체/NNG+가/JKS
추가되면서	추가되/VV+면서/EC
11명이	11/SN+명/NNB+이/JKS
됐고,	되/VV+었/EP+고/EC+,/SP
그	그/MM
만큼	만큼/NNB
발언기회도	발언기회/NNG+도/JX
많지	많/VA+지/EC
않다는	않/VX+다는/ETM
것이다	것/NNB+이/VCP+다/EC

복지부는	복지부/NNG+는/JX
2차	2/SN+차/NNB
회의가	회의/NNG+가/JKS
열릴	열리/VV+ㄹ/ETM
당시부터	당시/NNG+부터/JX
활보연대	활보연대/NNG
측에	측/NNB+에/JKB
활보제도개선위	활보제도개선위/NNG
참여	참여/NNG
어려움을	어려움/NNG+을/JKO
전하고	전하/VV+고/EC
독자적인	독자적/NNG+이/VCP+ㄴ/ETM
면담을	면담/NNG+을/JKO
추진하자고	추진하/VV+자고/EC
재안했었다	재안하/VV+였었/EP+다/EF

하지만	하지만/MAJ
구범	구범/NNG
지부장과	지부장/NNG+과/JC
이날	이날/NNG
동석했던	동석하/VV+였/EP+던/ETM
고미숙	고미숙/NNP
집행위원장은	집행위원장/NNG+은/JX
복지부의	복지부/NNG+의/JKG
제안을	제안/NNG+을/JKO
거절했다	거절하/VV+었/EP+다/EC

고미숙	고미숙/NNP
집행위원장은	집행위원장/NNG+은/JX
“팀장급도	“/SN+팀장급/NNG+도/JX
아니고	아니/VCN+고/EC
사무관이	사무관/NNG+이/JKS
나와	나오/VV+아/EC
이야기를	이야기/NNG+를/JKO
들어주겠다는	들어주/VV+겠/EP+다는/ETM
수준으로,	수준/NNG+으로/JKB+,/SP
의지는	의지/NNG+는/JX
있을	있/VA+을/ETM
수	수/NNB
있겠지만	있/VA+겠/EP+지만/EC
영향력에는	영향력/NNG+에/JKB+는/JX
분명한계가	분명한계/NNG+가/JKS
있다”며	있/VA+다/EC+”/VX+며/EC
“동사무소에서	“/SL+동사무소/NNG+에서/JKB
민원을	민원/NNG+을/JKO
제기하는	제기하/VV+는/ETM
수준에	수준/NNG+에/JKB
불과하다”고	불과하/VA+다/EC+”/VX+고/EC
설명했다	설명하/VV+었/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
활보연대는	활보연대/NNG+는/JX
우선	우선/MAG
제3차	제/XPN+3/SN+차/NNB
활보제도개선위가	활보제도개선위/NNG+가/JKS
열리는	열리/VV+는/ETM
9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
릴레이로	릴레이/NNG+로/JKB
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
진행한다는	진행하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC
