장총련,	장총련/NNP+,/SP
인정돼	인정되/VV+어/EC
수상자로	수상자/NNG+로/JKB
선정됐다	선정되/VV+었/EP+다/EF

김태영	김태영/NNP
대리는	대리/NNG+는/JX
장애인당사자로서	장애인당사자/NNG+로서/JKB
장애인의	장애인/NNG+의/JKG
생활안정	생활안정/NNG
및	및/MAG
문화생활의	문화생활/NNG+의/JKG
향상,	향상/NNG+,/SP
궁극적으로	궁극적/NNG+으로/JKB
장애인의	장애인/NNG+의/JKG
‘삶의	‘삶/SN+의/JKG
질	질/NNG
향상’에	향상/NNG+’/SL+에/JKB
기초한	기초하/VV+ㄴ/ETM
복지향상에	복지향상/NNG+에/JKB
기여한	기여하/VV+ㄴ/ETM
공로가	공로/NNG+가/JKS
인정됐다	인정되/VV+었/EP+다/EF

조성익	조성익/NNP
울산본부장은	울산본/NNP+부/NNG+장/XSN+은/JX
산재장애인으로서	산재장애인/NNG+으로서/JKB
직장복귀에	직장복귀/NNG+에/JKB
성공해	성공하/VV+여/EC
많은	많/VA+은/ETM
산재노동자들의	산재노동자/NNG+들/XSN+의/JKG
귀감이	귀감/NNG+이/JKC
되고	되/VV+고/EC
있을	있/VX+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
산재장애인의	산재장애인/NNG+의/JKG
권익보호와	권익보호/NNG+와/JC
산재예방	산재예방/NNG
등	등/NNB
산재장애인의	산재장애인/NNG+의/JKG
인식개선	인식개선/NNG
등에	등/NNB+에/JKB
기여한	기여하/VV+ㄴ/ETM
공로가	공로/NNG+가/JKS
인정돼	인정되/VV+어/EC
수상하는	수상하/VV+는/ETM
영광을	영광/NNG+을/JKO
안게	안/VV+게/EC
됐다	되/VV+었/EP+다/EC

조이명자	조이명자/NNG
소장은	소장/NNG+은/JX
투철한	투철하/VA+ㄴ/ETM
사명감과	사명감/NNG+과/JC
헌신으로	헌신/NNG+으로/JKB
중증장애인자립생활실천	중증장애인자립생활실천/NNG
및	및/MAG
장애인	장애인/NNG
권익향상	권익향상/NNG
등	등/NNB
중증장애인이	중증장애인/NNG+이/JKS
지역사회에서	지역사회/NNG+에서/JKB
더불어	더불/VV+어/EC
함께	함께/MAG
잘사는	잘살/VV+는/ETM
사회	사회/NNG
만들기에	만들/VV+기/ETN+에/JKB
크게	크/VA+게/EC
기여한	기여하/VV+ㄴ/ETM
공로가	공로/NNG+가/JKS
인정돼	인정되/VV+어/EC
수상자로	수상자/NNG+로/JKB
선정됐다	선정되/VV+었/EP+다/EF

이외에도	이외/NNG+에/JKB+도/JX
정드리	정드리/MAG
활동가는	활동가/NNG+는/JX
장애인의	장애인/NNG+의/JKG
직업교육,	직업교육/NNG+,/SP
상담,	상담/NNG+,/SP
알선	알선/NNG
등	등/NNB
장애인	장애인/NNG
고용에	고용/NNG+에/JKB
지속적으로	지속적/NNG+으로/JKB
노력하고	노력하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
인식개선	인식개선/NNG
교육을	교육/NNG+을/JKO
통해	통하/VV+여/EC
직장	직장/NNG
내의	내/NNB+의/JKG
장애인	장애인/NNG
인식개선에	인식개선/NNG+에/JKB
기여한	기여하/VV+ㄴ/ETM
공로가	공로/NNG+가/JKS
인정됐다	인정되/VV+었/EP+다/EF

한편	한편/MAG
2012장애인복지대상	2012/SN+장애인복지대상/NNG
활동가상	활동가상/NNG
시상식은	시상식/NNG+은/JX
오는	오/VV+는/ETM
6일	6/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
이룸센터	이룸센터/NNG
누리홀에서	누리홀/NNG+에서/JKB
개최된다	개최되/VV+ㄴ다/EF
