사회적약자	사회적약자/NNG
시설이	시설/NNG+이/JKS
있음에도	있/VA+음/ETN+에/JKB+도/JX
불구하고,	불구하/VV+고/EC+,/SP
알코올중독	알코올중독/NNG
및	및/MAG
정신질환	정신질환/NNG
등으로	등/NNB+으로/JKB
시설입소를	시설입소/NNG+를/JKO
꺼리는	꺼리/VV+는/ETM
거리생활	거리생활/NNG
노숙인의	노숙인/NNG+의/JKG
혹한기	혹한/NNG+기/XSN
동사예방을	동사예방/NNG+을/JKO
위해	위하/VV+여/EC
최소한의	최소한/NNG+의/JKG
안전장치를	안전장치/NNG+를/JKO
마련하는	마련하/VV+는/ETM
범위로	범위/NNG+로/JKB
추진될	추진되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

노숙인	노숙/NNG+이/VCP+ㄴ/ETM
이동식	이동/NNG+식/XSN
쉘터	쉘터/NNG
개발은	개발/NNG+은/JX
내연	내연/NNG
및	및/MAG
보온기능이	보온기능/NNG+이/JKS
가미된	가미되/VV+ㄴ/ETM
저렴하고	저렴하/VA+고/EC
이동	이동/NNG
가능한	가능하/VA+ㄴ/ETM
조립식	조립식/NNG
제품으로	제품/NNG+으로/JKB
시민공모를	시민공모/NNG+를/JKO
통해	통하/VV+여/EC
개발해	개발하/VV+여/EC
약	약/MM
200개로	200/SN+개/NNB+로/JKB
한정해	한정하/VV+여/EC
생산될	생산되/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

개발된	개발되/VV+ㄴ/ETM
노숙인	노숙/NNG+이/VCP+ㄴ/ETM
이동식	이동/NNG+식/XSN
쉘터	쉘터/NNP
보급은	보급/NNG+은/JX
거리노숙인	거리노숙/NNG+이/VCP+ㄴ/ETM
보호단체와	보호단체/NNG+와/JC
유기적인	유기적/NNG+이/VCP+ㄴ/ETM
네트워크를	네트워크/NNG+를/JKO
구축해	구축하/VV+여/EC
선별	선별/NNG
보급할	보급하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
시는	시/NNG+는/JX
어린이,	어린이/NNG+,/SP
여성	여성/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
유니버설	유니버설/NNP
디자인가이드라인을	디자인가이드라인/NNG+을/JKO
개발해	개발하/VV+여/EC
다양한	다양하/VA+ㄴ/ETM
계층의	계층/NNG+의/JKG
요구가	요구/NNG+가/JKS
디자인에	디자인/NNG+에/JKB
반영되도록	반영되/VV+도록/EC
할	하/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
