“‘사실왜곡’한	“‘/SL+사실왜/NNG+곡’하/VV+ㄴ/ETM
의원(민주통합당)이	의원/NNG+(/SS+민주통합당/NNP+)/SS+이/JKS
23일	23/SN+일/NNB
복지부로부터	복지부/NNG+로부터/JKB
제출받은	제출/NNG+받/VV+은/ETM
거제	거제/NNP
70대	70/SN+대/NNB
할머니	할머니/NNG
가족들의	가족/NNG+들/XSN+의/JKG
소득·증빙자료를	소득/NNG+·/SP+증빙자료/NNG+를/JKO
분석한	분석하/VV+ㄴ/ETM
결과를	결과/NNG+를/JKO
제시하며,	제시하/VV+며/EC+,/SP
거짓	거짓/NNG
해명이라고	해명/NNG+이/VCP+라고/EC
밝혀	밝히/VV+어/EC
사태를	사태/NNG+를/JKO
증폭시켰다	증폭/NNG+시키/XSV+었/EP+다/EF

분석결과	분석결과/NNG
딸	딸/NNG
소득의	소득/NNG+의/JKG
경우	경우/NNG
259만여원으로	259/SN+만/NR+여/XSN+원/NNB+으로/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없었던	없/VA+었/EP+던/ETM
반면	반면/NNG
제조업체	제조업체/NNG
노동자인	노동자/NNG+이/VCP+ㄴ/ETM
사위는	사위/NNG+는/JX
거액의	거액/NNG+의/JKG
부채	부채/NNG
탓에	탓/NNG+에/JKB
임금의	임금/NNG+의/JKG
절반을	절반/NNG+을/JKO
압류당하고	압류/NNG+당하/XSV+고/EC
있었고,	있/VX+었/EP+고/EC+,/SP
병가	병가/NNG
중이어서	중/NNB+이/VCP+어서/EC
복지부의	복지부/NNG+의/JKG
조사보다	조사/NNG+보다/JKB
실제소득은	실제소득/NNG+은/JX
훨씬	훨씬/MAG
적은	적/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

복지부가	복지부/NNG+가/JKS
국민건강보험공단에	국민건강보험공단/NNG+에/JKB
등록된	등록되/VV+ㄴ/ETM
딸과	딸/NNG+과/JC
사위의	사위/NNG+의/JKG
'작년	'/SS+작년/NNG
소득'을	소득/NNG+'/SS+을/JKO
기준으로	기준/NNG+으로/JKB
판단했기	판단하/VV+였/EP+기/ETN
때문에	때문/NNB+에/JKB
현재의	현재/NNG+의/JKG
'실제	'/SS+실제/NNG
소득'과	소득/NNG+'/SS+과/JC
차이가	차이/NNG+가/JKS
발생한	발생하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

이날	이날/NNG
공동행동은	공동행동/NNG+은/JX
“복지부의	“/SL+복지부/NNG+의/JKG
잘못된	잘못되/VV+ㄴ/ETM
행태로	행태/NNG+로/JKB
인해	인하/VV+여/EC
할머니가	할머니/NNG+가/JKS
목숨을	목숨/NNG+을/JKO
잃었는데도	잃/VV+었/EP+는데/EC+도/JX
복지부는	복지부/NNG+는/JX
(해명자료를	(/SS+해명자료/NNG+를/JKO
통해)	통하/VV+여/EC+)/SS
할머니	할머니/NNG
자녀들이	자녀/NNG+들/XSN+이/JKS
고소득	고소득/NNG
임에도	임/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
부모를	부모/NNG+를/JKO
부양하지	부양하/VV+지/EC
않은	않/VX+은/ETM
파렴치한이라는	파렴치한/NNG+이/VCP+라는/ETM
식으로	식/NNB+으로/JKB
몰고	몰/VV+고/EC
갔다”고	가/VV+았/EP+다/EC+”/VX+고/EC
비판했다	비판하/VV+였/EP+다/EF

공동행동은	공동행동/NNG+은/JX
또한	또한/MAG
“거짓말로	“/SL+거짓말/NNG+로/JKB
사실을	사실/NNG+을/JKO
왜곡해	왜곡하/VV+여/EC
할머니를	할머니/NNG+를/JKO
두	두/MM
번	번/NNB
죽인	죽이/VV+ㄴ/ETM
복지부는	복지부/NNG+는/JX
명예	명예/NNG
훼손에	훼손/NNG+에/JKB
대해	대하/VV+여/EC
명확한	명확하/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
한다”며	하/VX+ㄴ다”며/EC
“복지부	“/SW+복지부/NNG
장관의	장관/NNG+의/JKG
즉각적인	즉각적/NNG+이/VCP+ㄴ/ETM
사과와	사과/NNG+와/JC
책임자를	책임자/NNG+를/JKO
문책해야	문책하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
목소리	목소리/NNG
높였다	높/VA+었/EP+다/EF

기자회견	기자회견/NNG
이후	이후/NNG
공동행동	공동행동/NNG
회원들은	회원/NNG+들/XSN+은/JX
보건복지부	보건복지부/NNG
표석에	표석/NNG+에/JKB
날계란을	날계란/NNG+을/JKO
던지는	던지/VV+는/ETM
퍼포먼스를	퍼포먼스/NNG+를/JKO
선보였고,	선보이/VV+었/EP+고/EC+,/SP
이때	이때/NNG
경찰들의	경찰/NNG+들/XSN+의/JKG
제재를	제재/NNG+를/JKO
받았다	받/VV+았/EP+다/EC

한편	한편/MAG
공동행동	공동행동/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
남윤	남윤/NNP
의원이	의원/NNG+이/JKS
제시한	제시하/VV+ㄴ/ETM
조사결과의	조사결과/NNG+의/JKG
사실여부를	사실여부/NNG+를/JKO
묻기	묻/VV+기/ETN
위해	위하/VV+여/EC
기자회견을	기자회견/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
복지부	복지부/NNG
기초생활과	기초생활/NNG+과/JC
관계자와	관계자/NNG+와/JC
면담을	면담/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

면담에	면담/NNG+에/JKB
참여한	참여하/VV+ㄴ/ETM
공동행동	공동행동/NNG
김정하	김정하/NNP
활동가는	활동가/NNG+는/JX
"(남윤	"(/SS+남윤/NNP
의원이	의원/NNG+이/JKS
제시한	제시하/VV+ㄴ/ETM
결과에	결과/NNG+에/JKB
대해서)	대하/VV+여서/EF+)/SS
맞냐	맞/VV+냐/EC
안맞냐	안맞/VA+냐/EC
물어본다면	물어보/VV+ㄴ다면/EC
맞다고	맞/VV+다고/EC
대답했다"면서	대답하/VV+였/EP+다/EF+"/SS+면서/EC
"지난해	"/SS+지난해/NNG
최고	최고/NNG
소득이었을	소득/NNG+이/VCP+었/EP+을/ETM
때로	때/NNG+로/JKB
잡은	잡/VV+은/ETM
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
복지부가	복지부/NNG+가/JKS
최대한	최대한/NNG
공제(상황을	공제/NNG+(/SS+상황/NNG+을/JKO
보고	보/VV+고/EC
최대한	최대한/NNG
제외)	제외/NNG+)/SS
하고도	하/VV+고도/EC
부양의무	부양의무/NNG
기준선을	기준선/NNG+을/JKO
넘었기	넘/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
수급이	수급/NNG+이/JKS
탈락	탈락/NNG
된	되/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
자료도	자료/NNG+도/JX
함께	함께/MAG
남윤	남윤/NNP
의원	의원/NNG
측에	측/NNB+에/JKB
제출했지만	제출하/VV+였/EP+지만/EC
이	이/MM
내용은	내용/NNG+은/JX
빠진	빠지/VV+ㄴ/ETM
채	채/NNB
보도됐다고	보도되/VV+었/EP+다고/EC
말했다"고	말하/VV+였/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

25일	25/SN+일/NNB
오전	오전/NNG
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
경남	경남/NNP
할머니	할머니/NNG
두	두/MM
번	번/NNB
죽이는	죽이/VV+는/ETM
복지부	복지부/NNG
규탄	규탄/NNG
기자회견에	기자회견/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애인들	장애인/NNG+들/XSN

장애인들이	장애인/NNG+들/XSN+이/JKS
보건복지부	보건복지부/NNG
표석에	표석/NNG+에/JKB
계란을	계란/NNG+을/JKO
던지는	던지/VV+는/ETM
퍼포먼스를	퍼포먼스/NNG+를/JKO
보이자	보이/VV+자/EC
경찰들이	경찰/NNG+들/XSN+이/JKS
제지하고	제지하/VV+고/EC
있다	있/VX+다/EC

경찰들이	경찰/NNG+들/XSN+이/JKS
제지하자	제지하/VV+자/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
항의하고	항의하/VV+고/EC
있다	있/VX+다/EC
