한센인들	한센인/NNG+들/XSN
동거에	동거/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
비한센인의	비한센인/NNG+의/JKG
감염	감염/NNG
가능	가능/NNG
여부를	여부/NNG+를/JKO
판단하라”고	판단하/VV+라/EC+”/VX+고/EC
지적했다는	지적하/VV+였/EP+다는/ETM
것	것/NNB

현재	현재/MAG
소록도에는	소록도/NNP+에/JKB+는/JX
한센인이	한센인/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
한센인의	한센인/NNG+의/JKG
배우자	배우자/NNG
및	및/MAG
자녀	자녀/NNG
등	등/NNB
6개	6/SN+개/NNB
마을에	마을/NNG+에/JKB
총	총/MM
22명이	22/SN+명/NNB+이/JKS
최장	최장/NNG
19년8개월간	19/SN+년/NNB+8/SN+개월/NNB+간/XSN
거주하고	거주하/VV+고/EC
있다	있/VX+다/EC

한센인들은	한센인/NNG+들/XSN+은/JX
1945년	1945/SN+년/NNB
8월16일부터	8/SN+월/NNB+16/SN+일/NNB+부터/JX
1963년	1963/SN+년/NNB
2월8일까지	2/SN+월/NNB+8/SN+일/NNB+까지/JX
20여	20/SN+여/XSN
년간	년/NNB+간/XSN
국가에	국가/NNG+에/JKB
의해	의하/VV+여/EC
수용시설에	수용시설/NNG+에/JKB
격리	격리/NNG
수용되어	수용되/VV+어/EC
폭행당하고,	폭행/NNG+당하/XSV+고/EC+,/SP
부당한	부당하/VA+ㄴ/ETM
감금과	감금/NNG+과/JC
본인의	본인/NNG+의/JKG
동의	동의/NNG
없이	없이/MAG
단종수술을	단종수술/NNG+을/JKO
당했다	당하/VV+였/EP+다/EC

또한	또한/MAG
1962년	1962/SN+년/NNB
7월10일부터	7/SN+월/NNB+10/SN+일/NNB+부터/JX
1964년	1964/SN+년/NNB
7월25일까지	7/SN+월/NNB+25/SN+일/NNB+까지/JX
전남	전남/NNP
고흥군	고흥군/NNP
도양면	도양면/NNP
봉암반도와	봉암/NNP+반도/NNG+와/JC
풍양반도를	풍양반도/NNG+를/JKO
잇는	잇/VV+는/ETM
간척공사와	간척공사/NNG+와/JKB
관련해	관련하/VV+여/EC
한센인이	한센인/NNG+이/JKS
강제노역을	강제노역/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
사건도	사건/NNG+도/JX
있었다	있/VA+었/EP+다/EF

이에	이/NP+에/JKB
국회는	국회/NNG+는/JX
2007년	2007/SN+년/NNB
‘한센인피해사건의	‘/SL+한센인피해/NNP+사건/NNG+의/JKG
진상규명	진상규명/NNG
및	및/MAG
피해자생활지원	피해자생활지원/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률’을	법률’/NNG+을/JKO
제정했고,	제정하/VV+였/EP+고/EC+,/SP
2009년	2009/SN+년/NNB
4월10일	4/SN+월/NNB+10/SN+일/NNB
한승수	한승수/NNP
전	전/MM
국무총리는	국무총리/NNG+는/JX
정부를	정부/NNG+를/JKO
대표해	대표하/VV+여/EC
처음으로	처음/NNG+으로/JKB
공식	공식/NNG
사과한	사과하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

그럼에도	그렇/VA+ㅁ에도/EC
복지부는	복지부/NNG+는/JX
한센인의	한센인/NNG+의/JKG
가족들에게	가족/NNG+들/XSN+에게/JKB
퇴거	퇴거/NNG
요구를	요구/NNG+를/JKO
함으로써,	하/VV+ㅁ/ETN+으로써/JKB+,/SP
국가권력에	국가권력/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
한센인	한센인/NNG
가족들에게	가족/NNG+들/XSN+에게/JKB
또	또/MAG
한번	한/MM+번/NNB
상처를	상처/NNG+를/JKO
주고	주/VV+고/EC
있다고	있/VX+다고/EC
이	이/MM
의원은	의원/NNG+은/JX
설명했다	설명하/VV+었/EP+다/EC

이	이/MM
의원은	의원/NNG+은/JX
“한센병에	“/SL+한센/NNP+병/NNG+에/JKB
걸렸다	걸리/VV+었/EP+다/EC
하더라도,	하/VV+더라도/EC+,/SP
치료를	치료/NNG+를/JKO
시작한	시작하/VV+ㄴ/ETM
뒤	뒤/NNG
3개월이	3/SN+개월/NNB+이/JKS
지나면	지나/VV+면/EC
다른	다르/VA+ㄴ/ETM
사람에게	사람/NNG+에게/JKB
전염되지	전염되/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
의학적	의학적/NNG
사실인데,	사실/NNG+이/VCP+ㄴ데/EC+,/SP
보건당국인	보건당국/NNG+이/VCP+ㄴ/ETM
복지부가	복지부/NNG+가/JKS
한센인과	한센인/NNG+과/JKB
동거하는	동거하/VV+는/ETM
비	비/NNG
한센인이	한센인/NNG+이/JKS
감염될	감염되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
무식과	무식/NNG+과/JC
무능을	무능/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“복지부는	“/SL+복지부/NNG+는/JX
향후	향후/NNG
한센인과	한센인/NNG+과/JC
가족들이	가족/NNG+들/XSN+이/JKS
격리되지	격리되/VV+지/EC
않고	않/VX+고/EC
함께	함께/MAG
살	살/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
소록도병원	소록도병원/NNP
운영규칙을	운영규칙/NNG+을/JKO
개정해야	개정하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
주문했다	주문하/VV+였/EP+다/EF
