‘들쑥날쑥’	‘/SL+들/XSN+쑥날쑥/MAG+’/SL
전동보장구를	전동보장구/NNG+를/JKO
포함한	포함하/VV+ㄴ/ETM
장애인보장구	장애인보장구/NNG
지원에	지원/NNG+에/JKB
있어서도	있/VA+어서/EC+도/JX
건강보험대상인지	건강보험대상/NNG+이/VCP+ㄴ지/EC
의료급여대상인지에	의료급여대상/NNG+이/VCP+ㄴ지/EC+에/JKB
따라	따르/VV+아/EC
절차가	절차/NNG+가/JKS
달라	다르/VA+아/EC
형평성	형평성/NNG
문제가	문제/NNG+가/JKS
나타난다	나타나/VV+ㄴ다/EF

건강보험	건강보험/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
경우	경우/NNG
보장구	보장구/NNG
처방전에	처방전/NNG+에/JKB
기재된	기재되/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
장애상태	장애상태/NNG
등만	등/NNB+만/JX
주로	주로/MAG
확인하는	확인하/VV+는/ETM
반면	반면/NNG
의료급여	의료급여/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
경우는	경우/NNG+는/JX
가구방문이나	가구방문/NNG+이나/JC
보조인이	보조인/NNG+이/JKS
존재하는	존재하/VV+는/ETM
지의	지/NNB+의/JKG
여부까지	여부/NNG+까지/JX
확인해	확인하/VV+여/EC
더	더/MAG
엄격한	엄격하/VA+ㄴ/ETM
절차를	절차/NNG+를/JKO
따라야	따르/VV+아야/EC
하기	하/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

양	양/NNP
의원은	의원/NNG+은/JX
“전동스쿠터	“/SN+전동스쿠터/NNG
보급이	보급/NNG+이/JKS
전동휠체어	전동휠체어/NNG
보급건수보다	보급건수/NNG+보다/JKB
약	약/MM
8000건이	8000/SN+건/NNB+이/JKS
더	더/MAG
많다	많/VA+다/EF

전동스쿠터가	전동스쿠터/NNG+가/JKS
일반인도	일반인/NNG+도/JX
같이	같이/MAG
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
해서	하/VV+여서/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
다수	다수/NNG
사용하는	사용하/VV+는/ETM
전동스쿠터에	전동스쿠터/NNG+에/JKB
일괄	일괄/NNG
과세되는	과세/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
형평성에	형평성/NNG+에/JKB
어긋난다”며	어긋나/VV+ㄴ다/EC+”/VX+며/EC
“장애인이	“/SN+장애인/NNG+이/JKS
이용하는	이용하/VV+는/ETM
전동스쿠터에	전동스쿠터/NNG+에/JKB
면세조치를	면세조치/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
개선책이	개선책/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

또한	또한/MAG
“의료급여	“/SL+의료급여/NNG
대상자에	대상자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원이	지원/NNG+이/JKS
아무리	아무리/MAG
시혜적인	시혜적/NNG+이/VCP+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다고	있/VA+다고/EC
하더라도	하/VV+더라도/EC
똑같은	똑같/VA+은/ETM
보장구를	보장구/NNG+를/JKO
지원하는데,	지원하/VV+는데/EC+,/SP
다른	다른/MM
지급절차도	지급절차/NNG+도/JX
형평성에	형평성/NNG+에/JKB
맞지	맞/VV+지/EC
않는다"며	않/VX+는다/EF+"/SS+며/EC
"건강보험대상자에	"/SS+건강보험대상자/NNG+에/JKB
비해	비하/VV+여/EC
복잡하고	복잡하/VA+고/EC
까다로운	까다롭/VA+ㄴ/ETM
의료급여	의료급여/NNG
대상자에	대상자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보장구	보장구/NNG
지원절차를	지원절차/NNG+를/JKO
개선할	개선하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF
