영화관	영화관/NNG
개정안에	개정안/NNG+에/JKB
따르면	따르/VV+면/EC
정당한	정당하/VA+ㄴ/ETM
사유없이	사유/NNG+없이/MAG
편의제공	편의제공/NNG
시정명령을	시정명령/NNG+을/JKO
이행하지	이행하/VV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
100만원의	100/SN+만/NR+원/NNB+의/JKG
과태료가	과태료/NNG+가/JKS
부과되고,	부과되/VV+고/EC+,/SP
편의를	편의/NNG+를/JKO
제공해야	제공하/VV+여야/EC
하는	하/VX+는/ETM
시설	시설/NNG
범위도	범위/NNG+도/JX
조정됐다	조정되/VV+었/EP+다/EF

국민연금공단	국민연금공단/NNG
등	등/NNB
장애인과	장애인/NNG+과/JKB
직접	직접/MAG
관련되는	관련되/VV+는/ETM
일부	일부/NNG
공공건물에	공공건물/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
편의제공	편의제공/NNG
대상	대상/NNG
시설로	시설/NNG+로/JKB
포함됐고,	포함되/VV+었/EP+고/EC+,/SP
문화	문화/NNG
및	및/MAG
집회시설	집회시설/NNG
중	중/NNB
좌석	좌석/NNG
수가	수/NNG+가/JKS
1천석	1/SN+천/NR+석/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
공연장(영화관	공연장/NNG+(/SS+영화관/NNG
포함)은	포함/NNG+)/SS+은/JX
장애인에게	장애인/NNG+에게/JKB
안내서비스	안내서비스/NNG
등	등/NNB
편의제공을	편의제공/NNG+을/JKO
해야한다	하/VV+여야/EC+하/VX+ㄴ다/EF

반면	반면/NNG
기존	기존/NNG
편의	편의/NNG
제공	제공/NNG
의무	의무/NNG
시설	시설/NNG
중	중/NNB
전시장(박물관,	전/MM+시장/NNG+(/SS+박물관/NNG+,/SP
미술관	미술관/NNG
등)은	등/NNB+)/SS+은/JX
종전	종전/NNG
‘500㎡	‘500/SN+㎡/SW
이상’에서	이상’/NNG+에서/JKB
‘1천㎡	‘/SL+1/SN+천/NR+㎡/SW
이상’으로	이상’/NNG+으로/JKB
범위가	범위/NNG+가/JKS
완화됐고,	완화되/VV+었/EP+고/EC+,/SP
편의제공대상	편의제공대상/NNG
시설에서	시설/NNG+에서/JKB
동·식물원은	동/NNG+·/SP+식물원/NNG+은/JX
제외됐다	제외되/VV+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
복지부는	복지부/NNG+는/JX
장애인이	장애인/NNG+이/JKS
편의시설에	편의시설/NNG+에/JKB
접근·이용하는데	접근/NNG+·/SP+이용하/VV+는데/EC
보다	보다/MAG
용이하게	용이하/VA+게/EC
됨으로써	되/VV+ㅁ/ETN+으로써/JKB
장애인의	장애인/NNG+의/JKG
사회활동	사회활동/NNG
참여	참여/NNG
기회	기회/NNG
확대	확대/NNG
등	등/NNB
장애인의	장애인/NNG+의/JKG
권익향상에	권익향상/NNG+에/JKB
기여할	기여하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC
