복지부,	복지부/NNG+,/SP
기댈	기대/VV+ㄹ/ETM
데	데/NNB
없는	없/VA+는/ETM
어르신이	어르신/NNG+이/JKS
세상을	세상/NNG+을/JKO
떠났다”면서	떠나/VV+았/EP+다/EC+”/VX+면서/EC
“복지부가	“/SL+복지부/NNG+가/JKS
국세청	국세청/NNG
일용근로소득	일용근로소득/NNG
자료를	자료/NNG+를/JKO
근거로	근거/NNG+로/JKB
기초생활보장수급자	기초생활보장수급/NNG+자/XSN
중	중/NNB
상당수의	상당수/NNG+의/JKG
자격을	자격/NNG+을/JKO
기계적으로	기계적/NNG+으로/JKB
박탈한	박탈하/VV+ㄴ/ETM
결과”라고	결과”/NNG+이/VCP+라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이에	이/NP+에/JKB
복지부는	복지부/NNG+는/JX
“부양의무자인	“/SL+부양의무자/NNG+이/VCP+ㄴ/ETM
사위는	사위/NNG+는/JX
실직상태에	실직상태/NNG+에/JKB
있었던	있/VA+었/EP+던/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
전부터	전/NNG+부터/JX
일하고	일하/VV+고/EC
있던	있/VX+던/ETM
소득이	소득/NNG+이/JKS
사회복지통합관리망	사회복지통합관리망/NNG
구축	구축/NNG
이후	이후/NNG
자료	자료/NNG
자동연계에	자동연계/NNG+에/JKB
따라	따르/VV+아/EC
확인됐다”며	확인되/VV+었/EP+다”며/EC
“가구	“/SN+가구/NNG
소득	소득/NNG
수준이	수준/NNG+이/JKS
기준보다	기준/NNG+보다/JKB
높은	높/VA+은/ETM
월	월/NNG
810만원(딸	810/SN+만/NR+원/NNB+(/SS+딸/NNG
260만원,	260/SN+만/NR+원/NNB+,/SP
사위	사위/NNG
553만원)	553/SN+만/NR+원/NNB+)/SS
수준	수준/NNG
이었다”고	잇/VV+었/EP+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“가족간	“/SN+가족/NNG+간/NNB
가까운	가깝/VA+ㄴ/ETM
거리에	거리/NNG+에/JKB
거주하면서	거주하/VV+면서/EC
지속적	지속적/NNG
왕래가	왕래/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
점과	점/NNG+과/JC
본인	본인/NNG
및	및/MAG
부양의무자	부양의무자/NNG
등의	등/NNB+의/JKG
추가소명을	추가소명/NNG+을/JKO
거쳤던	거치/VV+었/EP+던/ETM
점을	점/NNG+을/JKO
등을	등/NNB+을/JKO
고려할	고려하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있었다”고	있/VA+었/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

끝으로	끝/NNG+으로/JKB
“사회적	“/SN+사회적/NNG
합의	합의/NNG
등을	등/NNB+을/JKO
감안해	감안하/VV+여/EC
부양의무자	부양의무자/NNG
기준을	기준/NNG+을/JKO
단계적으로	단계적/NNG+으로/JKB
완화하고	완화하/VV+고/EC
기준을	기준/NNG+을/JKO
초과하는	초과하/VV+는/ETM
경우에도	경우/NNG+에/JKB+도/JX
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
생활실태를	생활실태/NNG+를/JKO
고려해	고려하/VV+여/EC
사례별	사례/NNG+별/XSN
탄력적인	탄력적/NNG+이/VCP+ㄴ/ETM
보호를	보호/NNG+를/JKO
지속적으로	지속적/NNG+으로/JKB
강화할	강화하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
