복지부,	복지부/NNG+,/SP
등급이	등급/NNG+이/JKS
하향될	하향되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
예측됐기	예측되/VV+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

이날	이날/NNG
대표단은	대표단/NNG+은/JX
긴급대책	긴급대책/NNG
요구안인	요구안/NNG+이/VCP+ㄴ/ETM
수급자격	수급자격/NNG
갱신기간	갱신기간/NNG
내년	내년/NNG
5월말까지	5/SN+월말/NNB+까지/JX
일제	일제/NNG
연장,	연장/NNG+,/SP
활동지원	활동지원/NNG
등급	등급/NNG
인정점수	인정점수/NNG
50점	50/SN+점/NNB
하향,	하향/NNG+,/SP
기본급여	기본급여/NNG
2배	2/SN+배/NNG
확대,	확대/NNG+,/SP
본인부담금	본인부담금/NNG
폐지,	폐지/NNG+,/SP
바우처제도	바우처제도/NNP
개선,	개선/NNG+,/SP
예산	예산/NNG
확대	확대/NNG
등을	등/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

특히	특히/MAG
수급자격	수급자격/NNG
갱신기간	갱신기간/NNG
일제	일제/NNG
연장,	연장/NNG+,/SP
활동지원	활동지원/NNG
등급	등급/NNG
인정점수	인정점수/NNG
하향,	하향/NNG+,/SP
활동지원	활동지원/NNG
예산	예산/NNG
확대에	확대/NNG+에/JKB
있어	있/VA+어/EC
수용해	수용하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
집중적으로	집중적/NNG+으로/JKB
주문했다	주문하/VV+였/EP+다/EF

이는	이/NP+는/JX
탈락자와	탈락자/NNG+와/JKB
피해자가	피해자/NNG+가/JKS
발생하지	발생하/VV+지/EC
않도록	않/VX+도록/EC
대책마련을	대책마련/NNG+을/JKO
위해	위하/VV+여/EC
수급자격	수급자격/NNG
갱신기간을	갱신기간/NNG+을/JKO
내년	내년/NNG
5월말까지로	5/SN+월말/NNB+까지/JX+로/JKB
연장하고	연장하/VV+고/EC
그	그/MM
동안	동안/NNG
활동지원	활동지원/NNG
등급	등급/NNG
인정점수를	인정점수/NNG+를/JKO
하향함으로써	하향하/VV+ㅁ/ETN+으로써/JKB
기존의	기존/NNG+의/JKG
서비스	서비스/NNG
이용자의	이용자/NNG+의/JKG
등급을	등급/NNG+을/JKO
상향시키고	상향/NNG+시키/XSV+고/EC
제외됐던	제외되/VV+었/EP+던/ETM
대상자까지	대상자/NNG+까지/JX
확대할	확대하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해달라는	하/VX+여/EC+달/VX+라는/ETM
것	것/NNB

하지만	하지만/MAJ
복지부는	복지부/NNG+는/JX
이들	이/NP+들/XSN
요구안에	요구안/NNG+에/JKB
대해	대하/VV+여/EC
다수	다수/NNG
난색을	난색/NNG+을/JKO
표하며	표하/VV+며/EC
즉답을	즉답/NNG+을/JKO
회피하고,	회피하/VV+고/EC+,/SP
다만	다만/MAG
정치적(대선)	정치적/NNG+(/SS+대선/NNG+)/SS
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
각	각/MM
지자체에	지자체/NNG+에/JKB
내년	내년/NNG
5월까지로	5/SN+월/NNB+까지/JX+로/JKB
갱신기간을	갱신기간/NNG+을/JKO
연장해줄	연장하/VV+여/EC+주/VX+ㄹ/EC
것을	것/NNB+을/JKO
요구하는	요구하/VV+는/ETM
공문을	공문/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

또한	또한/MAG
복지부는	복지부/NNG+는/JX
9월	9/SN+월/NNB
초	초/NNB
열릴	열리/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
장애인활동지원제도개선위원회에서	장애인활동지원제도개선위원회/NNG+에서/JKB
이들	이/NP+들/XSN
요구안들을	요구안/NNG+들/XSN+을/JKO
심도	심도/NNG
있게	있/VA+게/EC
논의하자는	논의하/VV+자는/ETM
의견을	의견/NNG+을/JKO
대표단에	대표단/NNG+에/JKB
피력한	피력하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다	전하/VV+여/EC+지/VX+었/EP+다/EF

남	남/NNP
실장은	실장/NNG+은/JX
“활동지원	“/SN+활동지원/NNG
등급	등급/NNG
인정점수를	인정점수/NNG+를/JKO
하향해	하향하/VV+여/EC
대상자를	대상자/NNG+를/JKO
늘리고	늘리/VV+고/EC
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
예산	예산/NNG
등을	등/NNB+을/JKO
새로	새로/MAG
편성해	편성하/VV+여/EC
기재부에	기재부/NNG+에/JKB
제출해	제출하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
주문했지만	주문하/VV+였/EP+지만/EC
즉답을	즉답/NNG+을/JKO
회피해	회피하/VV+여/EC
요구안	요구안/NNG
수용여부를	수용여부/NNG+를/JKO
오는	오/VV+는/ETM
9월	9/SN+월/NNB
중순까지	중순/NNG+까지/JX
공문	공문/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
확답해	확답하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다”고	요구하/VV+였/EP+다/EC+”/SN+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
남	남/NNG
실장은	실장/NNG+은/JX
“위원회가	“/SN+위원회/NNG+가/JKS
요구안에	요구안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의의	논의/NNG+의/JKG
자리가	자리/NNG+가/JKC
될	되/VV+ㄹ/ETM
수는	수/NNB+는/JX
있겠지만	있/VA+겠/EP+지만/EC
요구	요구/NNG
수용에	수용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
복지부의	복지부/NNG+의/JKG
확답을	확답/NNG+을/JKO
받는	받/VV+는/ETM
자리는	자리/NNG+는/JX
아닐	아니/VCN+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“요구안이	“/SL+요구안/NNG+이/JKS
수용되지	수용되/VV+지/EC
않을	않/VX+을/ETM
시	시/NNB
농성	농성/NNG
집회,	집회/NNG+,/SP
트위터를	트위터/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
장관	장관/NNG
압박,	압박/NNG+,/SP
장관	장관/NNG
따라	따르/VV+아/EC
잡기	잡/VV+기/ETN
등을	등/NNB+을/JKO
추진할	추진하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
