국립재활원	국립재활원/NNP
2010년을	2010/SN+년/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
영남권	영남/NNP+권/XSN
등록장애인이	등록장애인/NNG+이/JKS
35만3645명인데,	35/SN+만/NR+3645/SN+명/NNB+이/VCP+ㄴ데/EC+,/SP
영남	영남/NNP
권역별	권역/NNG+별/XSN
재활센터는	재활센터/NNG+는/JX
150병상에	150/SN+병상/NNG+에/JKB
국내	국내/NNG
최대	최대/NNG
규모라	규모/NNG+이/VCP+라/EC
해도	하/VV+여도/EC
이용은	이용/NNG+은/JX
'그림의	'/SS+그림/NNG+의/JKG
떡'이라는	떡/NNG+'/SS+이/VCP+라는/ETM
것	것/NNB

특히	특히/MAG
재활병원은	재활병원/NNG+은/JX
‘장애에	‘/SN+장애/NNG+에/JKB
이르지	이르/VV+지/EC
않고	않/VX+고/EC
사회로의	사회/NNG+로/JKB+의/JKG
복귀’라는	복귀’/NNG+이/VCP+라는/ETM
치료를	치료/NNG+를/JKO
해야	하/VV+여야/EC
하는	하/VX+는/ETM
막중한	막중하/VA+ㄴ/ETM
사명이	사명/NNG+이/JKS
있음에도,	있/VA+음/ETN+에/JKB+도/JX+,/SP
서울에	서울/NNP+에/JKB
있는	있/VA+는/ETM
국립재활원의	국립재활원/NNP+의/JKG
등록장애인	등록장애인/NNG
내원자	내원자/NNG
수도	수도/NNG
줄어들고	줄어들/VV+고/EC
있어	있/VX+어/EC
재활전문병원의	재활전문병원/NNG+의/JKG
수와	수/NNG+와/JC
지원을	지원/NNG+을/JKO
늘리고	늘리/VV+고/EC
홍보방안을	홍보방안/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
이	이/MM
의원은	의원/NNG+은/JX
설명했다	설명하/VV+었/EP+다/EC

이	이/MM
의원은	의원/NNG+은/JX
“등록장애인들이	“/SL+등록장애인/NNG+들/XSN+이/JKS
선천적이든	선천적/NNG+이든/JX
후천적이든지	후천적/NNG+이/VCP+든지/EC
간에	간/NNB+에/JKB
이용	이용/NNG
가능한	가능하/VA+ㄴ/ETM
시설은	시설/NNG+은/JX
턱없이	턱없이/MAG
부족한	부족하/VA+ㄴ/ETM
현실로,	현실/NNG+로/JKB+,/SP
국립재활원의	국립재활원/NNP+의/JKG
장애인	장애인/NNG
이용률을	이용률/NNG+을/JKO
높여	높이/VV+어/EC
재활치료율을	재활치료율/NNG+을/JKO
높이고	높이/VV+고/EC
사회로의	사회/NNG+로/JKB+의/JKG
조속한	조속하/VA+ㄴ/ETM
복귀가	복귀/NNG+가/JKS
가능하도록	가능하/VA+도록/EC
해야	하/VX+여야/EC
한다”며	하/VX+ㄴ다”며/EC
“장애인들이	“/SL+장애인/NNG+들/XSN+이/JKS
국립재활원을	국립재활원/NNP+을/JKO
최대한	최대한/NNG
활용할	활용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
홍보방안을	홍보방안/NNG+을/JKO
세우기	세우/VV+기/ETN
바란다”고	바라/VV+ㄴ다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
이	이/MM
의원은	의원/NNG+은/JX
“권역별	“/SN+권역/NNG+별/XSN
재활전문병원이	재활전문병원/NNG+이/JKS
각	각/MM
권역의	권역/NNG+의/JKG
장애인을	장애인/NNG+을/JKO
전부	전부/MAG
수용하거나	수용하/VV+거나/EC
치료할	치료하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고,	하/VX+고/EC+,/SP
지방의	지방/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
접근성에서	접근성/NNG+에서/JKB
많이	많이/MAG
떨어지는데	떨어지/VV+는데/EC
이를	이/NP+를/JKO
보완하기	보완하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방안이	방안/NNG+이/JKS
필요하다"면서	필요하/VA+다/EF+"/SS+면서/EC
"지방의	"/SS+지방/NNG+의/JKG
재활의학과	재활의학과/NNG
전문의	전문/NNG+의/JKG
출신이	출신/NNG+이/JKS
개원한	개원하/VV+ㄴ/ETM
재활의학과의원	재활의학과의원/NNG
등에도	등/NNB+에/JKB+도/JX
의료기기	의료기기/NNG
등의	등/NNB+의/JKG
지원을	지원/NNG+을/JKO
통해	통하/VV+여/EC
각	각/MM
지역의	지역/NNG+의/JKG
장애인들이	장애인/NNG+들/XSN+이/JKS
재활치료를	재활치료/NNG+를/JKO
가까운	가깝/VA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
편하게	편하/VA+게/EC
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
복지부,	복지부/NNG+,/SP
지자체와	지자체/NNG+와/JKB
논의해야	논의하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
주문했다	주문하/VV+였/EP+다/EF
