장총,	장총/NNP+,/SP
“그	“/SN+그/MM
중심에	중심/NNG+에/JKB
장애인유권자와	장애인유권자/NNG+와/JC
가족이	가족/NNG+이/JKS
주축이	주축/NNG+이/JKC
돼	되/VV+어/EC
변화를	변화/NNG+를/JKO
이끄는	이끌/VV+는/ETM
세력이	세력/NNG+이/JKC
돼야	되/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

장총은	장총/NNG+은/JX
특히	특히/MAG
“선거가	“/SL+선거/NNG+가/JKS
그동안	그동안/NNG
장애게의	장애게/NNG+의/JKG
중요한	중요하/VA+ㄴ/ETM
현안을	현안/NNG+을/JKO
해결하는데	해결하/VV+는데/EC
효과적인	효과적/NNG+이/VCP+ㄴ/ETM
수단이었다면,	수단/NNG+이/VCP+었/EP+다면/EC+,/SP
장애인당사자와	장애인당사자/NNG+와/JC
그	그/MM
가족은	가족/NNG+은/JX
장애계의	장애/NNG+계/XSN+의/JKG
현안을	현안/NNG+을/JKO
추동해내는	추동하/VV+여/EC+내/VX+는/ETM
원동력이었다”며	원동력/NNG+이/VCP+었/EP+다/EC+”/VX+며/EC
“480만	“/SL+480/SN+만/NR
장애인대중과	장애인대중/NNG+과/JC
그	그/MM
가족들은	가족/NNG+들/XSN+은/JX
대선연대를	대선연대/NNG+를/JKO
통해	통하/VV+여/EC
함께	함께/MAG
소통하고	소통하/VV+고/EC
지속가능한	지속/NNG+가능하/VA+ㄴ/ETM
연대를	연대/NNG+를/JKO
결성해	결성하/VV+여/EC
그	그/MM
시기를	시기/NNG+를/JKO
앞당겨야	앞당기/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
참여를	참여/NNG+를/JKO
당부했다	당부하/VV+였/EP+다/EC

한편	한편/MAG
대선연대	대선연대/NNG
참여를	참여/NNG+를/JKO
희망하는	희망하/VV+는/ETM
단체는	단체/NNG+는/JX
장총	장총/NNG
홈페이지(www	홈페이지/NNG+(/SS+www/SL

kodaf	kodaf/SL

or	or/SL

kr)	kr/SL+)/SS
성명서	성명서/NNG
보도자료	보도자료/NNG
란에서	란/NNG+에서/JKB
제안서를	제안/NNG+서/XSN+를/JKO
다운받아	다운/NNG+받/VV+아/EC
작성한	작성하/VV+ㄴ/ETM
후	후/NNG
오는	오/VV+는/ETM
19일까지	19/SN+일/NNB+까지/JX
팩스(02-783-0069)	팩스/NNG+(/SS+02/SN+-/SO+783/SN+-/SO+0069/SN+)/SS
또는	또는/MAG
이메일(kodaf@korea	이메일/NNG+(/SS+kodaf/SL+@/SW+korea/SL

com),	com/SL+)/SS+,/SP
우편으로	우편/NNG+으로/JKB
제출하면	제출하/VV+면/EC
된다	되/VV+ㄴ다/EF
