고소득	고소득/NNG
규정한다	규정하/VV+ㄴ다/EC

구체적인	구체적/NNG+이/VCP+ㄴ/ETM
산정방법은	산정방법/NNG+은/JX
종합소득이	종합소득/NNG+이/JKS
연간	연간/NNG
7200만원을	7200/SN+만/NR+원/NNB+을/JKO
넘는	넘/VV+는/ETM
경우에,	경우/NNG+에/JKB+,/SP
해당	해당/NNG
금액을	금액/NNG+을/JKO
12로	12/SN+로/JKB
나누어	나누/VV+어/EC
소득월액을	소득월액/NNG+을/JKO
산정(연	산정/NNG+(/SS+연/NNG
7,200만원의	7,200/SN+만/NR+원/NNB+의/JKG
경우,	경우/NNG+,/SP
월	월/NNG
600만원)하며,	600/SN+만/NR+원/NNB+)/SS+하/VV+며/EC+,/SP
산정된	산정되/VV+ㄴ/ETM
소득액이	소득액/NNG+이/JKS
월	월/NNG
7810만원을	7810/SN+만/NR+원/NNB+을/JKO
넘는	넘/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
7810만원을	7810/SN+만/NR+원/NNB+을/JKO
상한으로	상한/NNG+으로/JKB
해	하/VV+여/EC
보험료를	보험료/NNG+를/JKO
결정하도록	결정하/VV+도록/EC
했다	하/VX+였/EP+다/EC

소득월액보험료	소득월액보험료/NNG
부과기준이	부과기준/NNG+이/JKS
7200만원으로	7200/SN+만/NR+원/NNB+으로/JKB
정해짐에	정하/VV+여/EC+지/VX+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
종합소득이	종합소득/NNG+이/JKS
있는	있/VA+는/ETM
전체	전체/NNG
직장가입자	직장가입자/NNG
177만명	177/SN+만/NR+명/NNB
중	중/NNB
약	약/MM
3만5천명의	3/SN+만/NR+5/SN+천/NR+명/NNB+의/JKG
직장가입자가	직장가입자/NNG+가/JKS
월	월/NNG
평균	평균/NNG
52만원의	52/SN+만/NR+원/NNB+의/JKG
보험료를	보험료/NNG+를/JKO
추가로	추가/NNG+로/JKB
부담하게	부담하/VV+게/EC
된다	되/VV+ㄴ다/EF

소득월액보험료는	소득월액보험료/NNG+는/JX
올해	올해/NNG
9월부터	9/SN+월/NNB+부터/JX
매월	매월/MAG
부과되며,	부과되/VV+며/EC+,/SP
9월20일경	9/SN+월/NNB+20/SN+일경/NNB
부과대상이	부과대상/NNG+이/JKC
되는	되/VV+는/ETM
직장가입자에게	직장가입자/NNG+에게/JKB
보험료	보험료/NNG
고지서가	고지서/NNG+가/JKS
개별	개별/NNG
발송된다	발송되/VV+ㄴ다/EF

종합소득	종합소득/NNG
보험료	보험료/NNG
부과로	부과/NNG+로/JKB
연간	연간/NNG
2158억원의	2158/SN+억/NR+원/NNB+의/JKG
건강보험	건강보험/NNG
재정이	재정/NNG+이/JKS
확충될	확충되/VV+ㄹ/ETM
전망이며,	전망/NNG+이/VCP+며/EC+,/SP
부과기준	부과기준/NNG
소득은	소득/NNG+은/JX
향후	향후/NNG
가입자	가입자/NNG
수용성	수용성/NNG
및	및/MAG
건강보험	건강보험/NNG
재정상황	재정상황/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
단계적으로	단계적/NNG+으로/JKB
확대해	확대하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
예정으로,	예정/NNG+으로/JKB+,/SP
가입자간	가입자/NNG+간/NNB
보험료	보험료/NNG
부담의	부담/NNG+의/JKG
형평성을	형평성/NNG+을/JKO
제고하는	제고하/VV+는/ETM
한편	한편/NNG
고액의	고액/NNG+의/JKG
재산가가	재산가/NNG+가/JKS
위장취업	위장취업/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
보험료를	보험료/NNG+를/JKO
회피하는	회피하/VV+는/ETM
것을	것/NNB+을/JKO
방지할	방지하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다	기대되/VV+ㄴ다/EF

보험료	보험료/NNG
고액·상습	고액/NNG+·/SP+상습/NNG
체납자도	체납자/NNG+도/JX
인적사항	인적사항/NNG
공개된다	공개되/VV+ㄴ다/EF

법	법/NNG
개정으로	개정/NNG+으로/JKB
9월부터는	9/SN+월/NNB+부터는/JX
납부기한이	납부기한/NNG+이/JKS
2년이	2/SN+년/NNB+이/JKS
경과하고	경과하/VV+고/EC
체납액이	체납액/NNG+이/JKS
1000만원이	1000/SN+만/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
보험료	보험료/NNG
고액·상습	고액/NNG+·/SP+상습/NNG
체납자는	체납자/NNG+는/JX
인적사항을	인적사항/NNG+을/JKO
공개할	공개하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
근거가	근거/NNG+가/JKS
마련됨에	마련되/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
시행령	시행령/NNG
개정안은	개정안/NNG+은/JX
체납자의	체납자/NNG+의/JKG
납부능력	납부능력/NNG
및	및/MAG
명단공개	명단공개/NNG
제외사유	제외사유/NNG
등을	등/NNB+을/JKO
규정하고,	규정하/VV+고/EC+,/SP
인적사항	인적사항/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
공개	공개/NNG
여부를	여부/NNG+를/JKO
심의하기	심의하/VV+기/ETN
위해	위하/VV+여/EC
“보험료정보공개심의위원회”의	“/SN+보험료정보공개심의위원회/NNG+”/SL+의/JKG
구성	구성/NNG
및	및/MAG
운영방법	운영방법/NNG
등을	등/NNB+을/JKO
마련했다	마련하/VV+였/EP+다/EC

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“법령이	“/SN+법령/NNG+이/JKS
시행되면	시행되/VV+면/EC
향후	향후/NNG
시스템구축,	시스템구축/NNG+,/SP
대상자	대상자/NNG
선정절차	선정절차/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
고액상습체납자의	고액상습체납자/NNG+의/JKG
명단공개를	명단공개/NNG+를/JKO
실시할	실시하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“상습적인	“/SL+상습적/NNG+이/VCP+ㄴ/ETM
보험료	보험료/NNG
체납자의	체납자/NNG+의/JKG
도덕적	도덕적/NNG
해이	해이/NNG
방지	방지/NNG
및	및/MAG
성실납부	성실납부/NNG
유도가	유도/NNG+가/JKS
기대된다”고	기대되/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

아울러	아울러/MAG
현행	현행/NNG
시행규칙에	시행규칙/NNG+에/JKB
규정된	규정되/VV+ㄴ/ETM
재외국민이나	재외국민/NNG+이나/JC
외국인인	외국인/NNG+이/VCP+ㄴ/ETM
피부양자의	피/XPN+부양자/NNG+의/JKG
자격요건을	자격요건/NNG+을/JKO
법령체계에	법령체계/NNG+에/JKB
맞도록	맞/VV+도록/EC
시행령에	시행령/NNG+에/JKB
근거를	근거/NNG+를/JKO
명확히	명확히/MAG
했다	하/VV+였/EP+다/EC

이밖에도	이/MM+밖/NNG+에/JKB+도/JX
법령	법령/NNG
위임규정	위임규정/NNG
정비	정비/NNG
등	등/NNB
현행제도의	현행제도/NNG+의/JKG
운영	운영/NNG
과정에서	과정/NNG+에서/JKB
나타난	나타나/VV+ㄴ/ETM
미비점을	미비점/NNG+을/JKO
개선·보완하는	개선/NNG+·/SP+보완하/VV+는/ETM
한편,	한편/NNG+,/SP
국민이	국민/NNG+이/JKS
법령을	법령/NNG+을/JKO
쉽게	쉽/VA+게/EC
읽고	읽/VV+고/EC
잘	잘/MAG
이해할	이해하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
어려운	어렵/VA+ㄴ/ETM
용어와	용어/NNG+와/JC
복잡한	복잡하/VA+ㄴ/ETM
문장을	문장/NNG+을/JKO
쉽고	쉽/VA+고/EC
간결하게	간결하/VA+게/EC
정비했다	정비하/VV+였/EP+다/EC
