복지부,	복지부/NNG+,/SP
담고	담/VV+고/EC
있다	있/VX+다/EC

복지부의	복지부/NNG+의/JKG
장애인복지법	장애인복지법/NNG
개정에	개정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지가	의지/NNG+가/JKS
중요한	중요하/VA+ㄴ/ETM
이유는	이유/NNG+는/JX
장애인복지법	장애인복지법/NNG
개정	개정/NNG
과정에	과정/NNG+에/JKB
소관부처인	소관부처/NNG+이/VCP+ㄴ/ETM
복지부의	복지부/NNG+의/JKG
의견이	의견/NNG+이/JKS
반영되기	반영되/VV+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

하지만	하지만/MAJ
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
복지부와의	복지부/NNG+와/JKB+의/JKG
면담에서	면담/NNG+에서/JKB
‘원론적인	‘/SN+원론적/NNG+이/VCP+ㄴ/ETM
대답’만이	대답/NNG+’/SN+만/NNB+이/JKS
나왔다며	나오/VV+았/EP+다며/EC
추후	추후/NNG
지속적으로	지속적/NNG+으로/JKB
장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
요구하는	요구하/VV+는/ETM
목소리를	목소리/NNG+를/JKO
높여나간다는	높열/VV+나가/VX+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

한자연	한자연/NNP
원종필	원종필/NNP
사무총장은	사무총장/NNG+은/JX
“면담에서	“/SN+면담/NNG+에서/JKB
복지부측에	복지부/NNG+측/NNB+에/JKB
장애인복지법	장애인복지법/NNG
개정에	개정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
찬반을	찬반/NNG+을/JKO
물었지만	묻/VV+었/EP+지만/EC
즉답을	즉답/NNG+을/JKO
회피하고,	회피하/VV+고/EC+,/SP
국회에	국회/NNG+에/JKB
개정안과	개정안/NNG+과/JC
관련해	관련하/VV+여/EC
검토의견서를	검토의견/NNG+서/XSN+를/JKO
제출해야해	제출하/VV+여야/EC+하/VX+여/EC
내부적으로	내부적/NNG+으로/JKB
검토중에	검토/NNG+중/NNB+에/JKB
있다는	있/VA+다는/ETM
답변만을	답변/NNG+만/JX+을/JKO
해왔다”고	하/VV+여/EC+오/VX+았/EP+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
원종필	원종필/NNP
사무총장은	사무총장/NNG+은/JX
“복지부가	“/SN+복지부/NNG+가/JKS
장애인복지법	장애인복지법/NNG
개정에	개정/NNG+에/JKB
의지가	의지/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“여기에는	“/SN+여/XSN+기/NNG+에/JKB+는/JX
장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
역할에	역할/NNG+에/JKB
대해	대하/VV+여/EC
복지부가	복지부/NNG+가/JKS
회의적인	회의적/NNG+이/VCP+ㄴ/ETM
입장이기	입장/NNG+이/VCP+기/ETN
때문”이라고	때문/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

이에대해	이/NP+에/JKB+대하/VV+여/EC
복지부	복지부/NNG
이주현	이주현/NNP
사무관은	사무관/NNG+은/JX
“현재	“/SL+현재/NNG
장애인복지법	장애인복지법/NNG
개정	개정/NNG
찬반에	찬반/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
말하기는	말하/VV+기/ETN+는/JX
어렵다”며	어렵/VA+다/EC+”/VV+며/EC
“국회에	“/SN+국회/NNG+에/JKB
장애인복지법	장애인복지법/NNG
개정안에	개정안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검토의견서를	검토의견/NNG+서/XSN+를/JKO
제출해야	제출하/VV+여야/EC
해서	하/VX+여서/EC
내부적으로	내부적/NNG+으로/JKB
검토	검토/NNG
중에	중/NNB+에/JKB
있을	있/VA+을/ETM
뿐”이라고	뿐/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
오는	오/VV+는/ETM
30일	30/SN+일/NNB
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
전국의	전국/NNG+의/JKG
장애인활동가들이	장애인활동가/NNG+들/XSN+이/JKS
참여하는	참여하/VV+는/ETM
대규모	대규모/NNG
집회를	집회/NNG+를/JKO
갖는다는	갖/VV+는다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

순천장애인자립생활센터	순/MM+천장애인자립생활센터/NNG
김철호	김철호/NNP
소장의	소장/NNG+의/JKG
발언	발언/NNG
모습	모습/NNG

이날	이날/NNG
김	김/NNP
소장은	소장/NNG+은/JX
장애인복지법을	장애인복지법/NNG+을/JKO
개정해	개정하/VV+여/EC
장애인도	장애인/NNG+도/JX
인간답게	인간/NNG+답/XSA+게/EC
살아보자며	살아보/VV+자며/EC
시설에서	시설/NNG+에서/JKB
지역사회로의	지역사회/NNG+로/JKB+의/JKG
자립생활이	자립생활/NNG+이/JKS
보장돼야	보장되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다	강조하/VV+였/EP+다/EC

중원장애인자립생활센터	중원장애인자립생활센터/NNG
김병민	김병민/NNP
팀장의	팀장/NNG+의/JKG
발언	발언/NNG
모습	모습/NNG

김	김/NNP
팀장은	팀장/NNG+은/JX
7살때부터	7/SN+살/NNB+때/NNG+부터/JX
20년동안	20/SN+년/NNB+동안/NNG
장애인생활시설에	장애인생활시설/NNG+에/JKB
거주하다	거주하/VV+다/EC
5년전	5/SN+년/NNB+전/NNG
자립생활을	자립생활/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

김	김/NNP
팀장은	팀장/NNG+은/JX
중증장애인이	중증장애인/NNG+이/JKS
자립하기	자립하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
무엇보다	무엇/NP+보다/JKB
활동보조	활동보조/NNG
시간확대와	시간확대/NNG+와/JC
공공임대	공공임대/NNG
주택이	주택/NNG+이/JKS
절실하다고	절실하/VA+다고/EC
강조했다	강조하/VV+였/EP+다/EC

순천장애인자립생활센터	순천장애인자립생활센터/NNG
관계자가	관계자/NNG+가/JKS
‘장애인복지법	‘/SL+장애인복지법/NNG
개정’을	개정/NNG+’/SL+을/JKO
촉구하는	촉구하/VV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
플래카드를	플래카드/NNG+를/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC
