서울시민복지기준	서울/NNP+시민복지기준/NNG
처음으로	처음/NNG+으로/JKB
도입한	도입하/VV+ㄴ/ETM
‘1000인의	‘/SL+1000/SN+인/NNG+의/JKG
원탁회의’는	원탁회의/NNG+’/SL+는/JX
미국의	미국/NNP+의/JKG
정책	정책/NNG
결정	결정/NNG
과정에서	과정/NNG+에서/JKB
유행하고	유행하/VV+고/EC
있는	있/VX+는/ETM
타운홀	타운홀/NNG
미팅의	미팅/NNG+의/JKG
일종이다	일종/NNG+이/VCP+다/EC

1000명의	1000/SN+명/NNB+의/JKG
시민이	시민/NNG+이/JKS
서울시가	서울시/NNP+가/JKS
마련한	마련하/VV+ㄴ/ETM
소득,	소득/NNG+,/SP
주거,	주거/NNG+,/SP
돌봄,	돌봄/NNG+,/SP
건강,	건강/NNG+,/SP
교육	교육/NNG
등	등/NNB
5개	5/SN+개/NNB
영역별	영역/NNG+별/XSN
정책	정책/NNG
설명을	설명/NNG+을/JKO
듣고,	듣/VV+고/EC+,/SP
각	각/MM
자리에	자리/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
무선번호기를	무선번호기/NNG+를/JKO
통해	통하/VV+여/EC
서울시민이	서울/NNP+시민/NNG+이/JKS
누릴	누리/VV+ㄹ/ETM
복지의	복지/NNG+의/JKG
최저기준과	최저기준/NNG+과/JC
적정기준을	적정기준/NNG+을/JKO
선정하고,	선정하/VV+고/EC+,/SP
또	또/MAG
이를	이/NP+를/JKO
실현할	실현하/VV+ㄹ/ETM
정책사업의	정책사업/NNG+의/JKG
우선순위에	우선순위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
제시하는	제시하/VV+는/ETM
방식으로	방식/NNG+으로/JKB
진행된다	진행되/VV+ㄴ다/EC

이와	이/NP+와/JKB
관련해	관련하/VV+여/EC
서울시는	서울시/NNP+는/JX
오는	오/VV+는/ETM
7월6일까지	7/SN+월/NNB+6/SN+일/NNB+까지/JX
서울시	서울시/NNP
홈페이지(www	홈페이지/NNG+(/SS+www/SL

seoul	seoul/SL

go	go/SL

kr)를	kr/SL+)/SS+를/JKO
통해	통하/VV+여/EC
‘1000인의	‘/SL+1000/SN+인/NNG+의/JKG
원탁회의’에	원탁회의’/NNG+에/JKB
참여할	참여하/VV+ㄹ/ETM
시민	시민/NNG
1천명	1/SN+천/NR+명/NNB
접수를	접수/NNG+를/JKO
받는다	받/VV+는다/EC

참가를	참가/NNG+를/JKO
원하는	원하/VV+는/ETM
시민은	시민/NNG+은/JX
서울시	서울시/NNP
홈페이지	홈페이지/NNG
메인화면	메인화면/NNG
상단에	상단/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
배너를	배너/NNG+를/JKO
클릭해	클릭하/VV+여/EC
참가자	참가자/NNG
모집	모집/NNG
설명	설명/NNG
화면으로	화면/NNG+으로/JKB
접속한	접속하/VV+ㄴ/ETM
후,	후/NNG+,/SP
‘참가신청하기’	‘/SL+참가/NNG+신청하/VV+기/ETN+’/SP
버튼을	버튼/NNG+을/JKO
클릭하면	클릭하/VV+면/EC
연결되는	연결되/VV+는/ETM
신청시스템에서	신청시스템/NNG+에서/JKB
간단한	간단하/VA+ㄴ/ETM
인적사항만	인적사항/NNG+만/JX
입력해	입력하/VV+여/EC
신청하면	신청하/VV+면/EC
된다	되/VV+ㄴ다/EF

서울시민복지기준에	서울/NNP+시민복지기준/NNG+에/JKB
관심	관심/NNG
있는	있/VA+는/ETM
시민이라면	시민/NNG+이/VCP+라면/EC
성별,	성별/NNG+,/SP
연령,	연령/NNG+,/SP
지역,	지역/NNG+,/SP
직업	직업/NNG
상관없이	상관없이/MAG
누구나	누구/NP+나/JX
참가할	참가하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

특히,	특히/MAG+,/SP
거주지는	거주지/NNG+는/JX
타지역	타/MM+지역/NNG
이지만	이/NNB+이/VCP+지만/EC
직장이나	직장/NNG+이나/JC
학교가	학교/NNG+가/JKS
서울에	서울/NNP+에/JKB
소재해	소재하/VV+여/EC
실질적으로	실질적/NNG+으로/JKB
서울에서	서울/NNP+에서/JKB
생활하는	생활하/VV+는/ETM
시민도	시민/NNG+도/JX
참가가	참가/NNG+가/JKS
가능하다	가능하/VA+다/EC

시는	시/NNG+는/JX
인터넷	인터넷/NNG
이용이	이용/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
시민을	시민/NNG+을/JKO
위해	위하/VV+여/EC
전화와	전화/NNG+와/JC
방문	방문/NNG
신청도	신청/NNG+도/JX
동시에	동시/NNG+에/JKB
받을	받/VV+을/ETM
예정이다	예정/NNG+이/VCP+다/EC

서울시청	서울/NNP+시청/NNG
복지정책과(3707-9157,	복지정책/NNG+과/JC+(/SS+3707/SN+-/SO+9157/SN+,/SP
9199)로	9199/SN+)/SS+로/JKB
전화해	전화하/VV+여/EC
필요한	필요하/VA+ㄴ/ETM
인적사항을	인적사항/NNG+을/JKO
알려주면	알리/VV+어/EC+주/VX+면/EC
담당공무원이	담당공무원/NNG+이/JKS
신청시스템에	신청시스템/NNG+에/JKB
입력해	입력하/VV+여/EC
신청하는	신청하/VV+는/ETM
방식이다	방식/NNG+이/VCP+다/EC

최종	최종/NNG
참가자는	참가자/NNG+는/JX
복지·타운홀미팅	복지/NNP+·/SP+타운홀미팅/NNG
관련	관련/NNG
외부전문위원	외부전문위원/NNG
11명으로	11/SN+명/NNB+으로/JKB
구성된	구성되/VV+ㄴ/ETM
‘원탁회의	‘/SN+원탁회의/NNG
심의위원회’가	심의위원회/NNG+’/SL+가/JKS
연령·성별·지역·직업	연령/NNG+·/SP+성/NNG+별/XSN+·/SP+지역/NNG+·/SP+직업/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
균형있게	균형/NNG+있/VA+게/EC
구성하며,	구성하/VV+며/EC+,/SP
7월20일	7/SN+월/NNB+20/SN+일/NNB
서울시	서울시/NNP
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+여/EC
명단을	명단/NNG+을/JKO
공개할	공개하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

시는	시/NNG+는/JX
최종	최종/NNG
참가자로	참가자/NNG+로/JKB
확정된	확정되/VV+ㄴ/ETM
시민들에게는	시민/NNG+들/XSN+에게/JKB+는/JX
행사	행사/NNG
좌석배치도와	좌석배치도/NNG+와/JC
원탁회의에서	원탁회의/NNG+에서/JKB
논의할	논의하/VV+ㄹ/ETM
과제에	과제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자료를	자료/NNG+를/JKO
행사	행사/NNG
전에	전/NNG+에/JKB
미리	미리/MAG
우편으로	우편/NNG+으로/JKB
발송한다	발송하/VV+ㄴ다/EF
