'정부구매마저	'/SS+정부구매/NNG+마저/JX
있는데다	있/VX+는데/EC+다/JX
장기간의	장기간/NNG+의/JKG
납품	납품/NNG
실적을	실적/NNG+을/JKO
중요한	중요하/VA+ㄴ/ETM
계약	계약/NNG
조건으로	조건/NNG+으로/JKB
삼고	삼/VV+고/EC
있기	있/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

상황이	상황/NNG+이/JKS
이렇게	이렇/VA+게/EC
된	되/VV+ㄴ/ETM
데에는	데/NNB+에/JKB+는/JX
지자체의	지자체/NNG+의/JKG
책임도	책임/NNG+도/JX
없지	없/VA+지/EC
않다	않/VX+다/EC

해당	해당/NNG
지자체는	지자체/NNG+는/JX
사회적	사회적/NNG
기업	기업/NNG
육성법의	육성법/NNG+의/JKG
취지에	취지/NNG+에/JKB
반하는	반하/VV+는/ETM
제도적	제도적/NNG
문제점을	문제점/NNG+을/JKO
사전에	사전/NNG+에/JKB
파악하지	파악하/VV+지/EC
못했을	못하/VX+였/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
전시성	전시/NNG+성/XSN
행사에만	행사/NNG+에/JKB+만/JX
치중하는	치중하/VV+는/ETM
모습을	모습/NNG+을/JKO
보였다는	보이/VV+었/EP+다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

작년	작년/NNG
나누미	나누미/NNP
패션의	패션/NNG+의/JKG
개소식에는	개소식/NNG+에/JKB+는/JX
노원구청장과	노원구/NNP+청장/NNG+과/JC
시의원,	시의원/NNG+,/SP
구의원들까지	구의원/NNG+들/XSN+까지/JX
참석했다	참석하/VV+였/EP+다/EC

구는	구/NNG+는/JX
당시	당시/NNG
낸	내/VV+ㄴ/ETM
보도자료에서	보도자료/NNG+에서/JKB
2014년까지	2014/SN+년/NNB+까지/JX
나누미	나누미/NNP
패션에	패션/NNG+에/JKB
취약	취약/NNG
계층	계층/NNG
140여명을	140/SN+여/XSN+명/NNB+을/JKO
확대	확대/NNG
고용하고	고용하/VV+고/EC
동북부	동북부/NNG
봉제산업의	봉제산업/NNP+의/JKG
중심지로	중심지/NNG+로/JKB
키우겠다는	키우/VV+겠/EP+다는/ETM
장밋빛	장밋빛/NNG
전망을	전망/NNG+을/JKO
내놨다	내놓/VV+았/EP+다/EF

노원구청	노원구청/NNP
김후건	김후건/NNP
사회적경제팀장은	사회적경제팀장/NNG+은/JX
"대부분의	"/SS+대부분/NNG+의/JKG
사회적	사회적/NNG
기업이	기업/NNG+이/JKS
시장개척에	시장개척/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
것이	것/NNB+이/JKS
현실"이라며	현실/NNG+"/SS+이/VCP+라며/EC
"생산력과	"/SS+생산력/NNG+과/JC
기술력이	기술력/NNG+이/JKS
일정	일정/NNG
수준	수준/NNG
이상	이상/NNG
될	되/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
기회를	기회/NNG+를/JKO
주는	주/VV+는/ETM
법적·제도적	법적/NNG+·/SP+제도적/NNG
장치가	장치/NNG+가/JKS
필요하다"고	필요하/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

redflag@yna	redflag/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
