미국에	미국/NNP+에/JKB
못하고	못하/VX+고/EC
눈이	눈/NNG+이/JKS
조금만	조금/NNG+만/JX
쌓여도	쌓이/VV+어도/EC
휠체어는	휠체어/NNG+는/JX
무용지물이다	무용지물/NNG+이/VCP+다/EC

2년	2/SN+년/NNB
전	전/NNG
폭설에	폭설/NNG+에/JKB
갇혀	갇히/VV+어/EC
꼼짝	꼼짝/MAG
못했던	못하/VV+였/EP+던/ETM
공포스러운	공포스럽/VA+ㄴ/ETM
밤의	밤/NNG+의/JKG
기억이	기억/NNG+이/JKS
아직도	아직/MAG+도/JX
생생하다	생생하/VA+다/EC

게다가	게다가/MAG
비장애인과	비장애인/NNG+과/JKB
함께	함께/MAG
등산을	등산/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
꿈도	꿈/NNG+도/JX
꾸지를	꾸지르/VV+ㄹ/ETM
못한다	못하/VX+ㄴ다/EF

계단도	계단/NNG+도/JX
못	못/MAG
오른다	오르/VV+ㄴ다/EC

그럴	그렇/VA+ㄹ/ETM
때마다	때/NNG+마다/JX
이	이/MM
도시형	도시/NNG+형/XSN
휠체어에	휠체어/NNG+에/JKB
분통이	분통/NNG+이/JKS
터진다	터지/VV+ㄴ다/EC

누가	누구/NP+가/JKS
바퀴를	바퀴/NNG+를/JKO
이렇게	이렇/VA+게/EC
작게	작/VA+게/EC
만들었고,	만들/VV+었/EP+고/EC+,/SP
타이어를	타이어/NNG+를/JKO
매끄럽게	매끄럽/VA+게/EC
만들었는지	만들/VV+었/EP+는지/EC

이런	이런/MM
문제를	문제/NNG+를/JKO
한꺼번에	한꺼번에/MAG
해결한	해결하/VV+ㄴ/ETM
휠체어가	휠체어/NNG+가/JKS
있다	있/VA+다/EC

그	그/MM
이름도	이름/NNG+도/JX
무지막지한	무지막지하/VA+ㄴ/ETM
탱크	탱크/NNG
휠체어	휠체어/NNG

이	이/MM
휠체어로는	휠체어/NNG+로/JKB+는/JX
못가는	못/MAG+가/VV+는/ETM
데가	데/NNB+가/JKS
없다	없/VA+다/EF

이	이/MM
휠체어는	휠체어/NNG+는/JX
바퀴대신	바퀴대신/NNG
탱크처럼	탱크/NNG+처럼/JKB
릴이	릴이/NNG
돌아간다	돌아가/VV+ㄴ다/EC

이제	이제/MAG
거칠게	거칠/VA+게/EC
없다	없/VA+다/EF

거친	거치/VV+ㄴ/ETM
것을	것/NNB+을/JKO
좋아하는	좋아하/VV+는/ETM
장애인들에게	장애인/NNG+들/XSN+에게/JKB
이것처럼	이것/NP+처럼/JKB
좋은	좋/VA+은/ETM
것은	것/NNB+은/JX
없다	없/VA+다/EF

이	이/MM
휠체어는	휠체어/NNG+는/JX
아내가	아내/NNG+가/JKS
일반	일반/NNG
휠체어로	휠체어/NNG+로/JKB
제약이	제약/NNG+이/JKS
많은	많/VA+은/ETM
것을	것/NNB+을/JKO
본	보/VV+ㄴ/ETM
브레드가	브레드/NNP+가/JKS
만들었다	만들/VV+었/EP+다/EC

그는	그/NP+는/JX
이제	이제/MAG
그의	그/NP+의/JKG
아내	아내/NNG
리즈와	리즈/NNG+와/JC
어디든지	어디/NP+든지/JX
함께	함께/MAG
갈	가/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있다	있/VA+다/EC

부인을	부인/NNG+을/JKO
끔찍하게	끔찍하/VA+게/EC
사랑하면	사랑하/VV+면/EC
이런	이런/MM
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
제품도	제품/NNG+도/JX
만들어	만들/VV+어/EC
냈나보다	내/VX+었/EP+나/EC+보/VX+다/EC

브레드와	브레드/NNP+와/JC
리즈	리즈/NNP
부부(출처:	부부/NNG+(/SS+출처/NNG+:/SP
TC	TC/SL
모빌리티	모빌리티/NNG
홈페이지	홈페이지/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ샘/SN
*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
