출산휴가	출산휴가/NNG
법원의	법원/NNG+의/JKG
회생절차개시의	회생절차개시/NNG+의/JKG
결정	결정/NNG
등이	등/NNB+이/JKS
있는	있/VA+는/ETM
경우	경우/NNG
사업주로부터	사업주/NNG+로부터/JKB
지급받지	지급/NNG+받/VV+지/EC
못한	못하/VX+ㄴ/ETM
최종	최종/NNG
3개월분의	3/SN+개월/NNB+분/XSN+의/JKG
임금과	임금/NNG+과/JC
최종	최종/NNG
3년간의	3/SN+년/NNB+간/XSN+의/JKG
퇴직금	퇴직금/NNG
중	중/NNB
일부를	일부/NNG+를/JKO
국가로부터	국가/NNG+로부터/JKB
지급받을	지급/NNG+받/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
규정되어	규정되/VV+어/EC
있다	있/VX+다/EC

김모씨는	김/NNP+모/NP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
10월에	10/SN+월/NNB+에/JKB
회사에	회사/NNG+에/JKB
입사해	입사하/VV+여/EC
근무하던	근무하/VV+던/ETM
중,	중/NNB+,/SP
2010년	2010/SN+년/NNB
2월부터	2/SN+월/NNB+부터/JX
5월까지	5/SN+월/NNB+까지/JX
3개월	3/SN+개월/NNB
동안	동안/NNG
출산휴가를	출산휴가/NNG+를/JKO
다녀왔는데	다녀오/VV+았/EP+는데/EC
2010년	2010/SN+년/NNB
6월	6/SN+월/NNB
다니던	다니/VV+던/ETM
회사가	회사/NNG+가/JKS
법원의	법원/NNG+의/JKG
회생절차	회생절차/NNG
개시결정을	개시결정/NNG+을/JKO
받자	받/VV+자/EC
중부지방고용노동청	중부지방고용노동청/NNG
경기지청에	경기지청/NNG+에/JKB
지급받지	지급/NNG+받/VV+지/EC
못한	못하/VX+ㄴ/ETM
체불임금에	체불임금/NNG+에/JKB
대해	대하/VV+여/EC
체당금	체당금/NNG
지급가능	지급가능/NNG
여부를	여부/NNG+를/JKO
확인해줄	확인하/VV+여/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
신청했다	신청하/VV+였/EP+다/EC

김모씨의	김/NNP+모/NP+씨/NNB+의/JKG
신청에	신청/NNG+에/JKB
대해	대하/VV+여/EC
중부지방고용노동청	중부지방고용노동청/NNG
경기지청장은	경기지청/NNG+장/XSN+은/JX
출산	출산/NNG
전·후	전/NNG+·/SP+후/NNG
휴가기간	휴가기간/NNG
중	중/NNB
지급되는	지급되/VV+는/ETM
급여는	급여/NNG+는/JX
근로의	근로/NNG+의/JKG
대가인	대가/NNG+이/VCP+ㄴ/ETM
임금에	임금/NNG+에/JKB
해당하지	해당하/VV+지/EC
않는다는	않/VX+는다는/ETM
이유로	이유/NNG+로/JKB
임금을	임금/NNG+을/JKO
제외한	제외하/VV+ㄴ/ETM
퇴직금에	퇴직금/NNG+에/JKB
대해서만	대하/VV+여서/EC+만/JX
체당금	체당금/NNG
지급이	지급/NNG+이/JKS
가능하다고	가능하/VA+다고/EC
통지했다	통지하/VV+였/EP+다/EC

하지만,	하지만/MAJ+,/SP
중앙행심위는	중앙행심위/NNG+는/JX
‘근로기준법’에	‘/SN+근로기준법/NNG+’/SL+에/JKB
규정된	규정되/VV+ㄴ/ETM
근로의	근로/NNG+의/JKG
대가라고	대가/NNG+이/VCP+라고/EC
하는	하/VV+는/ETM
것은	것/NNB+은/JX
근로자의	근로자/NNG+의/JKG
근로제공을	근로제공/NNG+을/JKO
원활하게	원활하/VA+게/EC
하거나	하/VX+거나/EC
근로의욕을	근로의욕/NNG+을/JKO
고취시키게	고취/NNG+시키/XSV+게/EC
하는	하/VX+는/ETM
것도	것/NNB+도/JX
포함된다고	포함되/VV+ㄴ다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
출산	출산/NNG
전·후	전/NNG+·/SP+후/NNG
휴가는	휴가/NNG+는/JX
임신	임신/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
여성을	여성/NNG+을/JKO
일정한	일정하/VA+ㄴ/ETM
범위	범위/NNG
내에서	내/NNB+에서/JKB
법적으로	법적/NNG+으로/JKB
보호	보호/NNG
받게	받/VV+게/EC
해	하/VX+여/EC
근로의욕을	근로의욕/NNG+을/JKO
고취시키는	고취/NNG+시키/XSV+는/ETM
제도로	제도/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
판단했다	판단하/VV+였/EP+다/EC

또한	또한/MAG
관계	관계/NNG
법령에서	법령/NNG+에서/JKB
현실적으로	현실적/NNG+으로/JKB
근로를	근로/NNG+를/JKO
제공하지	제공하/VV+지/EC
않는	않/VX+는/ETM
출산	출산/NNG
전·후	전/NNG+·/SP+후/NNG
휴가에	휴가/NNG+에/JKB
대해	대하/VV+여/EC
임금을	임금/NNG+을/JKO
지급하도록	지급하/VV+도록/EC
규정하고	규정하/VV+고/EC
있는	있/VX+는/ETM
점	점/NNG
임산부의	임산부/NNG+의/JKG
의지에	의지/NNG+에/JKB
따라	따르/VV+아/EC
출산	출산/NNG
시기를	시기/NNG+를/JKO
조절할	조절하/VV+ㄹ/ETM
수	수/NNB
없는데도,	없/VA+는데/EC+도/JX+,/SP
출산이라는	출산/NNG+이/VCP+라는/ETM
우연한	우연하/VA+ㄴ/ETM
사정에	사정/NNG+에/JKB
따라	따르/VV+아/EC
체불	체불/NNG
임금의	임금/NNG+의/JKG
성립여부가	성립여부/NNG+가/JKS
결정된다면	결정되/VV+ㄴ다면/EC
임신부를	임신부/NNG+를/JKO
보호하고자	보호하/VV+고자/EC
하는	하/VX+는/ETM
법의	법/NNB+의/JKG
취지와도	취지/NNG+와/JKB+도/JX
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
중부지방고용노동청	중부지방고용노동청/NNG
경기지청이	경기지청/NNG+이/JKS
산전·산후	산전/NNG+·/SP+산후/NNG
휴가기간	휴가기간/NNG
동안	동안/NNG
지급하지	지급하/VV+지/EC
못한	못하/VX+ㄴ/ETM
급여를	급여/NNG+를/JKO
체당금이	체당금/NNG+이/JKC
아니라고	아니/VCN+라고/EC
결정한	결정하/VV+ㄴ/ETM
것은	것/NNB+은/JX
위법·부당하다고	위법/NNG+·/SP+부당하/VA+다고/EC
밝혔다	밝히/VV+었/EP+다/EC
