정부	정부/NNG
주장한	주장하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

신	신/NNP
차관은	차관/NNG+은/JX
고령화	고령화/NNG
위험을	위험/NNG+을/JKO
과소평가하고	과소평가하/VV+고/EC
미래	미래/NNG
재정상황을	재정상황/NNG+을/JKO
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
나라는	나라/NNG+는/JX
1990년대부터	1990/SN+년대/NNB+부터/JX
재정악화와	재정악화/NNG+와/JC
장기	장기/NNG
불황을	불황/NNG+을/JKO
겪고	겪/VV+고/EC
있다며	있/VX+다며/EC
"우리나라도	"/SS+우리나라/NNG+도/JX
방심하면	방심하/VV+면/EC
재정이	재정/NNG+이/JKS
부실해지는	부실하/VA+여/EC+지/VX+는/ETM
데	데/NNB
시간이	시간/NNG+이/JKS
오래	오래/MAG
걸리지	걸리/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

`장기재정전망	`/SW+장기재정전망/NNG
결과와	결과/NNG+와/JC
시사점'과	시사점/NNG+'/SS+과/JKB
관련해서는	관련하/VV+여서/EC+는/JX
국민연금ㆍ건강보험	국민연금/NNG+ㆍ/SP+건강보험/NNG
등	등/NNB
복지제도,	복지제도/NNG+,/SP
통일과	통일/NNG+과/JKB
같은	같/VA+은/ETM
외부	외부/NNG
충격이	충격/NNG+이/JKS
재정에	재정/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
영향을	영향/NNG+을/JKO
점검하겠다고	점검하/VV+겠/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이날	이날/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
기후변화	기후변화/NNG
위협과	위협/NNG+과/JC
에너지	에너지/NNG
수급	수급/NNG
문제가	문제/NNG+가/JKS
현실화한다는	현실화하/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나왔다	나오/VV+았/EP+다/EF

올해	올해/NNG
태풍이	태풍/NNG+이/JKS
네	네/MM
차례	차례/NNG
한반도를	한반도/NNP+를/JKO
강타했고	강타하/VV+였/EP+고/EC
미국은	미국/NNP+은/JX
유례없는	유례없/VA+는/ETM
불볕더위에	불볕더위/NNG+에/JKB
시달렸다	시달리/VV+었/EP+다/EF

정부는	정부/NNG+는/JX
`중장기	`/SW+중장기/NNG
기후변화ㆍ에너지	기후변화/NNG+ㆍ/SP+에너지/NNG
정책방향'	정책방향/NNG+'/SS
안건을	안건/NNG+을/JKO
마련해	마련하/VV+여/EC
장기적인	장기적/NNG+이/VCP+ㄴ/ETM
대비에	대비/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이날	이날/NNG
회의	회의/NNG
결과는	결과/NNG+는/JX
이달	이달/NNG
말	말/NNB
중장기전략보고서에	중장기전략보고서/NNG+에/JKB
담긴다	담기/VV+다/EF

clap@yna	clap/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
