고속道	고속/NNG+道/SL
사용하다	사용하/VV+다/EC
적발될	적발되/VV+ㄹ/ETM
경우	경우/NNG
정상	정상/NNG
통행료를	통행료/NNG+를/JKO
내고,	내/VV+고/EC+,/SP
사용방법	사용방법/NNG
안내	안내/NNG
및	및/MAG
계도를	계도/NNG+를/JKO
받는	받/VV+는/ETM
것이	것/NNB+이/JKS
전부인	전부/NNG+이/VCP+ㄴ/ETM
실정이다	실정/NNG+이/VCP+다/EC

실제로	실제로/MAG
대법원은	대법원/NNG+은/JX
2005년	2005/SN+년/NNB
5월	5/SN+월/NNB
보건복지부의	보건복지부/NNG+의/JKG
장애인	장애인/NNG
차량에	차량/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고속도로	고속도로/NNG
통행료	통행료/NNG
감면시책	감면시책/NNG
업무지침	업무지침/NNG
중	중/NNB
식별표지	식별표지/NNG
및	및/MAG
할인카드의	할인카드/NNG+의/JKG
불법사용에	불법사용/NNG+에/JKB
대해	대하/VV+여/EC
할인카드	할인카드/NNG
회수	회수/NNG
등	등/NNB
제재조치를	제재조치/NNG+를/JKO
정한	정하/VV+ㄴ/ETM
벌칙규정의	벌칙규정/NNG+의/JKG
효력	효력/NNG
무효를	무효/NNG+를/JKO
판결한	판결하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

박	박/NNP
의원은	의원/NNG+은/JX
“한국도로공사는	“/SL+한국도로공사/NNP+는/JX
장애인	장애인/NNG
및	및/MAG
국가유공자를	국가유공자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
좋은	좋/VA+은/ETM
취지의	취지/NNG+의/JKG
제도가	제도/NNG+가/JKS
더	더/MAG
이상	이상/NNG
훼손되지	훼손되/VV+지/EC
않도록	않/VX+도록/EC
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
제도개선	제도개선/NNG
방안을	방안/NNG+을/JKO
마련해야	마련하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
주문했다	주문하/VV+였/EP+다/EF
