개발원,	개발원/NNG+,/SP
진행하고	진행하/VV+고/EC
있다	있/VX+다/EC

“수의계약을	“/SL+수의계약/NNG+을/JKO
본격적으로	본격적/NNG+으로/JKB
시작한	시작하/VV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
되지	되/VV+지/EC
않아	않/VX+아/EC
아직	아직/MAG
많은	많/VA+은/ETM
실적은	실적/NNG+은/JX
없지만,	없/VA+지만/EC+,/SP
해양경찰청을	해양경찰청/NNG+을/JKO
첫	첫/MM
교두보로	교두보/NNG+로/JKB
해서	하/VV+여서/EC
다른	다른/MM
공공기관에서도	공공기관/NNG+에서/JKB+도/JX
지속적으로	지속적/NNG+으로/JKB
연락이	연락/NNG+이/JKS
오고	오/VV+고/EC
있는	있/VX+는/ETM
중입니다	중/NNG+이/VCP+ㅂ니다/EC

”실제,	”/SL+실제/NNG+,/SP
해양경찰청과는	해양경찰청/NNG+과/JKB+는/JX
지난	지나/VV+ㄴ/ETM
5월부터	5/SN+월/NNB+부터/JX
계약이	계약/NNG+이/JKS
이어지고	이어지/VV+고/EC
있다	있/VX+다/EC

해수욕장	해수욕장/NNG
근무복과	근무/NNG+복/XSN+과/JC
전투경찰의	전투경찰/NNG+의/JKG
겨울체육복,	겨울체육복/NNG+,/SP
함정정비복	함정정비복/NNG
등에	등/NNB+에/JKB
이어	잇/VV+어/EC
하계해상진압복(326,200,000원)도	하계하/VV+여/EC+상진압복/NNG+(/SS+326,200,000/SN+원/NNB+)/SS+도/JX
이미	이미/MAG
계약을	계약/NNG+을/JKO
체결한	체결하/VV+ㄴ/ETM
상태	상태/NNG

대승복지원에서	대승복지/NNG+원/XSN+에서/JKB
제작에	제작/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

또,	또/MAG+,/SP
강서지역	강서/NNP+지역/NNG
약	약/MM
75개	75/SN+개/NNB
학교의	학교/NNG+의/JKG
중증장애인생산품을	중증장애인생산품/NNG+을/JKO
공동구매하는	공동/NNG+구매하/VV+는/ETM
서울특별시강서교육지원청과도	서울/NNP+특별시강서교육지원/NNG+청/XSN+과/JKB+도/JX
계약을	계약/NNG+을/JKO
체결했다	체결하/VV+였/EP+다/EC

총	총/MM
114,351,130원어치의	114,351,130/SN+원/NNB+어치/XSN+의/JKG
복사용지	복사용지/NNG
외	외/NNB
10종의	10/SN+종/NNG+의/JKG
중증장애인생산품을	중증장애인생산품/NNG+을/JKO
서울특별시장애인생산품판매시설에서	서울/NNP+특별시장애인생산품판매시설/NNG+에서/JKB
납품하게	납품하/VV+게/EC
됐다	되/VV+었/EP+다/EC

한국장애인개발원이	한국/NNP+장애인개발/NNG+원/XSN+이/JKS
업무	업무/NNG
수행기관으로	수행기관/NNG+으로/JKB
수의계약을	수의계약/NNG+을/JKO
대행하는	대행하/VV+는/ETM
경우,	경우/NNG+,/SP
일단	일단/MAG
구매업체와	구매업체/NNG+와/JC
수의계약을	수의계약/NNG+을/JKO
체결한	체결하/VV+ㄴ/ETM
후	후/NNG
해당	해당/NNG
생산시설을	생산시설/NNG+을/JKO
선별?지정해서	선별/NNG+?/SF+지정하/VV+여서/EC
생산	생산/NNG
납품토록	납품하/VV+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

즉	즉/MAG
공공기관과	공공기관/NNG+과/JC
개발원간	개발원간/NNG
계약,	계약/NNG+,/SP
개발원과	개발/NNG+원/XSN+과/JC
생산시설간의	생산시설/NNG+간/NNB+의/JKG
계약에	계약/NNG+에/JKB
이어	잇/VV+어/EC
생산시설이	생산시설/NNG+이/JKS
물품을	물품/NNG+을/JKO
공공기관에	공공기관/NNG+에/JKB
납품하는	납품하/VV+는/ETM
시스템이다	시스템/NNG+이/VCP+다/EC

개발원이	개발/NNG+원/XSN+이/JKS
수의계약을	수의계약/NNG+을/JKO
대행하는	대행하/VV+는/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
수수료는	수수료/NNG+는/JX
없다	없/VA+다/EC

다만	다만/MAG
계약이행보증료나	계약이행보증료/NNG+나/JC
인지세	인지세/NNG
같은	같/VA+은/ETM
실제비용만	실제비용/NNG+만/JX
시설측에서	시설/NNG+측/NNB+에서/JKB
부담하면	부담하/VV+면/EC
된다	되/VV+ㄴ다/EF

“아무래도	“/SN+아무래도/MAG
개발원이	개발원/NNG+이/JKS
수의계약	수의계약/NNG
대행	대행/NNG
담당자를	담당자/NNG+를/JKO
지정	지정/NNG
운영하는	운영하/VV+는/ETM
등	등/NNB
노하우와	노하우/NNG+와/JC
전문성을	전문/NNG+성/XSN+을/JKO
확보하고	확보하/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
시설에서	시설/NNG+에서/JKB
직접	직접/MAG
계약하는	계약하/VV+는/ETM
것보다	것/NNB+보다/JKB
고단가	고단/NNG+가/JKS
계약이	계약/NNG+이/JKS
이루어질	이루어지/VV+ㄹ/ETM
가능성이	가능성/NNG+이/JKS
큽니다	큽니/VA+다/EC

”문제는	”/SL+문제/NNG+는/JX
생산시설	생산시설/NNG
선정에	선정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공정성	공정성/NNG
여부	여부/NNG

개발원은	개발원/NNG+은/JX
수의	수/NNG+의/JKG
품목	품목/NNG
시설을	시설/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
입찰	입찰/NNG
공고를	공고/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
공정성	공정성/NNG
유지에	유지/NNG+에/JKB
각별히	각별히/MAG
신경을	신경/NNG+을/JKO
쓰고	쓰/VV+고/EC
있다	있/VX+다/EC

특히,	특히/MAG+,/SP
적합한	적합하/VA+ㄴ/ETM
시설	시설/NNG
선정을	선정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
각	각/MM
품목별	품목/NNG+별/XSN
생산품목위원회도	생산품목위원회/NNG+도/JX
구성	구성/NNG
중이다	중/NNB+이/VCP+다/EC

지난	지나/VV+ㄴ/ETM
2007년의	2007/SN+년/NNB+의/JKG
경우	경우/NNG
장애인복지법상	장애인복지법/NNG+상/XSN
18개	18/SN+개/NNB
중증장애인생산품목이	중증장애인생산품목/NNG+이/JKS
있었지만,	있/VA+었/EP+지만/EC+,/SP
2012년	2012/SN+년/NNB
5월	5/SN+월/NNB
현재는	현재/NNG+는/JX
총	총/MM
91개	91/SN+개/NNB
품목으로	품목/NNG+으로/JKB
분류되고	분류되/VV+고/EC
있는	있/VX+는/ETM
상황	상황/NNG

그	그/MM
중	중/NNB
현재	현재/MAG
가구,	가구/NNG+,/SP
LED	LED/SL
조명,	조명/NNG+,/SP
피복,	피복/NNG+,/SP
인쇄(책자	인쇄/NNG+(/SS+책자/NNG
카다로그	카다로그/NNP
제작	제작/NNG
등)	등/NNB+)/SS
등	등/NNB
4개	4/SN+개/NNB
품목위원회는	품목위원회/NNG+는/JX
이미	이미/MAG
구성됐으며,	구성되/VV+었/EP+으며/EC+,/SP
나머지	나머지/NNG
품목에	품목/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
각계	각계/NNG
전문가로	전문가/NNG+로/JKB
위원회를	위원회/NNG+를/JKO
구성	구성/NNG
중이다	중/NNB+이/VCP+다/EC

생산품목위원회는	생산품목위원회/NNG+는/JX
각	각/MM
품목별	품목/NNG+별/XSN
수의계약	수의계약/NNG
대행에	대행/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조언은	조언/NNG+은/JX
물론	물론/MAG
시설	시설/NNG
지정에	지정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제안도	제안/NNG+도/JX
하게	하/VV+게/EC
된다	되/VV+ㄴ다/EF

한국장애인개발원	한국/NNP+장애인개발/NNG+원/XSN
관계자는	관계자/NNG+는/JX
이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
“앞으로	“/SL+앞/NNG+으로/JKB
공공기관들이	공공기관/NNG+들/XSN+이/JKS
중증장애인생산품을	중증장애인생산품/NNG+을/JKO
잘	잘/MAG
구매할	구매하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해	하/VX+여/EC
시설들의	시설/NNG+들/XSN+의/JKG
매출	매출/NNG
증대를	증대/NNG+를/JKO
위해	위하/VV+여/EC
계속해서	계속하/VV+여서/EC
노력할	노력하/VV+ㄹ/ETM
계획이며,	계획/NNG+이/VCP+며/EC+,/SP
적극적으로	적극적/NNG+으로/JKB
홍보해서	홍보하/VV+여서/EC
공공기관들이	공공기관/NNG+들/XSN+이/JKS
생산품	생산품/NNG
구매에	구매/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
없도록	없/VA+도록/EC
하겠다	하/VX+겠/EP+다/EC

”고	”/SN+고/NNG
말했다	말하/VV+였/EP+다/EC

현재	현재/MAG
‘중증장애인생산품	‘/SL+중증장애인생산품/NNG
우선구매	우선구매/NNG
특별법	특별법/NNG
시행령’제10조	시행령/NNG+’/SN+제/XPN+10/SN+조/NR
제3항에	제/XPN+3/SN+항/NNG+에/JKB
따라	따르/VV+아/EC
공공기관은	공공기관/NNG+은/JX
중증장애인생산품을	중증장애인생산품/NNG+을/JKO
각	각/MM
기관별	기관/NNG+별/XSN
총	총/XPN
구매액(제품과	구매/NNG+액/XSN+(/SS+제품/NNG+과/JC
노무용역	노무용역/NNG
등의	등/NNB+의/JKG
서비스에	서비스/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
총	총/XPN
구매액을	구매/NNG+액/XSN+을/JKO
말하되,	말하/VV+되/EC+,/SP
공사는	공사/NNG+는/JX
제외한다)의	제외하/VV+ㄴ다/EF+)/SS+의/JKG
100분의1	100/SN+분/XSN+의/JKG+1/SN
이상	이상/NNG
의무적으로	의무적/NNG+으로/JKB
구매해야	구매하/VV+여야/EC
하며,	하/VX+며/EC+,/SP
동법	동법/NNG
제7조	제/XPN+7/SN+조/NNB
제3항에	제/XPN+3/SN+항/NNG+에/JKB
의해	의하/VV+여/EC
수의계약	수의계약/NNG
체결이	체결/NNG+이/JKS
가능하다	가능하/VA+다/EC
