“방부제	“/SL+방부제/NNG
체크하고,	체크하/VV+고/EC+,/SP
설거지,	설거지/NNG+,/SP
청소를	청소/NNG+를/JKO
한다	하/VV+ㄴ다/EF

제빵사	제빵사/NNP
서은숙(28	서은숙/NNP+(/SS+28/SN
지적장애	지적장애/NNG
3급)	3/SN+급/NNG+)/SS
씨는	씨/NNB+는/JX
제빵사	제빵사/NNG
자격증도	자격증/NNG+도/JX
땄다	따/VV+았/EP+다/EF

제빵사답게	제빵사/NNG+답/XSA+게/EC
혹여	혹여/MAG
우유가	우유/NNG+가/JKS
모자라	모자라/VV+아/EC
물을	물/NNG+을/JKO
조금이라도	조금/NNG+이라도/JX
섞을라치면	섞/VV+을라/EC+치/VX+면/EC
그렇게	그렇/VA+게/EC
하면	하/VV+면/EC
안된다고	안되/VV+ㄴ다고/EC
따끔하게	따끔하/VA+게/EC
원칙을	원칙/NNG+을/JKO
일러준다	이르/VV+어/EC+주/VX+ㄴ다/EF

경력	경력/NNG
5년여의	5/SN+년/NNB+여/XSN+의/JKG
신동화(25	신동화/NNP+(/SS+25/SN
지적장애	지적장애/NNG
3급)	3/SN+급/NNG+)/SS
씨는	씨/NNB+는/JX
오븐	오븐/NNG
시간체크	시간체크/NNG
담당이다	담당/NNG+이/VCP+다/EC

처음에는	처음/NNG+에/JKB+는/JX
맞춰놓은	맞추/VV+어/EC+놓/VX+은/ETM
타이머가	타이머/NNG+가/JKS
정확하게	정확하/VA+게/EC
15분이	15/SN+분/NNB+이/JKS
지나지	지나/VV+지/EC
않으면	않/VX+으면/EC
오븐	오븐/NNG
속에서	속/NNG+에서/JKB
빵이	빵/NNG+이/JKS
타도	타도/NNG
꺼내지	꺼내/VV+지/EC
않았다	않/VX+았/EP+다/EF

하지만	하지만/MAJ
지금은	지금/NNG+은/JX
15분	15/SN+분/NNB
전이라도	전/NNG+이라도/JX
오븐	오븐/NNG
속	속/NNG
빵	빵/NNG
상태를	상태/NNG+를/JKO
봐서	보/VV+아서/EC
적당히	적당히/MAG
구워지면	굽/VV+어/EC+지/VX+면/EC
꺼내야	꺼내/VV+어야/EC
하는	하/VX+는/ETM
줄도	줄/NNB+도/JX
알게	알/VV+게/EC
됐다	되/VV+었/EP+다/EC

동화	동화/NNG
씨는	씨/NNG+는/JX
더러	더러/MAG
비장애인	비/XPN+장애인/NNG
직원이	직원/NNG+이/JKS
와서	오/VV+아서/EC
빵을	빵/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
때	때/NNG
자기보다	자기/NP+보다/JKB
실력이	실력/NNG+이/JKS
시원찮다	시원찮/VA+다/EC
싶으면	싶/VX+으면/EC
야단도	야단/NNG+도/JX
친다	치/VV+ㄴ다/EC

자기	자기/NP
일을	일/NNG+을/JKO
빼앗기고	빼앗기/VV+고/EC
싶지	싶/VX+지/EC
않으려고	않/VX+으려고/EC
할	하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
일에	일/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
욕심이	욕심/NNG+이/JKS
많은	많/VA+은/ETM
편이다	편/NNB+이/VCP+다/EC

예약	예약/NNG
주문외	주문/NNG+외/NNB
추가	추가/NNG
주문이	주문/NNG+이/JKS
들어오면	들어오/VV+면/EC
유동균(22	유동균/NNG+(/SS+22/SN
지적장애	지적장애/NNG
3급)	3/SN+급/NNG+)/SS
씨가	씨/NNB+가/JKS
바로	바로/MAG
투입된다	투입되/VV+ㄴ다/EF

재료준비도	재료준비/NNG+도/JX
가능하고,	가능하/VA+고/EC+,/SP
오븐도	오븐/NNP+도/JX
불	불/VV+ㄹ/ETM
줄	줄/NNB
아는	알/VV+는/ETM
동균	동균/NNG
씨는	씨/NNB+는/JX
요셉베이커리에서	요셉베이커리/NNP+에서/JKB
최근	최근/NNG
떠오르는	떠오르/VV+는/ETM
샛별이다	샛별/NNG+이/VCP+다/EC

덕분에	덕분/NNG+에/JKB
경쟁자인	경쟁자/NNG+이/VCP+ㄴ/ETM
신동화	신동화/NNP
씨가	씨/NNB+가/JKS
긴장	긴장/NNG
상태다	상태/NNG+이/VCP+다/EC

서은숙	서은숙/NNP
씨와	씨/NNB+와/JC
신동화	신동화/NNP
씨가	씨/NNB+가/JKS
반죽으로	반죽/NNG+으로/JKB
동굴리기를	동굴리/VV+기/ETN+를/JKO
하는	하/VV+는/ETM
동안	동안/NNG
제빵사를	제빵사/NNG+를/JKO
꿈꾸는	꿈꾸/VV+는/ETM
다른	다른/MM
중증장애인근로인들도	중증장애인근로인/NNG+들/XSN+도/JX
함께	함께/MAG
빵판과	빵판/NNG+과/JC
필름을	필름/NNG+을/JKO
닦고,	닦/VV+고/EC+,/SP
설거지,	설거지/NNG+,/SP
청소를	청소/NNG+를/JKO
하며	하/VV+며/EC
손발을	손발/NNG+을/JKO
척척	척척/MAG
맞춘다	맞추/VV+ㄴ다/EC

덕분에	덕분/NNG+에/JKB
충북재활원	충북재활원/NNP
거주인들은	거주인/NNG+들/XSN+은/JX
매일	매일/MAG
아침	아침/NNG
갓	갓/VV
구워낸	굽/VV+어/EC+내/VX+ㄴ/ETM
신선한	신선하/VA+ㄴ/ETM
빵을	빵/NNG+을/JKO
아침식사로	아침식사/NNG+로/JKB
먹고	먹/VV+고/EC
있다	있/VX+다/EC

모든	모든/MM
빵은	빵/NNG+은/JX
당일	당일/NNG
생산	생산/NNG
당일	당일/NNG
판매가	판매/NNG+가/JKS
원칙	원칙/NNG

그러다보니	그러/VV+다/EC+보/VX+니/EC
방부제나	방부제/NNG+나/JC
기타	기타/NNG
몸에	몸/NNG+에/JKB
해로운	해롭/VA+ㄴ/ETM
첨가물들은	첨가물/NNG+들/XSN+은/JX
사용할	사용하/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다	없/VA+다/EC

하지만	하지만/MAJ
주문은	주문/NNG+은/JX
2~3일	2/SN+~/SO+3/SN+일/NNB
전에	전/NNG+에/JKB
미리	미리/MAG
해줘야	하/VV+여/EC+주/VX+어야/EC
무리	무리/NNG
없이	없이/MAG
준비할	준비하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC

빵	빵/NNG
종류도	종류/NNG+도/JX
다양하다	다양하/VA+다/EC

단팥빵과	단팥빵/NNG+과/JC
소보로빵,	소보로빵/NNG+,/SP
꽈배기,	꽈/SL+배기/NNG+,/SP
식빵,	식빵/NNG+,/SP
바게트,	바게트/NNG+,/SP
카스테라,	카스테라/NNG+,/SP
쿠기,	쿠기/NNG+,/SP
생크림케이크	생크림케이크/NNP
등	등/NNB
30여	30/SN+여/XSN
가지,	가지/NNB+,/SP
요즘은	요즘/NNG+은/JX
하루	하루/NNG
1,500여	1,500/SN+여/XSN
개의	개/NNB+의/JKG
빵을	빵/NNG+을/JKO
만들어낸다	만들/VV+어/EC+내/VX+ㄴ다/EF

가격면에서도	가격면/NNG+에서/JKB+도/JX
경쟁력이	경쟁력/NNG+이/JKS
있다	있/VA+다/EC

대부분	대부분/NNG
시중가보다	시중/NNG+가/XSN+보다/JKB
낮은	낮/VA+은/ETM
가격으로	가격/NNG+으로/JKB
단팥,	단팥/NNG+,/SP
크림,	크림/NNG+,/SP
소보루빵은	소보루빵/NNG+은/JX
500원이고,	500/SN+원/NNB+이/VCP+고/EC+,/SP
식빵은	식빵/NNG+은/JX
2,500원,	2,500/SN+원/NNB+,/SP
모카빵은	모카빵/NNG+은/JX
3,000원,	3,000/SN+원/NNB+,/SP
모닝빵은	모닝빵/NNG+은/JX
2,500원으로	2,500/SN+원/NNB+으로/JKB
저렴하다	저렴하/VA+다/EC

낱개로	낱개/NNG+로/JKB
파는	팔/VV+는/ETM
빵은	빵/NNG+은/JX
500원짜리가,	500/SN+원/NNB+짜리/XSN+가/JKS+,/SP
주부들에게는	주부/NNG+들/XSN+에게/JKB+는/JX
3,000원짜리	3,000/SN+원/NNB+짜리/XSN
카스테라가	카스테라/NNG+가/JKS
특히	특히/MAG
인기다	인기/NNG+이/VCP+다/EF

빵을	빵/NNG+을/JKO
만들고	만들/VV+고/EC
있는	있/VX+는/ETM
요셉베이커리	요셉베이커리/NNG
장애인	장애인/NNG
직원	직원/NNG

빵	빵/NNG
하나하나마다	하나하나/NNG+마다/JX
정성을	정성/NNG+을/JKO
담은	담/VV+은/ETM
요셉베이커리	요셉베이커리/NNG
빵의	빵/NNG+의/JKG
90%	90/SN+%/SW
이상은	이상/NNG+은/JX
예약	예약/NNG
판매로	판매/NNG+로/JKB
이루어진다	이루어지/VV+ㄴ다/EC

그	그/MM
중	중/NNB
90%	90/SN+%/SW
이상은	이상/NNG+은/JX
단체	단체/NNG
고객에게	고객/NNG+에게/JKB
팔려나간다	팔려나가/VV+ㄴ다/EF

식약청,	식약청/NNG+,/SP
오송인력개발원,	오송인력개발/NNG+원/XSN+,/SP
교회,	교회/NNG+,/SP
어린이집	어린이집/NNG
등에서	등/NNB+에서/JKB
단체	단체/NNG
행사용이나	행사/NNG+용/XSN+이나/JC
간식용으로	간식/NNG+용/XSN+으로/JKB
주문하는	주문하/VV+는/ETM
경우가	경우/NNG+가/JKS
많다	많/VA+다/EC

특히	특히/MAG
오송인력개발원의	오송인력개발/NNG+원/XSN+의/JKG
경우	경우/NNG
월	월/NNG
1회	1/SN+회/NNB
정도	정도/NNG
제빵체험	제빵체험/NNG
교육을	교육/NNG+을/JKO
이곳에서	이곳/NP+에서/JKB
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
좋은	좋/VA+은/ETM
반응을	반응/NNG+을/JKO
얻고	얻/VV+고/EC
있다	있/VX+다/EC

토요일과	토요일/NNG+과/JC
일요일	일요일/NNG
휴무를	휴무/NNG+를/JKO
빼고	빼/VV+고/EC
5만원	5/SN+만/NR+원/NNB
이상은	이상/NNG+은/JX
배달도	배달/NNG+도/JX
가능하다	가능하/VA+다/EC

지난해	지난해/NNG
총	총/XPN
매출	매출/NNG
4,500여만원	4,500/SN+여/XSN+만/NR+원/NNB

올해는	올해/NNG+는/JX
지난해	지난해/NNG
대비	대비/NNG
3배	3/SN+배/NNG
정도를	정도/NNG+를/JKO
예상할만큼	예상하/VV+ㄹ/ETM+만큼/NNB
급신장	급신장/NNG
추세다	추세/NNG+이/VCP+다/EF

물론	물론/MAG
여전히	여전히/MAG
순이익은	순이익/NNG+은/JX
적지만	적/VA+지만/EC
수입보다는	수입/NNG+보다/JKB+는/JX
직업재활이	직업재활/NNG+이/JKS
목적이라	목적/NNG+이/VCP+라/EC
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
일터로서는	일터/NNG+로서/JKB+는/JX
그만이다	그만/MAG+이/VCP+다/EC

“쿠키는	“/SL+쿠키/NNP+는/JX
주문이	주문/NNG+이/JKS
들어오면	들어오/VV+면/EC
바로	바로/MAG
제작에	제작/NNG+에/JKB
들어가는데,	들어가/VV+는데/EC+,/SP
전에는	전/NNG+에/JKB+는/JX
빵을	빵/NNG+을/JKO
위주로	위주/NNG+로/JKB
하고	하/VV+고/EC
쿠키는	쿠키/NNG+는/JX
직접	직접/MAG
손으로	손/NNG+으로/JKB
만들었습니다	만들/VV+었/EP+습니다/EF

그런데	그런데/MAJ
작년에	작년/NNG+에/JKB
도?시의	도/NNG+?/SF+시/NNG+의/JKG
기능보강사업	기능보강사업/NNG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
쿠키	쿠키/NNG
기계가	기계/NNG+가/JKS
들어왔습니다	들어오/VV+았/EP+습니다/EF

”그래서	”/SL+그렇/VA+어서/EC
앞으로는	앞/NNG+으로/JKB+는/JX
빵보다는	빵/NNG+보다/JKB+는/JX
쿠키를	쿠키/NNG+를/JKO
주력	주력/NNG
제품으로	제품/NNG+으로/JKB
바꿔볼	바꾸/VV+어/EC+보/VX+ㄹ/ETM
생각이다	생각/NNG+이/VCP+다/EC

보호작업장과	보호작업장/NNG+과/JC
요셉베이커리의	요셉베이커리/NNP+의/JKG
장애인근로인은	장애인근로인/NNG+은/JX
총	총/MM
50명	50/SN+명/NNB

그	그/MM
중	중/NNB
25명은	25/SN+명/NNB+은/JX
충북재활원	충북재활원/NNP
거주	거주/NNG
장애인이고,	장애인/NNG+이/VCP+고/EC+,/SP
나머지	나머지/NNG
25명은	25/SN+명/NNB+은/JX
재가	재가/NNG
장애인이거나	장애인/NNG+이/VCP+거나/EC
충북재활원	충북재활원/NNP
퇴소	퇴소/NNG
후	후/NNG
그룹홈에	그룹홈/NNG+에/JKB
거주하는	거주하/VV+는/ETM
장애인들이다	장애인/NNG+들/XSN+이/VCP+다/EC

급여는	급여/NNG+는/JX
아직	아직/MAG
최저	최저/NNG
임금	임금/NNG
수준에도	수준/NNG+에/JKB+도/JX
못미치지만	못/MAG+미치/VV+지만/EC
시급으로	시급/NNG+으로/JKB
치자면	치/VV+자면/EC
이미	이미/MAG
최저임금을	최저임금/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
셈이라고	셈/NNB+이/VCP+라고/EC

늘어나는	늘어나/VV+는/ETM
매출에	매출/NNG+에/JKB
부응해	부응하/VV+여/EC
최저임금	최저임금/NNG
등	등/NNB
여러	여러/MM
가지	가지/NNB
조건을	조건/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
후	후/NNG
올해나	올해/NNG+나/JC
내년쯤엔	내년/NNG+쯤/XSN+에/JKB+ㄴ/JX
중증장애인생산품판매시설	중증장애인생산품판매시설/NNG
인증에도	인증/NNG+에/JKB+도/JX
도전해	도전하/VV+여/EC
볼	보/VX+ㄹ/ETM
생각이다	생각/NNG+이/VCP+다/EC
