뇌병변장애	뇌병변장애/NNG
상당한	상당하/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다고	있/VX+다고/EC
설명했다	설명하/VV+었/EP+다/EC

구	구/XPN
연구원은	연구원/NNG+은/JX
“시장경쟁을	“/SN+시장경쟁/NNG+을/JKO
통해	통하/VV+여/EC
수익을	수익/NNG+을/JKO
확보해야	확보하/VV+여야/EC
하는	하/VX+는/ETM
사업장	사업장/NNG
내에서는	내/NNB+에서/JKB+는/JX
생산성,	생산성/NNG+,/SP
효율성	효율/NNG+성/XSN
등이	등/NNB+이/JKS
중요할	중요하/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없으므로	없/VA+으므로/EC
비장애인에	비장애인/NNG+에/JKB
비해	비하/VV+여/EC
경쟁력이	경쟁력/NNG+이/JKS
낮은	낮/VA+은/ETM
중증장애인은	중증장애인/NNG+은/JX
복지	복지/NNG
차원의	차원/NNG+의/JKG
접근이	접근/NNG+이/JKC
아니라면	아니/VCN+라면/EC
고용	고용/NNG
회피	회피/NNG
현상이	현상/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다”고/EC
현실을	현실/NNG+을/JKO
전했다	전하/VV+었/EP+다/EC

이어	이어/MAG
“장애인자립생활센터는	“/SN+장애인자립생활센터/NNG+는/JX
정부	정부/NNG
지원이나,	지원/NNG+이나/JC+,/SP
조세로	조세/NNG+로/JKB
운영되는	운영되/VV+는/ETM
활동지원서비스	활동지원서비스/NNG
중개수수료를	중개수수료/NNG+를/JKO
통해	통하/VV+여/EC
운영비를	운영비/NNG+를/JKO
확보하고	확보하/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“일반기업체와	“/SL+일반기업체/NNG+와/JC
다르게	다르/VA+게/EC
운영에	운영/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
예산을	예산/NNG+을/JKO
정부지원을	정부지원/NNG+을/JKO
통해	통하/VV+여/EC
확보하고	확보하/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
중증장애인	중증장애인/NNG
고용에	고용/NNG+에/JKB
적극적일	적극적/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
결정적인	결정적/NNG+이/VCP+ㄴ/ETM
요인”이라고	요인/NNG+”/SL+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

구	구/XPN
연구원은	연구원/NNG+은/JX
“장애인자립생활센터에	“/SN+장애인자립생활센터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
지원은	지원/NNG+은/JX
센터가	센터/NNG+가/JKS
가진	가지/VV+ㄴ/ETM
기능이	기능/NNG+이/JKS
공익적이라는	공익적/NNG+이/VCP+라는/ETM
판단과	판단/NNG+과/JKB
함께	함께/MAG
활동만으로	활동/NNG+만/JX+으로/JKB
시장에서	시장/NNG+에서/JKB
수익을	수익/NNG+을/JKO
기대하기	기대하/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
판단	판단/NNG
때문에	때문/NNB+에/JKB
이뤄지고	이루어지/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“향후	“/SL+향후/NNG
중증장애인	중증장애인/NNG
노동권	노동권/NNG
문제는	문제/NNG+는/JX
시장경쟁체제에	시장경쟁체제/NNG+에/JKB
놓여	놓이/VV+어/EC
있는	있/VX+는/ETM
사업장을	사업장/NNG+을/JKO
전제로	전제/NNG+로/JKB
하는	하/VV+는/ETM
방식에서	방식/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
(공익적)	(/SS+공익적/NNG+)/SS
일자리를	일자리/NNG+를/JKO
창출하기	창출하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정부차원의	정부차원/NNG+의/JKG
계획이	계획/NNG+이/JKS
전제되어야	전제되/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라는	것/NNB+”/SL+이/VCP+라는/ETM
방안을	방안/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

한편	한편/MAG
토론자로	토론자/NNG+로/JKB
참석한	참석하/VV+ㄴ/ETM
대구대학교	대구대학교/NNP
직업재활학과	직업재활학과/NNG
이달엽	이달엽/NNP
교수는	교수/NNG+는/JX
국가고용프로그램	국가고용프로그램/NNG
마련을	마련/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
고용	고용/NNG
확대와	확대/NNG+와/JKB
함께	함께/MAG
뇌병변장애인에게	뇌병변장애인/NNG+에게/JKB
적합한	적합하/VA+ㄴ/ETM
직업재활	직업재활/NNG
모형의	모형/NNG+의/JKG
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
개발을	개발/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

이	이/NNP
교수는	교수/NNG+는/JX
“여전히	“/SN+여/XSN+전히/MAG
장애인은	장애인/NNG+은/JX
고용시장에서	고용시장/NNG+에서/JKB
불안정하고,	불안정하/VA+고/EC+,/SP
현재	현재/MAG
2차	2/SN+차/NNB
노동시장에	노동시장/NNG+에/JKB
직장이(장애인자립생활센터)	직장/NNG+이/JKS+(/SS+장애인자립생활센터/NNG+)/SS
집중된	집중되/VV+ㄴ/ETM
현상을	현상/NNG+을/JKO
개선할	개선하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이	이/NNP
교수는	교수/NNG+는/JX
또한	또한/MAG
“뇌병변장애인	“/SL+뇌병변장애인/NNG
고용	고용/NNG
정책을	정책/NNG+을/JKO
대상자의	대상자/NNG+의/JKG
특성별로	특성/NNG+별/XSN+로/JKB
더욱	더욱/MAG
정교하게	정교하/VA+게/EC
세분화하고,	세분화하/VV+고/EC+,/SP
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
형태의	형태/NNG+의/JKG
국가고용프로그램	국가고용프로그램/NNG
마련을	마련/NNG+을/JKO
통해	통하/VV+여/EC
각종	각종/NNG
지지체계와	지지체계/NNG+와/JC
서비스가	서비스/NNG+가/JKS
지금보다	지금/NNG+보다/JKB
대폭	대폭/MAG
확대되고	확대되/VV+고/EC
공고해져야	공고하/VV+여/EC+지/VX+어야/EC
할	하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“사례발굴과	“사례발굴/NNG+과/JC
해외	해외/NNG
벤치마킹을	벤치마킹/NNG+을/JKO
통해	통하/VV+여/EC
뇌병변장애인에게	뇌병변장애인/NNG+에게/JKB
가장	가장/MAG
적합한	적합하/VA+ㄴ/ETM
직업재활	직업재활/NNG
모형들을	모형/NNG+들/XSN+을/JKO
지속적으로	지속적/NNG+으로/JKB
발굴하고	발굴하/VV+고/EC
개발해야	개발하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
피력했다	피력하/VV+었/EP+다/EC
