장애인창업	장애인창업/NNG
대한	대하/VV+ㄴ/ETM
부정적	부정적/NNG
사회인식개선과	사회인식개선/NNG+과/JC
위상제고에	위상제고/NNG+에/JKB
창업경진대회가	창업경진대회/NNG+가/JKS
기여할	기여하/VV+ㄹ/ETM
수	수/NNB
있길	있/VA+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
장애인기업종합지원센터	장애인기업종합지원센터/NNG
홈페이지(www	홈페이지/NNG+(/SS+www/SL

debc	debc/SL

or	or/SL

kr)	kr/SL+)/SS
또는	또는/MAG
전화(02-2631-6218)로	전화/NNG+(/SS+02/SN+-/SO+2631/SN+-/SO+6218/SN+)/SS+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF
