‘고용노동부,	‘/SN+고용노동부/NNG+,/SP
설정한	설정하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

주	주/NNP
의원은	의원/NNG+은/JX
“장애인	“/SL+장애인/NNG
취업을	취업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
고용노동부	고용노동부/NNG
및	및/MAG
장애인고용공단의	장애인고용공단/NNG+의/JKG
의지가	의지/NNG+가/JKS
전혀	전혀/MAG
보이지	보이/VV+지/EC
않는다”고	않/VX+는다”고/EC
지적했다	지적하/VV+였/EP+다/EF

주	주/NNP
의원은	의원/NNG+은/JX
장애인표준사업장	장애인표준사업장/NNG
장애직원들의	장애직원/NNG+들/XSN+의/JKG
처우에	처우/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
언급했다	언급하/VV+였/EP+다/EC

장애인표준사업장설립	장애인표준사업장설립/NNG
지원	지원/NNG
사업은	사업/NNG+은/JX
표준사업장을	표준사업장/NNG+을/JKO
통해	통하/VV+여/EC
장애인을	장애인/NNG+을/JKO
다수	다수/NNG
고용하는	고용하/VV+는/ETM
사업체를	사업체/NNG+를/JKO
육성하는	육성하/VV+는/ETM
사업이다	사업/NNG+이/VCP+다/EC

주	주/NNP
의원은	의원/NNG+은/JX
“금년	“/SL+금년/NNG
상반기	상반기/NNG
기준으로	기준/NNG+으로/JKB
장애인표준사업장	장애인표준사업장/NNG
월평균	월평균/NNG
급여가	급여/NNG+가/JKS
102만원으로	102/SN+만/NR+원/NNB+으로/JKB
2012년도	2012/SN+년/NNB+도/JX
최저임금	최저임금/NNG
96만원을	96/SN+만/NR+원/NNB+을/JKO
간신히	간신히/MAG
넘는	넘/VV+는/ETM
수준”이라며	수준”/NNG+이/VCP+라며/EC
“표준사업장에서	“/SL+표준사업장/NNG+에서/JKB
근무하는	근무하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
실질적으로	실질적/NNG+으로/JKB
자활할	자활하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
질적인	질적/NNG+이/VCP+ㄴ/ETM
측면에서의	측면/NNG+에서/JKB+의/JKG
지원이	지원/NNG+이/JKS
필요하다”고	필요하/VA+다/EC+”/SN+고/EC
주장했다	주장하/VV+였/EP+다/EC

현재	현재/MAG
고용노동부는	고용노동부/NNG+는/JX
장애인표준사업장	장애인표준사업장/NNG
예산으로	예산/NNG+으로/JKB
전년대비	전년대비/NNG
35	35/SN

4%	4/SN+%/SW
증액된	증액되/VV+ㄴ/ETM
139억원을	139/SN+억/NR+원/NNB+을/JKO
편성했다	편성하/VV+였/EP+다/EF

이	이/MM
예산을	예산/NNG+을/JKO
확보해	확보하/VV+여/EC
현재	현재/MAG
13개소의	13/SN+개소/NNB+의/JKG
장애인표준사업장을	장애인표준사업장/NNG+을/JKO
22개소까지	22/SN+개소/NNB+까지/JX
늘린다는	늘리/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC
