'정신장애인	'/SS+정신장애인/NNG
직업영역개발사업을	직업영역개발사업/NNG+을/JKO
실시해	실시하/VV+여/EC
왔다	오/VX+았/EP+다/EF

그동안	그동안/NNG
정신장애인은	정신장애인/NNG+은/JX
정신장애에	정신장애/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사업주의	사업주/NNG+의/JKG
인식	인식/NNG
부족으로	부족/NNG+으로/JKB
취업처	취업처/NNG
개발에	개발/NNG+에/JKB
많은	많/VA+은/ETM
어려움을	어려움/NNG+을/JKO
겪었을	겪/VV+었/EP+을/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
고용	고용/NNG
후	후/NNG
직장적응에도	직장적응/NNG+에/JKB+도/JX
어려움이	어려움/NNG+이/JKS
발생하여	발생하/VV+여/EC
직업	직업/NNG
진출이	진출/NNG+이/JKS
쉽지	쉽/VA+지/EC
않았다	않/VX+았/EP+다/EF

이에	이/NP+에/JKB
이번	이번/NNG
정신장애인	정신장애인/NNG
직업영역개발사업은	직업영역개발사업/NNG+은/JX
정신장애인의	정신장애인/NNG+의/JKG
특성을	특성/NNG+을/JKO
이해하고	이해하/VV+고/EC
사회복귀를	사회복귀/NNG+를/JKO
지원하는	지원하/VV+는/ETM
전문기관에서	전문기관/NNG+에서/JKB
적합	적합/NNG
직무를	직무/NNG+를/JKO
개발,	개발/NNG+,/SP
일자리	일자리/NNG
창출로	창출/NNG+로/JKB
연결시키자는	연결/NNG+시키/XSV+자는/ETM
것으로,	것/NNB+으로/JKB+,/SP
일반사업장에서는	일반사업장/NNG+에서/JKB+는/JX
적응이	적응/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
정신장애의	정신장애/NNG+의/JKG
특성을	특성/NNG+을/JKO
직업적	직업적/NNG
강점으로	강점/NNG+으로/JKB
역이용하는	역/XPN+이용하/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
시도로	시도/NNG+로/JKB
주목받고	주목/NNG+받/VV+고/EC
있다	있/VX+다/EC
