지방	지방/NNG
점자문제지(음성지원	점자문제지/NNG+(/SS+음성지원/NNG
컴퓨터)·	컴퓨터/NNG+)/SS+·/SP
확대문제지	확대문제지/NNG
및	및/MAG
답안지	답안지/NNG
제공,	제공/NNG+,/SP
휄체어	휄/SN+체어/NNG
전용책상	전용책상/NNG
지원,	지원/NNG+,/SP
시험시간	시험시간/NNG
연장(9급:150	연장/NNG+(/SS+9/SN+급/NNG+:/SP+150/SN
또는	또는/MAG
170분,	170/SN+분/NNB+,/SP
7급:210분	7/SN+급/NNG+:/SP+210/SN+분/NNB
또는	또는/MAG
240분)	240/SN+분/XSN+)/SS
등	등/NNB
장애유형에	장애유형/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
편의가	편의/NNG+가/JKS
제공된다	제공되/VV+ㄴ다/EF

이번	이번/NNG
필기시험	필기시험/NNG
합격자는	합격자/NNG+는/JX
각	각/MM
시·도별로	시/NNG+·/SP+도/NNG+별/XSN+로/JKB
10월중	10/SN+월중/NNB
해당	해당/NNG
시·도별	시/NNG+·/SP+도/NNG+별/XSN
홈페이지	홈페이지/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
발표될	발표되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

면접시험은	면접시험/NNG+은/JX
10월말에서	10/SN+월말/NNB+에서/JKB
11월초에	11/SN+월초/NNB+에/JKB
이루어지며,	이루어지/VV+며/EC+,/SP
최종	최종/NNG
합격자는	합격자/NNG+는/JX
11월말까지	11/SN+월말/NNB+까지/JX
해당	해당/NNG
시·도별	시/NNG+·/SP+도/NNG+별/XSN
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+여/EC
발표된다	발표되/VV+ㄴ다/EF
