‘지적장애인	‘/SL+지적장애인/NNG
훨씬	훨씬/MAG
잘	잘/MAG
하는	하/VV+는/ETM
편이기	편/NNB+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
지적장애인	지적장애/NNG+이/VCP+ㄴ/ETM
바리스타의	바리스타/NNG+의/JKG
길을	길/NNG+을/JKO
더욱	더욱/MAG
넓혀줄	넓히/VV+어/EC+주/VX+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“현재	“/SL+현재/MAG
1월	1/SN+월/NNB
중순쯤에	중순/NNG+쯤/XSN+에/JKB
결과발표가	결과발표/NNG+가/JKS
날	나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

만약	만약/NNG
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않는다면	않/VX+는다면/EC
국가인권위원회에도	국가인권위원회/NNG+에/JKB+도/JX
건의를	건의/NNG+를/JKO
해볼	하/VV+여/EC+보/VX+ㄹ/ETM
예정”이라고	예정”/NNG+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

건의	건/NNG+의/JKG
내용을	내용/NNG+을/JKO
수렴한	수렴하/VV+ㄴ/ETM
부산지역	부산/NNP+지역/NNG
협회	협회/NNG
회원기관	회원기관/NNG
관계자는	관계자/NNG+는/JX
“필기시험	“/SL+필기시험/NNG
면제에	면제/NNG+에/JKB
대해	대하/VV+여/EC
긍정적으로	긍정적/NNG+으로/JKB
생각한다	생각하/VV+ㄴ다/EF

협회	협회/NNG
총회가	총회/NNG+가/JKS
열리는	열리/VV+는/ETM
1월에	1/SN+월/NNB+에/JKB
건의를	건의/NNG+를/JKO
내볼	내보/VV+ㄹ/ETM
예정”이라며	예정”/NNG+이/VCP+라며/EC
“잘	“/SL+잘/MAG
받아드려져서	받아드려지/VV+어서/EC
지적장애인	지적장애/NNG+이/VCP+ㄴ/ETM
바리스타가	바리스타/NNG+가/JKS
더욱	더욱/MAG
활성화되길	활성화되/VV+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

이에	이/NP+에/JKB
협회	협회/NNG
관계자는	관계자/NNG+는/JX
“총회는	“/SN+총회/NNG+는/JX
1월말에서	1/SN+월말/NNB+에서/JKB
2월초에	2/SN+월초/NNB+에/JKB
열릴	열리/VV+ㄹ/ETM
예정”이라며	예정”/NNG+이/VCP+라며/EC
“회원기관으로부터	“/SL+회원기관/NNG+으로부터/JKB
건의	건/NNG+의/JKG
내용이	내용/NNG+이/JKS
들어오면	들어오/VV+면/EC
이사회	이사회/NNG
협의	협의/NNG
등	등/NNB
거쳐야	거치/VV+어야/EC
할	하/VX+ㄹ/ETM
과정이	과정/NNG+이/JKS
많다	많/VA+다/EC

일단	일단/MAG
건의가	건의/NNG+가/JKS
들어오면	들어오/VV+면/EC
검토	검토/NNG
해보겠다”고	하/VV+여/EC+보/VX+겠/EP+다/EC+”/VX+고/EC
답변했다	답변하/VV+였/EP+다/EF
