“장애인	“/SL+장애인/NNG
통한	통하/VV+ㄴ/ETM
진로설정,	진로설정/NNG+,/SP
업종특화교육(100시간)/창업인턴(4~8주)을	업종특화교육/NNG+(/SS+100/SN+시간/NNB+)/SS+//SP+창업인턴/NNG+(/SS+4/SN+~/SO+8/SN+주/NNG+)/SS+을/JKO
이수	이수/NNG
후	후/NNG
창업	창업/NNG
컨설팅	컨설팅/NNG
등의	등/NNB+의/JKG
활용해	활용하/VV+여/EC
창업할	창업하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와준다	도와주/VV+ㄴ다/EF

원스탑	원스탑/NNG
장애인	장애인/NNG
창업	창업/NNG
지원절차	지원절차/NNG

ⓒ장애인기업종합지원센터	ⓒ/SL+장애인기업종합지원센터/NNG
또한	또한/MAG
장애인의	장애인/NNG+의/JKG
취약한	취약하/VA+ㄴ/ETM
자금력을	자금력/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해	위하/VV+여/EC
예비창업자	예비창업자/NNG
및	및/MAG
창업	창업/NNG
7년미만	7/SN+년미/NNB+만/JX
기존	기존/NNG
창업자에	창업자/NNG+에/JKB
개인당	개인/NNG+당/XSN
1억원	1/SN+억/NR+원/NNB
한도	한도/NNG
내에서	내/NNB+에서/JKB
연리	연리/NNG
3%,	3/SN+%/SW+,/SP
7년	7/SN+년/NNB
상환(거치	상환/NNG+(/SS+거치/NNG
2년)의	2/SN+년/NNB+)/SS+의/JKG
'장애인창업자금'을	'/SS+장애인창업자금/NNG+'/SS+을/JKO
지원하고	지원하/VV+고/EC
있다	있/VX+다/EC

센터에서	센터/NNG+에서/JKB
창업과정을	창업과정/NNG+을/JKO
이수한	이수하/VV+ㄴ/ETM
중중장애인	중중장애인/NNG
및	및/MAG
저소득	저소득/NNG
장애인(최저생계비	장애인/NNG+(/SS+최저생계비/NNG
200%이하)	200/SN+%/SW+이하/NNG+)/SS
예비창업자를	예비창업자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
사업장과	사업장/NNG+과/JC
종합창업컨설팅의	종합창업컨설팅/NNG+의/JKG
제공으로	제공/NNG+으로/JKB
창업을	창업/NNG+을/JKO
돕고	돕/VV+고/EC
보육서비스를	보육서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
‘저소득	‘/SL+저소득/NNG
장애인	장애인/NNG
맞춤형	맞춤/NNG+형/XSN
창업인큐베이터	창업인큐베이터/NNG
구축사업’을	구축사업’/NNG+을/JKO
진행하고	진행하/VV+고/EC
있다	있/VX+다/EC

아울러	아울러/MAG
장애인	장애인/NNG
창업의	창업/NNG+의/JKG
상담,	상담/NNG+,/SP
교육,	교육/NNG+,/SP
컨설팅	컨설팅/NNG
및	및/MAG
창업인턴	창업인턴/NNG
사업체	사업체/NNG
등	등/NNB
내실있는	내실/NNG+있/VA+는/ETM
지원을	지원/NNG+을/JKO
위해	위하/VV+여/EC
전국	전국/NNG
권역별	권역/NNG+별/XSN
10개	10/SN+개/NNB
교육기관을	교육기관/NNG+을/JKO
지정하고,	지정하/VV+고/EC+,/SP
민간	민간/NNG
창업전문위원	창업전문위원/NNG
및	및/MAG
후원업체	후원업체/NNG
각각	각각/MAG
100명을	100/SN+명/NNB+을/JKO
POOL관리하는	POOL/SL+관리하/VV+는/ETM
등	등/NNB
그	그/MM
수를	수/NNG+를/JKO
점차	점차/MAG
늘려가면서	늘리/VV+어/EC+가/VX+면서/EC
더	더/MAG
많은	많/VA+은/ETM
장애인이	장애인/NNG+이/JKS
혜택을	혜택/NNG+을/JKO
받게끔	받/VV+게끔/EC
노력하고	노력하/VV+고/EC
있다	있/VX+다/EC

앞으로도	앞/NNG+으로/JKB+도/JX
장애인기업종합지원센터는	장애인기업종합지원센터/NNG+는/JX
매년	매년/MAG
시행하고	시행하/VV+고/EC
있는	있/VX+는/ETM
'장애인창업지원사업'을	'/SS+장애인창업지원사업/NNG+'/SS+을/JKO
널리	널리/MAG
알려	알리/VV+어/EC
창업을	창업/NNG+을/JKO
꿈꿔	꿈꾸/VV+어/EC
왔던	오/VX+았/EP+던/ETM
장애인이	장애인/NNG+이/JKS
보다	보다/MAG
많은	많/VA+은/ETM
지원을	지원/NNG+을/JKO
받으면서	받/VV+으면서/EC
도전할	도전하/VV+ㄹ/ETM
있도록	있/VX+도록/EC
전국을	전국/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
지속적으로	지속적/NNG+으로/JKB
알릴	알리/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

송종호	송종호/NNP
중소기업청장은	중소기업청/NNG+장/XSN+은/JX
“장애인도	“/SN+장애인/NNG+도/JX
이젠	이제/NNG+ㄴ/JX
복지나	복지/NNG+나/JC
소극적	소극적/NNG
수혜의	수혜/NNG+의/JKG
그늘에서	그늘/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
스스로	스스로/MAG
일자리를	일자리/NNG+를/JKO
창출할	창출하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
언급하고	언급하/VV+고/EC
많은	많/VA+은/ETM
분들이	분/NNB+들/XSN+이/JKS
창업지원프로그램을	창업지원프로그램/NNG+을/JKO
활용해	활용하/VV+여/EC
역량있는	역량/NNG+있/VA+는/ETM
장애인이	장애인/NNG+이/JKS
경제적·사회적으로	경제적/NNG+·/SP+사회적/NNG+으로/JKB
자립하고	자립하/VV+고/EC
경제주체의	경제주체/NNG+의/JKG
일원으로	일원/NNG+으로/JKB
성장할	성장하/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
기대한다”고	기대하/VV+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

창업지원에	창업지원/NNG+에/JKB
관심이	관심/NNG+이/JKS
있거나	있/VA+거나/EC
참여하려는	참여하/VV+려는/ETM
장애인은	장애인/NNG+은/JX
장애인기업종합지원센터	장애인기업종합지원센터/NNG
홈페이지(http://	홈페이지/NNG+(/SS+http/SL+:///SP
www	www/SL

debc	debc/SL

or	or/SL

kr)에서	kr/SL+)/SS+에서/JKB
확인	확인/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
문의는	문의/NNG+는/JX
전화(02-326-6200)로	전화/NNG+(/SS+02/SN+-/SO+326/SN+-/SO+6200/SN+)/SS+로/JKB
하면	하/VV+면/EC
된다	되/VV+ㄴ다/EF
