㈜베어베터,	㈜/SW+베어베터/NNG+,/SP
30명의	30/SN+명/NNB+의/JKG
발달장애인을	발달장애인/NNG+을/JKO
정규직	정규직/NNG
직원으로	직원/NNG+으로/JKB
맞이하게	맞이하/VV+게/EC
됐다	되/VV+었/EP+다/EC

특히	특히/MAG
이번	이번/NNG
채용은	채용/NNG+은/JX
서울시교육청	서울시/NNP+교육청/NNG
커리어점프	커리어점프/NNP
희망일자리를	희망일자리/NNG+를/JKO
통해	통하/VV+여/EC
학교영역에서	학교영역/NNG+에서/JKB
직업교육과	직업교육/NNG+과/JC
일자리	일자리/NNG
경험을	경험/NNG+을/JKO
쌓은	쌓/VV+은/ETM
발달장애인	발달장애인/NNG
18명을	18/SN+명/NNB+을/JKO
상향전직훈련을	상향전직훈련/NNG+을/JKO
통해	통하/VV+여/EC
영입하는	영입하/VV+는/ETM
등	등/NNB
우수한	우수하/VA+ㄴ/ETM
발달장애인	발달장애인/NNG
인재를	인재/NNG+를/JKO
영입하는데	영입하/VV+는데/EC
초점을	초점/NNG+을/JKO
맞췄다	맞추/VV+었/EP+다/EF

직무환경	직무환경/NNG
구성	구성/NNG
측면에서는	측면/NNG+에서/JKB+는/JX
경영진을	경영진/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
전	전/NNG
직원이	직원/NNG+이/JKS
발달장애인에	발달장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경험과	경험/NNG+과/JC
이해를	이해/NNG+를/JKO
갖추고	갖추/VV+고/EC
직무구성에	직무구성/NNG+에/JKB
있어서도	있/VA+어서/EC+도/JX
복사,	복사/NNG+,/SP
제본,	제본/NNG+,/SP
배달	배달/NNG
등	등/NNB
전	전/MM
공정에서	공정/NNG+에서/JKB
장애인의	장애인/NNG+의/JKG
특성에	특성/NNG+에/JKB
맞게	맞/VV+게/EC
직무	직무/NNG
분할과	분할/NNG+과/JC
재구조화를	재구조화/NNG+를/JKO
통해	통하/VV+여/EC
협업을	협업/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
‘쉬운	‘/SL+쉽/VA+ㄴ/ETM
복사’를	복사’/NNG+를/JKO
구현하였을	구현하/VV+였/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
발달장애인	발달장애인/NNG
중심의	중심/NNG+의/JKG
사내문화를	사내문화/NNG+를/JKO
개발하기	개발하/VV+기/ETN
위해	위하/VV+여/EC
노력하고	노력하/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
공단은	공단/NNG+은/JX
고용개발원,	고용개발/NNG+원/XSN+,/SP
서울지사,	서울/NNP+지사/NNG+,/SP
서울남부지사,	서울/NNP+남부지사/NNG+,/SP
대구직업능력개발원	대구직업능력개발원/NNP
등	등/NNB
소속기관이	소속기관/NNG+이/JKS
연계하여	연계하/VV+여/EC
발달장애인	발달장애인/NNG
인력풀을	인력풀/NNG+을/JKO
제공하고	제공하/VV+고/EC
상향전직훈련을	상향전직훈련/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
직무훈련을	직무훈련/NNG+을/JKO
제공하는	제공하/VV+는/ETM
등	등/NNB
직장	직장/NNG
진입과	진입/NNG+과/JC
직무적응을	직무적응/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
총체적인	총체적/NNG+이/VCP+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공했다	제공하/VV+였/EP+다/EF

이번	이번/NNG
직업영역개발	직업영역개발/NNG
사례는	사례/NNG+는/JX
그동안	그동안/NNG
발달장애인이	발달장애인/NNG+이/JKS
회사에서	회사/NNG+에서/JKB
업무보조	업무보조/NNG
및	및/MAG
주변직무에	주변직무/NNG+에/JKB
종사했던	종사하/VV+였/EP+던/ETM
흐름에서	흐름/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
일터의	일터/NNG+의/JKG
주인공으로	주인공/NNG+으로/JKB
자리매김하는	자리/NNG+매김하/VV+는/ETM
것이	것/NNB+이/JKS
가능하다는	가능하/VA+다는/ETM
것을	것/NNB+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
새로운	새롭/VA+ㄴ/ETM
출발점으로	출발점/NNG+으로/JKB
기대를	기대/NNG+를/JKO
모으고	모으/VV+고/EC
있다	있/VX+다/EC
