‘장애인직업재활육성법’	‘/SN+장애인직업재활육성법/NNG+’/SN
용어를	용어/NNG+를/JKO
사용함으로써,	사용하/VV+ㅁ/ETN+으로써/JKB+,/SP
보다	보다/MAG
다양성	다양성/NNG
있게	있/VA+게/EC
통합적으로	통합/NNG+적/XSN+으로/JKB
중증장애인들을	중증장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
직업재활사업을	직업재활사업/NNG+을/JKO
활성화시키자는	활성화/NNG+시키/XSV+자는/ETM
목적으로	목적/NNG+으로/JKB
마련됐다	마련되/VV+었/EP+다/EF

따라서	따라서/MAJ
기존의	기존/NNG+의/JKG
직업재활시설을	직업재활시설/NNG+을/JKO
직업재활일터로	직업재활일터/NNG+로/JKB
유형	유형/NNG
개편을	개편/NNG+을/JKO
추진하면서,	추진하/VV+면서/EC+,/SP
동시에	동시/NNG+에/JKB
일터	일터/NNG
중심의	중심/NNG+의/JKG
보호+근로(일자리)의	보호/NNG++/SW+근로/NNG+(/SS+일자리/NNG+)/SS+의/JKG
통합적인	통합/NNG+적/XSN+이/VCP+ㄴ/ETM
접근이	접근/NNG+이/JKS
가능하도록	가능하/VA+도록/EC
확대했다	확대하/VV+였/EP+다/EC

먼저	먼저/MAG
직업재활	직업재활/NNG
패러다임을	패러다임/NNG+을/JKO
시설	시설/NNG
중심이	중심/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
일터	일터/NNG
중심으로	중심/NNG+으로/JKB
전환,	전환/NNG+,/SP
장애인직업재활일터를	장애인직업재활일터/NNG+를/JKO
장애인보호작업일터,	장애인보호작업/NNG+이/VCP+ㄹ터/EC+,/SP
장애인근로사업일터,	장애인근로사업/NNG+이/VCP+ㄹ터/EC+,/SP
장애인작업활동일터	장애인작업활동일터/NNG
등	등/NNB
3가지로	3/SN+가지/NNB+로/JKB
규정했다	규정하/VV+였/EP+다/EC

또한	또한/MAG
주무부처를	주무부처/NNG+를/JKO
보건복지부로	보건복지부/NNG+로/JKB
둬,	두/VV+어/EC+,/SP
장애인의	장애인/NNG+의/JKG
특성을	특성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
직업재활	직업재활/NNG
조치를	조치/NNG+를/JKO
포함하는	포함하/VV+는/ETM
지원대책을	지원대책/NNG+을/JKO
수립하고,	수립하/VV+고/EC+,/SP
추진방향	추진방향/NNG
활성화를	활성화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
여건조성	여건조성/NNG
설치	설치/NNG
운영	운영/NNG
및	및/MAG
지원	지원/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
장애인	장애인/NNG
직업재활	직업재활/NNG
육성	육성/NNG
기본계획을	기본계획/NNG+을/JKO
세우도록	세우/VV+도록/EC
했다	하/VX+였/EP+다/EC

활성화를	활성화/NNG+를/JKO
위해서는	위하/VV+여서/EC+는/JX
주무부처인	주무부처/NNG+이/VCP+ㄴ/ETM
보건복지부가	보건복지부/NNG+가/JKS
장애인에게	장애인/NNG+에게/JKB
직업상담,	직업상담/NNG+,/SP
직업평가,	직업평가/NNG+,/SP
직업적응훈련,	직업적응훈련/NNG+,/SP
취업알선,	취업알선/NNG+,/SP
취업후	취업후/NNG
적응지도,	적응지도/NNG+,/SP
지원고용,	지원고용/NNG+,/SP
보호고용	보호고용/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
직업재활서비스를	직업재활서비스/NNG+를/JKO
지원하도록	지원하/VV+도록/EC
했다	하/VX+였/EP+다/EC

특히	특히/MAG
경영지원,	경영지원/NNG+,/SP
설비	설비/NNG
등의	등/NNB+의/JKG
사업비	사업비/NNG
지원을	지원/NNG+을/JKO
주무부처에	주무부처/NNG+에/JKB
규정하고	규정하/VV+고/EC
있어,	있/VX+어/EC+,/SP
현재	현재/MAG
지자체와	지자체/NNG+와/JKB
국가가	국가/NNG+가/JKS
5:5로	5/SN+:/SP+5/SN+로/JKB
지원하던	지원하/VV+던/ETM
비율을	비율/NNG+을/JKO
국고에서	국고/NNG+에서/JKB
직접	직접/MAG
장애인직업재활일터에	장애인직업재활일터/NNG+에/JKB
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
근거를	근거/NNG+를/JKO
마련했다	마련하/VV+였/EP+다/EC

전문성	전문/NNG+성/XSN
확보를	확보/NNG+를/JKO
위해	위하/VV+여/EC
직업재활	직업재활/NNG
전문인력	전문인력/NNG
규정도	규정/NNG+도/JX
명시했다	명시하/VV+였/EP+다/EC

직업재활사	직업재활사/NNG
자격증을	자격증/NNG+을/JKO
1급과	1/SN+급/NNG+과/JC
2급으로	2/SN+급/NNG+으로/JKB
나눠	나누/VV+어/EC
국가시험을	국가시험/NNG+을/JKO
실시하도록	실시하/VV+도록/EC
했으며,	하/VX+였/EP+으며/EC+,/SP
2급	2/SN+급/NNG
재활사의	재활사/NNG+의/JKG
경우,	경우/NNG+,/SP
직업재활	직업재활/NNG
관련	관련/NNG
교과목을	교과목/NNG+을/JKO
이수하고	이수하/VV+고/EC
관련학과의	관련/NNG+학/XSN+과/JKB+의/JKG
학위를	학위/NNG+를/JKO
취득한	취득하/VV+ㄴ/ETM
사람에게만	사람/NNG+에게/JKB+만/JX
부여한다	부여하/VV+ㄴ다/EC

우	우/NNP
교수는	교수/NNG+는/JX
“지금까지	“/SL+지금/NNG+까지/JX
고용노동부와	고용노동부/NNG+와/JC
공단을	공단/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
하는	하/VV+는/ETM
장애인	장애인/NNG
고용촉진	고용촉진/NNG
및	및/MAG
직업재활법이	직업재활법/NNG+이/JKS
시행돼	시행되/VV+어/EC
왔지만,	오/VX+았/EP+지만/EC+,/SP
직업재활현장에서는	직업재활현장/NNG+에서/JKB+는/JX
불만과	불만/NNG+과/JC
어려움이	어려움/NNG+이/JKS
있어왔다”며	있/VA+어/EC+오/VX+았/EP+다/EC+”/VV+며/EC
“향후	“/SN+향후/NNG
재활의	재활/NNG+의/JKG
궁극적인	궁극적/NNG+이/VCP+ㄴ/ETM
지향점인	지향점/NNG+이/VCP+ㄴ/ETM
직업재활을	직업재활/NNG+을/JKO
활성화하기	활성화하/VV+기/ETN
위해서	위하/VV+여서/EC
특별법을	특별법/NNG+을/JKO
추진하려	추진하/VV+려/EC
한다	하/VX+ㄴ다/EF

기존	기존/NNG
제도상	제도/NNG+상/XSN
미흡했던	미흡하/VA+었/EP+던/ETM
부분들까지	부분/NNG+들/XSN+까지/JX
보완해	보완하/VV+여/EC
복지부	복지부/NNG
중심으로	중심/NNG+으로/JKB
재정비해야	재정비하/VV+여야/EC
할	하/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다”고/EC
설명했다	설명하/VV+었/EP+다/EC

■“뚜렷한	■/SW+“/SN+뚜렷하/VA+ㄴ/ETM
점	점/NNG
없어…미흡한	없/VA+어/EF+…/SE+미흡하/VA+ㄴ/ETM
초안”=이에	초안/NNG+”/SL+=/SW+이/NP+에/JKB
토론자들은	토론자/NNG+들/XSN+은/JX
직업재활시설의	직업재활시설/NNG+의/JKG
어려움에	어려움/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
공감하면서도,	공감하/VV+면서/EC+도/JX+,/SP
특별법	특별법/NNG
제정의	제정/NNG+의/JKG
도입에는	도입/NNG+에/JKB+는/JX
의문점과	의문점/NNG+과/JC
내용의	내용/NNG+의/JKG
부족함이	부족하/VA+ㅁ/ETN+이/JKS
많다는	많/VA+다는/ETM
아쉬움을	아쉬움/NNG+을/JKO
드러냈다	드러내/VV+었/EP+다/EF

리드릭	리드릭/NNP
김정열	김정열/NNP
원장은	원장/NNG+은/JX
"법	"/SS+법/NNG
시행에	시행/NNG+에/JKB
있어	있/VA+어/EC
중증장애인사업장에	중/XPN+증장애인사업장/NNG+에/JKB
어떠한	어떠하/VA+ㄴ/ETM
변화를	변화/NNG+를/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EC
특별한	특별하/VA+ㄴ/ETM
조항을	조항/NNG+을/JKO
찾지	찾/VV+지/EC
못했다“며	못하/VX+였/EP+다/EC+“/VX+며/EC
”사업일터로	”/SN+사업일터/NNG+로/JKB
용어변경,	용어변경/NNG+,/SP
국가자격	국가자격/NNG
보장	보장/NNG
등이	등/NNB+이/JKS
눈에	눈/NNG+에/JKB
띄지만	띄/VV+지만/EC
이러한	이러하/VA+ㄴ/ETM
것들은	것/NNB+들/XSN+은/JX
기존의	기존/NNG+의/JKG
장애관련법에서	장애관련법/NNG+에서/JKB
다룰	다루/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

이정도의	이/MM+정도/NNG+의/JKG
사유로는	사유/NNG+로/JKB+는/JX
별도의	별도/NNG+의/JKG
법을	법/NNG+을/JKO
제정하자는	제정하/VV+자는/ETM
제안으로는	제안/NNG+으로/JKB+는/JX
미흡하다"고	미흡하/VA+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
"육성법	"/SS+육성법/NNG
제정이	제정/NNG+이/JKS
현재의	현재/NNG+의/JKG
중증장애인	중증장애인/NNG
고용여건이	고용여건/NNG+이/JKS
극도로	극도/NNG+로/JKB
불리한	불리하/VA+ㄴ/ETM
현실을	현실/NNG+을/JKO
감안한다면	감안하/VV+ㄴ다면/EC
필요한	필요하/VA+ㄴ/ETM
법이	법/NNG+이/JKC
될	되/VV+ㄹ/ETM
수는	수/NNB+는/JX
있다“며	있/VA+다/EC+“/VX+며/EC
”법	”법/NNG
제정의	제정/NNG+의/JKG
목적을	목적/NNG+을/JKO
중증	중증/NNG
근로장애인의	근로장애인/NNG+의/JKG
임금,	임금/NNG+,/SP
근로환경	근로환경/NNG
등을	등/NNB+을/JKO
획기적으로	획기적/NNG+으로/JKB
개선할	개선하/VV+ㄹ/ETM
방안이	방안/NNG+이/JKS
명시적으로	명시적/NNG+으로/JKB
제시돼야	제시되/VV+어야/EC
한다	하/VX+ㄴ다/EF

중증장애인의	중증장애인/NNG+의/JKG
근로기회와	근로기회/NNG+와/JC
근로조건에	근로조건/NNG+에/JKB
뚜렷한	뚜렷하/VA+ㄴ/ETM
변화를	변화/NNG+를/JKO
제시해야	제시하/VV+여야/EC
설득력을	설득력/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

한국자폐인사랑협회	한국자폐인사랑협회/NNP
권오형	권오형/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
"자폐성장애를	"/SS+자폐성장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
부모님들이	부모님/NNG+들/XSN+이/JKS
보는	보/VV+는/ETM
입장에서	입장/NNG+에서/JKB
성인발달장애인의	성인발달장애인/NNG+의/JKG
직업재활과	직업재활/NNG+과/JC
고용의	고용/NNG+의/JKG
제도와	제도/NNG+와/JC
지원이	지원/NNG+이/JKS
나아지지	나아지/VV+지/EC
않는	않/VX+는/ETM
현실	현실/NNG
속,	속/NNG+,/SP
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
보장하는	보장하/VV+는/ETM
육성법	육성법/NNG
제안은	제안/NNG+은/JX
적절하다"면서도	적절하/VA+다/EF+"/SS+면서/EC+도/JX
"직업적	"/SS+직업적/NNG
중증장애인의	중증장애인/NNG+의/JKG
직업재활을	직업재활/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
하는	하/VV+는/ETM
만큼	만큼/NNB
법안	법안/NNG
명칭이	명칭/NNG+이/JKS
중증장애인직업재활	중/XPN+증장애인직업재활/NNG
육성법이라고	육성법/NNG+이/VCP+라고/EC
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
옳지	옳/VA+지/EC
않다고	않/VX+다고/EC
생각한다"고	생각하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

권	권/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
또한	또한/MAG
"시설의	"/SS+시설/NNG+의/JKG
개념에서	개념/NNG+에서/JKB
일터	일터/NNG
개념으로	개념/NNG+으로/JKB
적용하자	적용하/VV+자/EC
했는데,	하/VV+였/EP+는데/EC+,/SP
시설이	시설/NNG+이/JKS
그리	그리/MAG
친화적인	친화/NNG+적/XSN+이/VCP+ㄴ/ETM
말은	말/NNG+은/JX
아니지만	아니/VCN+지만/EC
일터로	일터/NNG+로/JKB
명칭을	명칭/NNG+을/JKO
바꾼다고	바꾸/VV+ㄴ다고/EC
해서	하/VV+여서/EC
법	법/NNG
제정의	제정/NNG+의/JKG
목적이	목적/NNG+이/JKC
될지는	되/VV+ㄹ지/EC+는/JX
잘	잘/MAG
모르겠다	모르/VV+겠/EP+다/EC

발달장애인	발달장애인/NNG
내에서도	내/NNB+에서/JKB+도/JX
상대적으로	상대적/NNG+으로/JKB
열악한	열악하/VA+ㄴ/ETM
자폐성장애인의	자폐성장애인/NNG+의/JKG
직업과	직업/NNG+과/JC
고용에	고용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
대안이	대안/NNG+이/JKS
조금	조금/MAG
부족하다	부족하/VA+다/EC

과연	과연/MAG
부모님들이	부모님/NNG+들/XSN+이/JKS
피부에	피부/NNG+에/JKB
와닿는게	오/VV+아/EC+닿/VV+는/ETM+것/NNB+이/JKS
있을지	있/VA+을지/EC
고민스럽다"며	고민스럽/VA+다/EF+"/SS+며/EC
"기존의	"/SS+기존/NNG+의/JKG
법안과의	법안/NNG+과/JKB+의/JKG
차이를	차이/NNG+를/JKO
두기	두/VV+기/ETN
위한	위하/VV+ㄴ/ETM
복합적	복합적/NNG
정리가	정리/NNG+가/JKS
필요하다"고	필요하/VA+다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

보건복지부	보건복지부/NNG
임아람	임아람/NNG
사무관은	사무관/NNG+은/JX
“보건복지부	“/SN+보건복지부/NNG
역할	역할/NNG
책임강화,	책임강화/NNG+,/SP
고정관념	고정관념/NNG
틀	틀/NNG
벗어난	벗어나/VV+ㄴ/ETM
개편,	개편/NNG+,/SP
전문인력화	전문인력화/NNG
등	등/NNB
전반적으로	전반적/NNG+으로/JKB
공감하는	공감하/VV+는/ETM
내용"이라면서도	내용/NNG+"/SS+이/VCP+라면서/EC+도/JX
"고용노동부가	"/SS+고용노동부/NNG+가/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
직업재활법	직업재활법/NNG
등	등/NNB
다른	다른/MM
법률과	법률/NNG+과/JKB
충돌되는	충돌되/VV+는/ETM
우려가	우려/NNG+가/JKS
있다	있/VA+다/EC

명칭	명칭/NNG
또한	또한/MAG
중증장애인을	중증장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
만큼	만큼/NNB
중장기적	중장기적/NNG
논의를	논의/NNG+를/JKO
통해	통하/VV+여/EC
중증장애인에	중증장애인/NNG+에/JKB
포커스를	포커스/NNG+를/JKO
맞춘	맞추/VV+ㄴ/ETM
명칭으로	명칭/NNG+으로/JKB
변화시켜야	변화/NNG+시키/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
임	임/NNP
사무관은	사무관/NNG+은/JX
"발표된	"/SS+발표되/VV+ㄴ/ETM
법안이	법안/NNG+이/JKS
육성법	육성법/NNG
초안이고,	초안/NNG+이/VCP+고/EC+,/SP
가다듬어야	가다듬/VV+어야/EC
할	하/VX+ㄹ/ETM
부분이	부분/NNG+이/JKS
많다	많/VA+다/EC

앞으로	앞/NNG+으로/JKB
그런	그런/MM
부분에	부분/NNG+에/JKB
있어서	있/VA+어서/EC
직업재활	직업재활/NNG
종사자	종사자/NNG
분들이	분/NNG+들/XSN+이/JKS
의견수렴이	의견수렴/NNG+이/JKS
있어야	있/VA+어야/EC
할	하/VX+ㄹ/ETM
것같다"고	것/NNB+같/VA+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

한편,	한편/NNG+,/SP
이날	이날/NNG
발표된	발표되/VV+ㄴ/ETM
초안은	초안/NNG+은/JX
장애계의	장애/NNG+계/XSN+의/JKG
다양한	다양하/VA+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴한	수렴하/VV+ㄴ/ETM
후,	후/NNG+,/SP
내년	내년/NNG
1월말	1/SN+월말/NNB
쯤	쯤/XSN
법안을	법안/NNG+을/JKO
최종	최종/NNG
갖춰	갖추/VV+어/EC
새누리당	새누리당/NNP
김정록	김정록/NNP
의원이	의원/NNG+이/JKS
대표발의할	대표/NNG+발의하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

나사렛대학교	나사렛대학교/NNP
인간재활학과	인간재활학과/NNG
우주형	우주형/NNG
교수는	교수/NNG+는/JX
12일	12/SN+일/NNB
여의도	여의도/NNP
이룸센터에서	이룸센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘(가칭)장애인직업재활육성법(이하	‘/SL+(/SS+가칭/NNG+)/SS+장애인직업재활육성법/NNG+(/SS+이하/NNG
육성법)	육성법/NNG+)/SS
제정	제정/NNG
토론회’에서	토론회/NNG+’/SL+에서/JKB
법률	법률/NNG
초안을	초안/NNG+을/JKO
발표,	발표/NNG+,/SP
장애계의	장애/NNG+계/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴했다	수렴하/VV+였/EP+다/EF
