‘보조기구지원위원회’	‘/SL+보조기구지원위원회/NNG+’/SN
종합적인	종합적/NNG+이/VCP+ㄴ/ETM
정책의	정책/NNG+의/JKG
부재로	부재/NNG+로/JKB
인해	인하/VV+여/EC
재활보조기구를	재활보조기구/NNG+를/JKO
사용하는	사용하/VV+는/ETM
장애인	장애인/NNG
및	및/MAG
노인	노인/NNG
등	등/NNB
소비자들의	소비자/NNG+들/XSN+의/JKG
권익이	권익/NNG+이/JKS
크게	크/VA+게/EC
침해받고	침해/NNG+받/VV+고/EC
있다고	있/VX+다고/EC
이	이/MM
의원은	의원/NNG+은/JX
설명했다	설명하/VV+었/EP+다/EC

이에	이/NP+에/JKB
발의된	발의되/VV+ㄴ/ETM
법률안에는	법률안/NNG+에/JKB+는/JX
수요에	수요/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
보조기구	보조기구/NNG
관련	관련/NNG
산업을	산업/NNG+을/JKO
육성하기	육성하/VV+기/ETN
위해	위하/VV+여/EC
‘보조기구지원위원회’를	‘/SL+보조기구지원위원회/NNG+’/SL+를/JKO
국무총리	국무총리/NNG
직속기관으로	직속기관/NNG+으로/JKB
두고,	두/VV+고/EC+,/SP
그	그/MM
설치·조직	설치/NNG+·/SP+조직/NNG
등	등/NNB
직제와	직제/NNG+와/JC
운영사항은	운영사항/NNG+은/JX
대통령령으로	대통령령/NNG+으로/JKB
정하도록	정하/VV+도록/EC
한다	하/VX+ㄴ다/EF

또한	또한/MAG
보조기구문제에	보조기구문제/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
전문가,	전문가/NNG+,/SP
보조기구사용자	보조기구사용자/NNG
또는	또는/MAG
장애인단체	장애인단체/NNG
등의	등/NNB+의/JKG
의견청취,	의견청취/NNG+,/SP
보조기구표준화의	보조기구표준화/NNG+의/JKG
국제화	국제화/NNG
등	등/NNB
국제협력	국제협력/NNG
및	및/MAG
보조기구를	보조기구/NNG+를/JKO
지원하는	지원하/VV+는/ETM
비영리단체에	비/XPN+영리단체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보조금의	보조금/NNG+의/JKG
지급을	지급/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다	하/VX+ㄴ다/EF

아울러,	아울러/MAG+,/SP
국가와	국가/NNG+와/JC
지방자치단체는	지방자치단체/NNG+는/JX
보조기구의	보조기구/NNG+의/JKG
전시·조사·상담·평가	전시/NNG+·/SP+조사/NNG+·/SP+상담/NNG+·/SP+평가/NNG
등	등/NNB
서비스	서비스/NNG
전달체계를	전달체계/NNG+를/JKO
확립하고,	확립하/VV+고/EC+,/SP
종합적이고	종합적/NNG+이/VCP+고/EC
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
보조기구의	보조기구/NNG+의/JKG
지원	지원/NNG
및	및/MAG
연구개발·산업육성	연구개발/NNG+·/SP+산업육성/NNG
관련	관련/NNG
조사·연구	조사/NNG+·/SP+연구/NNG
수행	수행/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
보조기구지원센터를	보조기구지원센터/NNG+를/JKO
설립한다	설립하/VV+ㄴ다/EF

이외에도	이외/NNG+에/JKB+도/JX
보조기구의	보조기구/NNG+의/JKG
품질유지와	품질유지/NNG+와/JC
호환성	호환성/NNG
확보	확보/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
보조기구의	보조기구/NNG+의/JKG
표준화	표준화/NNG
추진,	추진/NNG+,/SP
보조기구의	보조기구/NNG+의/JKG
품목·기준	품목/NNG+·/SP+기준/NNG
및	및/MAG
규격	규격/NNG
정해	정하/VV+여/EC
고시,	고시/NNG+,/SP
국가와	국가/NNG+와/JC
지자체의	지자체/NNG+의/JKG
보조기구	보조기구/NNG
연구개발	연구개발/NNG
등이	등/NNB+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC
