서울시,	서울시/NNP+,/SP
진행하고	진행하/VV+고/EC
있다	있/VX+다/EC

특히	특히/MAG
전문기술과	전문기술/NNG+과/JC
재능을	재능/NNG+을/JKO
활용하는	활용하/VV+는/ETM
어르신	어르신/NNG
이미용	이미용/NNG
서비스	서비스/NNG
교육	교육/NNG
간호사	간호사/NNG
파견	파견/NNG
다문화가정	다문화가정/NNG
아이돌봄	아이돌봄/NNG
및	및/MAG
학습도우미	학습도우미/NNP
취약지역	취약지역/NNG
담장벽화	담장벽화/NNG
자전거	자전거/NNG
이동정비센터	이동정비센터/NNG
운영	운영/NNG
등은	등/NNB+은/JX
지역민들의	지역민/NNG+들/XSN+의/JKG
복지	복지/NNG
향상에도	향상/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
도움을	도움/NNG+을/JKO
주고	주/VV+고/EC
있으며	있/VX+으며/EC
취업취약계층인	취업취약계층/NNG+이/VCP+ㄴ/ETM
경력단절	경력단절/NNG
여성,	여성/NNG+,/SP
다문화가족	다문화가족/NNG
등에게는	등/NNB+에게/JKB+는/JX
의미있는	의미/NNG+있/VA+는/ETM
일자리를	일자리/NNG+를/JKO
제공하고	제공하/VV+고/EC
있다	있/VX+다/EC

지역	지역/NNG
내	내/NNB
경력단절	경력단절/NNG
및	및/MAG
육아?가사와	육아/NNG+?/SF+가사/NNG+와/JC
일자리를	일자리/NNG+를/JKO
양립이	양립/NNG+이/JKS
가능한	가능하/VA+ㄴ/ETM
단시간	단시간/NNG
근무를	근무/NNG+를/JKO
원하는	원하/VV+는/ETM
여성들이	여성/NNG+들/XSN+이/JKS
참여	참여/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일자리	일자리/NNG
중	중/NNB
‘어르신	‘어르/VV+시/EP+ㄴ/ETM
이미용	이미용/NNG
서비스’는	서비스/NNG+’/SL+는/JX
거동이	거동/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
어르신과	어르신/NNG+과/JC
독거노인,	독거노/NNG+이/VCP+ㄴ/ETM+,/SP
장애인가정,	장애인가정/NNG+,/SP
경로당을	경로당/NNG+을/JKO
직접	직접/MAG
방문해	방문하/VV+여/EC
이미용	이미용/NNG
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
것으로	것/NNB+으로/JKB
이미용	이미용/NNG
기술을	기술/NNG+을/JKO
보유한	보유하/VV+ㄴ/ETM
지역	지역/NNG
내	내/NNB
여성들에게	여성/NNG+들/XSN+에게/JKB
새로운	새롭/VA+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
제공하는	제공하/VV+는/ETM
동시에	동시/NNG+에/JKB
지역노인을	지역노인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
봉사도	봉사/NNG+도/JX
함께	함께/MAG
제공한다	제공하/VV+ㄴ다/EF

간호사자격증	간호사자격증/NNG
취득	취득/NNG
후	후/NNG
5년	5/SN+년/NNB
이상	이상/NNG
아동간호업무	아동간호업무/NNG
경력자를	경력자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
‘교육간호사	‘/SL+교육간호사/NNG
파견사업’도	파견사업/NNG+’/SL+도/JX
지역	지역/NNG
내	내/NNB
여성	여성/NNG
일자리	일자리/NNG
제공에	제공/NNG+에/JKB
한몫을	한몫/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

이	이/MM
교육간호사는	교육간호사/NNG+는/JX
어린이집으로	어린이집/NNG+으로/JKB
직접	직접/MAG
찾아가	찾아가/VV+아/EC
보육교사에게	보육교사/NNG+에게/JKB
영유아가	영유아/NNG+가/JKS
안전하고	안전하/VA+고/EC
건강하게	건강하/VA+게/EC
성장할	성장하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
필요한	필요하/VA+ㄴ/ETM
의료지식을	의료지식/NNG+을/JKO
사전에	사전/NNG+에/JKB
교육,	교육/NNG+,/SP
전염병	전염병/NNG
예방과	예방/NNG+과/JC
올바른	올바르/VA+ㄴ/ETM
위생습관도	위생습관/NNG+도/JX
길러줘	기르/VV+어/EC+주/VX+어/EC
보육서비스의	보육서비스/NNG+의/JKG
질적	질적/NNG
향상을	향상/NNG+을/JKO
돕고있다	돕/VV+고/EC+있/VX+다/EC

미취업	미/XPN+취업/NNG
청년층이	청년층/NNG+이/JKS
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지역공동체일자리도	지역공동체일자리/NNG+도/JX
있다	있/VA+다/EF

‘시각장애인	‘/SL+시각장애인/NNG
컴퓨터유지보수	컴퓨터유지보수/NNG
돌보미사업’은	돌보미사업’/NNG+은/JX
시각장애인용	시각장애인용/NNG
컴퓨터수리와	컴퓨터수리/NNG+와/JC
인터넷을	인터넷/NNG+을/JKO
이용한	이용하/VV+ㄴ/ETM
원격	원격/NNG
지원서비스를	지원서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
것으로	것/NNB+으로/JKB
전문	전문/NNG
기술을	기술/NNG+을/JKO
보유한	보유하/VV+ㄴ/ETM
젊은	젊/VA+은/ETM
전문인력들에게	전문인력/NNG+들/XSN+에게/JKB
일자리를	일자리/NNG+를/JKO
제공하는	제공하/VV+는/ETM
동시에	동시/NNG+에/JKB
지역	지역/NNG
내	내/NNB
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
정보화에서	정보/NNG+화/XSN+에서/JKB
소외되지	소외되/VV+지/EC
않고	않/VX+고/EC
또	또/MAG
장애의	장애/NNG+의/JKG
벽을	벽/NNG+을/JKO
넘어	넘/VV+어/EC
지역사회에	지역사회/NNG+에/JKB
소속될	소속되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돕는다	돕/VV+는다/EC

‘공공시설	‘/SL+공공시설/NNG
벽화그리기	벽화그리기/NNG
사업’	사업/NNG+’/SW
또한	또한/MAG
미취업	미/XPN+취업/NNG
청년층이	청년층/NNG+이/JKS
활발하게	활발하/VA+게/EC
참여	참여/NNG
가능한	가능하/VA+ㄴ/ETM
일자리로	일자리/NNG+로/JKB
기존	기존/NNG
콘크리트	콘크리트/NNG
옹벽을	옹벽/NNG+을/JKO
공공예술작품으로	공공예술작품/NNG+으로/JKB
재창조,	재창조/NNG+,/SP
색감있는	색감/NNG+있/VA+는/ETM
돌담으로	돌담/NNG+으로/JKB
조성해	조성하/VV+여/EC
지역주민들의	지역주민/NNG+들/XSN+의/JKG
삶과	삶/NNG+과/JC
문화가	문화/NNG+가/JKS
살아있는	살/VV+아/EC+있/VX+는/ETM
공간으로	공간/NNG+으로/JKB
만들고	만들/VV+고/EC
있다	있/VX+다/EC

이	이/MM
사업은	사업/NNG+은/JX
미술	미술/NNG
재능을	재능/NNG+을/JKO
보유한	보유하/VV+ㄴ/ETM
청년층을	청년층/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
지역민들이	지역민/NNG+들/XSN+이/JKS
직접	직접/MAG
스케치를	스케치/NNG+를/JKO
하고	하/VV+고/EC
채색하는	채색하/VV+는/ETM
과정을	과정/NNG+을/JKO
거친다	거치/VV+ㄴ다/EF

지속적으로	지속적/NNG+으로/JKB
늘어나고	늘어나/VV+고/EC
있는	있/VX+는/ETM
이주여성을	이주여성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지역공동체	지역공동체/NNG
일자리도	일자리/NNG+도/JX
있다	있/VA+다/EF

‘다국적	‘/SL+다국적/NNG
동화구연전문가	동화구연전문가/NNG
파견사업’은	파견사업’/NNG+은/JX
결혼이민자	결혼이민자/NNG
여성으로	여성/NNG+으로/JKB
구성된	구성되/VV+ㄴ/ETM
다국적	다국적/NNG
동화구연전문가들이	동화구연전문가/NNG+들/XSN+이/JKS
지역	지역/NNG
내	내/NNB
보육시설을	보육시설/NNG+을/JKO
직접	직접/MAG
찾아가는	찾아가/VV+는/ETM
것으로	것/NNB+으로/JKB
일자리	일자리/NNG
창출로	창출/NNG+로/JKB
다문화	다/XPN+문화/NNG
가정	가정/NNG
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
향상시키고	향상/NNG+시키/XSV+고/EC
지역내	지역/NNG+내/NNB
어린이들에겐	어린이/NNG+들/XSN+에게/JKB+ㄴ/JX
세계	세계/NNG
문화를	문화/NNG+를/JKO
이해하고	이해하/VV+고/EC
체험할	체험하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
제공한다	제공하/VV+ㄴ다/EF

이와	이/NP+와/JKB
함께	함께/MAG
이러한	이러하/VA+ㄴ/ETM
다문화가정	다문화가정/NNG
여성이	여성/NNG+이/JKS
한국사회에	한국/NNP+사회/NNG+에/JKB
적응하기	적응하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
필수요소인	필수요소/NNG+이/VCP+ㄴ/ETM
한국어를	한국어/NNP+를/JKO
배우거나	배우/VV+거나/EC
가정경제에	가정경제/NNG+에/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
전문기술	전문기술/NNG
배우는	배우/NNG+는/JX
동안	동안/NNG
다문화	다/XPN+문화/NNG
가족의	가족/NNG+의/JKG
육아를	육아/NNG+를/JKO
책임지는	책임지/VV+는/ETM
‘다문화	‘/SN+다문화/NNG
가족	가족/NNG
육아돌봄	육아돌봄/NNG
서비스’도	서비스/NNG+’/SL+도/JX
지역내	지역/NNG+내/NNB
여성들이	여성/NNG+들/XSN+이/JKS
참여해	참여하/VV+여/EC
운영하고	운영하/VV+고/EC
있다	있/VX+다/EC

이	이/MM
외에도	외/NNB+에/JKB+도/JX
지역	지역/NNG
내	내/NNB
방치된	방치되/VV+ㄴ/ETM
자전거를	자전거/NNG+를/JKO
전문기술로	전문기술/NNG+로/JKB
수리해	수리하/VV+여/EC
자전거	자전거/NNG
이용	이용/NNG
활성화를	활성화/NNG+를/JKO
돕는	돕/VV+는/ETM
‘자전거	‘/SN+자전거/NNG
이동정비센터’	이동정비센터/NNG+’/SL
운영을	운영/NNG+을/JKO
비롯해	비롯하/VV+여/EC
노후,	노후/NNG+,/SP
파손	파손/NNG
소규모	소규모/NNG
도로	도로/NNG
보수	보수/NNG
보행안전	보행안전/NNG
도우미	도우미/NNG
폐현수막을	폐현수막/NNG+을/JKO
활용한	활용하/VV+ㄴ/ETM
장바구니	장바구니/NNG
제작	제작/NNG
취약계층	취약계층/NNG
도배	도배/NNG
및	및/MAG
가구	가구/NNG
수리	수리/NNG
사업	사업/NNG
어린이	어린이/NNG
놀이터	놀이터/NNG
정비사업	정비사업/NNG
등	등/NNB
지역주민의	지역주민/NNG+의/JKG
생활을	생활/NNG+을/JKO
향상시키는	향상/NNG+시키/XSV+는/ETM
일자리도	일자리/NNG+도/JX
있다	있/VA+다/EF

지역공동체	지역공동체/NNG
일자리	일자리/NNG
사업에는	사업/NNG+에/JKB+는/JX
매년	매년/MAG
1월과	1/SN+월/NNB+과/JC
6월경	6/SN+월/NNB+경/XSN
두차례	두/MM+차례/NNG
모집하며,	모집하/VV+며/EC+,/SP
만	만/MM
18세	18/SN+세/NNB
이상	이상/NNG
근로능력자	근로능력자/NNG
중	중/NNB
사회적	사회적/NNG
취약계층과	취약계층/NNG+과/JC
만	만/MM
29세	29/SN+세/NNB
이하	이하/NNG
청년	청년/NNG
미취업자면	미취업자/NNG+이/VCP+면/EC
참여가능하다	참여/NNG+가능하/VA+다/EC

최저임금은	최저임금/NNG+은/JX
시간당	시간/NNG+당/XSN
4580원,	4580/SN+원/NNB+,/SP
하루	하루/NNG
6시간	6/SN+시간/NNB
근무시	근무/NNG+시/NNB
임금(2만7480원)과	임금/NNG+(/SS+2/SN+만/NR+7480/SN+원/NNB+)/SS+과/JC
교통비(3000원)을	교통비/NNG+(/SS+3000/SN+원/NNB+)/SS+을/JKO
합한	합하/VV+ㄴ/ETM
총	총/MM
3만480원을	3/SN+만/NR+480/SN+원/NNB+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
한	한/MM
달	달/NNB
동안	동안/NNG
빠지지	빠지/VV+지/EC
않고	않/VX+고/EC
일하면	일하/VV+면/EC
최대	최대/NNG
78만원을	78/SN+만/NR+원/NNB+을/JKO
받으며,	받/VV+으며/EC+,/SP
4대	4/SN+대/NNG
보험이	보험/NNG+이/JKS
적용된다	적용되/VV+ㄴ다/EC
