국립대병원	국립대병원/NNG
국립대병원에서조차	국립대병원/NNG+에서/JKB+조차/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
자립기반을	자립기반/NNG+을/JKO
위해	위하/VV+여/EC
마련된	마련되/VV+ㄴ/ETM
법규를	법규/NNG+를/JKO
제대로	제대로/MAG
지키지	지키/VV+지/EC
않아	않/VX+아/EC
매년	매년/MAG
수십	수십/NR
억	억/NR
원의	원/NNB+의/JKG
과징금을	과징금/NNG+을/JKO
납부하고	납부하/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
큰	크/VA+ㄴ/ETM
문제”라며	문제”/NNG+이/VCP+라며/EC
“국민의	“/SN+국민/NNG+의/JKG
건강증진과	건강증진/NNG+과/JC
공공복지를	공공복지/NNG+를/JKO
최우선에	최우선/NNG+에/JKB
두어야	두/VV+어야/EC
할	하/VX+ㄹ/ETM
공공의료기관이	공공의료기관/NNG+이/JKS
해마다	해마다/MAG
과징금을	과징금/NNG+을/JKO
늘려가면서까지	늘리/VV+어/EC+가/VX+면서/EC+까지/JX
장애인	장애인/NNG
고용을	고용/NNG+을/JKO
기피한다면	기피하/VV+ㄴ다면/EC
국민의	국민/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
잃게	잃/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

유	유/NNP
의원은	의원/NNG+은/JX
“이명박	“/SL+이명박/NNP
정부가	정부/NNG+가/JKS
추진한	추진하/VV+ㄴ/ETM
공공기관	공공기관/NNG
선진화	선진화/NNG
방안으로	방안/NNG+으로/JKB
많은	많/VA+은/ETM
공공기관에서	공공기관/NNG+에서/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
일할	일하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
있는	있/VA+는/ETM
일자리를	일자리/NNG+를/JKO
아웃	아웃/NNG
소싱한	소싱하/VA+ㄴ/ETM
결과라는	결과/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
있다”면서	있/VA+다/EC+”/VX+면서/EC
“수년째	“/SL+수년/NNG+째/XSN
장애인	장애인/NNG
의무고용률이	의무고용률/NNG+이/JKS
지켜지지	지키/VV+어/EC+지/VX+지/EC
않는	않/VX+는/ETM
원인을	원인/NNG+을/JKO
철저히	철저히/MAG
따져보고	따지/VV+어/EC+보/VX+고/EC
실효성	실효성/NNG
있는	있/VA+는/ETM
대책을	대책/NNG+을/JKO
내놓아야	내놓/VV+아야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC
